INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	INT
110018	如果要和好友发信，应该怎么做？	打开背包，右键点击物品馒头	打开好友，点击要发信的好友名	打开技能，点击返回大理技能	#	#	#	-1	1	-1	-1	-1	-1	新手问答	1
110019	在聊天时，输入“##R文字”文字的颜色会变成什么颜色？	红色	不变	五颜六色	#	#	#	1	-1	-1	-1	-1	-1	新手问答	1
110020	在聊天时，输入“##数字”代表什么？	插入表情包子符	没有什么效果	插入五颜六色的颜色	#	#	#	1	-1	-1	-1	-1	-1	新手问答	1
110021	人在江湖漂，见到什么都该记得，大理城的酒店老板是谁？	杜子腾	卢三七	蒲良	#	#	#	1	-1	-1	-1	-1	-1	新手问答	1
110022	初涉江湖，不知你进入角色没有，知道脚下这座城市的名字是什么吗？	洛阳	大理	苏州	#	#	#	-1	1	-1	-1	-1	-1	新手问答	1
110023	你可知出大理城东门可到达哪里？提示一下，那里可是剑湖宫的所在。	西湖	无量山	镜湖	#	#	#	-1	1	-1	-1	-1	-1	新手问答	1
110024	你可知出大理城西门可到达哪里？提示一下，那是蜀中前往西北的要道。	剑阁	敦煌	草原	#	#	#	1	-1	-1	-1	-1	-1	新手问答	1
110025	你有发现在这个游戏里，怎样转动游戏画面吗？	按住鼠标右键拖动鼠标	旋转显示器	喝一坛女儿红酒再玩游戏	#	#	#	1	-1	-1	-1	-1	-1	新手问答	1
110026	游戏的小地图出现在屏幕的什么位置？	屏幕左上角	屏幕右上角	没有出现	#	#	#	-1	1	-1	-1	-1	-1	新手问答	1
110027	走路很累，不过游戏中可以自动行走，很轻松的，你知道怎样操作吗？	鼠标左键点击地面并按住	按住键盘向上键	双击鼠标左键	#	#	#	1	-1	-1	-1	-1	-1	新手问答	1
110028	还记得怎样“使用”背包中的道具吧？	打开背包，右键点击物品	打开背包，左键点击物品	打开背包，中键点击物品	#	#	#	1	-1	-1	-1	-1	-1	新手问答	1
110029	该不会忘记自己是怎么走来的吧，控制角色移动需要点击鼠标哪个按键？	右键	左键	中键	#	#	#	-1	1	-1	-1	-1	-1	新手问答	1
110030	有一项体贴的功能，就是查看整个城市的地图，你知道怎样查看吗？	按TAB键	按Enter键	按PageUp键	#	#	#	1	-1	-1	-1	-1	-1	新手问答	1
110031	屏幕左上角头像旁边的红色横条表示什么意思啊？	我的经验数值吧	我的血条啊，长度为零的时候我就去地府了	我的怒气，代表一种我的战斗能力	#	#	#	-1	1	-1	-1	-1	-1	新手问答	1
110032	仔细看看，现在屏幕上什么地方标明了你的等级？	左上角我的头像旁边有一个数字	右上角地图上面的数字	没有标明吧，我啥也没有看到	#	#	#	1	-1	-1	-1	-1	-1	新手问答	1
110033	不要现在试验，你能立刻说出右上角小地图里有一个“N”的按钮是做什么的吗？	是帮我召唤坐骑的吧	是帮我做任务的吧	是帮我转取到向北的视角吧	#	#	#	-1	-1	1	-1	-1	-1	新手问答	1
110034	还没有在这世界说过话吧，你知道怎样说出一个表情符号吗？	按屏幕左上角的头像	按屏幕左下角的A字符号	按屏幕左下角的笑脸符号	#	#	#	-1	-1	1	-1	-1	-1	新手问答	1
110035	（）头望明月，低头思故乡。	抬	举	仰	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110036	长风破浪会有时，直挂云帆（）沧海。	济	进	现	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110037	射人先射马，擒贼先擒（）。	头	首	王	#	#	#	-1	-1	1	-1	-1	-1	城市科技任务	2
110038	一夫当关，万夫（）开。	别	莫	不	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110039	出师未捷身先死，长使英雄（）满襟。	痛	泪	汗	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110040	举杯邀明月，对（）成三人。	影	月	酒	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110041	昔日横波（），今作流泪泉。	眸	目	横	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110042	故人西辞黄鹤楼，烟花三月（）扬州。	渡	游	下	#	#	#	-1	-1	1	-1	-1	-1	城市科技任务	2
110043	云想衣裳花想容，春风（）槛露华浓。	抚	拂	扶	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110044	朝（）白帝彩云间，千里江陵一日还。	辞	别	离	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110045	白日放歌须（）酒，青春作伴好还乡。	纵	饮	喝	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110046	烽火连三月，家书（）万金。	值	抵	和	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110047	渡头余落日，墟里（）孤烟。	上	有	飞	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110048	春潮带雨晚来急，野渡无人舟自（）。	停	摆	横	#	#	#	-1	-1	1	-1	-1	-1	城市科技任务	2
110049	葡萄美酒夜光杯，欲（）琵琶马上催。	弹	饮	话	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110050	秦时明月汉时关，万里长征人未（）。	来	回	还	#	#	#	-1	-1	1	-1	-1	-1	城市科技任务	2
110051	会当淩绝顶，一（）众山小。	览	看	俯	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110052	独在异乡为异客，每逢佳节（）思亲。	必	倍	更	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110053	露（）今夜白，月是故乡明。	是	从	当	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110054	无边落木（）下，不尽长江滚滚来。	萧萧	簌簌	飘飘	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110055	两岸猿声啼不住，（）。	轻舟已过万重山	惟见长江天际流	随风直到夜郎西	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110056	凤凰台上凤凰游，（）。	凤去台空使人愁	凤去台空江自流	此地空余黄鹤楼	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110057	（），落花时节又逢君。	锦江春色来天地	正是江南好风景	泪眼问花花不语	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110058	千呼万唤始出来，（）。	犹抱琵琶半遮面	未成曲调先有情	来如春梦几多时	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110059	身无彩凤双飞翼，（）。	相逢何必曾相识	心有灵犀一点通	空见葡萄入汉家	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110060	红豆生南国，（）。	此物最相思	春来发几枝	春风吹又生	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110061	（），西出阳关无故人。	劝君更尽一杯酒	与尔同销万古愁	东风夜放花千树	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110062	白日依山尽，（）。	欲穷千里目	黄河入海流	毕竟东流去	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110063	谁言寸草心，（）。	报得三春晖	灯下白头人	粒粒皆辛苦	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110064	海上生明月，（）。	天涯共此时	天涯若比邻	天涯何处无芳草	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110065	莫愁前路无知已，（）。	天下谁人不识君	烟波江上使人愁	雪上空留马行处	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110066	（），乡音无改鬓毛衰。	纵使相逢应不识	少小离家老大回	浔阳地僻无音乐	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110067	（），道是无晴却有晴。	东边日出西边雨	多情只有春庭月	赢得青楼薄幸名	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110068	姑苏城外寒山寺，（）。	江枫渔火对愁眠	夜半钟声到客船	姑苏城南燕子坞	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110069	洛阳亲友如相问，（）。	不破楼兰终不还	一片冰心在玉壶	主人为何言少钱	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110070	忽如一夜春风来，（）。	千树万树梨花开	犹为离人照落花	春花秋月何时了	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110071	夕阳无限好，（）。	只是近黄昏	红叶晚萧萧	几度夕阳红	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110072	同是天涯沦落人，（）。	相识未必曾相逢	相逢何必曾相识	若个书生万户侯	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110073	（），时时误拂弦。	欲得周郎顾	双泪落君前	白头搔更短	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110074	凉月如眉挂柳湾，（）。	多情只有春庭月	越中山色镜中看	遥看瀑布挂前川	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110075	一川烟草，满城风絮，梅子（）时雨。	黄	青	熟	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110076	人有悲欢离合，月有阴晴圆缺，此事（）难全。	极	俱	古	#	#	#	-1	-1	1	-1	-1	-1	城市科技任务	2
110077	二十四桥仍在，波心（）、冷月无声。	荡	明	转	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110078	三杯两盏淡酒，怎（）他、晚来风急。	知	料	敌	#	#	#	-1	-1	1	-1	-1	-1	城市科技任务	2
110079	千古江山，英雄无觅，孙（）处。	仲谋	伯符	尚香	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110080	但愿人长久，千里（）蝉娟。	共	齐	是	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110081	君莫舞！君不见、玉环飞燕（）尘土。	共	化	皆	#	#	#	-1	-1	1	-1	-1	-1	城市科技任务	2
110082	纵使相逢应不（），尘满面，鬓如霜。	见	识	爱	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110083	梦入江南烟水路，行尽江南，不与离人（）。	续	去	遇	#	#	#	-1	-1	1	-1	-1	-1	城市科技任务	2
110084	青山（）不住，毕竟东流去。	遮	留	封	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110085	梧桐叶上三更雨，叶叶（）是别离。	声声	枝枝	丝丝	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110086	抬望眼，仰天长（），壮怀激烈。	叹	啸	笑	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110087	新来瘦，非干痛酒，不是（）秋。	冷	清	悲	#	#	#	-1	-1	1	-1	-1	-1	城市科技任务	2
110088	（）落成泥碾作尘，只有香如故。	零	凋	飞	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110089	细看来，不是（），点点是离人泪。	桃花	春花	杨花	#	#	#	-1	-1	1	-1	-1	-1	城市科技任务	2
110090	想当年、金戈铁马，气（）万里如虎。	吞	冲	飙	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110091	念去去、千里烟波，暮霭（）楚天阔。	深深	沉沉	森森	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110092	烟水（），高林弄残照，晚蜩凄切。	淼	阔	过	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110093	明月几时有？把酒（）青天。	邀	望	问	#	#	#	-1	-1	1	-1	-1	-1	城市科技任务	2
110094	淮山（）晚，问谁积、芳心高洁？	春	秋	冬	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110095	（），惆怅此情难寄。	鸾镜朱颜惊暗换	鸿雁在云鱼在水	试问闲愁都几许	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110096	一曲新词酒一杯，（），夕阳西下几时回？	去年天气旧池台	等闲离别易消魂	酒筵歌席莫辞频	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110097	昔人已乘黄鹤去，（）。	此地空余黄鹤楼	黄鹤一去不复返	白云千载空悠悠	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110098	十年生死两茫茫，不思量，（）。	人何在	似梦里	自难忘	#	#	#	-1	-1	1	-1	-1	-1	城市科技任务	2
110099	（），共有几许新愁？芭蕉不展丁香结。	客路青山下	欲知方寸	行舟绿水前	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110100	去年今日此门中，人面桃花相映红。（），桃花依旧笑春风。	绿杨烟外晓云轻	人面不知何处去	红杏枝头春意闹	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110101	莫等闲，（），空悲切。	白了少年头	落叶都愁	莫待无花空折枝	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110102	漠漠轻寒上小楼，晓阴无赖似穷秋，（）。	梧桐更兼细雨	淡烟流水画屏幽	惹破画罗轻扇	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110103	（），八千里路云和月。	万里云帆何时到	一蓑烟雨任平生	三十功名尘与土	#	#	#	-1	-1	1	-1	-1	-1	城市科技任务	2
110104	千金纵买相如赋，（）？	何处话凄凉	多情为谁追惜	脉脉此情谁诉	#	#	#	-1	-1	1	-1	-1	-1	城市科技任务	2
110105	（），使我不得开心颜。	安能摧眉折腰事权贵	千古盈亏休问	更消他、几度东风，几度飞花	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110106	今宵酒醒何处，杨柳岸，（）。	莫使金樽空对月	晓风残月	二十四桥明月	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110107	在天愿作比翼鸟，在地愿为连理枝。（），此恨绵绵无绝期！	别有幽愁暗恨生	此情可待成追忆	天长地久有时尽	#	#	#	-1	-1	1	1	-1	-1	城市科技任务	2
110108	山映斜阳天接水，（），更在斜阳外。	云飞烟灭	芳草无情	翠峰如簇	#	#	#	-1	1	-1	-1	-1	-1	城市科技任务	2
110109	（），人比黄花瘦。	秋风原上	芳郊绿遍	帘卷西风	#	#	#	-1	-1	1	-1	-1	-1	城市科技任务	2
110110	（），东风无力百花残。春蚕到死丝方尽，蜡炬成灰泪始干。	相见时难别亦难	明心镜里转朱颜	暮雨朝云去不还	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110111	我欲乘风归去，又恐琼楼玉宇，（）。起舞弄清影，何似在人间。	高处不胜寒	应念岭海经年	长向月圆时候	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110112	拟歌先敛，（），最断人肠。	共临秋镜照憔悴	怕应羞见	欲笑还颦	#	#	#	-1	-1	1	-1	-1	-1	城市科技任务	2
110113	（），乱红飞过秋千去。	泪眼问花花不语	蛾儿雪柳黄金缕	落花风雨更伤春	#	#	#	1	-1	-1	-1	-1	-1	城市科技任务	2
110114	黄河远上白云间，一片孤城万仞山。（），春风不度玉门关。	商女不知亡国恨	羌笛何须怨杨柳	日暮乡关何处是	#	#	#	-1	-1	1	-1	-1	-1	城市科技任务	2
110115	2004年第十三届亚洲杯中国男足主教练是谁？	阿里汉	米卢	霍顿	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110116	中国男足在亚洲杯取得的最好成绩是？	亚军	冠军	季军	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110117	本届亚洲杯中国男足国家队中哪位球员穿9号球衣？	韩鹏	郑智	李玮峰	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110118	本届亚洲杯朱广沪召回了几名现役海外球员？	4名	2名	6名	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110119	1992年第十届亚洲杯的举办地在哪里?	日本	中国	泰国	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110120	2004年第十三届亚洲杯中国男足的主力门将是谁？	刘云飞	李雷雷	王大雷	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110121	2007年是中国男足第几次参加亚洲杯的比赛？	第八次	第五次	第十三次	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110122	1996年第十一届亚洲杯中国男足主教练是谁？	戚务生	朱广沪	沈祥福	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110123	2000年第12届亚洲杯中国男足取得的成绩是？	第四名	冠军	小组未出线	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110124	2007亚洲杯预选赛中国队获得了小组第几名？	第二名	第一名	第三名	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110125	本届亚洲杯的举办地区在哪里？	东南亚	中亚	西亚	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110126	2004年第十三届亚洲杯上中国男足的第一个对手是？	巴林	伊朗	韩国	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110127	在2004年第十三届亚洲杯赛上郑智打什么位置？	后卫	前锋	前腰	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110128	本届亚洲杯中国队的第一场比赛是几月几号？	7月10号	7月23号	7月8号	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110129	2004年第十三届的决赛地是在哪里？	北京	济南	成都	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110130	本届亚洲杯中国足协制定的成绩目标是？	打入四强	冠军	无所谓	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110131	2000年第十二届亚洲杯中国男足国家队的主教练是谁？	米卢	迟尚斌	杜伊	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110132	本届亚洲杯的揭幕战是几月几号？	7月8号	7月9号	7月10号	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110133	本届亚洲杯中国男足所公布的主力队员有几名？	23人	30人	20人	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110134	2004年第十三届亚洲杯赛决赛中国男足对阵日本队的比分是？	1比3	3比1	1比1	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110135	本届男足国家队有几名来自山东鲁能的球员？	4名	5名	6名	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110136	2004年第十三届亚洲杯日本队的主力门将是？	川口能活	中泽佑二	中村俊辅	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110137	本届亚洲杯共有几支东道主球队？	4支	2支	3支	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110138	第一届亚洲杯的举办地是哪里？	香港	韩国	澳门	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110139	2004年第十三届亚洲杯中国男足点球战胜了哪支队伍？	伊朗	日本	巴林	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110140	本届亚洲杯中国男足第一场比赛在哪个国家举行？	马来西亚	泰国	越南	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110141	本届亚洲杯中国男足被分在哪个小组？	C组	A组	D组	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110142	本届亚洲杯中国男足的第一个对手是？	马来西亚	伊朗	乌兹别克斯坦	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110143	2004年第十三届亚洲杯为中国男足打进第一球的是哪名球员？	郑智	韩鹏	邵佳一	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110144	本届亚洲杯郑智的球衣号码是多少？	10号	8号	12号	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110145	本届亚洲杯入选球员最多的俱乐部是哪支？	实德	鲁能	国安	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110146	在本届亚洲杯决赛阶段抽签仪式上代表中国队进行抽签的是谁？	范志毅	郝海东	李明	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110147	本届亚洲杯中有几名国奥球员？	4名	6名	5名	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110148	2004年第十三届亚洲杯中国男足5-0战胜的是哪支队伍？	印度尼西亚	卡塔尔	伊朗	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110149	执法本届亚洲杯决赛阶段比赛的唯一一名中国籍主裁判是谁？	孙葆洁	陆俊	万大雪	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110150	本届亚洲杯的专用球名字是什么？	银翼维罗西	飞火流星	团队之星	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110151	在亚洲杯热身赛中中国男足0-1负于了哪支东南亚球队？	泰国	越南	印尼	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110152	2004年第十三届亚洲杯上郑智的球衣号码是多少？	5号	10号	9号	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110153	本届亚洲杯中国男足1号门将是谁？	李雷雷	陈东	杨君	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110154	2004年第十三届亚洲杯中国队首场对阵巴林队的比分是多少？	2比2	3比1	2比0	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110155	中国男足新任的体能教练是哪国人？	英国	美国	德国	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110156	本届亚洲杯决赛阶段比赛共分为几个小组	4组	2组	6组	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110157	本届亚洲杯中国男足热身赛2-1战胜了哪支球队？	科罗拉多快速队	美国国家队	泰国国家队	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110158	2000年第十二届亚洲杯的举办地是？	黎巴嫩	韩国	中国	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110159	2004年第十三届亚洲杯上中国男足“血染赛场”的是哪位球员？	郝海东	杨晨	李明	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110160	本届亚洲杯决赛阶段比赛共有多少支队伍参赛	16支	12支	14支	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110161	本届亚洲杯决赛阶段比赛的揭幕战在哪里举行？	泰国	印尼	越南	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110162	本届亚洲杯澳大利亚队被分在哪个小组？	A组	C组	D组	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110163	中国男足所在小组中除了伊朗和马来西亚外另一个对手是？	乌兹别克斯坦	沙特	巴林	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110164	中国男足本届亚洲杯预选赛上最后一场比赛结果是？	平	胜	负	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110165	第一届亚洲杯是在哪一年举办的？	1956年	1950年	1954年	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110166	本届亚洲杯大连队有几名球员入选	5名	4名	6名	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110167	孙继海出生于哪一年？	1977年	1980年	1975年	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110168	本届亚洲杯中国男足最年轻的队员是哪名队员？	毛剑卿	周海滨	赵旭日	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110169	本届亚洲杯中国队小组赛最后一个对手是哪支队伍?	乌兹别克斯坦	马来西亚	伊朗	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110170	中国男足第一次组队参加亚洲杯是在哪一年？	1976年	1972年	1980年	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110171	亚洲杯历史中国队最大取胜比分是？	19比0	5比0	10比0	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110172	1992年第十届亚洲杯中国男足的成绩是？	季军	冠军	亚军	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110173	中国男足第一次参加亚洲杯决赛阶段比赛的对手是？	马来西亚	韩国	香港	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110174	2004年第十三届亚洲杯冠军队伍是哪支？	日本	科威特	沙特	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110175	第一届亚洲杯的冠军是哪支队伍？	韩国	日本	伊朗	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110176	亚洲杯历史上三连冠的队伍是哪支？	伊朗	韩国	日本	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110177	亚洲杯历史上中国男足最差成绩是在哪一届取得的？	第七届	第六届	第八届	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110178	本届亚洲杯预选赛中中国队的成绩是？	3胜2平1负	3胜2负	2胜2平2负	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110179	目前男足国家队有几名体能教练？	2名	3名	1名	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110180	本届男足国家队的领队是谁？	蔚少辉	曲晓光	李霄鹏	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110181	本届男足国家队李铁的球衣号码是几号？	8号	6号	4号	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
110182	本届男足国家队中年龄最大的球员是哪名队员？	李铁	李雷雷	孙继海	#	#	#	1	-1	-1	-1	-1	-1	亚洲杯	3
