INT	STRING	INT	INT	INT	INT	INT	INT	INT
10112011	狼皮护腕	46	0	3488	0	0	0	0
10112014	虎皮护腕	34	0	3522	0	0	0	0
10112017	苍蟒护腕	23	0	3545	0	0	0	0
10112020	天璇护腕	11	0	3556	0	0	0	0
10113005	绢丝衣	57	0	3613	0	0	0	0
10113008	绫罗衣	57	0	3670	0	0	0	0
10113011	狼皮衣	46	0	3716	0	0	0	0
10113014	虎皮衣	34	0	3750	0	0	0	0
10113017	苍蟒衣	23	0	3773	0	0	0	0
10113020	天璇衣	11	0	3784	0	0	0	0
10120002	蓝宝项链	57	0	3841	0	0	0	0
10120003	太极护符	57	0	3898	0	0	0	0
10120004	云海链	46	0	3944	0	0	0	0
10120005	琥珀护符	34	0	3978	0	0	0	0
10120006	七情束	23	0	4001	0	0	0	0
10120007	情人泪	11	0	4012	0	0	0	0
10121002	如意腰带	57	0	4069	0	0	0	0
10121003	明蛟腰带	57	0	4126	0	0	0	0
10121004	北斗箍环	46	0	4172	0	0	0	0
10121005	天火环带	34	0	4206	0	0	0	0
10121006	混天环带	23	0	4229	0	0	0	0
10121007	神霄带	11	0	4240	0	0	0	0
10122002	银竹戒指	57	0	4297	0	0	0	0
10122003	百裂戒指	57	0	4354	0	0	0	0
10122004	如意戒指	46	0	4400	0	0	0	0
10122005	流影	34	0	4434	0	0	0	0
10122006	灵韵	23	0	4457	0	0	0	0
10122007	九宫	11	0	4468	0	0	0	0
20308002	刀斧打造图2级	28	0	4496	0	0	0	0
20308003	刀斧打造图3级	28	0	4524	0	0	0	0
20308004	刀斧打造图4级	23	0	4547	0	0	0	0
20308005	刀斧打造图5级	17	1	4564	0	0	0	0
20308006	刀斧打造图6级	11	1	4575	0	0	0	0
20308007	刀斧打造图7级	5	1	4580	0	0	0	0
20308012	枪棒打造图2级	28	0	4608	0	0	0	0
20308013	枪棒打造图3级	28	0	4636	0	0	0	0
20308014	枪棒打造图4级	23	0	4659	0	0	0	0
20308015	枪棒打造图5级	17	1	4676	0	0	0	0
20308016	枪棒打造图6级	11	1	4687	0	0	0	0
20308017	枪棒打造图7级	5	1	4692	0	0	0	0
20308022	单短打造图2级	28	0	4720	0	0	0	0
20308023	单短打造图3级	28	0	4748	0	0	0	0
20308024	单短打造图4级	23	0	4771	0	0	0	0
20308025	单短打造图5级	17	1	4788	0	0	0	0
20308026	单短打造图6级	11	1	4799	0	0	0	0
20308027	单短打造图7级	5	1	4804	0	0	0	0
20308032	双短打造图2级	28	0	4832	0	0	0	0
20308033	双短打造图3级	28	0	4860	0	0	0	0
20308034	双短打造图4级	23	0	4883	0	0	0	0
20308035	双短打造图5级	17	1	4900	0	0	0	0
20308036	双短打造图6级	11	1	4911	0	0	0	0
20308037	双短打造图7级	5	1	4916	0	0	0	0
20308042	扇打造图2级	28	0	4944	0	0	0	0
20308043	扇打造图3级	28	0	4972	0	0	0	0
20308044	扇打造图4级	23	0	4995	0	0	0	0
20308045	扇打造图5级	17	1	5012	0	0	0	0
20308046	扇打造图6级	11	1	5023	0	0	0	0
20308047	扇打造图7级	5	1	5028	0	0	0	0
20308052	环打造图2级	28	0	5056	0	0	0	0
20308053	环打造图3级	28	0	5084	0	0	0	0
20308054	环打造图4级	23	0	5107	0	0	0	0
20308055	环打造图5级	17	1	5124	0	0	0	0
20308056	环打造图6级	11	1	5135	0	0	0	0
20308057	环打造图7级	5	1	5140	0	0	0	0
20308062	帽子打造图2级	28	0	5168	0	0	0	0
20308063	帽子打造图3级	28	0	5196	0	0	0	0
20308064	帽子打造图4级	23	0	5219	0	0	0	0
20308065	帽子打造图5级	17	1	5236	0	0	0	0
20308066	帽子打造图6级	11	1	5247	0	0	0	0
20308067	帽子打造图7级	5	1	5252	0	0	0	0
20308072	衣服打造图2级	28	0	5280	0	0	0	0
20308073	衣服打造图3级	28	0	5308	0	0	0	0
20308074	衣服打造图4级	23	0	5331	0	0	0	0
20308075	衣服打造图5级	17	1	5348	0	0	0	0
20308076	衣服打造图6级	11	1	5359	0	0	0	0
20308077	衣服打造图7级	5	1	5364	0	0	0	0
20308082	护腕打造图2级	28	0	5392	0	0	0	0
20308083	护腕打造图3级	28	0	5420	0	0	0	0
20308084	护腕打造图4级	23	0	5443	0	0	0	0
20308085	护腕打造图5级	17	1	5460	0	0	0	0
20308086	护腕打造图6级	11	1	5471	0	0	0	0
20308087	护腕打造图7级	5	1	5476	0	0	0	0
20308092	鞋子打造图2级	28	0	5504	0	0	0	0
20308093	鞋子打造图3级	28	0	5532	0	0	0	0
20308094	鞋子打造图4级	23	0	5555	0	0	0	0
20308095	鞋子打造图5级	17	1	5572	0	0	0	0
20308096	鞋子打造图6级	11	1	5583	0	0	0	0
20308097	鞋子打造图7级	5	1	5588	0	0	0	0
20308102	项链打造图2级	28	0	5616	0	0	0	0
20308103	项链打造图3级	28	0	5644	0	0	0	0
20308104	项链打造图4级	23	0	5667	0	0	0	0
20308105	项链打造图5级	17	1	5684	0	0	0	0
20308106	项链打造图6级	11	1	5695	0	0	0	0
20308107	项链打造图7级	5	1	5700	0	0	0	0
20308112	戒指打造图2级	28	0	5728	0	0	0	0
20308113	戒指打造图3级	28	0	5756	0	0	0	0
20308114	戒指打造图4级	23	0	5779	0	0	0	0
20308115	戒指打造图5级	17	1	5796	0	0	0	0
20308116	戒指打造图6级	11	1	5807	0	0	0	0
20308117	戒指打造图7级	5	1	5812	0	0	0	0
20308122	腰饰打造图2级	28	0	5840	0	0	0	0
20308123	腰饰打造图3级	28	0	5868	0	0	0	0
20308124	腰饰打造图4级	23	0	5891	0	0	0	0
20308125	腰饰打造图5级	17	1	5908	0	0	0	0
20308126	腰饰打造图6级	11	1	5919	0	0	0	0
20308127	腰饰打造图7级	5	1	5924	0	0	0	0
20109002	竹箭	625	0	6549	0	0	0	0
20109003	牦牛角	625	0	7174	0	0	0	0
20109004	紫竹箭	500	0	7674	0	0	0	0
20109005	玉犀角	375	1	8049	0	0	0	0
20109006	湘妃箭	250	1	8299	0	0	0	0
20109007	浚云之角	125	1	8424	0	0	0	0
50101001	猫眼石（1级）	75	0	8499	0	0	0	0
50101002	虎眼石（1级）	75	0	8574	0	0	0	0
50102001	黄晶石（1级）	75	0	8649	0	0	0	0
50102002	蓝晶石（1级）	75	0	8724	0	0	0	0
50102003	红晶石（1级）	75	0	8799	0	0	0	0
50102004	绿晶石（1级）	75	0	8874	0	0	0	0
50103001	紫玉（1级）	75	0	8949	0	0	0	0
50104002	变石（1级）	75	1	9024	0	0	0	0
50111001	石榴石（1级）	75	0	9099	0	0	0	0
50111002	尖晶石（1级）	75	0	9174	0	0	0	0
50112001	黄玉（1级）	75	0	9249	0	0	0	0
50112002	皓石（1级）	75	0	9324	0	0	0	0
50112003	月光石（1级）	75	0	9399	0	0	0	0
50112004	碧玺（1级）	75	0	9474	0	0	0	0
50113001	黄宝石（1级）	75	0	9549	0	0	0	0
50113002	蓝宝石（1级）	75	0	9624	0	0	0	0
50113003	绿宝石（1级）	75	0	9699	0	0	0	0
50113004	红宝石（1级）	75	0	9774	0	0	0	0
50113005	黑宝石（1级）	75	0	9849	0	0	0	0
50114001	祖母绿（1级）	75	0	9924	0	0	0	0
30304045	相思红豆粥食谱	5	1	9929	0	0	0	0
30304046	水鸭润肺汤食谱	5	1	9934	0	0	0	0
30304047	核桃鸡丁食谱	5	1	9939	0	0	0	0
30304048	鱼香碎白肉食谱	5	1	9944	0	0	0	0
30304049	山椒醉鸡翅食谱	5	1	9949	0	0	0	0
30304050	黄油鲅鱼 食谱	5	1	9954	0	0	0	0
30304051	海带牛肉汤食谱	5	1	9959	0	0	0	0
30304052	干炸鲫鱼食谱	5	1	9964	0	0	0	0
30304053	木耳猪肉片食谱	5	1	9969	0	0	0	0
30304054	烤肉盖饭食谱	2	1	9971	0	0	0	0
30304055	煨烤鲑鱼食谱	2	1	9973	0	0	0	0
30304056	川肉丝食谱	2	1	9975	0	0	0	0
30304057	碗仔翅食谱	2	1	9977	0	0	0	0
30304058	盐煎肉食谱	2	1	9979	0	0	0	0
30304059	麻辣鸭胗食谱	2	1	9981	0	0	0	0
30304060	香菇滑鸡食谱	2	1	9983	0	0	0	0
30304061	翡翠双冬蹄膀食谱	2	1	9985	0	0	0	0
30304062	山椒蒸鲩鱼食谱	2	1	9987	0	0	0	0
30303055	冰龙丹药方	5	1	9992	0	0	0	0
30303056	龟甲散药方	5	1	9997	0	0	0	0
30303057	金雷丸药方	5	1	10002	0	0	0	0
30303058	五毒散药方	5	1	10007	0	0	0	0
30303059	仙丹冰澜药方	2	1	10009	0	0	0	0
30303060	仙丹避邪药方	2	1	10011	0	0	0	0
30303061	仙丹玄炎药方	2	1	10013	0	0	0	0
30303062	仙丹凤珠药方	2	1	10015	0	0	0	0
