INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
742	22	1	682	26	419	519	14	57	1424	612	37	622	662	1351	11202	-1	-1	-1	-1	-1	-1	-1
743	22	1	681	25	415	515	1	80	1423	611	36	621	661	1351	11201	-1	-1	-1	-1	-1	-1	-1
744	22	1	681	25	416	516	1	80	1423	611	36	621	661	1351	11201	-1	-1	-1	-1	-1	-1	-1
745	22	1	681	25	417	517	13	56	1423	611	36	621	661	1351	11201	-1	-1	-1	-1	-1	-1	-1
746	22	1	681	25	418	518	56	68	1423	611	36	621	661	1351	11201	-1	-1	-1	-1	-1	-1	-1
747	22	1	682	26	419	519	57	69	1424	612	37	622	662	1351	11202	-1	-1	-1	-1	-1	-1	-1
748	22	1	682	26	419	519	2	81	1424	612	37	622	662	1351	11202	-1	-1	-1	-1	-1	-1	-1
749	22	1	682	26	420	520	57	69	1424	612	37	622	662	1351	11202	-1	-1	-1	-1	-1	-1	-1
750	22	1	682	26	421	521	69	81	1424	612	37	622	662	1351	11202	-1	-1	-1	-1	-1	-1	-1
751	22	1	682	26	422	522	69	81	1424	612	37	622	662	1351	11202	-1	-1	-1	-1	-1	-1	-1
752	22	1	682	26	423	523	57	69	1424	612	37	622	662	1351	11202	-1	-1	-1	-1	-1	-1	-1
753	26	1	682	26	424	524	57	69	1424	612	37	622	662	1352	11202	-1	-1	-1	-1	-1	-1	-1
754	26	1	682	26	424	524	2	81	1424	612	37	622	662	1352	11202	-1	-1	-1	-1	-1	-1	-1
755	26	1	682	26	425	525	57	69	1424	612	37	622	662	1352	11202	-1	-1	-1	-1	-1	-1	-1
756	26	1	682	26	426	526	57	69	1424	612	37	622	662	1352	11202	-1	-1	-1	-1	-1	-1	-1
757	26	1	682	26	427	527	2	81	1424	612	37	622	662	1352	11202	-1	-1	-1	-1	-1	-1	-1
758	26	1	682	26	428	528	57	69	1424	612	37	622	662	1352	11202	-1	-1	-1	-1	-1	-1	-1
759	26	1	683	27	429	529	58	70	1425	613	38	623	663	1352	11203	-1	-1	-1	-1	-1	-1	-1
760	26	1	683	27	429	529	3	82	1425	613	38	623	663	1352	11203	-1	-1	-1	-1	-1	-1	-1
761	26	1	683	27	430	530	3	82	1425	613	38	623	663	1352	11203	-1	-1	-1	-1	-1	-1	-1
762	26	1	683	27	431	531	3	82	1425	613	38	623	663	1352	11203	-1	-1	-1	-1	-1	-1	-1
763	26	1	683	27	432	532	58	70	1425	613	38	623	663	1352	11203	-1	-1	-1	-1	-1	-1	-1
764	26	1	683	27	433	533	58	70	1425	613	38	623	663	1352	11203	-1	-1	-1	-1	-1	-1	-1
765	32	1	683	27	434	534	58	70	1425	613	38	623	663	1353	11203	-1	-1	-1	-1	-1	-1	-1
766	32	1	683	27	434	534	3	82	1425	613	38	623	663	1353	11203	-1	-1	-1	-1	-1	-1	-1
767	32	1	683	27	435	535	58	70	1425	613	38	623	663	1353	11203	-1	-1	-1	-1	-1	-1	-1
768	32	1	683	27	436	536	58	70	1425	613	38	623	663	1353	11203	-1	-1	-1	-1	-1	-1	-1
769	32	1	683	27	437	537	58	70	1425	613	38	623	663	1353	11203	-1	-1	-1	-1	-1	-1	-1
770	32	1	683	27	438	538	58	70	1425	613	38	623	663	1353	11203	-1	-1	-1	-1	-1	-1	-1
771	32	1	684	28	439	539	59	71	1426	614	39	624	664	1353	11204	-1	-1	-1	-1	-1	-1	-1
772	32	1	684	28	441	541	59	71	1426	614	39	624	664	1353	11204	-1	-1	-1	-1	-1	-1	-1
773	32	1	684	28	440	540	4	83	1426	614	39	624	664	1353	11204	-1	-1	-1	-1	-1	-1	-1
774	32	1	684	28	439	539	59	71	1426	614	39	624	664	1353	11204	-1	-1	-1	-1	-1	-1	-1
775	32	1	684	28	442	542	59	71	1426	614	39	624	664	1353	11204	-1	-1	-1	-1	-1	-1	-1
776	32	1	684	28	443	543	59	71	1426	614	39	624	664	1353	11204	-1	-1	-1	-1	-1	-1	-1
777	41	1	684	28	444	544	59	71	1426	614	39	624	664	1354	11204	-1	-1	-1	-1	-1	-1	-1
778	41	1	684	28	444	544	4	83	1426	614	39	624	664	1354	11204	-1	-1	-1	-1	-1	-1	-1
779	41	1	684	28	445	545	4	83	1426	614	39	624	664	1354	11204	-1	-1	-1	-1	-1	-1	-1
780	41	1	684	28	446	546	59	71	1426	614	39	624	664	1354	11204	-1	-1	-1	-1	-1	-1	-1
781	41	1	684	28	447	547	59	71	1426	614	39	624	664	1354	11204	-1	-1	-1	-1	-1	-1	-1
782	41	1	684	28	448	548	59	71	1426	614	39	624	664	1354	11204	-1	-1	-1	-1	-1	-1	-1
783	41	1	685	29	449	549	60	72	1427	615	40	625	665	1354	-1	-1	-1	-1	-1	-1	-1	-1
784	41	1	685	29	449	549	5	84	1427	615	40	625	665	1354	-1	-1	-1	-1	-1	-1	-1	-1
785	41	1	685	29	450	550	5	84	1427	615	40	625	665	1354	-1	-1	-1	-1	-1	-1	-1	-1
786	41	1	685	29	451	551	60	72	1427	615	40	625	665	1354	-1	-1	-1	-1	-1	-1	-1	-1
787	41	1	685	29	452	552	60	72	1427	615	40	625	665	1354	-1	-1	-1	-1	-1	-1	-1	-1
788	41	1	685	29	453	553	60	72	1427	615	40	625	665	1354	-1	-1	-1	-1	-1	-1	-1	-1
789	52	1	685	29	454	554	60	72	1427	615	40	625	665	1355	-1	-1	-1	-1	-1	-1	-1	-1
790	52	1	685	29	454	554	5	84	1427	615	40	625	665	1355	-1	-1	-1	-1	-1	-1	-1	-1
791	52	1	685	29	455	555	5	84	1427	615	40	625	665	1355	-1	-1	-1	-1	-1	-1	-1	-1
792	52	1	685	29	456	556	17	60	1427	615	40	625	665	1355	-1	-1	-1	-1	-1	-1	-1	-1
793	52	1	685	29	457	557	17	60	1427	615	40	625	665	1355	-1	-1	-1	-1	-1	-1	-1	-1
794	52	1	685	29	458	558	17	60	1427	615	40	625	665	1355	-1	-1	-1	-1	-1	-1	-1	-1
795	66	1	686	30	459	559	18	61	1428	616	41	626	666	1355	-1	-1	-1	-1	-1	-1	-1	-1
796	66	1	686	30	459	559	6	85	1428	616	41	626	666	1355	-1	-1	-1	-1	-1	-1	-1	-1
797	66	1	686	30	460	560	6	85	1428	616	41	626	666	1355	-1	-1	-1	-1	-1	-1	-1	-1
798	66	1	686	30	461	561	61	73	1428	616	41	626	666	1355	-1	-1	-1	-1	-1	-1	-1	-1
799	66	1	686	30	462	562	61	73	1428	616	41	626	666	1355	-1	-1	-1	-1	-1	-1	-1	-1
800	66	1	686	30	463	563	61	73	1428	616	41	626	666	1355	-1	-1	-1	-1	-1	-1	-1	-1
801	84	1	686	30	464	564	61	73	1428	616	41	626	666	1356	-1	-1	-1	-1	-1	-1	-1	-1
802	84	1	686	30	464	564	6	85	1428	616	41	626	666	1356	-1	-1	-1	-1	-1	-1	-1	-1
803	84	1	686	30	465	565	61	73	1428	616	41	626	666	1356	-1	-1	-1	-1	-1	-1	-1	-1
804	84	1	686	30	466	566	61	73	1428	616	41	626	666	1356	-1	-1	-1	-1	-1	-1	-1	-1
805	84	1	686	30	467	567	61	73	1428	616	41	626	666	1356	-1	-1	-1	-1	-1	-1	-1	-1
806	84	1	686	30	468	568	61	73	1428	616	41	626	666	1356	-1	-1	-1	-1	-1	-1	-1	-1
807	107	1	687	31	469	569	62	74	1429	617	42	627	667	1356	-1	-1	-1	-1	-1	-1	-1	-1
808	107	1	687	31	469	569	7	86	1429	617	42	627	667	1356	-1	-1	-1	-1	-1	-1	-1	-1
809	107	1	687	31	470	570	19	62	1429	617	42	627	667	1356	-1	-1	-1	-1	-1	-1	-1	-1
810	107	1	687	31	471	571	19	62	1429	617	42	627	667	1356	-1	-1	-1	-1	-1	-1	-1	-1
811	107	1	687	31	472	572	19	62	1429	617	42	627	667	1356	-1	-1	-1	-1	-1	-1	-1	-1
812	107	1	687	31	473	573	19	62	1429	617	42	627	667	1356	-1	-1	-1	-1	-1	-1	-1	-1
813	134	1	687	31	474	574	19	62	1429	617	42	627	667	1517	-1	-1	-1	-1	-1	-1	-1	-1
814	134	1	687	31	474	574	7	86	1429	617	42	627	667	1517	-1	-1	-1	-1	-1	-1	-1	-1
815	134	1	687	31	475	575	7	86	1429	617	42	627	667	1517	-1	-1	-1	-1	-1	-1	-1	-1
816	134	1	687	31	476	576	62	74	1429	617	42	627	667	1517	-1	-1	-1	-1	-1	-1	-1	-1
817	134	1	687	31	477	577	62	74	1429	617	42	627	667	1517	-1	-1	-1	-1	-1	-1	-1	-1
818	134	1	687	31	478	578	62	74	1429	617	42	627	667	1517	-1	-1	-1	-1	-1	-1	-1	-1
819	166	1	688	32	479	579	63	87	1430	618	43	628	668	1518	-1	-1	-1	-1	-1	-1	-1	-1
820	166	1	688	32	479	579	8	87	1430	618	43	628	668	1518	-1	-1	-1	-1	-1	-1	-1	-1
821	166	1	688	32	480	580	63	75	1430	618	43	628	668	1518	-1	-1	-1	-1	-1	-1	-1	-1
822	166	1	688	32	481	581	20	63	1430	618	43	628	668	1518	-1	-1	-1	-1	-1	-1	-1	-1
823	166	1	688	32	482	582	63	75	1430	618	43	628	668	1518	-1	-1	-1	-1	-1	-1	-1	-1
824	166	1	688	32	483	583	63	75	1430	618	43	628	668	1518	-1	-1	-1	-1	-1	-1	-1	-1
825	166	1	688	32	483	583	8	87	1430	618	43	628	668	1518	-1	-1	-1	-1	-1	-1	-1	-1
826	204	1	688	32	484	584	8	87	1430	618	43	628	668	-1	-1	-1	-1	-1	-1	-1	-1	-1
827	204	1	688	32	485	585	63	75	1430	618	43	628	668	-1	-1	-1	-1	-1	-1	-1	-1	-1
828	204	1	688	32	486	586	63	75	1430	618	43	628	668	-1	-1	-1	-1	-1	-1	-1	-1	-1
829	204	1	688	32	487	587	63	75	1430	618	43	628	668	-1	-1	-1	-1	-1	-1	-1	-1	-1
830	247	1	689	33	489	589	9	88	1431	44	629	669	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
831	204	1	688	32	487	587	8	87	1430	618	43	628	668	-1	-1	-1	-1	-1	-1	-1	-1	-1
832	204	1	688	32	488	588	75	87	1430	618	43	628	668	9092	-1	-1	-1	-1	-1	-1	-1	-1
833	247	1	689	33	490	590	76	88	1431	44	629	669	9092	-1	-1	-1	-1	-1	-1	-1	-1	-1
834	247	1	689	33	491	591	76	88	1431	44	629	669	9092	-1	-1	-1	-1	-1	-1	-1	-1	-1
835	247	1	689	33	491	591	9	88	1431	44	629	669	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
836	247	1	689	33	492	592	64	76	1431	44	629	669	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
837	247	1	689	33	493	593	64	76	1431	44	629	669	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
838	297	1	689	33	494	594	64	76	1431	44	629	669	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
839	297	1	689	33	495	595	64	76	1431	44	629	669	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
840	297	1	689	33	495	595	9	88	1431	44	629	669	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
841	297	1	689	33	496	596	21	88	1431	44	629	669	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
842	297	1	689	33	497	597	21	88	1431	44	629	669	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
843	297	1	689	33	498	598	21	88	1431	44	629	669	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
844	354	1	689	34	499	599	22	89	1431	44	629	669	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
845	354	1	689	34	499	599	10	89	1431	44	629	669	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
846	354	1	689	34	499	599	65	89	1431	44	629	669	9092	-1	-1	-1	-1	-1	-1	-1	-1	-1
847	354	1	689	34	499	599	10	89	1431	44	629	669	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
848	354	1	689	34	499	599	65	89	1431	44	629	669	9092	-1	-1	-1	-1	-1	-1	-1	-1	-1
849	354	1	689	34	499	599	65	89	1431	44	629	669	9092	-1	-1	-1	-1	-1	-1	-1	-1	-1
850	26	1	682	662	26	425	525	57	69	1424	612	37	622	670	674	-1	-1	-1	-1	-1	-1	-1
851	32	1	683	663	27	435	535	58	70	1425	613	38	623	671	675	-1	-1	-1	-1	-1	-1	-1
852	52	1	685	665	29	450	550	60	72	1426	615	40	625	672	676	-1	-1	-1	-1	-1	-1	-1
853	41	1	684	664	28	445	545	59	71	1427	614	39	624	673	677	-1	-1	-1	-1	-1	-1	-1
854	22	1	25	416	516	56	68	1423	611	36	621	661	681	1311	1312	11201	-1	-1	-1	-1	-1	-1
855	22	1	25	417	517	56	68	1423	611	36	621	661	681	740	750	1311	1312	11201	-1	-1	-1	-1
856	22	1	26	419	519	57	69	1424	612	37	622	662	682	1311	1312	11202	-1	-1	-1	-1	-1	-1
857	22	1	26	420	520	57	69	1424	612	37	622	662	682	740	750	1311	1312	11202	-1	-1	-1	-1
858	22	1	26	422	522	14	57	1424	612	37	622	662	682	1311	1312	1313	11202	-1	-1	-1	-1	-1
859	22	1	26	423	523	14	57	1424	612	37	622	662	682	740	750	1311	1312	1313	11202	-1	-1	-1
860	26	1	26	425	525	57	69	1424	612	37	622	662	682	1311	1312	1313	11202	-1	-1	-1	-1	-1
861	26	1	26	426	526	57	69	1424	612	37	622	662	682	740	750	1311	1312	1313	11202	-1	-1	-1
862	26	1	26	428	528	14	57	1424	612	37	622	662	682	1311	1312	1313	11202	-1	-1	-1	-1	-1
863	26	1	27	429	529	15	58	1425	613	38	623	663	683	740	1311	1312	1313	11203	-1	-1	-1	-1
864	22	1	25	417	517	1	80	1453	611	36	621	661	681	760	11201	-1	-1	-1	-1	-1	-1	-1
865	22	1	26	420	520	2	81	1454	612	37	622	662	682	760	11202	-1	-1	-1	-1	-1	-1	-1
866	26	1	26	423	523	2	81	1454	612	37	622	662	682	760	1317	1318	1319	11202	-1	-1	-1	-1
867	26	1	26	426	526	2	81	1454	612	37	622	662	682	760	1317	1318	1319	11202	-1	-1	-1	-1
868	26	1	27	429	529	3	82	1455	613	38	623	663	683	760	1317	1318	1319	1335	1481	1721	11203	-1
869	6	1	778	779	781	790	791	26	422	522	2	81	1464	1856	37	622	662	682	1350	1712	-1	-1
870	6	1	778	779	782	790	791	27	432	532	3	82	1465	1857	38	623	663	683	1350	1713	-1	-1
871	6	1	778	779	783	790	791	28	442	542	59	71	1466	1858	39	624	664	684	1350	1714	-1	-1
872	6	1	778	779	784	790	791	29	452	552	17	60	1467	615	40	625	665	685	1350	1715	-1	-1
873	6	1	778	779	785	790	791	30	462	562	6	85	1468	616	41	626	666	686	1350	1716	-1	-1
874	6	1	778	779	786	790	791	31	472	572	74	86	1469	617	42	627	667	687	1350	1717	-1	-1
875	6	1	778	779	787	790	791	32	482	582	75	87	1470	618	43	628	668	688	1350	1718	-1	-1
876	6	1	778	779	788	790	791	33	492	592	21	64	1471	44	629	669	689	1350	1719	-1	-1	-1
877	6	1	778	779	789	790	791	34	499	599	22	65	1471	44	629	669	689	1350	9118	-1	-1	-1
878	27	1	1407	1408	1409	1410	1411	1469	1708	1907	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
879	27	1	1407	1408	1571	1410	1411	1572	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
880	27	1	1407	1466	1859	1860	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
882	27	1	1455	1482	1907	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
883	27	1	1455	1483	1907	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
884	15	1	1407	1457	1543	1544	1545	1546	1732	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
885	8	1	1407	1457	1543	1544	1545	1546	1733	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
886	13	0	685	665	625	40	29	1427	615	454	554	60	72	955	1055	1155	851	1488	1507	2000	-1	-1
887	13	0	685	665	625	40	29	1427	615	454	554	60	72	955	1055	1155	851	1488	1507	2000	-1	-1
888	13	0	685	665	625	40	29	1427	615	454	554	60	72	955	1055	1155	851	1488	1507	2000	-1	-1
889	13	0	685	665	625	40	29	1427	615	454	554	60	72	955	1055	1155	851	1488	1507	2000	-1	-1
890	26	1	1220	1230	1240	1280	1200	1570	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
900	4	0	1340	680	660	620	35	24	610	400	500	0	79	11200	-1	-1	-1	-1	-1	-1	-1	-1
901	4	0	1340	680	660	620	35	24	610	401	501	0	79	11200	-1	-1	-1	-1	-1	-1	-1	-1
902	4	0	1340	680	660	620	35	24	610	402	502	0	79	11200	-1	-1	-1	-1	-1	-1	-1	-1
903	4	0	1340	680	660	620	35	24	610	403	503	0	79	11200	-1	-1	-1	-1	-1	-1	-1	-1
904	4	0	1340	680	660	620	35	24	610	404	504	0	79	11200	-1	-1	-1	-1	-1	-1	-1	-1
905	4	0	1340	680	660	620	35	24	610	405	505	0	79	11200	-1	-1	-1	-1	-1	-1	-1	-1
906	4	0	1340	680	660	620	35	24	610	406	506	0	79	11200	-1	-1	-1	-1	-1	-1	-1	-1
907	4	0	1340	680	660	620	35	24	610	407	507	0	79	11200	-1	-1	-1	-1	-1	-1	-1	-1
908	4	0	1340	680	660	620	35	24	610	408	508	12	55	11200	-1	-1	-1	-1	-1	-1	-1	-1
909	5	0	1341	681	661	621	36	25	601	611	409	509	13	56	1110	1503	11201	-1	-1	-1	-1	-1
910	4	0	1340	680	660	620	35	24	610	400	500	0	79	11200	-1	-1	-1	-1	-1	-1	-1	-1
911	4	0	1340	680	660	620	35	24	610	401	501	0	79	11200	-1	-1	-1	-1	-1	-1	-1	-1
912	4	0	1340	680	660	620	35	24	610	402	502	0	79	11200	-1	-1	-1	-1	-1	-1	-1	-1
913	4	0	1340	680	660	620	35	24	610	403	503	0	79	11200	-1	-1	-1	-1	-1	-1	-1	-1
914	4	0	1340	680	660	620	35	24	610	404	504	12	55	11200	-1	-1	-1	-1	-1	-1	-1	-1
915	4	0	1340	680	660	620	35	24	610	405	505	12	55	11200	-1	-1	-1	-1	-1	-1	-1	-1
916	4	0	1340	680	660	620	35	24	610	406	506	55	67	11200	-1	-1	-1	-1	-1	-1	-1	-1
917	4	0	1340	680	660	620	35	24	610	407	507	55	67	11200	-1	-1	-1	-1	-1	-1	-1	-1
918	4	0	1340	680	660	620	35	24	610	408	508	12	55	11200	-1	-1	-1	-1	-1	-1	-1	-1
919	5	0	1341	681	661	621	36	25	601	611	409	509	13	56	1110	1503	11201	-1	-1	-1	-1	-1
920	5	0	1341	681	661	621	36	25	601	611	410	510	1	80	1111	1484	1503	11201	-1	-1	-1	-1
921	5	0	1341	681	661	621	36	25	601	611	411	511	1	80	1112	1484	1503	11201	-1	-1	-1	-1
922	5	0	1341	681	661	621	36	25	601	611	411	511	13	56	1112	1484	1503	11201	-1	-1	-1	-1
923	5	0	1341	681	661	621	36	25	601	611	412	512	13	56	1113	1484	1503	11201	-1	-1	-1	-1
924	5	0	1341	681	661	621	36	25	601	611	412	512	1	80	1113	1484	1503	11201	-1	-1	-1	-1
925	5	0	1341	681	661	621	36	25	601	611	413	513	1	80	1114	1484	1503	11201	-1	-1	-1	-1
926	5	0	1341	681	661	621	36	25	601	611	413	513	56	68	1114	1484	1503	11201	-1	-1	-1	-1
927	5	0	1341	681	661	621	36	25	601	611	414	514	56	68	1115	1484	1503	11201	-1	-1	-1	-1
928	5	0	1341	681	661	621	36	25	601	611	414	514	1	80	1115	1484	1503	11201	-1	-1	-1	-1
929	5	0	1341	681	661	621	36	25	601	611	415	515	1	80	1116	1484	1503	11201	-1	-1	-1	-1
930	5	0	1341	681	661	621	36	25	601	611	410	510	56	68	1111	1484	1503	11201	-1	-1	-1	-1
931	5	0	1341	681	661	621	36	25	601	611	411	511	56	68	1112	1484	1503	11201	-1	-1	-1	-1
932	5	0	1341	681	661	621	36	25	601	611	411	511	1	80	1112	1484	1503	11201	-1	-1	-1	-1
933	5	0	1341	681	661	621	36	25	601	611	412	512	1	80	1113	1484	1503	11201	-1	-1	-1	-1
934	5	0	1341	681	661	621	36	25	601	611	412	512	1	80	1113	1484	1503	11201	-1	-1	-1	-1
935	5	0	1341	681	661	621	36	25	601	611	413	513	1	80	1114	1484	1503	11201	-1	-1	-1	-1
936	5	0	1341	681	661	621	36	25	601	611	413	513	68	80	1114	1484	1503	11201	-1	-1	-1	-1
937	5	0	1341	681	661	621	36	25	601	611	414	514	68	80	1115	1484	1503	11201	-1	-1	-1	-1
938	5	0	1341	681	661	621	36	25	601	611	414	514	68	80	1115	1484	1503	11201	-1	-1	-1	-1
939	5	0	1341	681	661	621	36	25	601	611	415	515	68	80	1116	1484	1503	11201	-1	-1	-1	-1
940	5	0	1341	681	661	621	36	25	601	611	415	515	1	80	1116	1484	1503	11201	-1	-1	-1	-1
941	5	0	1341	681	661	621	36	25	601	611	416	516	1	80	1117	1484	1503	11201	-1	-1	-1	-1
942	5	0	1341	681	661	621	36	25	601	611	416	516	13	56	1117	1484	1503	11201	-1	-1	-1	-1
943	5	0	1341	681	661	621	36	25	601	611	417	517	13	56	1118	1484	1503	11201	-1	-1	-1	-1
944	5	0	1341	681	661	621	36	25	601	611	417	517	1	80	1118	1484	1503	11201	-1	-1	-1	-1
945	5	0	1341	681	661	621	36	25	601	611	418	518	1	80	1119	1484	1503	11201	-1	-1	-1	-1
946	5	0	1341	681	661	621	36	25	601	611	418	518	13	56	1119	1484	1503	11201	-1	-1	-1	-1
947	6	0	1342	682	662	622	37	26	602	612	419	519	14	57	920	1020	1120	1485	1504	2000	11202	-1
948	6	0	1342	682	662	622	37	26	602	612	419	519	14	57	920	1020	1120	1485	1504	2000	11202	-1
949	6	0	1342	682	662	622	37	26	602	612	420	520	14	57	921	1021	1121	1485	1504	2000	11202	-1
950	5	0	1341	681	661	621	36	25	601	611	415	515	1	80	1116	1484	1503	11201	-1	-1	-1	-1
951	5	0	1341	681	661	621	36	25	601	611	416	516	1	80	1117	1484	1503	11201	-1	-1	-1	-1
952	5	0	1341	681	661	621	36	25	601	611	416	516	1	80	1117	1484	1503	11201	-1	-1	-1	-1
953	5	0	1341	681	661	621	36	25	601	611	417	517	1	80	1118	1484	1503	11201	-1	-1	-1	-1
