INT	INT	INT	INT	INT	INT	INT	STRING
230	4	50602004	1	200	0	1	六合转蛋(西)
231	4	50621001	1	100	0	1	六合转蛋(西)
232	4	50621002	1	100	0	1	六合转蛋(西)
233	4	50621003	1	100	0	1	六合转蛋(西)
234	4	50621004	1	100	0	1	六合转蛋(西)
235	4	30504103	1	500	0	1	六合转蛋(西)
236	5	30700203	4	159800	0	0	六合转蛋(南)
237	5	20307001	1	100000	0	0	六合转蛋(南)
238	5	30501167	2	50000	0	0	六合转蛋(南)
239	5	30501358	2	50000	0	0	六合转蛋(南)
240	5	30501356	2	50000	0	0	六合转蛋(南)
241	5	30501169	15	150000	0	0	六合转蛋(南)
242	5	30502002	5	20000	0	0	六合转蛋(南)
243	5	30607001	1	80000	0	0	六合转蛋(南)
244	5	31000001	1	80000	0	0	六合转蛋(南)
245	5	31000003	1	80000	0	0	六合转蛋(南)
246	5	50301001	1	1000	0	1	六合转蛋(南)
247	5	50301002	1	1000	0	1	六合转蛋(南)
248	5	50302001	1	1000	0	1	六合转蛋(南)
249	5	50302002	1	1000	0	1	六合转蛋(南)
250	5	50302003	1	1000	0	1	六合转蛋(南)
251	5	50302004	1	1000	0	1	六合转蛋(南)
252	5	50303001	1	1000	0	1	六合转蛋(南)
253	5	50304002	1	1000	0	1	六合转蛋(南)
254	5	50311001	1	1000	0	1	六合转蛋(南)
255	5	50311002	1	1000	0	1	六合转蛋(南)
256	5	50313001	1	1000	0	1	六合转蛋(南)
257	5	50313002	1	1000	0	1	六合转蛋(南)
258	5	50313003	1	1000	0	1	六合转蛋(南)
259	5	50313004	1	1000	0	1	六合转蛋(南)
260	5	50313005	1	1000	0	1	六合转蛋(南)
261	5	50314001	1	1000	0	1	六合转蛋(南)
262	5	30402096	1	5000	0	1	六合转蛋(南)
263	5	30402097	1	5000	0	1	六合转蛋(南)
264	5	30402098	1	5000	0	1	六合转蛋(南)
265	5	30402099	1	5000	0	1	六合转蛋(南)
266	5	30402051	1	4000	0	1	六合转蛋(南)
267	5	30402052	1	4000	0	1	六合转蛋(南)
268	5	30402053	1	4000	0	1	六合转蛋(南)
269	5	30402054	1	4000	0	1	六合转蛋(南)
270	5	30402012	1	3000	0	1	六合转蛋(南)
271	5	30402014	1	3000	0	1	六合转蛋(南)
272	5	30402016	1	3000	0	1	六合转蛋(南)
273	5	30402018	1	3000	0	1	六合转蛋(南)
274	5	30402020	1	3000	0	1	六合转蛋(南)
275	5	30402068	1	3000	0	1	六合转蛋(南)
276	5	30402070	1	3000	0	1	六合转蛋(南)
277	5	30402074	1	3000	0	1	六合转蛋(南)
278	5	30402062	1	3000	0	1	六合转蛋(南)
279	5	30501171	1	50000	0	1	六合转蛋(南)
280	5	10124101	1	10000	0	1	六合转蛋(南)
281	5	30008048	1	40000	0	1	六合转蛋(南)
282	5	30505907	1	100	0	1	六合转蛋(南)
283	5	10141145	1	100	0	1	六合转蛋(南)
284	5	30402021	1	100	0	1	六合转蛋(南)
285	5	50621001	1	100	0	1	六合转蛋(南)
286	5	50621002	1	100	0	1	六合转蛋(南)
287	5	50621003	1	100	0	1	六合转蛋(南)
288	5	50621004	1	100	0	1	六合转蛋(南)
289	5	30504104	1	500	0	1	六合转蛋(南)
290	6	30700203	4	174400	0	0	六合转蛋(下)
291	6	20307001	1	100000	0	0	六合转蛋(下)
292	6	30501167	2	80000	0	0	六合转蛋(下)
293	6	30501358	2	80000	0	0	六合转蛋(下)
294	6	30501356	2	80000	0	0	六合转蛋(下)
295	6	30501169	15	150000	0	0	六合转蛋(下)
296	6	30502002	5	20000	0	0	六合转蛋(下)
297	6	30607001	1	80000	0	0	六合转蛋(下)
298	6	31000001	1	80000	0	0	六合转蛋(下)
299	6	31000003	1	80000	0	0	六合转蛋(下)
300	6	50301001	1	1000	0	1	六合转蛋(下)
301	6	50301002	1	1000	0	1	六合转蛋(下)
302	6	50302001	1	1000	0	1	六合转蛋(下)
303	6	50302002	1	1000	0	1	六合转蛋(下)
304	6	50302003	1	1000	0	1	六合转蛋(下)
305	6	50302004	1	1000	0	1	六合转蛋(下)
306	6	50303001	1	1000	0	1	六合转蛋(下)
307	6	50304002	1	1000	0	1	六合转蛋(下)
308	6	50311001	1	1000	0	1	六合转蛋(下)
309	6	50311002	1	1000	0	1	六合转蛋(下)
310	6	50313001	1	1000	0	1	六合转蛋(下)
311	6	50313002	1	1000	0	1	六合转蛋(下)
312	6	50313003	1	1000	0	1	六合转蛋(下)
313	6	50313005	1	1000	0	1	六合转蛋(下)
314	6	50314001	1	1000	0	1	六合转蛋(下)
315	6	30008048	1	40000	0	1	六合转蛋(下)
316	6	10141133	1	10000	0	1	六合转蛋(下)
317	6	10124022	1	10000	0	1	六合转蛋(下)
318	6	30309605	1	100	0	1	六合转蛋(下)
319	6	30504106	1	500	0	1	六合转蛋(下)
320	7	30700203	4	184860	0	0	六合转蛋(上)
321	7	20307001	1	150000	0	0	六合转蛋(上)
322	7	30501167	2	50000	0	0	六合转蛋(上)
323	7	30501358	2	50000	0	0	六合转蛋(上)
324	7	30501356	2	50000	0	0	六合转蛋(上)
325	7	30501169	15	180000	0	0	六合转蛋(上)
326	7	30502002	5	20000	0	0	六合转蛋(上)
327	7	30607001	1	80000	0	0	六合转蛋(上)
328	7	31000001	1	80000	0	0	六合转蛋(上)
329	7	31000003	1	80000	0	0	六合转蛋(上)
330	7	50301001	1	1000	0	1	六合转蛋(上)
331	7	50301002	1	1000	0	1	六合转蛋(上)
332	7	50302001	1	1000	0	1	六合转蛋(上)
333	7	50302002	1	1000	0	1	六合转蛋(上)
334	7	50302003	1	1000	0	1	六合转蛋(上)
335	7	50302004	1	1000	0	1	六合转蛋(上)
336	7	50303001	1	1000	0	1	六合转蛋(上)
337	7	50304002	1	1000	0	1	六合转蛋(上)
338	7	50311001	1	1000	0	1	六合转蛋(上)
339	7	50311002	1	1000	0	1	六合转蛋(上)
340	7	50313001	1	1000	0	1	六合转蛋(上)
341	7	50313002	1	1000	0	1	六合转蛋(上)
342	7	50313003	1	1000	0	1	六合转蛋(上)
343	7	50313005	1	1000	0	1	六合转蛋(上)
344	7	50314001	1	1000	0	1	六合转蛋(上)
345	7	30008048	1	40000	0	1	六合转蛋(上)
346	7	10141133	1	10000	0	1	六合转蛋(上)
347	7	10124022	1	10000	0	1	六合转蛋(上)
348	7	30309605	1	100	0	1	六合转蛋(上)
349	7	30504105	1	40	0	1	六合转蛋(上)
350	8	30503019	1	12420	0	0	神玉盒
351	8	30502000	10	50000	0	0	神玉盒
352	8	30502001	10	50000	0	0	神玉盒
353	8	30502002	10	50000	0	0	神玉盒
354	8	30501167	2	80000	0	0	神玉盒
355	8	30501358	2	80000	0	0	神玉盒
356	8	30501356	2	80000	0	0	神玉盒
357	8	30503119	1	100000	0	1	神玉盒
358	8	30503120	1	100000	0	1	神玉盒
359	8	20310020	10	200000	0	1	神玉盒
360	8	10124154	1	50000	0	1	神玉盒
361	8	10141140	1	50000	0	1	神玉盒
362	8	10141136	1	50000	0	1	神玉盒
363	8	30309683	1	5000	0	1	神玉盒
364	8	30309161	1	10000	0	1	神玉盒
365	8	30309174	1	10000	0	1	神玉盒
366	8	50301001	1	500	0	1	神玉盒
367	8	50301002	1	500	0	1	神玉盒
368	8	50302001	1	500	0	1	神玉盒
369	8	50302002	1	500	0	1	神玉盒
370	8	50302003	1	500	0	1	神玉盒
371	8	50302004	1	500	0	1	神玉盒
372	8	50303001	1	2000	0	1	神玉盒
373	8	50304002	1	2000	0	1	神玉盒
374	8	50311001	1	2000	0	1	神玉盒
375	8	50311002	1	2000	0	1	神玉盒
376	8	50313001	1	2000	0	1	神玉盒
377	8	50313002	1	2000	0	1	神玉盒
378	8	50313003	1	2000	0	1	神玉盒
379	8	50313005	1	2000	0	1	神玉盒
380	8	50314001	1	2000	0	1	神玉盒
381	8	50321001	1	300	0	1	神玉盒
382	8	50321002	1	300	0	1	神玉盒
383	8	50321003	1	300	0	1	神玉盒
384	8	50321004	1	300	0	1	神玉盒
385	8	30402021	1	300	0	1	神玉盒
386	8	50621001	1	20	0	1	神玉盒
387	8	50621002	1	20	0	1	神玉盒
388	8	50621003	1	20	0	1	神玉盒
389	8	50621004	1	20	0	1	神玉盒
