INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
251	战场_杀气(>=60&&<80)_怪物	0	0	0	0	1%	1%	0	0	0	0
252	战场_杀气(>=60&&<80)_玩家	0	0	0	0	1%	1%	0	0	0	0
260	战场_杀气(>=80)_切磋	0	0	0	0	0	0	0	0	0	0
261	战场_杀气(>=80)_怪物	0	0	0	0	1%	1%	0	0	0	0
262	战场_杀气(>=80)_玩家	0	0	0	0	1%	1%	0	0	0	0
300	擂台_新手_切磋	0	0	0	0	0	0	0	0	0	0
301	擂台_新手_怪物	0	0	0	0	1%	1%	0	0	0	0
302	擂台_新手_玩家	0	0	0	0	1%	1%	0	0	0	0
310	擂台_杀气(=0)_切磋	0	0	0	0	0	0	0	0	0	0
311	擂台_杀气(=0)_怪物	0	0	0	0	1%	1%	0	0	0	0
312	擂台_杀气(=0)_玩家	0	0	0	0	1%	1%	0	0	0	0
320	擂台_杀气(>=1&&<20)_切磋	0	0	0	0	0	0	0	0	0	0
321	擂台_杀气(>=1&&<20)_怪物	0	0	0	0	1%	1%	0	0	0	0
322	擂台_杀气(>=1&&<20)_玩家	0	0	0	0	1%	1%	0	0	0	0
330	擂台_杀气(>=20&&<40)_切磋	0	0	0	0	0	0	0	0	0	0
331	擂台_杀气(>=20&&<40)_怪物	0	0	0	0	1%	1%	0	0	0	0
332	擂台_杀气(>=20&&<40)_玩家	0	0	0	0	1%	1%	0	0	0	0
340	擂台_杀气(>=40&&<60)_切磋	0	0	0	0	0	0	0	0	0	0
341	擂台_杀气(>=40&&<60)_怪物	0	0	0	0	1%	1%	0	0	0	0
342	擂台_杀气(>=40&&<60)_玩家	0	0	0	0	1%	1%	0	0	0	0
350	擂台_杀气(>=60&&<80)_切磋	0	0	0	0	0	0	0	0	0	0
351	擂台_杀气(>=60&&<80)_怪物	0	0	0	0	1%	1%	0	0	0	0
352	擂台_杀气(>=60&&<80)_玩家	0	0	0	0	1%	1%	0	0	0	0
360	擂台_杀气(>=80)_切磋	0	0	0	0	0	0	0	0	0	0
361	擂台_杀气(>=80)_怪物	0	0	0	0	1%	1%	0	0	0	0
362	擂台_杀气(>=80)_玩家	0	0	0	0	1%	1%	0	0	0	0
400	活动_新手_切磋	0	0	0	0	0	0	0	0	0	0
401	活动_新手_怪物	0	0	0	0	1%	1%	0	0	0	0
402	活动_新手_玩家	0	0	0	0	1%	1%	0	0	0	0
410	活动_杀气(=0)_切磋	0	0	0	0	0	0	0	0	0	0
411	活动_杀气(=0)_怪物	0	0	0	0	1%	1%	0	0	0	0
412	活动_杀气(=0)_玩家	0	0	0	0	1%	1%	0	0	0	0
420	活动_杀气(>=1&&<20)_切磋	0	0	0	0	0	0	0	0	0	0
421	活动_杀气(>=1&&<20)_怪物	0	0	0	0	1%	1%	0	0	0	0
422	活动_杀气(>=1&&<20)_玩家	0	0	0	0	1%	1%	0	0	0	0
430	活动_杀气(>=20&&<40)_切磋	0	0	0	0	0	0	0	0	0	0
431	活动_杀气(>=20&&<40)_怪物	0	0	0	0	1%	1%	0	0	0	0
432	活动_杀气(>=20&&<40)_玩家	0	0	0	0	1%	1%	0	0	0	0
440	活动_杀气(>=40&&<60)_切磋	0	0	0	0	0	0	0	0	0	0
441	活动_杀气(>=40&&<60)_怪物	0	0	0	0	1%	1%	0	0	0	0
442	活动_杀气(>=40&&<60)_玩家	0	0	0	0	1%	1%	0	0	0	0
450	活动_杀气(>=60&&<80)_切磋	0	0	0	0	0	0	0	0	0	0
451	活动_杀气(>=60&&<80)_怪物	0	0	0	0	1%	1%	0	0	0	0
452	活动_杀气(>=60&&<80)_玩家	0	0	0	0	1%	1%	0	0	0	0
460	活动_杀气(>=80)_切磋	0	0	0	0	0	0	0	0	0	0
461	活动_杀气(>=80)_怪物	0	0	0	0	1%	1%	0	0	0	0
462	活动_杀气(>=80)_玩家	0	0	0	0	1%	1%	0	0	0	0
