INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10	10	20	30	40	50	60	70	80	-1	90	100	110	120	120	120	120	120	-1	-1	80	80	80	80	80	80	240	80	80	80	80	80	190	80	390	130	80	80	80	90	90	90	90	90	90	250	90	90	90	90	90	200	90	400	140	90	90	90	100	100	100	100	100	100	260	100	100	100	100	100	210	100	410	150	100	100	100	110	110	110	110	110	110	270	110	110	110	110	110	220	110	420	160	110	110	110	120	120	120	120	120	120	280	120	120	120	120	120	230	120	430	170	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120
11	11	21	31	41	51	61	71	81	-1	91	101	111	121	121	121	121	121	-1	-1	81	81	81	81	81	81	241	81	81	81	81	81	191	81	391	131	81	81	81	91	91	91	91	91	91	251	91	91	91	91	91	201	91	401	141	91	91	91	101	101	101	101	101	101	261	101	101	101	101	101	211	101	411	151	101	101	101	111	111	111	111	111	111	271	111	111	111	111	111	221	111	421	161	111	111	111	121	121	121	121	121	121	281	121	121	121	121	121	231	121	431	171	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121
12	12	22	32	42	52	62	72	82	-1	92	102	112	122	122	122	122	122	-1	-1	82	82	82	82	82	82	242	82	82	82	82	82	192	82	392	132	82	82	82	92	92	92	92	92	92	252	92	92	92	92	92	202	92	402	142	92	92	92	102	102	102	102	102	102	262	102	102	102	102	102	212	102	412	152	102	102	102	112	112	112	112	112	112	272	112	112	112	112	112	222	112	422	162	112	112	112	122	122	122	122	122	122	282	122	122	122	122	122	232	122	432	172	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122
13	13	23	33	43	53	63	73	83	-1	93	103	113	123	123	123	123	123	-1	-1	83	83	83	83	83	83	243	83	83	83	83	83	193	83	393	133	83	83	83	93	93	93	93	93	93	253	93	93	93	93	93	203	93	403	143	93	93	93	103	103	103	103	103	103	263	103	103	103	103	103	213	103	413	153	103	103	103	113	113	113	113	113	113	273	113	113	113	113	113	223	113	423	163	113	113	113	123	123	123	123	123	123	283	123	123	123	123	123	233	123	433	173	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123
14	14	24	34	44	54	64	74	84	-1	94	104	114	124	124	124	124	124	-1	-1	84	84	84	84	84	84	244	84	84	84	84	84	194	84	394	134	84	84	84	94	94	94	94	94	94	254	94	94	94	94	94	204	94	404	144	94	94	94	104	104	104	104	104	104	264	104	104	104	104	104	214	104	414	154	104	104	104	114	114	114	114	114	114	274	114	114	114	114	114	224	114	424	164	114	114	114	124	124	124	124	124	124	284	124	124	124	124	124	234	124	434	174	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
15	15	25	35	45	55	65	75	85	-1	95	105	115	125	125	125	125	125	-1	-1	85	85	85	85	85	85	245	85	85	85	85	85	195	85	395	135	85	85	85	95	95	95	95	95	95	255	95	95	95	95	95	205	95	405	145	95	95	95	105	105	105	105	105	105	265	105	105	105	105	105	215	105	415	155	105	105	105	115	115	115	115	115	115	275	115	115	115	115	115	225	115	425	165	115	115	115	125	125	125	125	125	125	285	125	125	125	125	125	235	125	435	175	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125
16	16	26	36	46	56	66	76	86	-1	96	106	116	126	126	126	126	126	-1	-1	86	86	86	86	86	86	246	86	86	86	86	86	196	86	396	136	86	86	86	96	96	96	96	96	96	256	96	96	96	96	96	206	96	406	146	96	96	96	106	106	106	106	106	106	266	106	106	106	106	106	216	106	416	156	106	106	106	116	116	116	116	116	116	276	116	116	116	116	116	226	116	426	166	116	116	116	126	126	126	126	126	126	286	126	126	126	126	126	236	126	436	176	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126
17	17	27	37	47	57	67	77	87	-1	97	107	117	127	127	127	127	127	-1	-1	87	87	87	87	87	87	247	87	87	87	87	87	197	87	397	137	87	87	87	97	97	97	97	97	97	257	97	97	97	97	97	207	97	407	147	97	97	97	107	107	107	107	107	107	267	107	107	107	107	107	217	107	417	157	107	107	107	117	117	117	117	117	117	277	117	117	117	117	117	227	117	427	167	117	117	117	127	127	127	127	127	127	287	127	127	127	127	127	237	127	437	177	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127
18	18	28	38	48	58	68	78	88	-1	98	108	118	128	128	128	128	128	-1	-1	88	88	88	88	88	88	248	88	88	88	88	88	198	88	398	138	88	88	88	98	98	98	98	98	98	258	98	98	98	98	98	208	98	408	148	98	98	98	108	108	108	108	108	108	268	108	108	108	108	108	218	108	418	158	108	108	108	118	118	118	118	118	118	278	118	118	118	118	118	228	118	428	168	118	118	118	128	128	128	128	128	128	288	128	128	128	128	128	238	128	438	178	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128
19	19	29	39	49	59	69	79	89	-1	490	490	490	491	492	493	494	495	-1	-1	89	89	89	89	89	89	249	89	89	89	89	89	199	89	399	139	89	89	89	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	490	491	491	491	491	491	491	491	491	491	491	491	491	491	491	491	491	491	491	491	492	492	492	492	492	492	492	492	492	492	492	492	492	492	492	492	492	492	492	493	493	493	493	493	493	493	493	493	493	493	493	493	493	493	493	493	493	493	494	494	494	494	494	494	494	494	494	494	494	494	494	494	494	494	494	494	494	495	495	495	495	495	495	495	495	495	495	495	495	495	495	495	495	495	495	495
20	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180
