INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10400046	1	4	0	46	0	453	2	-1	-1	金纂穿云	100	"全长三尺五寸,通体刻有古朴花纹，如龙鳞，吹毛断发，普净僧尼备此斧，四海云游除反徒。"	16000	64000	237	3	3	-1	-1	Broadsword3_12	刀斧类	1009	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400050	1	4	0	50	0	72	2	-1	-1	任务装1	10	任务装和紫装1	180	720	125	3	3	-1	-1	Broadsword4_10	刀斧类	1010	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400051	1	4	0	51	0	420	2	-1	-1	上玄	20	上玄再现风云起，万般尘缘皆化土。	540	2160	137	3	3	-1	-1	Broadsword1_9	刀斧类	1011	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400052	1	4	0	52	0	77	2	-1	-1	任务装3	30	任务装和紫装3	1150	4600	150	3	3	-1	-1	Broadsword4_10	刀斧类	1012	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400053	1	4	0	53	0	426	2	-1	-1	梵日	40	夜话吴王千钧炼，枭雄灯下看梵日。	1780	7120	162	3	3	-1	-1	Broadsword2_1	刀斧类	1013	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	2	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400054	1	4	0	54	0	119	2	-1	-1	任务装5	50	任务装和紫装5	2700	10800	175	3	3	-1	-1	Broadsword4_10	刀斧类	1014	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400055	1	4	0	55	0	85	2	-1	-1	任务装6	60	任务装和紫装6	3850	15400	187	3	3	-1	-1	Broadsword4_10	刀斧类	1015	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	2	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400056	1	4	0	56	0	61	2	-1	-1	任务装7	70	任务装和紫装7	5570	22280	200	3	3	-1	-1	Broadsword4_10	刀斧类	1016	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	3	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400057	1	4	0	57	0	104	2	-1	-1	任务装8	80	任务装和紫装8	7450	29800	212	3	3	-1	-1	Broadsword4_10	刀斧类	1017	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	3	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400058	1	4	0	58	0	120	2	-1	-1	任务装9	90	任务装和紫装9	9950	39800	225	3	3	-1	-1	Broadsword4_10	刀斧类	1018	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	4	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400059	1	4	0	59	0	115	2	-1	-1	任务装10	100	任务装和紫装10	16000	64000	237	3	3	-1	-1	Broadsword4_10	刀斧类	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	4	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400060	1	4	0	60	0	411	3	-1	-1	辕门卫士大刀	1	辕门卫士使用的普通大刀，做工粗糙	1000	1000	125	3	3	-1	-1	Broadsword1_2	刀斧类	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400061	1	4	0	61	0	415	3	-1	-1	金背砍山刀	13	砍山刀，有金色花纹装饰刀背，故此得名。	1000	1000	137	3	3	-1	-1	Broadsword1_8	刀斧类	1019	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	9	-1	-1	-1	-1	-1	-1	-1	72	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400062	1	4	0	62	0	423	3	-1	-1	嵩阳雁翎刀	18	嵩阳出产的雁翎刀，刀刃锋利，杀气渐现。	1000	1000	137	3	3	-1	-1	Broadsword1_13	刀斧类	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	72	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400063	1	4	0	63	0	418	3	-1	-1	刽子手	30	特制的大刀，不知道什么材质。	1000	1000	162	3	3	-1	-1	Broadsword1_12	刀斧类	1019	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	132	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400064	1	4	0	64	0	428	3	-1	-1	狼人夺粮刀	40	狼人专用夺粮的兵器，柄长刀大，可横扫千军。	1000	1000	175	3	3	-1	-1	Broadsword1_15	刀斧类	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	162	-1	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400065	1	4	0	65	0	421	3	-1	-1	圆月弯刀	55	圆月村的铸造师所铸的弯刀，杀人于无形。	1000	1000	187	3	3	-1	-1	Broadsword2_2	刀斧类	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	-1	3	-1	-1	-1	-1	-1	-1	-1	192	-1	64	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400066	1	4	0	66	0	436	3	-1	-1	丛林劈山斧	67	丛林劈山斧	1000	1000	200	3	3	-1	-1	Broadsword2_8	刀斧类	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	222	-1	74	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400067	1	4	0	67	0	435	3	-1	-1	快意刀	72	快意刀	1000	1000	212	3	3	-1	-1	Broadsword2_16	刀斧类	1019	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	23	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	252	-1	84	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400068	1	4	0	68	0	441	3	-1	-1	精制玄铁大刀	78	精制玄铁大刀	1000	1000	212	3	3	-1	-1	Broadsword3_4	刀斧类	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	252	-1	84	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400069	1	4	0	69	0	454	3	-1	-1	复仇之刃	82	复仇者之刃	1000	1000	225	3	3	-1	-1	Broadsword3_11	刀斧类	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	282	-1	94	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400070	1	4	0	70	0	448	3	-1	-1	九凤朝阳刀	87	九凤朝阳刀	1000	1000	225	3	3	-1	-1	Broadsword3_8	刀斧类	1019	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	199	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	282	-1	94	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400071	1	4	0	71	0	438	3	-1	-1	八卦金纂开山钺	94	八卦金纂开山钺	1000	1000	237	3	3	-1	-1	Broadsword2_14	刀斧类	1019	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	452	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	312	-1	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400072	1	4	0	72	0	451	3	-1	-1	沉水龙雀刀	98	沉水龙雀刀	1000	1000	237	3	3	-1	-1	Broadsword3_13	刀斧类	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	312	-1	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400073	1	4	0	73	0	453	3	-1	-1	战神	98	战神	1000	1000	237	3	3	-1	-1	Broadsword3_12	刀斧类	1019	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	312	-1	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10401001	1	4	1	1	0	367	1	-1	-1	雀舌大枪	10	通体长七尺二寸，粗约三寸余，精钢制成。	180	720	125	3	3	-1	-1	Spear1_3	枪棒类	1020	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10401006	1	4	1	6	0	372	1	-1	-1	竹节大枪	20	枪身银白，枪尖极细，轻巧灵活，无形中取人性命，速度如闪电。	540	2160	137	3	3	-1	-1	Spear1_8	枪棒类	1021	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10401011	1	4	1	11	0	375	1	-1	-1	素缨大枪	30	一根完整铜铁所制，浑然天成，霸气展露无遗。	1150	4600	150	3	3	-1	-1	Spear1_11	枪棒类	1022	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10401016	1	4	1	16	0	380	1	-1	-1	六合大枪	40	枪长三尺九寸，枪头为精钢所铸，中空，带血槽，刺入敌人身体后可放血，残暴。	1780	7120	162	3	3	-1	-1	Spear1_16	枪棒类	1023	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10401021	1	4	1	21	0	383	1	-1	-1	盘龙大枪	50	通体金色，柔软发带，顶端尖锐似剑，主体浑圆似棍，看去似枪非枪，似剑非剑。	2700	10800	175	3	3	-1	-1	Spear2_3	枪棒类	1024	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10401026	1	4	1	26	0	389	2	-1	-1	三股金刚马叉	60	列山金打铸，沉重过人，非神力之人不能配用，以力破巧，使敌人退无可退，避无可避。	3850	15400	187	3	3	-1	-1	Spear2_9	枪棒类	1025	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10401031	1	4	1	31	0	394	2	-1	-1	五股烈焰马叉	70	叉身镶有青龙珠，据说铸叉青铁正中有赤红血痕，是噬主之相。	5570	22280	200	3	3	-1	-1	Spear2_14	枪棒类	1026	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10401036	1	4	1	36	0	399	2	-1	-1	七星噬魂马叉	80	传为苗疆进贡之物，叉身近手处饰有北斗七星文，玄妙无比。	7450	29800	212	3	3	-1	-1	Spear3_3	枪棒类	1027	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
