INT	INT	INT	STRING	INT	INT	INT
10304003	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“精妙”		1	0
10304004	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“精妙”		1	0
10304005	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“精妙”		1	0
10305000	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“绝妙”		1	0
10305001	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“绝妙”		1	0
10305002	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“绝妙”		1	0
10305003	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“绝妙”		1	0
10305004	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“绝妙”		1	0
10305005	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“绝妙”		1	0
10306000	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“吸血”		1	0
10306001	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“减速”		1	0
10306002	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“破绽”		1	0
10306100	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“吸血”		1	0
10306101	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“吸气”		1	0
10306102	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“破绽”		1	0
10306200	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“吸血”		1	0
10306201	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“虚弱”		1	0
10306202	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“破绽”		1	0
10306300	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“吸血”		1	0
10306301	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“减速”		1	0
10306302	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“虚弱”		1	0
10306400	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“吸血”		1	0
10306401	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“吸气”		1	0
10306402	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“虚弱”		1	0
10306500	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“吸血”		1	0
10306501	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“打怒”		1	0
10306502	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“虚弱”		1	0
10306600	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“减速”		1	0
10306601	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“吸血”		1	0
10306602	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“虚弱”		1	0
10306700	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“吸血”		1	0
10306701	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“减速”		1	0
10306702	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“虚弱”		1	0
10306800	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“吸血”		1	0
10306801	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“吸气”		1	0
10306802	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“虚弱”		1	0
10410082	24	-1	-1		1	0
10410083	24	-1	-1		1	0
10410084	24	-1	-1		1	0
10410085	24	-1	-1		1	0
10410086	24	-1	-1		1	0
10410087	24	-1	-1		1	0
10410088	24	-1	-1		1	0
10410089	24	-1	-1		1	0
10410090	24	-1	-1		1	0
10410091	24	-1	-1		1	0
10410092	24	-1	-1		1	0
10410093	24	-1	-1		1	0
10410094	24	-1	-1		1	0
10410095	24	-1	-1		1	0
10410096	24	-1	-1		1	0
10410097	24	-1	-1		1	0
10410098	168	-1	-1	1	1	0
10410099	168	-1	-1	1	1	0
10410100	168	-1	-1	1	1	0
10410101	168	-1	-1	1	1	0
10410102	168	-1	-1	1	1	0
10410103	168	-1	-1	1	1	0
10410104	168	-1	-1	1	1	0
10410105	168	-1	-1	1	1	0
10410106	168	-1	-1	1	1	0
10410107	168	-1	-1	1	1	0
10410108	-1	-1	-1	1	1	0
10410109	-1	-1	-1	1	1	0
10410110	-1	-1	-1	1	1	0
10410111	-1	-1	-1	1	1	0
10410112	-1	-1	-1	1	1	0
10410113	-1	-1	-1	1	1	0
10410114	-1	-1	-1	1	1	0
10410115	-1	-1	-1	1	1	0
10410116	-1	-1	-1	1	1	0
10410117	-1	-1	-1	1	1	0
10410118	168	-1	-1	1	1	0
10410119	168	-1	-1	1	1	0
10410120	168	-1	-1	1	1	0
10410121	168	-1	-1	1	1	0
10410122	168	-1	-1	1	1	0
10410123	168	-1	-1	1	1	0
10410124	168	-1	-1	1	1	0
10410125	168	-1	-1	1	1	0
10410126	168	-1	-1	1	1	0
10410127	168	-1	-1	1	1	0
10422016	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“封穴”		1	0
10423024	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“麻痹”		1	0
10423025	-1	-1	#c00ff00装备：击中敌人后有更大机率触发‘麻痹’		1	0
10423026	-1	-1	#c00ff00装备：击中敌人后有一定机率触发“麻痹”		1	0
10553090	-1	2005	-1		1	0
10553091	-1	2005	-1		1	0
10553092	-1	2005	-1		1	0
10553093	-1	2005	-1		1	0
10553094	-1	2005	-1		1	0
10553095	-1	2005	-1		1	0
10553096	-1	2005	-1		1	0
10553097	-1	2005	-1		1	0
10553098	-1	2005	-1		1	0
10553099	-1	2005	-1		1	0
10553101	-1	2005	-1		1	0
10553102	-1	2005	-1		1	0
10553103	-1	2005	-1		1	0
10553104	-1	2005	-1		1	0
10553105	-1	2005	-1		1	0
10553106	-1	2005	-1		1	0
10553107	-1	2005	-1		1	0
10553108	-1	2005	-1		1	0
10553109	-1	2005	-1		1	0
10553110	-1	2005	-1		1	0
10553111	-1	2005	-1		1	0
10553112	-1	2005	-1		1	0
10553113	-1	2005	-1		1	0
10553114	-1	2005	-1		1	0
10553115	-1	2005	-1		1	0
20101001	-1	-1	-1		1	0
20101002	-1	-1	-1		1	0
20101003	-1	-1	-1		1	0
20101004	-1	-1	-1		1	0
20101005	-1	-1	-1		1	0
20101006	-1	-1	-1		1	0
20101007	-1	-1	-1		1	0
20101008	-1	-1	-1		1	0
20101009	-1	-1	-1		1	0
20101010	-1	-1	-1		1	0
20101011	-1	-1	-1		1	0
20101012	-1	-1	-1		1	0
20101013	-1	-1	-1		1	0
20101014	-1	-1	-1		1	0
20101015	-1	-1	-1		1	0
20101016	-1	-1	-1		1	0
20101017	-1	-1	-1		1	0
20101018	-1	-1	-1		1	0
20101019	-1	-1	-1		1	0
20101020	-1	-1	-1		1	0
20101021	-1	-1	-1		1	0
20101022	-1	-1	-1		1	0
20101023	-1	-1	-1		1	0
20101024	-1	-1	-1		1	0
20101025	-1	-1	-1		1	0
20101026	-1	-1	-1		1	0
20101027	-1	-1	-1		1	0
20101028	-1	-1	-1		1	0
20101029	-1	-1	-1		1	0
20101030	-1	-1	-1		1	0
20103001	-1	-1	-1		1	0
20103002	-1	-1	-1		1	0
20103003	-1	-1	-1		1	0
20103004	-1	-1	-1		1	0
20103005	-1	-1	-1		1	0
20103006	-1	-1	-1		1	0
20103007	-1	-1	-1		1	0
20103008	-1	-1	-1		1	0
20103009	-1	-1	-1		1	0
20103010	-1	-1	-1		1	0
20103011	-1	-1	-1		1	0
20103012	-1	-1	-1		1	0
20103013	-1	-1	-1		1	0
20103014	-1	-1	-1		1	0
20103015	-1	-1	-1		1	0
20103016	-1	-1	-1		1	0
20103017	-1	-1	-1		1	0
20103018	-1	-1	-1		1	0
20103019	-1	-1	-1		1	0
20103020	-1	-1	-1		1	0
20103021	-1	-1	-1		1	0
20103022	-1	-1	-1		1	0
20103023	-1	-1	-1		1	0
20103024	-1	-1	-1		1	0
20103025	-1	-1	-1		1	0
20103026	-1	-1	-1		1	0
20103027	-1	-1	-1		1	0
20103028	-1	-1	-1		1	0
20103029	-1	-1	-1		1	0
20103030	-1	-1	-1		1	0
20103031	-1	-1	-1		1	0
20103032	-1	-1	-1		1	0
20103033	-1	-1	-1		1	0
20103034	-1	-1	-1		1	0
20103035	-1	-1	-1		1	0
20103036	-1	-1	-1		1	0
20103037	-1	-1	-1		1	0
20103038	-1	-1	-1		1	0
20103039	-1	-1	-1		1	0
20103040	-1	-1	-1		1	0
20103041	-1	-1	-1		1	0
20103042	-1	-1	-1		1	0
20103043	-1	-1	-1		1	0
20103044	-1	-1	-1		1	0
20103045	-1	-1	-1		1	0
20103046	-1	-1	-1		1	0
20103047	-1	-1	-1		1	0
20103048	-1	-1	-1		1	0
20103049	-1	-1	-1		1	0
20103050	-1	-1	-1		1	0
20103051	-1	-1	-1		1	0
20103052	-1	-1	-1		1	0
20103053	-1	-1	-1		1	0
20103054	-1	-1	-1		1	0
20103055	-1	-1	-1		1	0
20103056	-1	-1	-1		1	0
20103057	-1	-1	-1		1	0
20103058	-1	-1	-1		1	0
20103059	-1	-1	-1		1	0
20103060	-1	-1	-1		1	0
20103118	-1	-1	-1		1	0
20103119	-1	-1	-1		1	0
20103120	-1	-1	-1		1	0
20103121	-1	-1	-1		1	0
20103122	-1	-1	-1		1	0
20103123	-1	-1	-1		1	0
20103124	-1	-1	-1		1	0
20103125	-1	-1	-1		1	0
20103126	-1	-1	-1		1	0
20103127	-1	-1	-1		1	0
20103128	-1	-1	-1		1	0
20103129	-1	-1	-1		1	0
20103130	-1	-1	-1		1	0
20103131	-1	-1	-1		1	0
20103132	-1	-1	-1		1	0
20103133	-1	-1	-1		1	0
20103134	-1	-1	-1		1	0
20103135	-1	-1	-1		1	0
20103136	-1	-1	-1		1	0
20103137	-1	-1	-1		1	0
20304005	-1	-1	-1		1	0
20304006	-1	-1	-1		1	0
20304007	-1	-1	-1		1	0
20304008	-1	-1	-1		1	0
20304009	-1	-1	-1		1	0
20304010	-1	-1	-1		1	0
20304011	-1	-1	-1		1	0
20304012	-1	-1	-1		1	0
20304013	-1	-1	-1		1	0
20304014	-1	-1	-1		1	0
20304015	-1	-1	-1		1	0
20304016	-1	-1	-1		1	0
30001001	-1	-1	-1		1	1
30001002	-1	-1	-1		1	1
30001003	-1	-1	-1		1	1
30001004	-1	-1	-1		1	1
30001016	-1	-1	-1		1	1
30001017	-1	-1	-1		1	1
30001018	-1	-1	-1		1	1
30002001	-1	-1	-1		1	1
30002002	-1	-1	-1		1	1
30002003	-1	-1	-1		1	1
30002004	-1	-1	-1		1	1
30002016	-1	-1	-1		1	1
30002017	-1	-1	-1		1	1
30002018	-1	-1	-1		1	1
30003001	-1	-1	-1		1	1
30003002	-1	-1	-1		1	1
30003003	-1	-1	-1		1	1
30003004	-1	-1	-1		1	1
30003005	-1	-1	-1		1	1
30003006	-1	-1	-1		1	1
30003007	-1	-1	-1		1	1
30003008	-1	-1	-1		1	1
30003009	-1	-1	-1		1	1
30003010	-1	-1	-1		1	1
30003021	-1	-1	-1		1	1
30003022	-1	-1	-1		1	1
30003023	-1	-1	-1		1	1
30008045	168	-1	-1		1	0
30008052	168	-1	-1		1	0
30008059	-1	-1	-1		1	1
30008060	-1	-1	-1		1	1
30008061	-1	-1	-1		1	1
30008062	-1	-1	-1		1	1
30008063	-1	-1	-1		1	1
30008064	-1	-1	-1		1	1
30008065	-1	-1	-1		1	1
30008066	-1	-1	-1		1	1
30101023	-1	-1	-1		1	1
30101024	-1	-1	-1		1	1
30101031	-1	-1	-1		1	1
30101032	-1	-1	-1		1	1
30101033	-1	-1	-1		1	1
30101034	-1	-1	-1		1	1
30101035	-1	-1	-1		1	1
30101036	-1	-1	-1		1	1
30101037	-1	-1	-1		1	1
30101038	-1	-1	-1		1	1
30101039	-1	-1	-1		1	1
30101040	-1	-1	-1		1	1
30101041	-1	-1	-1		1	1
30101042	-1	-1	-1		1	1
30101043	-1	-1	-1		1	1
30101044	-1	-1	-1		1	1
30101045	-1	-1	-1		1	1
30101046	-1	-1	-1		1	1
30101047	-1	-1	-1		1	1
30101048	-1	-1	-1		1	1
30101049	-1	-1	-1		1	1
30101050	-1	-1	-1		1	1
30101115	-1	-1	-1		1	1
30101116	-1	-1	-1		1	1
30101117	-1	-1	-1		1	1
30101118	-1	-1	-1		1	1
30101119	-1	-1	-1		1	1
30101120	-1	-1	-1		1	1
30101121	-1	-1	-1		1	1
30101122	-1	-1	-1		1	1
30101123	-1	-1	-1		1	1
30101124	-1	-1	-1		1	1
30101125	-1	-1	-1		1	1
30101126	-1	-1	-1		1	1
30101127	-1	-1	-1		1	1
30101128	-1	-1	-1		1	1
30101129	-1	-1	-1		1	1
30101130	-1	-1	-1		1	1
30101131	-1	-1	-1		1	1
30101132	-1	-1	-1		1	1
30101133	-1	-1	-1		1	1
30101134	-1	-1	-1		1	1
30303001	-1	-1	-1		1	1
30303002	-1	-1	-1		1	1
30303003	-1	-1	-1		1	1
30303051	-1	-1	-1		1	1
30303052	-1	-1	-1		1	1
30303053	-1	-1	-1		1	1
30303100	-1	-1	-1		1	1
30303101	-1	-1	-1		1	1
30303102	-1	-1	-1		1	1
30304030	-1	-1	-1		1	1
30304031	-1	-1	-1		1	1
30304032	-1	-1	-1		1	1
30304033	-1	-1	-1		1	1
30304034	-1	-1	-1		1	1
30304035	-1	-1	-1		1	1
30304036	-1	-1	-1		1	1
30304037	-1	-1	-1		1	1
30304038	-1	-1	-1		1	1
30308072	-1	-1	-1		1	1
30309056	-1	-1	-1		1	1
30501100	720	-1	-1		1	0
30501104	-1	-1	-1		1	1
30501107	168	-1	-1		1	0
30501108	168	-1	-1		1	0
30501109	168	-1	-1		1	0
30501110	168	-1	-1		1	0
30501111	168	-1	-1		1	0
30501112	168	-1	-1		1	0
30501113	168	-1	-1		1	0
30501114	168	-1	-1		1	0
30501115	168	-1	-1		1	0
30501116	168	-1	-1		1	0
30501131	168	-1	-1		1	0
30501132	168	-1	-1		1	0
30501133	168	-1	-1		1	0
30501134	168	-1	-1		1	0
30501135	168	-1	-1		1	0
30501136	168	-1	-1		1	0
30501137	168	-1	-1		1	0
30501138	168	-1	-1		1	0
30501139	168	-1	-1		1	0
30501140	168	-1	-1		1	0
30501141	168	-1	-1		1	0
30501142	168	-1	-1		1	0
30501143	168	-1	-1		1	0
30501144	168	-1	-1		1	0
30501145	168	-1	-1		1	0
30501146	168	-1	-1		1	0
30501147	168	-1	-1		1	0
30501151	168	-1	-1		1	0
30501152	168	-1	-1		1	0
30501153	168	-1	-1		1	0
30501159	168	-1	-1		1	0
30501160	168	-1	-1		1	0
30501161	168	-1	-1		1	0
30501162	48	-1	-1		1	0
30501166	168	-1	-1		1	0
30501168	-1	-1	-1		0	0
30501172	-1	-1	-1		0	0
30501318	-1	-1	-1		0	0
30501355	-1	-1	-1		0	0
30501357	-1	-1	-1		0	0
30503022	168	-1	-1		1	0
30503023	168	-1	-1		1	0
30503024	168	-1	-1		1	0
30503025	-1	-1	-1		0	0
30503026	-1	-1	-1		0	0
30503027	-1	-1	-1		0	0
30503028	-1	-1	-1		0	0
30503029	-1	-1	-1		0	0
30503030	-1	-1	-1		0	0
30503031	-1	-1	-1		0	0
30503032	-1	-1	-1		0	0
30503033	-1	-1	-1		0	0
30503034	-1	-1	-1		0	0
30503035	-1	-1	-1		0	0
30503036	-1	-1	-1		0	0
30503037	-1	-1	-1		0	0
30503038	-1	-1	-1		0	0
30503039	-1	-1	-1		0	0
30503040	-1	-1	-1		0	0
30503041	-1	-1	-1		0	0
30503042	-1	-1	-1		0	0
30503043	-1	-1	-1		0	0
30503044	-1	-1	-1		0	0
30503045	-1	-1	-1		0	0
30503046	-1	-1	-1		0	0
30503047	-1	-1	-1		0	0
30503048	-1	-1	-1		0	0
30503049	-1	-1	-1		0	0
30503050	-1	-1	-1		0	0
30503051	-1	-1	-1		0	0
30503052	-1	-1	-1		0	0
30503053	-1	-1	-1		0	0
30503054	-1	-1	-1		0	0
30503055	-1	-1	-1		0	0
30503056	-1	-1	-1		0	0
30503057	-1	-1	-1		0	0
