INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
3143	变异獾	#B玄武岛#{_INFOAIM62,256,112,-1}#W	16	0	0	0	0	0							0	0
3149	獾宝宝	#B玄武岛#{_INFOAIM62,256,112,-1}#W	250	0	0	0	0	0							0	0
3150	成年老虎	#B玄武岛#{_INFOAIM96,254,112,-1}#W	136	0	0	0	500	357							500	357
3151	变异老虎	#B玄武岛#{_INFOAIM96,254,112,-1}#W	64	0	0	0	0	0							0	0
3152	变异老虎	#B玄武岛#{_INFOAIM96,254,112,-1}#W	64	0	0	0	0	0							0	0
3153	变异老虎	#B玄武岛#{_INFOAIM96,254,112,-1}#W	64	0	0	0	0	0							0	0
3159	老虎宝宝	#B玄武岛#{_INFOAIM96,254,112,-1}#W	250	0	0	0	0	0							0	0
3160	成年野猪	#B玄武岛#{_INFOAIM127,254,112,-1}#W	36	0	0	0	500	357							500	357
3161	变异野猪	#B玄武岛#{_INFOAIM127,254,112,-1}#W	16	0	0	0	0	0							0	0
3162	变异野猪	#B玄武岛#{_INFOAIM127,254,112,-1}#W	16	0	0	0	0	0							0	0
3163	变异野猪	#B玄武岛#{_INFOAIM127,254,112,-1}#W	16	0	0	0	0	0							0	0
3169	野猪宝宝	#B玄武岛#{_INFOAIM127,254,112,-1}#W	250	0	0	0	0	0							0	0
3170	成年冰蚕	#B玄武岛#{_INFOAIM192,232,112,-1}#W	68	0	0	0	500	357							500	357
3171	变异冰蚕	#B玄武岛#{_INFOAIM192,232,112,-1}#W	24	0	0	0	0	0							0	0
3172	变异冰蚕	#B玄武岛#{_INFOAIM192,232,112,-1}#W	24	0	0	0	0	0							0	0
3173	变异冰蚕	#B玄武岛#{_INFOAIM192,232,112,-1}#W	24	0	0	0	0	0							0	0
3174	变异冰蚕	#B玄武岛#{_INFOAIM192,232,112,-1}#W	24	0	0	0	0	0							0	0
3179	冰蚕宝宝	#B玄武岛#{_INFOAIM192,232,112,-1}#W	250	0	0	0	0	0							0	0
3180	成年鹰	#B玄武岛#{_INFOAIM216,270,112,-1}#W	36	0	0	0	500	357							500	357
3181	变异鹰	#B玄武岛#{_INFOAIM216,270,112,-1}#W	6	0	0	0	0	0							0	0
3182	变异鹰	#B玄武岛#{_INFOAIM216,270,112,-1}#W	6	0	0	0	0	0							0	0
3183	变异鹰	#B玄武岛#{_INFOAIM216,270,112,-1}#W	6	0	0	0	0	0							0	0
3184	变异鹰	#B玄武岛#{_INFOAIM216,270,112,-1}#W	6	0	0	0	0	0							0	0
3189	鹰宝宝	#B玄武岛#{_INFOAIM216,270,112,-1}#W	250	0	0	0	0	0							0	0
3190	成年鸵鸟	#B玄武岛#{_INFOAIM181,268,112,-1}#W	36	0	0	0	500	357							500	357
3191	变异鸵鸟	#B玄武岛#{_INFOAIM181,268,112,-1}#W	2	0	0	0	0	0							0	0
3192	变异鸵鸟	#B玄武岛#{_INFOAIM181,268,112,-1}#W	2	0	0	0	0	0							0	0
3193	变异鸵鸟	#B玄武岛#{_INFOAIM181,268,112,-1}#W	2	0	0	0	0	0							0	0
3194	变异鸵鸟	#B玄武岛#{_INFOAIM181,268,112,-1}#W	2	0	0	0	0	0							0	0
3199	鸵鸟宝宝	#B玄武岛#{_INFOAIM181,268,112,-1}#W	250	0	0	0	0	0							0	0
3200	成年豹子	#B玄武岛#{_INFOAIM250,236,112,-1}#W	36	0	0	0	500	357							500	357
3201	变异豹子	#B玄武岛#{_INFOAIM250,236,112,-1}#W	2	0	0	0	0	0							0	0
3202	变异豹子	#B玄武岛#{_INFOAIM250,236,112,-1}#W	2	0	0	0	0	0							0	0
3203	变异豹子	#B玄武岛#{_INFOAIM250,236,112,-1}#W	2	0	0	0	0	0							0	0
3204	变异豹子	#B玄武岛#{_INFOAIM250,236,112,-1}#W	2	0	0	0	0	0							0	0
3209	豹子宝宝	#B玄武岛#{_INFOAIM250,236,112,-1}#W	250	0	0	0	0	0							0	0
3210	成年北极熊	#B玄武岛#{_INFOAIM216,223,112,-1}#W	68	0	0	0	0	357							0	357
3211	变异北极熊	#B玄武岛#{_INFOAIM216,223,112,-1}#W	20	0	0	0	0	0							0	0
3212	变异北极熊	#B玄武岛#{_INFOAIM216,223,112,-1}#W	20	0	0	0	0	0							0	0
3213	变异北极熊	#B玄武岛#{_INFOAIM216,223,112,-1}#W	20	0	0	0	0	0							0	0
3214	变异北极熊	#B玄武岛#{_INFOAIM216,223,112,-1}#W	20	0	0	0	0	0							0	0
3215	变异北极熊	#B玄武岛#{_INFOAIM216,223,112,-1}#W	20	0	0	0	0	0							0	0
3219	北极熊宝宝	#B玄武岛#{_INFOAIM216,223,112,-1}#W	250	0	0	0	0	0							0	0
3220	成年孔雀	#B玄武岛#{_INFOAIM263,166,112,-1}#W	34	0	0	0	0	357							0	357
3221	变异孔雀	#B玄武岛#{_INFOAIM263,166,112,-1}#W	36	0	0	0	0	0							0	0
3222	变异孔雀	#B玄武岛#{_INFOAIM263,166,112,-1}#W	10	0	0	0	0	0							0	0
3223	变异孔雀	#B玄武岛#{_INFOAIM263,166,112,-1}#W	10	0	0	0	0	0							0	0
3224	变异孔雀	#B玄武岛#{_INFOAIM263,166,112,-1}#W	10	0	0	0	0	0							0	0
3225	变异孔雀	#B玄武岛#{_INFOAIM263,166,112,-1}#W	10	0	0	0	0	0							0	0
3229	孔雀宝宝	#B玄武岛#{_INFOAIM263,166,112,-1}#W	250	0	0	0	0	0							0	0
3230	成年剑齿虎	#B玄武岛#{_INFOAIM285,149,112,-1}#W	34	0	0	0	0	357							0	357
3231	变异剑齿虎	#B玄武岛#{_INFOAIM285,149,112,-1}#W	2	0	0	0	0	0							0	0
3232	变异剑齿虎	#B玄武岛#{_INFOAIM285,149,112,-1}#W	2	0	0	0	0	0							0	0
3233	变异剑齿虎	#B玄武岛#{_INFOAIM285,149,112,-1}#W	2	0	0	0	0	0							0	0
3234	变异剑齿虎	#B玄武岛#{_INFOAIM285,149,112,-1}#W	2	0	0	0	0	0							0	0
3235	变异剑齿虎	#B玄武岛#{_INFOAIM285,149,112,-1}#W	2	0	0	0	0	0							0	0
3239	剑齿虎宝宝	#B玄武岛#{_INFOAIM285,149,112,-1}#W	100	0	0	0	0	0							0	0
3240	成年大猩猩	#B玄武岛#{_INFOAIM276,121,112,-1}#W	34	0	0	0	0	357							0	357
3241	变异大猩猩	#B玄武岛#{_INFOAIM276,121,112,-1}#W	2	0	0	0	0	0							0	0
3242	变异大猩猩	#B玄武岛#{_INFOAIM276,121,112,-1}#W	2	0	0	0	0	0							0	0
3243	变异大猩猩	#B玄武岛#{_INFOAIM276,121,112,-1}#W	2	0	0	0	0	0							0	0
3244	变异大猩猩	#B玄武岛#{_INFOAIM276,121,112,-1}#W	2	0	0	0	0	0							0	0
3245	变异大猩猩	#B玄武岛#{_INFOAIM276,121,112,-1}#W	2	0	0	0	0	0							0	0
3249	大猩猩宝宝	#B玄武岛#{_INFOAIM276,121,112,-1}#W	2	0	0	0	0	0							0	0
3250	成年犀牛	#B玄武岛#{_INFOAIM227,92,112,-1}#W	68	0	0	0	0	357							0	357
3251	变异犀牛	#B玄武岛#{_INFOAIM227,92,112,-1}#W	16	0	0	0	0	0							0	0
3252	变异犀牛	#B玄武岛#{_INFOAIM227,92,112,-1}#W	16	0	0	0	0	0							0	0
3253	变异犀牛	#B玄武岛#{_INFOAIM227,92,112,-1}#W	16	0	0	0	0	0							0	0
3254	变异犀牛	#B玄武岛#{_INFOAIM227,92,112,-1}#W	16	0	0	0	0	0							0	0
3255	变异犀牛	#B玄武岛#{_INFOAIM227,92,112,-1}#W	16	0	0	0	0	0							0	0
3256	变异犀牛	#B玄武岛#{_INFOAIM227,92,112,-1}#W	16	0	0	0	0	0							0	0
3259	犀牛宝宝	#B玄武岛#{_INFOAIM227,92,112,-1}#W	250	0	0	0	0	0							0	0
3260	成年雪貂	#B圣兽山#{_INFOAIM190,230,201,-1}#W	34	0	0	0	0	357							0	357
3261	变异雪貂	#B圣兽山#{_INFOAIM190,230,201,-1}#W	8	0	0	0	0	0							0	0
3262	变异雪貂	#B圣兽山#{_INFOAIM190,230,201,-1}#W	8	0	0	0	0	0							0	0
3263	变异雪貂	#B圣兽山#{_INFOAIM190,230,201,-1}#W	8	0	0	0	0	0							0	0
3264	变异雪貂	#B圣兽山#{_INFOAIM190,230,201,-1}#W	8	0	0	0	0	0							0	0
3265	变异雪貂	#B圣兽山#{_INFOAIM190,230,201,-1}#W	8	0	0	0	0	0							0	0
3266	变异雪貂	#B圣兽山#{_INFOAIM190,230,201,-1}#W	8	0	0	0	0	0							0	0
3269	雪貂宝宝	#B圣兽山#{_INFOAIM190,230,201,-1}#W	100	0	0	0	0	0							0	0
3270	成年剑龙	#B玄武岛#{_INFOAIM275,85,112,-1}#W	68	0	0	0	0	357							0	357
3271	变异剑龙	#B玄武岛#{_INFOAIM275,85,112,-1}#W	16	0	0	0	0	0							0	0
3272	变异剑龙	#B玄武岛#{_INFOAIM275,85,112,-1}#W	16	0	0	0	0	0							0	0
3273	变异剑龙	#B玄武岛#{_INFOAIM275,85,112,-1}#W	16	0	0	0	0	0							0	0
3274	变异剑龙	#B玄武岛#{_INFOAIM275,85,112,-1}#W	16	0	0	0	0	0							0	0
3275	变异剑龙	#B玄武岛#{_INFOAIM275,85,112,-1}#W	16	0	0	0	0	0							0	0
3276	变异剑龙	#B玄武岛#{_INFOAIM275,85,112,-1}#W	16	0	0	0	0	0							0	0
3279	剑龙宝宝	#B玄武岛#{_INFOAIM275,85,112,-1}#W	250	0	0	0	0	0							0	0
3280	成年驳马	#B玄武岛#{_INFOAIM247,98,112,-1}#W	68	0	0	0	0	357							0	357
3281	变异驳马	#B玄武岛#{_INFOAIM247,98,112,-1}#W	16	0	0	0	0	0							0	0
3282	变异驳马	#B玄武岛#{_INFOAIM247,98,112,-1}#W	16	0	0	0	0	0							0	0
3283	变异驳马	#B玄武岛#{_INFOAIM247,98,112,-1}#W	16	0	0	0	0	0							0	0
3284	变异驳马	#B玄武岛#{_INFOAIM247,98,112,-1}#W	16	0	0	0	0	0							0	0
3285	变异驳马	#B玄武岛#{_INFOAIM247,98,112,-1}#W	16	0	0	0	0	0							0	0
3286	变异驳马	#B玄武岛#{_INFOAIM247,98,112,-1}#W	16	0	0	0	0	0							0	0
3289	驳马宝宝	#B玄武岛#{_INFOAIM247,98,112,-1}#W	250	0	0	0	0	0							0	0
3290	成年黄鸟		0	0	0	0	0	0							0	0
3291	变异黄鸟		0	0	0	0	0	0							0	0
3292	变异黄鸟		0	0	0	0	0	0							0	0
3293	变异黄鸟		0	0	0	0	0	0							0	0
3294	变异黄鸟		0	0	0	0	0	0							0	0
3295	变异黄鸟		0	0	0	0	0	0							0	0
3296	变异黄鸟		0	0	0	0	0	0							0	0
3297	变异黄鸟		0	0	0	0	0	0							0	0
3299	黄鸟宝宝		0	0	0	0	0	0							0	0
3300	成年年兽		0	0	0	0	0	0							0	0
3301	变异年兽		0	0	0	0	0	0							0	0
3302	变异年兽		0	0	0	0	0	0							0	0
3303	变异年兽		0	0	0	0	0	0							0	0
3304	变异年兽		0	0	0	0	0	0							0	0
3305	变异年兽		0	0	0	0	0	0							0	0
3306	变异年兽		0	0	0	0	0	0							0	0
3307	变异年兽		0	0	0	0	0	0							0	0
3309	年兽宝宝		0	0	0	0	0	0							0	0
3310	成年龙龟		0	0	0	0	0	0							0	0
3311	变异龙龟		0	0	0	0	0	0							0	0
3312	变异龙龟		0	0	0	0	0	0							0	0
3313	变异龙龟		0	0	0	0	0	0							0	0
3314	变异龙龟		0	0	0	0	0	0							0	0
3315	变异龙龟		0	0	0	0	0	0							0	0
3316	变异龙龟		0	0	0	0	0	0							0	0
3317	变异龙龟		0	0	0	0	0	0							0	0
3319	龙龟宝宝		0	0	0	0	0	0							0	0
3320	成年英招		0	0	0	0	0	0							0	0
3321	变异英招		0	0	0	0	0	0							0	0
3322	变异英招		0	0	0	0	0	0							0	0
3323	变异英招		0	0	0	0	0	0							0	0
3324	变异英招		0	0	0	0	0	0							0	0
3325	变异英招		0	0	0	0	0	0							0	0
3326	变异英招		0	0	0	0	0	0							0	0
3327	变异英招		0	0	0	0	0	0							0	0
3329	英招宝宝		0	0	0	0	0	0							0	0
3330	成年麒麟		0	0	0	0	0	0							0	0
3331	变异麒麟		0	0	0	0	0	0							0	0
3332	变异麒麟		0	0	0	0	0	0							0	0
3333	变异麒麟		0	0	0	0	0	0							0	0
3334	变异麒麟		0	0	0	0	0	0							0	0
3335	变异麒麟		0	0	0	0	0	0							0	0
3336	变异麒麟		0	0	0	0	0	0							0	0
3337	变异麒麟		0	0	0	0	0	0							0	0
3338	变异麒麟		0	0	0	0	0	0							0	0
3339	麒麟宝宝		0	0	0	0	0	0							0	0
3340	成年蛟龙		0	0	0	0	0	0							0	0
3341	变异蛟龙		0	0	0	0	0	0							0	0
3342	变异蛟龙		0	0	0	0	0	0							0	0
3343	变异蛟龙		0	0	0	0	0	0							0	0
3344	变异蛟龙		0	0	0	0	0	0							0	0
3345	变异蛟龙		0	0	0	0	0	0							0	0
3346	变异蛟龙		0	0	0	0	0	0							0	0
3347	变异蛟龙		0	0	0	0	0	0							0	0
3348	变异蛟龙		0	0	0	0	0	0							0	0
3349	蛟龙宝宝		0	0	0	0	0	0							0	0
3350	成年柴猫		0	0	0	0	0	0							0	0
3351	变异柴猫		0	0	0	0	0	0							0	0
3352	变异柴猫		0	0	0	0	0	0							0	0
3359	柴猫宝宝		0	0	0	0	0	0							0	0
3360	成年鸡		0	0	0	0	0	0							0	0
3361	变异鸡		0	0	0	0	0	0							0	0
3362	变异鸡		0	0	0	0	0	0							0	0
3369	鸡宝宝		0	0	0	0	0	0							0	0
3370	成年鸭子		0	0	0	0	0	0							0	0
3371	变异鸭子		0	0	0	0	0	0							0	0
3372	变异鸭子		0	0	0	0	0	0							0	0
3379	鸭子宝宝		0	0	0	0	0	0							0	0
3380	成年山羊		0	0	0	0	0	0							0	0
3381	变异山羊		0	0	0	0	0	0							0	0
3382	变异山羊		0	0	0	0	0	0							0	0
3389	山羊宝宝		0	0	0	0	0	0							0	0
3390	成年毛驴		0	0	0	0	0	0							0	0
3391	变异毛驴		0	0	0	0	0	0							0	0
3392	变异毛驴		0	0	0	0	0	0							0	0
3399	毛驴宝宝		0	0	0	0	0	0							0	0
3400	成年鹅		0	0	0	0	0	0							0	0
3401	变异鹅		0	0	0	0	0	0							0	0
3402	变异鹅		0	0	0	0	0	0							0	0
3409	鹅宝宝		0	0	0	0	0	0							0	0
3410	成年霸王龙		0	0	0	0	0	0							0	0
3411	变异霸王龙		0	0	0	0	0	0							0	0
3412	变异霸王龙		0	0	0	0	0	0							0	0
3419	霸王龙宝宝		0	0	0	0	0	0							0	0
3420	成年企鹅		0	0	0	0	0	0							0	0
3421	变异企鹅		0	0	0	0	0	0							0	0
3422	变异企鹅		0	0	0	0	0	0							0	0
3429	企鹅宝宝		0	0	0	0	0	0							0	0
3430	成年袋鼠		0	0	0	0	0	0							0	0
3431	变异袋鼠		0	0	0	0	0	0							0	0
3432	变异袋鼠		0	0	0	0	0	0							0	0
3439	袋鼠宝宝		0	0	0	0	0	0							0	0
3440	成年鸭嘴兽		0	0	0	0	0	0							0	0
3441	变异鸭嘴兽		0	0	0	0	0	0							0	0
3442	变异鸭嘴兽		0	0	0	0	0	0							0	0
3449	鸭嘴兽宝宝		0	0	0	0	0	0							0	0
3450	成年猪		0	0	0	0	0	0							0	0
3451	变异猪		0	0	0	0	0	0							0	0
3459	猪宝宝		0	0	0	0	0	0							0	0
3460	成年青蛙		0	0	0	0	0	0							0	0
3461	变异青蛙		0	0	0	0	0	0							0	0
3469	青蛙宝宝		0	0	0	0	0	0							0	0
3470	成年小象		0	0	0	0	0	0							0	0
3471	变异小象		0	0	0	0	0	0							0	0
3479	小象宝宝		0	0	0	0	0	0							0	0
3480	成年雪狐		0	0	0	0	0	0							0	0
3481	变异雪狐		0	0	0	0	0	0							0	0
3489	雪狐宝宝		0	0	0	0	0	0							0	0
3490	成年狼	#B玄武岛#{_INFOAIM200,162,112,-1}#W	34	0	0	0	0	0							0	0
3491	变异狼	#B玄武岛#{_INFOAIM200,162,112,-1}#W	2	0	0	0	0	0							0	0
3492	变异狼	#B玄武岛#{_INFOAIM200,162,112,-1}#W	2	0	0	0	0	0							0	0
3499	狼宝宝	#B玄武岛#{_INFOAIM200,162,112,-1}#W	0	0	0	0	0	0							0	0
