INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1000030	460	14	0	1	0		200	66	白额虎	#{MIS_TAR_ADD_260}	#{Mis_K_Songshan_1000030}	#{RW_20080321_80}	#{RW_20080321_83}	3	柴进	0	3	柴进	0	15	-1	-1	-1	1	白额虎		16													303	16170	-1																																		
1000031	461	14	0	1	0		200	66	遗弃木人	#{MIS_TAR_ADD_261}	#{Mis_K_Songshan_1000031}	#{RW_20080321_81}	#{RW_20080321_84}	3	柴进	0	3	柴进	0	15	-1	-1	-1	1	遗弃木人		16													240	11760	-1																																		
1000032	462	14	0	1	0		200	66	颍水狼	#{MIS_TAR_ADD_262}	#{Mis_K_Songshan_1000032}	#{RW_20080321_82}	#{RW_20080321_85}	3	柴进	0	3	柴进	0	15	-1	-1	-1	1	颍水狼		20													240	11340	-1																																		
#西湖																																										-1																																		
1000040	641	41	0	1	0		187	256	花港毒蜂	#{MIS_TAR_ADD_264}	#{Mis_K_Xihu_1000040}	#{RW_20080321_86}	#{RW_20080321_89}	30	马汉	0	30	马汉	0	20	-1	-1	-1	1	花港毒蜂		20													3300	22500	-1																		10422104	1	10420063	1													
1000041	642	41	0	1	0		187	256	水鬼探子	#{MIS_TAR_ADD_265}	#{Mis_K_Xihu_1000041}	#{RW_20080321_87}	#{RW_20080321_90}	30	马汉	0	30	马汉	0	20	-1	-1	-1	1	水鬼探子		20													2800	21000	-1																																		
#1000042	648	41	0	1	0		164	262	苏飞的世界	#{MIS_TAR_ADD_266}	#{Mis_K_Xihu_1000042}	#{RW_20080321_88}	#{RW_20080321_91}	30	苏飞	0	30	苏飞	0	25	645	646	647	1	麦友仁		1													1800	18000	-1																		10412063	1	10413065	1	10402065	1											1010235
#雁南																																										-1																																		
1000050	520	29	0	1	0		242	72	狼害	#{MIS_TAR_ADD_268}	#{Mis_K_Yannan_1000050}	#{RW_20080321_92}	#{RW_20080321_99}	18	周无畏	0	18	周无畏	0	30	-1	-1	-1	1	西北狼		20													5700	16900	-1																																		
1000051	521	29	0	1	0		242	72	豹害	#{MIS_TAR_ADD_269}	#{Mis_K_Yannan_1000051}	#{RW_20080321_93}	#{RW_20080321_100}	18	周无畏	0	18	周无畏	0	30	-1	-1	-1	1	金钱豹		20													5600	14200	-1																																		
1000052	523	29	0	1	0		262	47	一打秦家寨	#{MIS_TAR_ADD_270}	#{Mis_K_Yannan_1000052}	#{RW_20080321_94}	#{RW_20080321_101}	18	种世衡	0	18	种世衡	0	32	-1	-1	-1	1	秦家寨探子		30													5220	15800	-1																																		
1000053	525	29	0	1	0		262	47	二打秦家寨	#{MIS_TAR_ADD_271}	#{Mis_K_Yannan_1000053}	#{RW_20080321_95}	#{RW_20080321_102}	18	种世衡	0	18	种世衡	0	32	-1	-1	-1	1	秦家寨喽啰		30													4700	18900	-1																																		
1000054	526	29	0	1	0		262	47	周处除三害	#{MIS_TAR_ADD_272}	#{Mis_K_Yannan_1000054}	#{RW_20080321_96}	#{RW_20080321_103}	18	周无畏	0	18	种世衡	0	35	520	521	-1	1	骆奉仙		1													4890	14500	-1																		10420065	1	10422106	1													
1000055	527	29	0	1	0		262	47	三打秦家寨	#{MIS_TAR_ADD_273}	#{Mis_K_Yannan_1000055}	#{RW_20080321_97}	#{RW_20080321_104}	18	种世衡	0	18	种世衡	0	35	-1	-1	-1	1	秦家寨亲兵		30													4570	23300	-1																																		
1000056	529	29	0	1	0		262	47	胜利的曙光	#{MIS_TAR_ADD_274}	#{Mis_K_Yannan_1000056}	#{RW_20080321_98}	#{RW_20080321_105}	18	种世衡	0	18	种世衡	0	35	523	525	527	1	秦伯起		1													4600	20000	-1																		10413066	1	10411072	1													
#雁北																																										-1																																		
1000060	531	30	0	1	0		195	41	混乱的劫匪	#{MIS_TAR_ADD_276}	#{Mis_K_Yanbei_1000060}	#{RW_20080321_106}	#{RW_20080321_109}	19	耶律余睹	0	19	耶律余睹	0	45	-1	-1	-1	1	秦家寨劫匪		30													7700	22300	-1																																		
1000061	534	30	0	1	0		195	41	混乱的护卫	#{MIS_TAR_ADD_277}	#{Mis_K_Yanbei_1000061}	#{RW_20080321_107}	#{RW_20080321_110}	19	耶律余睹	0	19	耶律余睹	0	45	-1	-1	-1	1	秦家寨护卫		30													8500	24800	-1																																		
1000063	538	30	0	1	0		195	41	混乱的教头	#{MIS_TAR_ADD_278}	#{Mis_K_Yanbei_1000063}	#{RW_20080321_108}	#{RW_20080321_110}	19	耶律余睹	0	19	耶律余睹	0	51	-1	-1	-1	1	秦家寨教头		30													9000	21000	-1																		10404063	1	10411075	1													
#石林																																										-1																																		
1000070	601	37	0	1	0		180	160	石林中的狼蛛	#{MIS_TAR_ADD_280}	#{Mis_K_Shilin_1000070}	#{RW_20080321_111}	#{RW_20080321_114}	26	杨莲子	0	26	杨莲子	0	55	-1	-1	-1	1	狼蛛		30													26600	29000	-1																		10413071	1	10411077	1													
1000071	606	37	0	1	0		45	44	点到为止	#{MIS_TAR_ADD_281}	#{Mis_K_Shilin_1000071}	#{RW_20080321_112}	#{RW_20080321_115}	26	秦红棉	0	26	秦红棉	0	55	-1	-1	-1	3	花岗石狮	0	25	花岗石人	0	25	叶岩石人	0	25							41600	68000	-1																																		
1000072	607	37	0	1	0		182	163	除恶务尽	#{MIS_TAR_ADD_282}	#{Mis_K_Shilin_1000072}	#{RW_20080321_113}	#{RW_20080321_116}	26	郑玄	0	26	郑玄	0	55	606	-1	-1	1	石人偃师	0	30													28000	27600	-1																		10400065	1	10401066	1	10403066	1											
#草原																																										-1																																		
1000080	540	31	0	1	0		198	202	脆弱的粮道	#{MIS_TAR_ADD_284}	#{Mis_K_Caoyuan_1000080}	#{RW_20080321_117}	#{RW_20080321_121}	20	阮实	0	20	阮实	0	60	-1	-1	-1	1	草原狼	0	30													27300	31000	-1																																		
1000081	542	31	0	1	0		164	158	郡主的命令	#{MIS_TAR_ADD_285}	#{Mis_K_Caoyuan_1000081}	#{RW_20080321_118}	#{RW_20080321_122}	20	萧蔷	0	20	萧蔷	0	62	-1	-1	-1	1	闪电马匪	0	35													31000	34900	-1																																		
1000082	543	31	0	1	0		164	158	英雄的证明	#{MIS_TAR_ADD_286}	#{Mis_K_Caoyuan_1000082}	#{RW_20080321_119}	#{RW_20080321_123}	20	萧蔷	0	20	萧蔷	0	62	-1	-1	-1	1	追风马匪	0	35													31000	34500	-1																																		
1000083	548	31	0	1	0		198	202	煮豆燃萁	#{MIS_TAR_ADD_287}	#{Mis_K_Caoyuan_1000083}	#{RW_20080321_120}	#{RW_20080321_124}	20	阮实	0	20	阮实	0	65	-1	-1	-1	1	打草谷宋兵	0	40													41800	49000	-1																		10420071	1	10413072	1													
#辽西																																										-1																																		
1000090	555	32	0	1	0		168	204	红衣马匪	#{MIS_TAR_ADD_313}	#{Mis_K_Liaoxi_1000090}	#{RW_20080321_125}	#{RW_20080321_129}	21	耶律金	0	21	耶律金	0	78	-1	-1	-1	1	红衣马匪	0	40													96500	62900	-1																																		
1000091	556	32	0	1	0		168	204	黑衣马匪	#{MIS_TAR_ADD_314}	#{Mis_K_Liaoxi_1000091}	#{RW_20080321_126}	#{RW_20080321_130}	21	耶律金	0	21	耶律金	0	78	-1	-1	-1	1	黑衣马匪	0	40													96500	62000	-1																																		
1000092	557	32	0	1	0		168	204	擒贼擒王	#{MIS_TAR_ADD_315}	#{Mis_K_Liaoxi_1000092}	#{RW_20080321_127}	#{RW_20080321_131}	21	耶律金	0	21	耶律金	0	80	-1	-1	-1	1	阿史那默谷	0	1													54500	68000	-1																		10420073	1	10422115	1													
1000093	559	32	0	1	0		168	204	莽盖三杰	#{MIS_TAR_ADD_316}	#{Mis_K_Liaoxi_1000093}	#{RW_20080321_128}	#{RW_20080321_132}	21	耶律金	0	21	耶律金	0	80	-1	-1	-1	3	莽盖龙胜	0	1	莽盖萧允	0	1	莽盖李通	0	1							58000	80000	-1																		10410074	1	10421072	1	10413075	1											
#洱海																																										-1																																		
1000110	581	36	0	1	0		57	73	清理野人	#{MIS_TAR_ADD_289}	#{Mis_K_Erhai_1000100}	#{RW_20080321_133}	#{RW_20080321_138}	24	刀琅玕	0	24	刀琅玕	0	25	-1	-1	-1	1	赤脚野人	0	25													2600	6600	-1								10411071	1																									
1000111	582	36	0	1	0		57	73	清理花斑豹	#{MIS_TAR_ADD_290}	#{Mis_K_Erhai_1000101}	#{RW_20080321_134}	#{RW_20080321_139}	24	刀琅玕	0	24	刀琅玕	0	25	-1	-1	-1	1	花斑豹	0	25													2700	11100	-1																																		
1000112	585	36	0	1	0		207	49	收复矿洞	#{MIS_TAR_ADD_291}	#{Mis_K_Erhai_1000102}	#{RW_20080321_135}	#{RW_20080321_140}	24	刀尧	0	24	刀尧	0	28	-1	-1	-1	1	狼族探子	0	25													2900	16050	-1																																		
1000113	586	36	0	1	0		207	49	收复坝子	#{MIS_TAR_ADD_292}	#{Mis_K_Erhai_1000103}	#{RW_20080321_136}	#{RW_20080321_141}	24	刀尧	0	24	刀尧	0	28	-1	-1	-1	1	狼族荆棘使	0	25													3000	17400	-1																																		
1000114	587	36	0	1	0		207	49	收复茶马道	#{MIS_TAR_ADD_293}	#{Mis_K_Erhai_1000104}	#{RW_20080321_137}	#{RW_20080321_142}	24	刀尧	0	24	刀尧	0	28	-1	-1	-1	1	狼族战士	0	25													3000	21750	-1																		10422105	1	10420064	1													
#苍山																																										-1																																		
1000120	590	35	0	1	0		195	113	武力的考验	#{MIS_TAR_ADD_295}	#{Mis_K_Cangshan_1000120}	#{RW_20080321_143}	#{RW_20080321_148}	25	萨都	0	25	萨都	0	40	-1	-1	-1	1	雪狼	0	30													9400	22600	-1																																		
1000121	592	35	0	1	0		195	113	异族的友谊	#{MIS_TAR_ADD_296}	#{Mis_K_Cangshan_1000121}	#{RW_20080321_144}	#{RW_20080321_149}	25	萨都	0	25	萨都	0	40	-1	-1	-1	1	狼族勇士	0	30													8000	14700	-1																																		
1000122	595	35	0	1	0		156	206	拦路的头人	#{MIS_TAR_ADD_297}	#{Mis_K_Cangshan_1000122}	#{RW_20080321_145}	#{RW_20080321_150}	25	萨玛	0	25	萨玛	0	43	594	-1	-1	1	狼族头人	0	30													8500	15000	-1																																		1010120
1000123	596	35	0	1	0		156	206	拦路的土司	#{MIS_TAR_ADD_298}	#{Mis_K_Cangshan_1000123}	#{RW_20080321_146}	#{RW_20080321_151}	25	萨玛	0	25	萨玛	0	43	594	-1	-1	1	狼族土司	0	30													8400	21000	-1																																		
1000124	598	35	0	1	0		202	108	灵魂的救赎	#{MIS_TAR_ADD_299}	#{Mis_K_Cangshan_1000124}	#{RW_20080321_147}	#{RW_20080321_152}	25	萨桑	0	25	萨桑	0	43	597	-1	-1	3	莫菲	0	1	贝尔	0	1	迪亚	0	1							8200	12000	-1																		10420067	1	10422108	1													
#武夷																																										-1																																		
1000130	660	43	0	1	0		195	42	白猿之害	#{MIS_TAR_ADD_301}	#{Mis_K_Wuyi_1000130}	#{RW_20080321_153}	#{RW_20080321_159}	32	紫薇	0	32	紫薇	0	50	-1	-1	-1	1	深谷白猿	0	30													10700	21600	-1																																		
1000131	661	43	0	1	0		195	42	蜘蛛之害	#{MIS_TAR_ADD_302}	#{Mis_K_Wuyi_1000131}	#{RW_20080321_154}	#{RW_20080321_160}	32	紫薇	0	32	紫薇	0	50	-1	-1	-1	1	白花蜘蛛	0	30													10000	21400	-1																		10422110	1	10421069	1													
1000132	662	43	0	1	0		195	42	背叛者	#{MIS_TAR_ADD_303}	#{Mis_K_Wuyi_1000132}	#{RW_20080321_155}	#{RW_20080321_161}	32	紫薇	0	32	紫薇	0	50	-1	-1	-1	1	树甲哨兵	0	1													7800	10600	-1																		10412069	1	10411076	1	10420069	1											1010130
1000133	664	43	0	1	0		205	44	手足相残	#{MIS_TAR_ADD_304}	#{Mis_K_Wuyi_1000133}	#{RW_20080321_156}	#{RW_20080321_162}	32	水仙	0	32	水仙	0	53	663	-1	-1	1	山越盗匪	0	30													9800	23500	-1																		10413070	1	10410069	1													
1000134	665	43	0	1	0		205	44	大开杀戒	#{MIS_TAR_ADD_305}	#{Mis_K_Wuyi_1000134}	#{RW_20080321_157}	#{RW_20080321_162}	32	水仙	0	32	水仙	0	53	663	-1	-1	1	山越战士	0	30													11100	24600	-1																																		
1000135	666	43	0	1	0		205	44	格杀勿论	#{MIS_TAR_ADD_306}	#{Mis_K_Wuyi_1000135}	#{RW_20080321_158}	#{RW_20080321_162}	32	水仙	0	32	水仙	0	53	663	-1	-1	1	山越刀客	0	30													12200	25700	-1																																		
#龙泉																																										-1																																		
1000140	650	42	0	1	0		154	131	保护茶园	#{MIS_TAR_ADD_308}	#{Mis_K_Longquan_1000140}	#{RW_20080321_163}	#{RW_20080321_167}	31	翁季之	0	31	翁季之	0	35	-1	-1	-1	1	龙泉豹	0	30													6200	16000	-1																		10405063	1	10402066	1	10400059	1											
1000141	652	42	0	1	0		207	63	拦路水鬼	#{MIS_TAR_ADD_309}	#{Mis_K_Longquan_1000141}	#{RW_20080321_164}	#{RW_20080321_168}	31	法念	0	31	法念	0	35	651	-1	-1	1	拦路水鬼	0	30													6600	20000	-1																																		
1000142	653	42	0	1	0		207	63	纵火水鬼	#{MIS_TAR_ADD_310}	#{Mis_K_Longquan_1000142}	#{RW_20080321_165}	#{RW_20080321_168}	31	法念	0	31	法念	0	35	651	-1	-1	1	纵火水鬼	0	30													6300	19000	-1																																		
1000143	654	42	0	1	0		207	63	凿船水鬼	#{MIS_TAR_ADD_311}	#{Mis_K_Longquan_1000143}	#{RW_20080321_166}	#{RW_20080321_168}	31	法念	0	31	法念	0	35	651	-1	-1	1	凿船水鬼	0	30													4500	19500	-1																																		
#苗疆																																										-1																																		
1000150	630	40	0	1	0		182	265	胆怯的阿雨	#{MIS_TAR_ADD_320}	#{Mis_K_Miaojiang_1000150}	#{RW_20080321_169}	#{RW_20080321_171}	29	阿雨	0	29	阿雨	0	96	-1	-1	-1	1	沼泽鳄鱼	0	50													88000	90000	-1																																		
1000151	638	40	0	1	0		182	265	战争的原因	#{MIS_TAR_ADD_321}	#{Mis_K_Miaojiang_1000151}	#{RW_20080321_170}	#{RW_20080321_172}	29	扬明	0	29	阿雨	0	98	-1	-1	-1	1	古汉	0	1													92000	99000	-1																		10401070	1	10402072	1	10400072	1											
#南诏																																										-1																																		
1000160	620	39	0	1	0		150	49	凤凰旧寨	#{MIS_TAR_ADD_323}	#{Mis_K_Nanzhao_1000160}	#{RW_20080321_173}	#{RW_20080321_177}	28	阿瓦	0	28	阿瓦	0	84	-1	-1	-1	1	黑沼豹	0	40													82000	64000	-1																		10420075	1	10410077	1													
1000161	622	39	0	1	0		151	68	黑苗战士	#{MIS_TAR_ADD_324}	#{Mis_K_Nanzhao_1000161}	#{RW_20080321_174}	#{RW_20080321_178}	28	阿旺	0	28	阿旺	0	84	621	-1	-1	1	黑苗战士	0	40													83000	67000	-1																																		
1000162	623	39	0	1	0		157	223	藤甲贼	#{MIS_TAR_ADD_325}	#{Mis_K_Nanzhao_1000162}	#{RW_20080321_175}	#{RW_20080321_179}	28	扬明	0	28	扬明	0	87	-1	-1	-1	1	藤甲贼	0	40													84000	68000	-1																																		1030160
1000163	626	39	0	1	0		147	47	争夺矿山	#{MIS_TAR_ADD_326}	#{Mis_K_Nanzhao_1000163}	#{RW_20080321_176}	#{RW_20080321_180}	28	白兰	0	28	白兰	0	87	-1	-1	-1	1	藤甲勇士	0	40													85000	68000	-1																		10413078	1	10411083	1	10412075	1											
#玉溪																																										-1																																		
1000170	615	38	0	1	0		279	47	女娲石人	#{MIS_TAR_ADD_328}	#{Mis_K_Yuxi_1000170}	#{RW_20080321_181}	#{RW_20080321_184}	27	阿黑	0	27	阿黑	0	72	-1	-1	-1	1	女娲石人	0	35													32000	40000	-1																																		
1000171	616	38	0	1	0		279	47	偃师护法	#{MIS_TAR_ADD_329}	#{Mis_K_Yuxi_1000171}	#{RW_20080321_182}	#{RW_20080321_184}	27	阿黑	0	27	阿黑	0	72	-1	-1	-1	1	偃师护法	0	35													32000	40000	-1																																		
1000172	617	38	0	1	0		279	47	大偃师	#{MIS_TAR_ADD_330}	#{Mis_K_Yuxi_1000172}	#{RW_20080321_183}	#{RW_20080321_184}	27	阿黑	0	27	阿黑	0	72	-1	-1	-1	1	大偃师	0	35													32000	41000	-1																		10413074	1	10422114	1													
#梅岭																																										-1																																		
1000180	671	44	0	1	0		170	73	坎坷的商途	#{MIS_TAR_ADD_332}	#{Mis_K_Meiling_1000180}	#{RW_20080321_185}	#{RW_20080321_188}	33	沈万三	0	33	沈万三	0	65	-1	-1	-1	1	丛林野人	0	30													36200	29000	-1																																		
1000181	673	44	0	1	0		195	48	泾渭分明	#{MIS_TAR_ADD_333}	#{Mis_K_Meiling_1000181}	#{RW_20080321_186}	#{RW_20080321_189}	33	太阳花	0	33	太阳花	0	67	-1	-1	-1	1	山越护法	0	30													41000	32000	-1																																		
1000182	674	44	0	1	0		161	286	以眼还眼	#{MIS_TAR_ADD_334}	#{Mis_K_Meiling_1000182}	#{RW_20080321_187}	#{RW_20080321_190}	33	荆棘	0	33	荆棘	0	67	-1	-1	-1	1	山越祭司	0	30													38300	32000	-1																		10411079	1	10400066	1													
#南海																																										-1																																		
1000190	680	45	0	1	0		111	60	黑暗	#{MIS_TAR_ADD_336}	#{Mis_K_Nanhai_1000190}	#{RW_20080321_191}	#{RW_20080321_192}	34	丁涟漪	0	34	丁涟漪	0	80	-1	-1	-1	1	鳄鱼帮混混	0	35													50000	52900	-1																																		
#琼州																																										-1																																		
1000200	690	46	0	1	0		274	269	青青子衿	#{MIS_TAR_ADD_338}	#{Mis_K_Qiongzhou_1000200}	#{RW_20080321_193}	#{RW_20080321_196}	35	悠悠	0	35	悠悠	0	92	-1	-1	-1	1	嗜血鳄鱼	0	45													67000	68000	-1																																		1050005
1000201	696	46	0	1	0		256	242	剪除勇士	#{MIS_TAR_ADD_339}	#{Mis_K_Qiongzhou_1000201}	#{RW_20080321_194}	#{RW_20080321_197}	35	岳老三	0	35	岳老三	0	94	-1	-1	-1	1	鳄鱼帮勇士	0	45													70000	75000	-1																																		1030202
1000202	697	46	0	1	0		256	242	剪除杀手	#{MIS_TAR_ADD_340}	#{Mis_K_Qiongzhou_1000202}	#{RW_20080321_195}	#{RW_20080321_198}	35	岳老三	0	35	岳老三	0	94	-1	-1	-1	1	鳄鱼帮杀手	0	45													70000	76000	-1																																		
#黄龙																																										-1																																		
1000210	570	34	0	1	0		163	191	荒蛮的原野	#{MIS_TAR_ADD_342}	#{Mis_K_Huanglong_1000210}	#{RW_20080321_199}	#{RW_20080321_207}	23	拓跋文	0	23	拓跋文	0	98	-1	-1	-1	1	大黑熊	0	50													88500	94000	-1																																		
1000211	572	34	0	1	0		166	204	危险的处境	#{MIS_TAR_ADD_343}	#{Mis_K_Huanglong_1000211}	#{RW_20080321_200}	#{RW_20080321_208}	23	符夕颜	0	23	符夕颜	0	98	-1	-1	-1	1	雪山莽盖	0	50													98000	102000	-1																																		
1000212	575	34	0	1	0		45	276	重甲的战斗	#{MIS_TAR_ADD_344}	#{Mis_K_Huanglong_1000212}	#{RW_20080321_201}	#{RW_20080321_209}	23	慕容天狼	0	23	慕容天狼	0	98	574	-1	-1	1	重甲莽盖	0	50													92000	109000	-1																																		1010212
1000213	576	34	0	1	0		45	276	巴伦的战斗	#{MIS_TAR_ADD_345}	#{Mis_K_Huanglong_1000213}	#{RW_20080321_202}	#{RW_20080321_210}	23	慕容天狼	0	23	慕容天狼	0	98	574	-1	-1	1	巴伦莽盖	0	50													94000	113000	-1																																		
#10-30级任务																																																																												
1000220	906	14	0	1	0		209	79	驱逐恶猿	#{MIS_TAR_ADD_347}	#{new_10_30Mis_002}	#{RW_20080321_203}	#{RW_20080321_211}	3	萧让	0	3	萧让	0	15	-1	-1	-1	1	恶猿	0	16													240	8400	-1																																		
1000221	907	14	0	1	0		209	79	驱逐铜人	#{MIS_TAR_ADD_348}	#{new_10_30Mis_003}	#{RW_20080321_204}	#{RW_20080321_212}	3	萧让	0	3	萧让	0	18	-1	-1	-1	1	遗弃铜人	0	20													353	12450	-1																		10412014	1	10412015	1	10412016	1											
1000222	910	41	0	1	0		187	256	龙井水贼	#{MIS_TAR_ADD_349}	#{new_10_30Mis_006}	#{RW_20080321_205}	#{RW_20080321_213}	30	马汉	0	30	马汉	0	20	-1	-1	-1	1	龙井水贼	0	20													4300	22500	-1																		10413014	1	10413015	1	10413016	1											
1000223	916	54	0	1	0		175	100	武艺的试炼	#{MIS_TAR_ADD_350}	#{new_10_30Mis_012}	#{RW_20080321_206}	#{RW_20080321_214}	123	孙德龙	0	123	孙德龙	0	15	915	-1	-1	1	盗墓小贼	0	20													1500	3000	-1																																		1010239
#峨眉技能任务																																																																												
1000230	921	26	0	1	0		107	112	回马枪	#{MIS_TAR_ADD_352}	#{emei_skill_mis_04}	#{RW_20080321_215}	#{RW_20080321_216}	1	庞安时	0	1	庞安时	0	20	920	-1	-1	2	麦友义	0	1	追尾水鬼	0	4										2000	1000	-1																																		1010242
#75英雄任务																																																																												
1000300	350	55	0	1	0		267	116	天下英雄谁敌手—精壮恶猴	#{MIS_TAR_ADD_356}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	252	-1	-1	1	精壮恶猴	0	20													5000	30000	-1																																		1000301
1000301	351	55	0	1	0		267	116	天下英雄谁敌手—熔岩石人	#{MIS_TAR_ADD_358}	#{Mis_Hero_shaguai}	#{RW_20080321_217}	#{RW_20080321_218}	1	王安石	0	1	王安石	0	75	350	-1	-1	1	熔岩石人	0	20													5000	30000	-1																																		1000302
