INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10	6	30300010	90	1	9000	65	0	0	30300020	90	1	9000	65	0	0	30300030	90	1	9000	65	0	0	30300040	90	1	9000	65	0	0	30300050	90	1	9000	65	0	0	30300060	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0	0	0	90	1	9000	65	0
11	2	30303055	30	1	3000	66	0	0	30303056	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0	0	0	30	1	3000	66	0
12	3	30303057	56	1	5600	67	0	0	30303058	56	1	5600	67	0	0	30303059	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0	0	0	56	1	5600	67	0
13	3	30303060	90	1	9000	68	0	0	30303061	90	1	9000	68	0	0	30303062	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0	0	0	90	1	9000	68	0
14	6	30304045	30	1	3000	69	0	0	30304046	30	1	3000	69	0	0	30304047	30	1	3000	69	0	0	30304048	30	1	3000	69	0	0	30304049	30	1	3000	69	0	0	30304050	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0	0	0	30	1	3000	69	0
15	6	30304051	56	1	5600	70	0	0	30304052	56	1	5600	70	0	0	30304053	56	1	5600	70	0	0	30304054	56	1	5600	70	0	0	30304055	56	1	5600	70	0	0	30304056	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0	0	0	56	1	5600	70	0
16	6	30304057	90	1	9000	71	0	0	30304058	90	1	9000	71	0	0	30304059	90	1	9000	71	0	0	30304060	90	1	9000	71	0	0	30304061	90	1	9000	71	0	0	30304062	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0	0	0	90	1	9000	71	0
17	3	20400012	0	40	0	76	6000	0	20400068	0	40	0	76	7500	0	20400072	0	40	0	76	10500	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0
18	3	20400010	0	40	0	76	6000	0	20400068	0	40	0	76	7500	0	20400072	0	40	0	76	10500	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0
19	3	20400012	0	40	0	76	6000	0	20400082	0	40	0	76	7500	0	20400075	0	40	0	76	10500	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0
20	3	20400010	0	40	0	76	6000	0	20400082	0	40	0	76	7500	0	20400075	0	40	0	76	10500	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	6000	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0	0	0	0	40	0	76	0
