INT	STRING	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	INT
46	碧水金睛兽	1	2172	0.7	532	23	attach1	23	attach1	-1	1
47	旋转木马	2	2244	0.7	1079	23	attach1	23	attach2	-1	-1
48	年兽	1	2253	0.7	1077	23	attach1	23	attach1	-1	1
49	花车	2	2254	0.6	1078	26	attach1	26	attach2	-1	-1
50	白云	1	2293	0.7	1080	23	attach1	23	attach1	-1	1
51	黑土	1	2294	0.7	1081	23	attach1	23	attach1	-1	1
52	巨猿	1	5023	0.7	1090	26	attach1	26	attach1	-1	1
53	鹜影雕	1	2365	0.5	1096	23	attach1	12	attach1	-1	-1
54	琉璃凤	1	2366	0.5	1091	23	attach1	15	attach1	-1	-1
55	瑞莲鹤	1	2367	0.9	1097	26	attach1	14	attach1	-1	-1
56	如意虎	1	2368	0.5	1094	23	attach1	9	attach1	-1	1
57	银月狼	1	2369	0.5	1092	23	attach1	11	attach1	-1	1
58	七彩鹿	1	2370	0.6	1098	23	attach1	13	attach1	-1	1
59	龙血马	1	2371	0.6	1095	23	attach1	10	attach1	-1	1
60	青牦牛	1	2372	0.6	1099	23	attach1	17	attach1	-1	1
61	烈焰狮	1	2373	0.6	1093	23	attach1	19	attach1	-1	1
62	幻羽	1	2376	0.7	1100	28	attach1	28	attach1	-1	-1
63	闪电貂	1	2399	0.6	1101	25	attach1	25	attach1	-1	1
64	蝶羽	1	2419	0.7	1102	28	attach1	28	attach1	-1	-1
65	巴天虎	1	2492	0.7	1103	23	attach1	23	attach1	-1	1
66	羚羊	1	2508	0.6	1105	25	attach1	25	attach1	-1	1
67	雪羚羊	1	2509	0.6	1106	25	attach1	25	attach1	-1	1
68	幽光羚	1	2510	0.6	1107	23	attach1	17	attach1	-1	1
69	飞龙椅	2	2512	0.6	1104	26	attach1	26	attach2	-1	-1
70	火焰貂	1	2551	0.6	1109	25	attach1	25	attach1	-1	1
71	熊猫	1	2552	0.7	1110	23	attach1	23	attach1	-1	1
72	雷刃兽	1	2553	0.7	1111	23	attach1	23	attach1	-1	1
73	赤魅鹰	2	2554	0.7	1112	23	attach1	23	attach2	-1	-1
74	暗魅鹰	2	2555	0.7	1113	23	attach1	23	attach2	-1	-1
75	紫魅鹰	2	2556	0.7	1114	23	attach1	23	attach2	-1	-1
76	枯木傀儡	1	2597	0.7	1117	26	attach1	26	attach1	-1	1
77	火云邪兽	1	2598	0.7	1115	23	attach1	23	attach1	-1	1
78	玄天雷兽	1	2599	0.7	1116	23	attach1	23	attach1	-1	1
79	九州神龙	6	2674	0.7	1119	23	attach1	23	attach3	-1	-1
80	月兔	1	2686	0.7	1118	26	attach1	26	attach1	-1	1
81	江南锁甲马	1	2727	0.6	1120	23	attach1	10	attach1	-1	1
82	大漠金戈马	1	2728	0.6	1121	23	attach1	10	attach1	-1	1
83	烟雨清荷	1	2780	0.6	1123	26	attach1	26	attach1	-1	-1
84	幻火赤麟兽	1	2778	0.6	1124	23	attach1	10	attach1	-1	1
85	炙足鬼马	1	2779	0.6	1127	23	attach1	10	attach1	-1	1
86	添福锦鳞	1	2781	0.7	1126	23	attach1	23	attach1	-1	-1
87	天工玲珑鼠	1	2782	0.7	1125	26	attach1	26	attach1	-1	1
88	陆行鸟	1	2783	0.7	1122	23	attach1	23	attach1	-1	1
89	金麟舞狮	1	2798	0.7	1128	23	attach1	23	attach1	-1	1
90	寄居蟹	2	2801	0.7	1152	26	attach1	26	attach2	-1	1
91	七宝莲座	2	2838	0.6	1130	26	attach1	26	attach2	-1	-1
92	赤麟白泽	1	2840	0.7	1131	23	attach1	23	attach1	-1	1
93	青麟白泽	1	2839	0.7	1132	23	attach1	23	attach1	-1	1
94	金翅	1	2841	0.7	1129	23	attach1	23	attach1	-1	-1
95	金翅附件	1	2841	0.7	-1	23	attach1	23	attach1	-1	-1
96	翡翠御驾	6	2926	0.7	1136	26	attach1	26	attach3	-1	-1
97	烟雨清荷附件	1	2780	0.6	-1	26	attach1	26	attach1	-1	-1
98	烈焰狂犀	1	2962	0.7	1133	23	attach1	23	attach1	-1	1
99	童子台	2	2963	0.7	1134	26	attach1	26	attach2	-1	1
100	月白蛟马	1	2964	0.7	1135	25	attach1	25	attach1	-1	1
151	大风	2	2958	0.7	428	23	attach2	23	attach1	-1	-1
152	大风附件	2	2958	0.7	-1	23	attach2	23	attach1	-1	-1
153	金翅蓝色	1	2842	0.7	1137	23	attach1	23	attach1	-1	-1
154	金翅青色	1	2843	0.7	1138	23	attach1	23	attach1	-1	-1
155	金翅蓝色附件	1	2842	0.7	-1	23	attach1	23	attach1	-1	-1
156	金翅青色附件	1	2843	0.7	-1	23	attach1	23	attach1	-1	-1
157	傲雪灵狮	1	2978	0.7	1139	23	attach1	23	attach1	-1	1
158	霸世羽龙	2	3016	0.7	1140	23	attach2	23	attach1	-1	1
159	霸世羽龙附件	2	3016	0.7	-1	23	attach2	23	attach1	-1	1
160	青翼战龙	2	3018	0.7	1141	23	attach2	23	attach1	-1	1
161	青翼战龙附件	2	3018	0.7	-1	23	attach2	23	attach1	-1	1
162	绝云焱龙	2	3017	0.7	1142	23	attach2	23	attach1	-1	1
163	绝云焱龙附件	2	3017	0.7	-1	23	attach2	23	attach1	-1	1
164	福瑞雪貂	2	3210	0.6	1143	23	attach1	23	attach2	-1	1
