INT	STRING	STRING	INT	INT	STRING	INT	INT	INT
111	杜仲	草药矿石/杜仲.obj	8				710000	
112	苍术	草药矿石/苍术.obj	8				710000	
113	茯苓	草药矿石/茯苓.obj	8				710000	
114	防风	草药矿石/防风.obj	8				710000	
115	香薷	草药矿石/香薷.obj	8				710000	
116	黄连	草药矿石/元胡.obj	8				710000	
117	当归	草药矿石/青叶.obj	8				710000	
118	桂心	草药矿石/双花.obj	8				710000	
119	香附	草药矿石/桅子.obj	8				710000	
120	藿香	草药矿石/苍术.obj	8				710000	
121	回神草	草药矿石/香薷.obj	8				710000	
122	首乌	草药矿石/元胡.obj	8				710000	
123	冬虫夏草	草药矿石/红花.obj	8				710000	
124	龙葵籽	草药矿石/黄芩.obj	8				710000	
125	象贝	草药矿石/枇杷.obj	8				710000	
126	人参	草药矿石/川贝.obj	8				710000	
127	灵芝	草药矿石/防风.obj	8				710000	
128	荀草	草药矿石/茯苓.obj	8				710000	
129	莲子	草药矿石/甘草.obj	8				710000	
130	枯木春	草药矿石/枸杞子.obj	8				710000	
201	草鱼	小动物/鱼群03.model	9				712000	
202	鲫鱼	小动物/鱼群03.model	9				712000	
203	鲢鱼	小动物/鱼群03.model	9				712000	
204	平鱼	小动物/鱼群03.model	9				712000	
205	鳝鱼	小动物/鱼群03.model	9				712000	
206	黑鱼	小动物/鱼群03.model	9				712000	
207	斗鱼	小动物/鱼群03.model	9				712000	
208	鲳鱼	小动物/鱼群03.model	9				712000	
209	银鱼	小动物/鱼群03.model	9				712000	
210	鲑鱼	小动物/鱼群03.model	9				712000	
211	骨舌鱼	小动物/鱼群03.model	9				712000	
212	六线鱼	小动物/鱼群03.model	9				712000	
213	青鱼	小动物/鱼群04.model	9				712000	
214	箭鱼	小动物/鱼群04.model	9				712000	
215	鲈鱼	小动物/鱼群04.model	9				712000	
216	扁头鱼	小动物/鱼群04.model	9				712000	
217	油力鱼	小动物/鱼群04.model	9				712000	
218	秋刀鱼	小动物/鱼群04.model	9				712000	
219	梭鱼	小动物/鱼群04.model	9				712000	
220	光背鱼	小动物/鱼群04.model	9				712000	
221	钩鱼	小动物/鱼群04.model	9				712000	
222	摆鳍鱼	小动物/鱼群04.model	9				712000	
223	珍珠鱼	小动物/鱼群04.model	9				712000	
224	文昌鱼	小动物/鱼群04.model	9				712000	
225	草鱼	小动物/鱼群01.model	9				712000	
226	鲫鱼	小动物/鱼群01.model	9				712000	
227	鲢鱼	小动物/鱼群01.model	9				712000	
228	平鱼	小动物/鱼群01.model	9				712000	
229	鳝鱼	小动物/鱼群01.model	9				712000	
230	黑鱼	小动物/鱼群01.model	9				712000	
231	斗鱼	小动物/鱼群01.model	9				712000	
232	鲳鱼	小动物/鱼群01.model	9				712000	
233	银鱼	小动物/鱼群01.model	9				712000	
234	鲑鱼	小动物/鱼群01.model	9				712000	
235	骨舌鱼	小动物/鱼群01.model	9				712000	
236	六线鱼	小动物/鱼群01.model	9				712000	
237	青鱼	小动物/鱼群02.model	9				712000	
238	箭鱼	小动物/鱼群02.model	9				712000	
239	鲈鱼	小动物/鱼群02.model	9				712000	
240	扁头鱼	小动物/鱼群02.model	9				712000	
241	油力鱼	小动物/鱼群02.model	9				712000	
242	秋刀鱼	小动物/鱼群02.model	9				712000	
243	梭鱼	小动物/鱼群02.model	9				712000	
244	光背鱼	小动物/鱼群02.model	9				712000	
245	钩鱼	小动物/鱼群02.model	9				712000	
246	摆鳍鱼	小动物/鱼群02.model	9				712000	
247	珍珠鱼	小动物/鱼群02.model	9				712000	
248	文昌鱼	小动物/鱼群02.model	9				712000	
249	胭脂鱼	小动物/鱼群02.model	9				712000	
250	七星鱼	小动物/鱼群01.model	9				712000	
251	长吻鱼	小动物/鱼群01.model	9				712000	
252	多鳍鱼	小动物/鱼群01.model	9				712000	
253	翘嘴红鲌	小动物/鱼群02.model	9				712000	
254	秋白鲑	小动物/鱼群01.model	9				712000	
255	蝶鳍鱼	小动物/鱼群01.model	9				712000	
256	文鳐鱼	小动物/鱼群01.model	9				712000	
501	早产小麦（幼苗）	种植/小麦小.mesh	-1				711000	
502	早产小麦（生长中）	种植/小麦中.mesh	-1				711001	
503	早产小麦	种植/小麦大.mesh	10				711002	
504	早产大米（幼苗）	种植/大米小.mesh	-1				711000	
505	早产大米（生长中）	种植/大米中.mesh	-1				711001	
506	早产大米	种植/大米大.mesh	10				711002	
507	早产玉米（幼苗）	种植/种植玉米小.mesh	-1				711000	
508	早产玉米（生长中）	种植/种植玉米中.mesh	-1				711001	
509	早产玉米	种植/种植玉米大.mesh	10				711002	
510	早产花生（幼苗）	种植/花生小.mesh	-1				711000	
511	早产花生（生长中）	种植/花生中.mesh	-1				711001	
512	早产花生	种植/花生大.mesh	10				711002	
513	早产红薯（幼苗）	种植/红薯小.mesh	-1				711000	
514	早产红薯（生长中）	种植/红薯中.mesh	-1				711001	
515	早产红薯	种植/红薯大.mesh	10				711002	
516	早产高粱（幼苗）	种植/高粱小.mesh	-1				711000	
517	早产高粱（生长中）	种植/高粱中.mesh	-1				711001	
518	早产高粱	种植/高粱大.mesh	10				711002	
519	早产芝麻（幼苗）	种植/芝麻小.mesh	-1				711000	
520	早产芝麻（生长中）	种植/芝麻中.mesh	-1				711001	
521	早产芝麻	种植/芝麻大.mesh	10				711002	
522	早产绿豆（幼苗）	种植/绿豆小.mesh	-1				711000	
523	早产绿豆（生长中）	种植/绿豆中.mesh	-1				711001	
524	早产绿豆	种植/绿豆大.mesh	10				711002	
525	早产黄豆（幼苗）	种植/黄豆小.mesh	-1				711000	
526	早产黄豆（生长中）	种植/黄豆中.mesh	-1				711001	
527	早产黄豆	种植/黄豆大.mesh	10				711002	
528	早产蚕豆（幼苗）	种植/蚕豆小.mesh	-1				711000	
529	早产蚕豆（生长中）	种植/蚕豆中.mesh	-1				711001	
530	早产蚕豆	种植/蚕豆大.mesh	10				711002	
531	早产马铃薯（幼苗）	种植/土豆小.mesh	-1				711000	
532	早产马铃薯（生长中）	种植/土豆中.mesh	-1				711001	
533	早产马铃薯	种植/土豆大.mesh	10				711002	
534	早产芋头（幼苗）	种植/芋头小.mesh	-1				711000	
535	早产芋头（生长中）	种植/芋头中.mesh	-1				711001	
536	早产芋头	种植/芋头大.mesh	10				711002	
537	早产麻（幼苗）	种植/小麦小.mesh	-1				711000	
538	早产麻（生长中）	种植/小麦中.mesh	-1				711001	
539	早产麻	种植/小麦大.mesh	10				711002	
540	早产棉（幼苗）	种植/小麦小.mesh	-1				711000	
541	早产棉（生长中）	种植/小麦中.mesh	-1				711001	
542	早产棉	种植/小麦大.mesh	10				711002	
543	早产绸（幼苗）	种植/小麦小.mesh	-1				711000	
544	早产绸（生长中）	种植/小麦中.mesh	-1				711001	
545	早产绸	种植/小麦大.mesh	10				711002	
546	早产帛（幼苗）	种植/小麦小.mesh	-1				711000	
547	早产帛（生长中）	种植/小麦中.mesh	-1				711001	
548	早产帛	种植/小麦大.mesh	10				711002	
549	早产绢（幼苗）	种植/小麦小.mesh	-1				711000	
550	早产绢（生长中）	种植/小麦中.mesh	-1				711001	
551	早产绢	种植/小麦大.mesh	10				711002	
552	早产丝（幼苗）	种植/小麦小.mesh	-1				711000	
553	早产丝（生长中）	种植/小麦中.mesh	-1				711001	
554	早产丝	种植/小麦大.mesh	10				711002	
555	早产缎（幼苗）	种植/小麦小.mesh	-1				711000	
556	早产缎（生长中）	种植/小麦中.mesh	-1				711001	
557	早产缎	种植/小麦大.mesh	10				711002	
558	早产绫（幼苗）	种植/小麦小.mesh	-1				711000	
559	早产绫（生长中）	种植/小麦中.mesh	-1				711001	
560	早产绫	种植/小麦大.mesh	10				711002	
561	早产罗（幼苗）	种植/小麦小.mesh	-1				711000	
562	早产罗（生长中）	种植/小麦中.mesh	-1				711001	
563	早产罗	种植/小麦大.mesh	10				711002	
564	早产绒（幼苗）	种植/小麦小.mesh	-1				711000	
565	早产绒（生长中）	种植/小麦中.mesh	-1				711001	
566	早产绒	种植/小麦大.mesh	10				711002	
567	早产纱（幼苗）	种植/小麦小.mesh	-1				711000	
568	早产纱（生长中）	种植/小麦中.mesh	-1				711001	
569	早产纱	种植/小麦大.mesh	10				711002	
570	早产锦（幼苗）	种植/小麦小.mesh	-1				711000	
571	早产锦（生长中）	种植/小麦中.mesh	-1				711001	
572	早产锦	种植/小麦大.mesh	10				711002	
573	散落的宝物	师门任务/宝箱.mesh	26				712501	
574	小青蛇	任务蛇1.obj	26				715010	
575	小白蛇	任务蛇2.obj	26				715011	
576	小红蛇	任务蛇3.obj	26				715012	
577	宋军记号	师门任务/箱.obj	26				715013	
578	波斯记号	师门任务/瓶子4.obj	26				715014	
579	辽国记号	师门任务/米筐.obj	26				715015	
580	武当灵芝	师门任务/灵芝.obj	26				715016	
581	武当首乌	师门任务/何首乌.obj	26				715017	
582	武当人参	师门任务/人参2.obj	26				715018	
583	逍遥木制零件	师门任务/傀儡中央模组.obj	26				715019	
584	逍遥石制零件	师门任务/傀儡数据存储器.obj	26				715020	
585	逍遥铜制零件	师门任务/傀儡磁盘驱动器.obj	26				715021	
586	小黄猴	任务猴子1.obj	26				715022	
587	小黑猴	任务猴子2.obj	26				715023	
588	小白猴	任务猴子3.obj	26				715024	
589	毒蜈蚣	任务蜈蚣.obj	26				715025	
590	毒蟾蜍	任务蟾蜍.obj	26				715026	
591	毒蜘蛛	任务蜘蛛.obj	26				715027	
592	葡萄干	师门任务/葡萄干.obj	26				715028	
593	雪莲花	师门任务/雪莲花.obj	26				715029	
594	哈密瓜	师门任务/哈密瓜.obj	26				715030	
595	宝箱	师门任务/宝箱.mesh	26				715031	
596	散落的宝物	师门任务/宝箱.mesh	26				712502	
597	散落的宝物	师门任务/宝箱.mesh	26				712503	
598	散落的宝物	师门任务/宝箱.mesh	26				712504	
599	散落的宝物	师门任务/宝箱.mesh	26				712505	
600	散落的宝物	师门任务/宝箱.mesh	26				712506	
601	散落的宝物	师门任务/宝箱.mesh	26				712507	
602	散落的宝物	师门任务/宝箱.mesh	26				712508	
603	散落的宝物	师门任务/宝箱.mesh	26				712509	
604	散落的宝物	师门任务/宝箱.mesh	26				712510	
605	散落的宝物	师门任务/宝箱.mesh	26				712511	
606	散落的宝物	师门任务/宝箱.mesh	26				712512	
607	散落的宝物	师门任务/宝箱.mesh	26				712513	
608	散落的宝物	师门任务/宝箱.mesh	26				712514	
609	散落的宝物	师门任务/宝箱.mesh	26				712515	
610	散落的宝物	师门任务/宝箱.mesh	26				712516	
611	散落的宝物	师门任务/宝箱.mesh	26				712517	
612	散落的宝物	师门任务/宝箱.mesh	26				712518	
613	散落的宝物	师门任务/宝箱.mesh	26				712519	
614	散落的宝物	师门任务/宝箱.mesh	26				712520	
615	散落的宝物	师门任务/宝箱.mesh	26				712521	
616	散落的宝物	师门任务/宝箱.mesh	26				712522	
617	散落的宝物	师门任务/宝箱.mesh	26				712523	
618	散落的宝物	师门任务/宝箱.mesh	26				712524	
619	散落的宝物	师门任务/宝箱.mesh	26				712525	
620	散落的宝物	师门任务/宝箱.mesh	26				712528	
621	散落的宝物	师门任务/宝箱.mesh	26				712529	
622	散落的宝物	师门任务/宝箱.mesh	26				712530	
623	散落的宝物	师门任务/宝箱.mesh	26				712531	
624	散落的宝物	师门任务/宝箱.mesh	26				712532	
625	散落的宝物	师门任务/宝箱.mesh	26				712533	
701	晚产小麦（幼苗）	种植/小麦小.mesh	-1				711000	
702	晚产小麦（生长中）	种植/小麦中.mesh	-1				711001	
703	晚产小麦	种植/小麦大.mesh	10				711002	
704	晚产大米（幼苗）	种植/大米小.mesh	-1				711000	
705	晚产大米（生长中）	种植/大米中.mesh	-1				711001	
706	晚产大米	种植/大米大.mesh	10				711002	
707	晚产玉米（幼苗）	种植/种植玉米小.mesh	-1				711000	
708	晚产玉米（生长中）	种植/种植玉米中.mesh	-1				711001	
709	晚产玉米	种植/种植玉米大.mesh	10				711002	
710	晚产花生（幼苗）	种植/花生小.mesh	-1				711000	
711	晚产花生（生长中）	种植/花生中.mesh	-1				711001	
712	晚产花生	种植/花生大.mesh	10				711002	
713	晚产红薯（幼苗）	种植/红薯小.mesh	-1				711000	
714	晚产红薯（生长中）	种植/红薯中.mesh	-1				711001	
715	晚产红薯	种植/红薯大.mesh	10				711002	
716	晚产高粱（幼苗）	种植/高粱小.mesh	-1				711000	
717	晚产高粱（生长中）	种植/高粱中.mesh	-1				711001	
718	晚产高粱	种植/高粱大.mesh	10				711002	
719	晚产芝麻（幼苗）	种植/芝麻小.mesh	-1				711000	
720	晚产芝麻（生长中）	种植/芝麻中.mesh	-1				711001	
721	晚产芝麻	种植/芝麻大.mesh	10				711002	
722	晚产绿豆（幼苗）	种植/绿豆小.mesh	-1				711000	
723	晚产绿豆（生长中）	种植/绿豆中.mesh	-1				711001	
724	晚产绿豆	种植/绿豆大.mesh	10				711002	
725	晚产黄豆（幼苗）	种植/黄豆小.mesh	-1				711000	
726	晚产黄豆（生长中）	种植/黄豆中.mesh	-1				711001	
727	晚产黄豆	种植/黄豆大.mesh	10				711002	
728	晚产蚕豆（幼苗）	种植/蚕豆小.mesh	-1				711000	
729	晚产蚕豆（生长中）	种植/蚕豆中.mesh	-1				711001	
730	晚产蚕豆	种植/蚕豆大.mesh	10				711002	
731	晚产马铃薯（幼苗）	种植/土豆小.mesh	-1				711000	
732	晚产马铃薯（生长中）	种植/土豆中.mesh	-1				711001	
733	晚产马铃薯	种植/土豆大.mesh	10				711002	
734	晚产芋头（幼苗）	种植/芋头小.mesh	-1				711000	
735	晚产芋头（生长中）	种植/芋头中.mesh	-1				711001	
736	晚产芋头	种植/芋头大.mesh	10				711002	
737	晚产麻（幼苗）	种植/小麦小.mesh	-1				711000	
738	晚产麻（生长中）	种植/小麦中.mesh	-1				711001	
739	晚产麻	种植/小麦大.mesh	10				711002	
740	晚产棉（幼苗）	种植/小麦小.mesh	-1				711000	
741	晚产棉（生长中）	种植/小麦中.mesh	-1				711001	
742	晚产棉	种植/小麦大.mesh	10				711002	
743	晚产绸（幼苗）	种植/小麦小.mesh	-1				711000	
744	晚产绸（生长中）	种植/小麦中.mesh	-1				711001	
745	晚产绸	种植/小麦大.mesh	10				711002	
746	晚产帛（幼苗）	种植/小麦小.mesh	-1				711000	
747	晚产帛（生长中）	种植/小麦中.mesh	-1				711001	
748	晚产帛	种植/小麦大.mesh	10				711002	
749	晚产绢（幼苗）	种植/小麦小.mesh	-1				711000	
750	晚产绢（生长中）	种植/小麦中.mesh	-1				711001	
751	晚产绢	种植/小麦大.mesh	10				711002	
752	晚产丝（幼苗）	种植/小麦小.mesh	-1				711000	
753	晚产丝（生长中）	种植/小麦中.mesh	-1				711001	
754	晚产丝	种植/小麦大.mesh	10				711002	
755	晚产缎（幼苗）	种植/小麦小.mesh	-1				711000	
756	晚产缎（生长中）	种植/小麦中.mesh	-1				711001	
757	晚产缎	种植/小麦大.mesh	10				711002	
758	晚产绫（幼苗）	种植/小麦小.mesh	-1				711000	
759	晚产绫（生长中）	种植/小麦中.mesh	-1				711001	
760	晚产绫	种植/小麦大.mesh	10				711002	
761	晚产罗（幼苗）	种植/小麦小.mesh	-1				711000	
762	晚产罗（生长中）	种植/小麦中.mesh	-1				711001	
763	晚产罗	种植/小麦大.mesh	10				711002	
764	晚产绒（幼苗）	种植/小麦小.mesh	-1				711000	
765	晚产绒（生长中）	种植/小麦中.mesh	-1				711001	
766	晚产绒	种植/小麦大.mesh	10				711002	
767	晚产纱（幼苗）	种植/小麦小.mesh	-1				711000	
768	晚产纱（生长中）	种植/小麦中.mesh	-1				711001	
769	晚产纱	种植/小麦大.mesh	10				711002	
770	晚产锦（幼苗）	种植/小麦小.mesh	-1				711000	
771	晚产锦（生长中）	种植/小麦中.mesh	-1				711001	
772	晚产锦	种植/小麦大.mesh	10				711002	
773	普通喜糖	喜包/普通喜包.mesh	26				712526	
774	高级喜糖	喜包/高级喜包.mesh	26				712526	
775	豪华喜糖	喜包/豪华喜包.mesh	26				712526	
776	镜湖千年草	草药矿石/仙丹灵药.obj	26				710531	
777	萤火虫	草药矿石/萤火虫.obj	26				712527	
778	雪堆	0物品/npc雪堆.obj	26				712526	
779	圣诞宝箱	喜包/豪华喜包.mesh	26				712526	
780	年兽宝箱	喜包/豪华喜包.mesh	26				50052	
781	年兽宝箱	喜包/高级喜包.mesh	26				50055	
782	孔明灯	草药矿石/孔明灯1.obj	26				808085	
783	孔明灯	草药矿石/孔明灯2.obj	26				808085	
784	孔明灯	草药矿石/孔明灯3.obj	26				808085	
785	香薰	草药矿石/香薷.obj	8				710000	
786	栀子	草药矿石/桅子.obj	8				710000	
787	双花	草药矿石/双花.obj	8				710000	
788	青叶	草药矿石/青叶.obj	8				710000	
789	红花	草药矿石/红花.obj	8				710000	
790	茈碧矿石	草药矿石/茈碧矿石.obj	7				710000	
791	砾石	草药矿石/光滑的石头.obj	50				712534	
792	雁翎	草药矿石/大雁羽毛.obj	50				712534	
793	七叶莲	草药矿石/七叶莲.obj	50				712534	
794	白虎石	草药矿石/kvk白虎石.obj	51				710016	
795	盘古石	草药矿石/kvk女娲石.obj	51				710019	
796	青龙石	草药矿石/kvk青龙石.obj	51				710015	
797	玄武石	草药矿石/kvk玄武石.obj	51				710018	
798	朱雀石	草药矿石/kvk朱雀石.obj	51				710017	
