INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT
14	三股烈焰叉图样	10201014	1	4	4	20103004	40	20103064	25	20103098	24	20308014	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
15	虎尾錾金枪图样	10201015	1	4	5	20103005	45	20103065	30	20103098	27	20308015	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
16	五毒透骨枪图样	10201016	1	4	6	20103006	50	20103066	35	20103098	33	20308016	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
17	暴雨灭魂枪图样	10201017	1	4	7	20103007	55	20103067	40	20103099	48	20308017	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
18	掣星穿天图样	10201018	1	4	8	20103008	60	20103068	45	20103099	52	20308018	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
19	断肠图样	10201019	1	4	9	20103009	65	20103069	50	20103099	60	20308019	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
20	未央图样	10201020	1	4	10	20103010	70	20103070	55	20103099	64	20308020	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	2	3000	-1	-1	我填了	7	-1
21	青铜刃图样	10202011	1	4	1	20103001	25	20103061	10	20103097	12	20308021	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
22	欺霜剑图样	10202012	1	4	2	20103002	30	20103062	15	20103097	15	20308022	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
23	破军剑图样	10202013	1	4	3	20103003	35	20103063	20	20103097	21	20308023	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
24	吴钩剑图样	10202014	1	4	4	20103004	40	20103064	25	20103098	24	20308024	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
25	闭月羞光剑图样	10202015	1	4	5	20103005	45	20103065	30	20103098	27	20308025	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
26	断玉剑图样	10202016	1	4	6	20103006	50	20103066	35	20103098	33	20308026	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
27	天瀑剑图样	10202017	1	4	7	20103007	55	20103067	40	20103099	48	20308027	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
28	赤霄白帝图样	10202018	1	4	8	20103008	60	20103068	45	20103099	52	20308028	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
29	工布图样	10202019	1	4	9	20103009	65	20103069	50	20103099	60	20308029	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
30	龙渊图样	10202020	1	4	10	20103010	70	20103070	55	20103099	64	20308030	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	3	3000	-1	-1	我填了	7	-1
31	柳叶双刀图样	10203011	1	4	1	20103001	25	20103061	10	20103097	12	20308031	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
32	灵蛇双剑图样	10203012	1	4	2	20103002	30	20103062	15	20103097	15	20308032	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
33	星辰双剑图样	10203013	1	4	3	20103003	35	20103063	20	20103097	21	20308033	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
34	三星峨嵋刺图样	10203014	1	4	4	20103004	40	20103064	25	20103098	24	20308034	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
35	春秋双刀图样	10203015	1	4	5	20103005	45	20103065	30	20103098	27	20308035	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
36	殊流双斧图样	10203016	1	4	6	20103006	50	20103066	35	20103098	33	20308036	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
37	秋水雁翎双刀图样	10203017	1	4	7	20103007	55	20103067	40	20103099	48	20308037	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
38	霜天晓角图样	10203018	1	4	8	20103008	60	20103068	45	20103099	52	20308038	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
39	云追月图样	10203019	1	4	9	20103009	65	20103069	50	20103099	60	20308039	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
40	苍龙图样	10203020	1	4	10	20103010	70	20103070	55	20103099	64	20308040	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	我填了	7	-1
41	鹅毛扇图样	10204011	1	4	1	20103001	25	20103061	10	20103097	12	20308041	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
42	十字绵竹扇图样	10204012	1	4	2	20103002	30	20103062	15	20103097	15	20308042	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
43	白羽扇图样	10204013	1	4	3	20103003	35	20103063	20	20103097	21	20308043	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
44	清心扇图样	10204014	1	4	4	20103004	40	20103064	25	20103098	24	20308044	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
45	铁骨扇图样	10204015	1	4	5	20103005	45	20103065	30	20103098	27	20308045	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
46	水镜扇图样	10204016	1	4	6	20103006	50	20103066	35	20103098	33	20308046	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
47	五火七禽扇图样	10204017	1	4	7	20103007	55	20103067	40	20103099	48	20308047	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
48	风摆棕榈图样	10204018	1	4	8	20103008	60	20103068	45	20103099	52	20308048	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
49	定风波图样	10204019	1	4	9	20103009	65	20103069	50	20103099	60	20308049	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
50	凤雏图样	10204020	1	4	10	20103010	70	20103070	55	20103099	64	20308050	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	我填了	7	-1
51	白银环图样	10205011	1	4	1	20103001	25	20103061	10	20103097	12	20308051	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
52	明月环图样	10205012	1	4	2	20103002	30	20103062	15	20103097	15	20308052	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
53	五行轮图样	10205013	1	4	3	20103003	35	20103063	20	20103097	21	20308053	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
54	天地金刚圈图样	10205014	1	4	4	20103004	40	20103064	25	20103098	24	20308054	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
55	摄星环图样	10205015	1	4	5	20103005	45	20103065	30	20103098	27	20308055	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
56	天络环图样	10205016	1	4	6	20103006	50	20103066	35	20103098	33	20308056	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
57	干坤圈图样	10205017	1	4	7	20103007	55	20103067	40	20103099	48	20308057	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
58	命运图样	10205018	1	4	8	20103008	60	20103068	45	20103099	52	20308058	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
59	探花图样	10205019	1	4	9	20103009	65	20103069	50	20103099	60	20308059	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
60	斩关图样	10205020	1	4	10	20103010	70	20103070	55	20103099	64	20308060	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	我填了	7	-1
61	粗布帽图样	10210002	1	5	1	20105001	28	20103073	12	20103100	24	20308061	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
62	青布帽图样	10210004	1	5	1	20105002	32	20103074	16	20103100	27	20308062	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
63	绛麻帽图样	10210006	1	5	2	20105003	36	20103075	20	20103100	33	20308063	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
64	软绸帽图样	10210008	1	5	3	20105004	40	20103076	24	20103101	36	20308064	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
65	银锦冠图样	10210010	1	5	4	20105005	44	20103077	28	20103101	39	20308065	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
66	元灵冠图样	10210012	1	5	5	20105006	48	20103078	32	20103101	45	20308066	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
67	七星冠图样	10210014	1	5	6	20105007	52	20103079	36	20103102	64	20308067	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
68	引凤帽图样	10210016	1	5	7	20105008	56	20103080	40	20103102	68	20308068	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
69	沐水天冠图样	10210018	1	5	8	20105009	60	20103081	44	20103102	76	20308069	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
70	幻世圣巾图样	10210020	1	5	9	20105010	64	20103082	48	20103102	80	20308070	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	我填了	7	-1
71	粗布鞋图样	10211002	1	5	1	20105001	28	20103073	12	20103100	24	20308091	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
72	青布鞋图样	10211004	1	5	1	20105002	32	20103074	16	20103100	27	20308092	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
73	绛麻鞋图样	10211006	1	5	2	20105003	36	20103075	20	20103100	33	20308093	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
74	软绸鞋图样	10211008	1	5	3	20105004	40	20103076	24	20103101	36	20308094	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
75	银锦鞋图样	10211010	1	5	4	20105005	44	20103077	28	20103101	39	20308095	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
76	元灵鞋图样	10211012	1	5	5	20105006	48	20103078	32	20103101	45	20308096	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
77	七星鞋图样	10211014	1	5	6	20105007	52	20103079	36	20103102	64	20308097	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
78	引凤鞋图样	10211016	1	5	7	20105008	56	20103080	40	20103102	68	20308098	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
79	沐水天靴图样	10211018	1	5	8	20105009	60	20103081	44	20103102	76	20308099	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
80	幻世圣靴图样	10211020	1	5	9	20105010	64	20103082	48	20103102	80	20308100	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	我填了	7	-1
81	粗布手套图样	10212002	1	5	1	20105001	28	20103073	12	20103100	24	20308081	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
82	青布手套图样	10212004	1	5	1	20105002	32	20103074	16	20103100	27	20308082	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
83	绛麻手套图样	10212006	1	5	2	20105003	36	20103075	20	20103100	33	20308083	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
84	软绸手套图样	10212008	1	5	3	20105004	40	20103076	24	20103101	36	20308084	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
85	银锦手套图样	10212010	1	5	4	20105005	44	20103077	28	20103101	39	20308085	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
86	元灵手套图样	10212012	1	5	5	20105006	48	20103078	32	20103101	45	20308086	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
87	七星手套图样	10212014	1	5	6	20105007	52	20103079	36	20103102	64	20308087	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
88	引凤手套图样	10212016	1	5	7	20105008	56	20103080	40	20103102	68	20308088	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
89	沐水手套图样	10212018	1	5	8	20105009	60	20103081	44	20103102	76	20308089	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
90	幻世手套图样	10212020	1	5	9	20105010	64	20103082	48	20103102	80	20308090	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	我填了	7	-1
91	粗布衣图样	10213002	1	5	1	20105001	28	20103073	12	20103100	24	20308071	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
92	青布衣图样	10213004	1	5	1	20105002	32	20103074	16	20103100	27	20308072	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
93	绛麻衣图样	10213006	1	5	2	20105003	36	20103075	20	20103100	33	20308073	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
94	软绸衣图样	10213008	1	5	3	20105004	40	20103076	24	20103101	36	20308074	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
95	银锦衣图样	10213010	1	5	4	20105005	44	20103077	28	20103101	39	20308075	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
96	元灵衣图样	10213012	1	5	5	20105006	48	20103078	32	20103101	45	20308076	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
97	七星锦服图样	10213014	1	5	6	20105007	52	20103079	36	20103102	64	20308077	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
98	引凤锦衣图样	10213016	1	5	7	20105008	56	20103080	40	20103102	68	20308078	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
99	沐水天衣图样	10213018	1	5	8	20105009	60	20103081	44	20103102	76	20308079	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
100	幻世魔衣图样	10213020	1	5	9	20105010	64	20103082	48	20103102	80	20308080	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
101	粗布腕图样	10214002	1	5	1	20105001	28	20103073	12	20103100	24	20308131	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
102	青布腕图样	10214004	1	5	1	20105002	32	20103074	16	20103100	27	20308132	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
103	绛麻腕图样	10214006	1	5	2	20105003	36	20103075	20	20103100	33	20308133	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
104	软绸腕图样	10214008	1	5	3	20105004	40	20103076	24	20103101	36	20308134	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
105	银锦腕图样	10214010	1	5	4	20105005	44	20103077	28	20103101	39	20308135	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
106	元灵腕图样	10214012	1	5	5	20105006	48	20103078	32	20103101	45	20308136	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
107	七星腕图样	10214014	1	5	6	20105007	52	20103079	36	20103102	64	20308137	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
108	引凤腕图样	10214016	1	5	7	20105008	56	20103080	40	20103102	68	20308138	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
109	沐水天腕图样	10214018	1	5	8	20105009	60	20103081	44	20103102	76	20308139	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
110	幻世魔腕图样	10214020	1	5	9	20105010	64	20103082	48	20103102	80	20308140	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	我填了	7	-1
111	粗布肩图样	10215002	1	5	1	20105001	28	20103073	12	20103100	24	20308141	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
112	青布肩图样	10215004	1	5	1	20105002	32	20103074	16	20103100	27	20308142	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
113	绛麻肩图样	10215006	1	5	2	20105003	36	20103075	20	20103100	33	20308143	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
114	软绸肩图样	10215008	1	5	3	20105004	40	20103076	24	20103101	36	20308144	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
115	银锦肩图样	10215010	1	5	4	20105005	44	20103077	28	20103101	39	20308145	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
116	元灵肩图样	10215012	1	5	5	20105006	48	20103078	32	20103101	45	20308146	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
117	七星肩图样	10215014	1	5	6	20105007	52	20103079	36	20103102	64	20308147	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
118	引凤肩图样	10215016	1	5	7	20105008	56	20103080	40	20103102	68	20308148	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
119	沐水天肩图样	10215018	1	5	8	20105009	60	20103081	44	20103102	76	20308149	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
120	幻世魔肩图样	10215020	1	5	9	20105010	64	20103082	48	20103102	80	20308150	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	24	3000	-1	-1	我填了	7	-1
121	平安腰带图样	10221011	1	5	1	20105001	28	20103073	12	20103100	24	20308151	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
122	吉祥腰带图样	10221012	1	5	1	20105002	32	20103074	16	20103100	27	20308152	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
123	暗麟腰带图样	10221013	1	5	2	20105003	36	20103075	20	20103100	33	20308153	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
124	七星箍环图样	10221014	1	5	3	20105004	40	20103076	24	20103101	36	20308154	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
125	地灵环带图样	10221015	1	5	4	20105005	44	20103077	28	20103101	39	20308155	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
126	彻地环带图样	10221016	1	5	5	20105006	48	20103078	32	20103101	45	20308156	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
127	雾霓带图样	10221017	1	5	6	20105007	52	20103079	36	20103102	64	20308157	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
128	六艺腰环图样	10221018	1	5	7	20105008	56	20103080	40	20103102	68	20308158	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
129	催雪图样	10221019	1	5	8	20105009	60	20103081	44	20103102	76	20308159	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
130	步月图样	10221020	1	5	9	20105010	64	20103082	48	20103102	80	20308160	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	25	3000	-1	-1	我填了	7	-1
131	繁星结图样	10220011	1	6	1	20103001	7	20103085	12	20308101	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	11	3000	-1	-1	我填了	7	-1
132	黄玉项链图样	10220012	1	6	1	20103002	14	20103086	24	20308102	1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	11	3000	-1	-1	我填了	7	-1
133	两仪链图样	10220013	1	6	2	20103003	21	20103087	42	20308103	1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	11	3000	-1	-1	我填了	7	-1
134	风川链图样	10220014	1	6	3	20103004	28	20103088	54	20308104	1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	11	3000	-1	-1	我填了	7	-1
135	琉璃结图样	10220015	1	6	4	20103005	35	20103089	66	20308105	1	-1	-1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	11	3000	-1	-1	我填了	7	-1
136	宣清束图样	10220016	1	6	5	20103006	42	20103090	84	20308106	1	-1	-1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	11	3000	-1	-1	我填了	7	-1
137	阴阳链图样	10220017	1	6	6	20103007	49	20103091	96	20308107	1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	11	3000	-1	-1	我填了	7	-1
138	勾魂铃图样	10220018	1	6	7	20103008	56	20103092	108	20308108	1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	11	3000	-1	-1	我填了	7	-1
139	烈日图样	10220019	1	6	8	20103009	63	20103093	126	20308109	1	-1	-1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	11	3000	-1	-1	我填了	7	-1
140	蝶恋图样	10220020	1	6	9	20103010	69	20103094	138	20308110	1	-1	-1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	11	3000	-1	-1	我填了	7	-1
141	荆戒图样	10222011	1	6	1	20103001	7	20103085	12	20308111	1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	12	3000	-1	-1	我填了	7	-1
142	青松戒指图样	10222012	1	6	1	20103002	14	20103086	24	20308112	1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	12	3000	-1	-1	我填了	7	-1
