INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1020130	290	55	0	1	0	222	102	英雄不怕远征难——楼船水寨	#{MIS_TAR_ADD_219}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索太湖楼船水寨	2	沈括	0	2	沈括	0	75	289	-1	-1	1	4	412					5000	30000																											1020131
1020131	291	55	0	1	0	222	102	英雄不怕远征难——曲径通幽	#{MIS_TAR_ADD_220}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索嵩山曲径通幽	2	沈括	0	2	沈括	0	75	290	-1	-1	1	3	312					5000	30000																											1020132
1020132	292	55	0	1	0	222	102	英雄不怕远征难——三潭印月	#{MIS_TAR_ADD_221}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索西湖三潭印月	2	沈括	0	2	沈括	0	75	291	-1	-1	1	30	3012					5000	30000																											1020133
1020133	293	55	0	1	0	222	102	英雄不怕远征难——世外桃源	#{MIS_TAR_ADD_222}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索雁南世外桃源	2	沈括	0	2	沈括	0	75	292	-1	-1	1	18	1812					5000	30000																											1020134
1020134	294	55	0	1	0	222	102	英雄不怕远征难——枫间长虹	#{MIS_TAR_ADD_223}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索雁北枫间长虹	2	沈括	0	2	沈括	0	75	293	-1	-1	1	19	1913					5000	30000																											1020135
1020135	295	55	0	1	0	222	102	英雄不怕远征难——紫霞小筑	#{MIS_TAR_ADD_224}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索武夷紫霞小筑	2	沈括	0	2	沈括	0	75	294	-1	-1	1	32	3212					5000	30000																											1020136
1020136	296	55	0	1	0	222	102	英雄不怕远征难——凤凰梳翅	#{MIS_TAR_ADD_225}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索石林凤凰梳翅	2	沈括	0	2	沈括	0	75	295	-1	-1	1	26	2613					5000	30000																											1020137
1020137	297	55	0	1	0	222	102	英雄不怕远征难——石谷藏经	#{MIS_TAR_ADD_226}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索梅岭石谷藏经	2	沈括	0	2	沈括	0	75	296	-1	-1	1	33	3312					5000	30000																											1020138
1020138	298	55	0	1	0	222	102	英雄不怕远征难——水落石出	#{MIS_TAR_ADD_227}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索玉溪水落石出	2	沈括	0	2	沈括	0	75	297	-1	-1	1	27	2712					5000	30000																											1020139
1020139	299	55	0	1	0	222	102	英雄不怕远征难——林间树居	#{MIS_TAR_ADD_228}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索南诏林间树居	2	沈括	0	2	沈括	0	75	298	-1	-1	1	28	2813					5000	30000																											1020140
1020140	300	55	0	1	0	222	102	英雄不怕远征难——海天一色	#{MIS_TAR_ADD_229}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索琼州海天一色	2	沈括	0	2	沈括	0	75	299	-1	-1	1	35	3512					5000	30000																											1020141
1020141	301	55	0	1	0	222	102	英雄不怕远征难——野渡无人	#{MIS_TAR_ADD_230}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索苗疆野渡无人	2	沈括	0	2	沈括	0	75	300	-1	-1	1	29	2912					5000	30000																											1020142
1020142	302	55	0	1	0	222	102	英雄不怕远征难——步摇温泉	#{MIS_TAR_ADD_231}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索黄龙府步摇温泉	2	沈括	0	2	沈括	0	75	301	-1	-1	1	23	2312					5000	30000																											1020143
1020143	303	55	0	1	0	222	102	英雄不怕远征难——大理民居	#{MIS_TAR_ADD_232}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索大理大理民居	2	沈括	0	2	沈括	0	75	302	-1	-1	1	2	212					5000	30000																											1020144
1020144	304	55	0	1	0	222	102	英雄不怕远征难——檐牙高啄	#{MIS_TAR_ADD_233}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索洛阳檐牙高啄	2	沈括	0	2	沈括	0	75	303	-1	-1	1	0	12					5000	30000																											1020145
1020145	305	55	0	1	0	222	102	英雄不怕远征难——云山雾罩	#{MIS_TAR_ADD_234}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索太湖云山雾罩	2	沈括	0	2	沈括	0	75	304	-1	-1	1	4	413					5000	30000																											1020146
1020146	306	55	0	1	0	222	102	英雄不怕远征难——深山采石	#{MIS_TAR_ADD_235}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索南诏深山采石	2	沈括	0	2	沈括	0	75	305	-1	-1	1	28	2814					5000	30000																											1020147
1020147	307	55	0	1	0	222	102	英雄不怕远征难——万夫莫开	#{MIS_TAR_ADD_236}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索琼州万夫莫开	2	沈括	0	2	沈括	0	75	306	-1	-1	1	35	3513					5000	30000																											1020148
1020148	308	55	0	1	0	222	102	英雄不怕远征难——逝者如斯	#{MIS_TAR_ADD_237}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索太湖逝者如斯	2	沈括	0	2	沈括	0	75	307	-1	-1	1	4	414					5000	30000																											1020149
1020149	309	55	0	1	0	222	102	英雄不怕远征难——山城春色	#{MIS_TAR_ADD_238}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		已探索大理山城春色	2	沈括	0	2	沈括	0	75	308	-1	-1	1	2	213					5000	30000																											
#盐湖																																																													
1020150	725	56	0	1	0	48	34	白沙村的厄运	#{BSCDEY_20080228_07}	#{BSCDEY_20080228_08}	  #{WLS_20080311_09}	  #{WLS_20080311_10}	1	  #{WLS_20080311_12}	已探视热布巴拉盐坑	415	杨元	0	415	杨元	0	80	-1	-1	-1	1	415	1					40000	45000																											
#银皑雪原																																																													
1020151	743	57	0	1	0	172	25	冰封的保护神	#{Mis_XYCJ_20080227_23}	#{Mis_XYCJ_20080227_24}	#{Mis_XYCJ_20080227_26}	#{Mis_XYCJ_20080227_27}	1	#{Mis_XYCJ_20080227_25}	已探索银皑雪原的雪原冰人	188	宁令哥	0	188	宁令哥	0	73	-1	-1	-1	1	188	1881					46000	32000																											
