INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
55	山神的愤怒	山神的愤怒	0	0	0	2	5	buff_帮派驻地01	-1	buff_帮派驻地								10000	2000	200	7	12						效果1	5947	效果2	-1	效果3几率	-1	效果3	-1																									
56	山神的愤怒	山神的愤怒	0	0	0	2	5	buff_帮派驻地01	-1	buff_帮派驻地								10000	2000	200	7	12						效果1	5956	效果2	-1	效果3几率	-1	效果3	-1																									
57	山神的愤怒	山神的愤怒	0	0	0	2	5	buff_帮派驻地01	-1	buff_帮派驻地								10000	2000	200	7	12						效果1	5957	效果2	-1	效果3几率	-1	效果3	-1																									
58	山神的愤怒	山神的愤怒	0	0	0	2	5	buff_帮派驻地01	-1	buff_帮派驻地								10000	2000	200	7	12						效果1	5958	效果2	-1	效果3几率	-1	效果3	-1																									
59	寒冰	寒冰	0	0	0	2	15	boss_李秋水19	-1	boss_李秋水20	\Client\Sound\Skills\Common\冰暴.wav							30000	2000	200	5	12						效果1	10378	效果2	10379	效果3几率	-1	效果3	-1																									
60	帮主英明	帮主英明	0	1	0	0	0	yanhuo_帮主英明	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
61	跪谢	跪谢	0	1	0	0	0	yanhuo_跪谢Orz	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
62	嫁给我吧	嫁给我吧	0	1	0	0	0	yanhuo_嫁给我吧	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
63	囧rg	囧rg	0	1	0	0	0	yanhuo_orz	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
64	你是猪头	你是猪头	0	1	0	0	0	yanhuo_你是猪头	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
65	我错了	我错了	0	1	0	0	0	yanhuo_我错了	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
66	我想你了	我想你了	0	1	0	0	0	yanhuo_我想你了	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
67	永结同心	永结同心	0	1	0	0	0	yanhuo_永结同心	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
68	原谅我吧	原谅我吧	0	1	0	0	0	yanhuo_原谅我吧	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
69	心似千结	心似千结	0	1	0	0	0	yanhuo_七夕壹	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
70	金风玉露	金风玉露	0	1	0	0	0	yanhuo_七夕贰	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
71	琴瑟之好	琴瑟之好	0	1	0	0	0	yanhuo_七夕叁	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
72	绿波香露	绿波香露	3	0	0	1	1		-1	boss_飘渺峰乌老大03_zdo								4000	3000	0	5	12						效果1	19805	效果2	-1	效果3几率	-1	效果3	-1																									小缥缈峰
73	寒冰	寒冰	0	0	0	2	15	boss_李秋水19	-1	boss_李秋水20								30000	2000	200	5	12						效果1	19898	效果2	10379	效果3几率	-1	效果3	-1																									
74	北京欢迎您	北京欢迎您	0	1	0	0	0	yanhuo_奥运烟花01	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
75	中国加油	中国加油	0	1	0	0	0	yanhuo_奥运烟花03	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
76	好运中国	好运中国	0	1	0	0	0	yanhuo_奥运烟花02	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
77	奥运口号	奥运口号	0	1	0	0	0	yanhuo_奥运烟花04	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
78	心心相应	心心相应	0	1	0	0	0	yanhuo_情人节烟花	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
79	雨花之泪	雨花之泪	0	1	0	0	0	yanhuo_情人节_冰	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
80	迎春	迎春	0	1	0	0	0	yanhuo_春节快乐	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
81	恭贺新春	恭贺新春	0	1	0	0	0	yanhuo_春节烟花_灯笼	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
82	拜年啦	拜年啦	0	1	0	0	0	yanhuo_过年好	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
83	欢度元旦	欢度元旦	0	1	0	0	0	yanhuo_欢度元旦	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
84	欢度元宵	欢度元宵	0	1	0	0	0	yanhuo_欢度元宵	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
85	生日快乐	生日快乐	0	1	0	0	0	yanhuo_生日烟花1	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
86	生日快乐2	生日快乐2	0	1	0	0	0	yanhuo_生日快乐2_0	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
87	生日快乐3	生日快乐3	0	1	0	0	0	yanhuo_生日快乐3_0	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
88	圣诞快乐2	圣诞快乐2	0	1	0	0	0	yanhuo_圣诞烟花	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
89	元旦烟花	元旦烟花	0	1	0	0	0	yanhuo_元旦烟花_happy	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
90	元宵节快乐	元宵节快乐	0	1	0	0	0	yanhuo_元宵节	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
91	圣诞大家乐	圣诞大家乐	0	1	0	0	0	yanhuo_圣诞节	-1									35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
92	帮会宣战烟花	帮会宣战烟花	0	1	0	0	0	yanhua_全屏烟花	-1									40000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
93	龙之庆典	龙之庆典	0	1	0	0	0	天龙生日烟花	-1									35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
94	周年庆生	周年庆生	0	1	0	0	0	天龙烟花发射	-1									35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
95	周年庆生	周年庆生	0	1	0	0	0	天龙烟花发射	-1									35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
100	木人傀儡爆炸	木人傀儡爆炸	2	0	0	1	1	cw_shixue	-1	g01_zdo_eguangmanying	897	g01_zdo_eguangmanying	897					100	100	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
101	桃花阵	桃花阵	1	0	10	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2452	效果2	-1	效果3几率	-1	效果3	-1																									
102	桃花阵	桃花阵	1	0	20	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2453	效果2	-1	效果3几率	-1	效果3	-1																									
103	桃花阵	桃花阵	1	0	30	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2454	效果2	-1	效果3几率	-1	效果3	-1																									
104	桃花阵	桃花阵	1	0	40	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2455	效果2	-1	效果3几率	-1	效果3	-1																									
105	桃花阵	桃花阵	1	0	50	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2456	效果2	-1	效果3几率	-1	效果3	-1																									
106	桃花阵	桃花阵	1	0	60	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2457	效果2	-1	效果3几率	-1	效果3	-1																									
107	桃花阵	桃花阵	1	0	70	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2458	效果2	-1	效果3几率	-1	效果3	-1																									
108	桃花阵	桃花阵	1	0	80	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2459	效果2	-1	效果3几率	-1	效果3	-1																									
109	桃花阵	桃花阵	1	0	90	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2460	效果2	-1	效果3几率	-1	效果3	-1																									
110	桃花阵	桃花阵	1	0	100	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2461	效果2	-1	效果3几率	-1	效果3	-1																									
111	桃花阵	桃花阵	1	0	110	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2462	效果2	-1	效果3几率	-1	效果3	-1																									
112	桃花阵	桃花阵	1	0	120	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2463	效果2	-1	效果3几率	-1	效果3	-1																									
113	桃花阵	桃花阵	1	0	130	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	17171	效果2	-1	效果3几率	-1	效果3	-1																									
114	桃花阵	桃花阵	1	0	140	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	17172	效果2	-1	效果3几率	-1	效果3	-1																									
115	桃花阵	桃花阵	1	0	150	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	17173	效果2	-1	效果3几率	-1	效果3	-1																									
116	桃花阵	桃花阵	1	0	160	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	17174	效果2	-1	效果3几率	-1	效果3	-1																									
201	桃花阵防	桃花阵	1	0	10	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2452	效果2	-1	效果3几率	20	效果3	2572																									
202	桃花阵防	桃花阵	1	0	20	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2453	效果2	-1	效果3几率	22	效果3	2572																									
203	桃花阵防	桃花阵	1	0	30	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2454	效果2	-1	效果3几率	24	效果3	2572																									
204	桃花阵防	桃花阵	1	0	40	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2455	效果2	-1	效果3几率	26	效果3	2572																									
205	桃花阵防	桃花阵	1	0	50	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2456	效果2	-1	效果3几率	28	效果3	2572																									
206	桃花阵防	桃花阵	1	0	60	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2457	效果2	-1	效果3几率	30	效果3	2572																									
207	桃花阵防	桃花阵	1	0	70	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2458	效果2	-1	效果3几率	32	效果3	2572																									
208	桃花阵防	桃花阵	1	0	80	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2459	效果2	-1	效果3几率	34	效果3	2572																									
209	桃花阵防	桃花阵	1	0	90	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2460	效果2	-1	效果3几率	36	效果3	2572																									
210	桃花阵防	桃花阵	1	0	100	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2461	效果2	-1	效果3几率	38	效果3	2572																									
211	桃花阵防	桃花阵	1	0	110	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2462	效果2	-1	效果3几率	40	效果3	2572																									
212	桃花阵防	桃花阵	1	0	120	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2463	效果2	-1	效果3几率	42	效果3	2572																									
213	桃花阵防	桃花阵	1	0	130	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	17171	效果2	-1	效果3几率	44	效果3	2572																									
214	桃花阵防	桃花阵	1	0	140	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	17172	效果2	-1	效果3几率	46	效果3	2572																									
215	桃花阵防	桃花阵	1	0	150	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	17173	效果2	-1	效果3几率	48	效果3	2572																									
216	桃花阵防	桃花阵	1	0	160	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	17174	效果2	-1	效果3几率	50	效果3	2572																									
301	桃花阵攻	桃花阵	1	0	10	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2452	效果2	-1	效果3几率	100	效果3	2610																									
302	桃花阵攻	桃花阵	1	0	20	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2453	效果2	-1	效果3几率	100	效果3	2611																									
303	桃花阵攻	桃花阵	1	0	30	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2454	效果2	-1	效果3几率	100	效果3	2612																									
304	桃花阵攻	桃花阵	1	0	40	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2455	效果2	-1	效果3几率	100	效果3	2613																									
305	桃花阵攻	桃花阵	1	0	50	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2456	效果2	-1	效果3几率	100	效果3	2614																									
306	桃花阵攻	桃花阵	1	0	60	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2457	效果2	-1	效果3几率	100	效果3	2615																									
307	桃花阵攻	桃花阵	1	0	70	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2458	效果2	-1	效果3几率	100	效果3	2616																									
308	桃花阵攻	桃花阵	1	0	80	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2459	效果2	-1	效果3几率	100	效果3	2617																									
309	桃花阵攻	桃花阵	1	0	90	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2460	效果2	-1	效果3几率	100	效果3	2618																									
310	桃花阵攻	桃花阵	1	0	100	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2461	效果2	-1	效果3几率	100	效果3	2619																									
311	桃花阵攻	桃花阵	1	0	110	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2462	效果2	-1	效果3几率	100	效果3	2620																									
312	桃花阵攻	桃花阵	1	0	120	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	2463	效果2	-1	效果3几率	100	效果3	2621																									
313	桃花阵攻	桃花阵	1	0	130	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	17171	效果2	-1	效果3几率	100	效果3	17181																									
314	桃花阵攻	桃花阵	1	0	140	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	17172	效果2	-1	效果3几率	100	效果3	17182																									
315	桃花阵攻	桃花阵	1	0	150	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵								30000	500	2	3	3						效果1	17173	效果2	-1	效果3几率	100	效果3	17183																									
