INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
57	7339	50	-1	3780	50	-1	14	7	-1	14	7	-1	14	7	-1	14	7	-1	4	648	50	50	643	50	50	7	648	50	50	643	50	50	7	-1	-1	714	238	6	-1	-1	-1	-1	68	68	67	67	37	6	13	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
58	7459	50	-1	3842	50	-1	14	7	-1	14	7	-1	14	7	-1	14	7	-1	4	659	50	50	654	50	50	7	659	50	50	654	50	50	7	-1	-1	726	242	6	-1	-1	-1	-1	69	69	68	68	37	6	13	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
59	7580	50	-1	3904	50	-1	15	7	-1	15	7	-1	15	7	-1	15	7	-1	4	669	50	50	664	50	50	7	669	50	50	664	50	50	7	-1	-1	738	246	6	-1	-1	-1	-1	70	70	69	69	38	6	13	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
60	7700	50	-1	3965	50	-1	15	7	-1	15	7	-1	15	7	-1	15	7	-1	4	680	50	50	675	50	50	7	680	50	50	675	50	50	7	-1	-1	750	250	6	-1	-1	-1	-1	71	71	70	70	38	6	13	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
61	7821	50	-1	4027	50	-1	15	7	-1	15	7	-1	15	7	-1	15	7	-1	4	691	50	50	685	50	50	7	691	50	50	685	50	50	7	-1	-1	762	254	6	-1	-1	-1	-1	73	73	72	72	39	6	13	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
62	7941	50	-1	4089	50	-1	15	7	-1	15	7	-1	15	7	-1	15	7	-1	4	701	50	50	696	50	50	7	701	50	50	696	50	50	7	-1	-1	774	258	7	-1	-1	-1	-1	74	74	73	73	40	7	14	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
63	8062	50	-1	4151	50	-1	16	8	-1	16	8	-1	16	8	-1	16	8	-1	4	712	50	50	707	50	50	8	712	50	50	707	50	50	8	-1	-1	786	262	7	-1	-1	-1	-1	75	75	74	74	40	7	14	-1	-1	-1	-1	-1	8	8	8	8	-1	-1	-1	-1	-1	-1
64	8182	50	-1	4213	50	-1	16	8	-1	16	8	-1	16	8	-1	16	8	-1	4	722	50	50	717	50	50	8	722	50	50	717	50	50	8	-1	-1	798	266	7	-1	-1	-1	-1	76	76	75	75	41	7	14	-1	-1	-1	-1	-1	8	8	8	8	-1	-1	-1	-1	-1	-1
65	8303	50	-1	4275	50	-1	16	8	-1	16	8	-1	16	8	-1	16	8	-1	4	733	50	50	728	50	50	8	733	50	50	728	50	50	8	-1	-1	810	270	7	-1	-1	-1	-1	77	77	76	76	41	7	14	-1	-1	-1	-1	-1	8	8	8	8	-1	-1	-1	-1	-1	-1
66	8423	50	-1	4337	50	-1	16	8	-1	16	8	-1	16	8	-1	16	8	-1	4	744	50	50	739	50	50	8	744	50	50	739	50	50	8	-1	-1	822	274	7	-1	-1	-1	-1	78	78	77	77	42	7	14	-1	-1	-1	-1	-1	8	8	8	8	-1	-1	-1	-1	-1	-1
67	8544	50	-1	4399	50	-1	16	8	-1	16	8	-1	16	8	-1	16	8	-1	4	754	50	50	749	50	50	8	754	50	50	749	50	50	8	-1	-1	834	278	7	-1	-1	-1	-1	79	79	78	78	43	7	15	-1	-1	-1	-1	-1	8	8	8	8	-1	-1	-1	-1	-1	-1
68	8664	50	-1	4461	50	-1	17	8	-1	17	8	-1	17	8	-1	17	8	-1	5	765	50	50	760	50	50	8	765	50	50	760	50	50	8	-1	-1	846	282	7	-1	-1	-1	-1	80	80	79	79	43	7	15	-1	-1	-1	-1	-1	8	8	8	8	-1	-1	-1	-1	-1	-1
69	8785	50	-1	4523	50	-1	17	8	-1	17	8	-1	17	8	-1	17	8	-1	5	776	50	50	771	50	50	8	776	50	50	771	50	50	8	-1	-1	858	286	7	-1	-1	-1	-1	81	81	80	80	44	7	15	-1	-1	-1	-1	-1	8	8	8	8	-1	-1	-1	-1	-1	-1
70	8905	50	-1	4584	50	-1	17	8	-1	17	8	-1	17	8	-1	17	8	-1	5	786	50	50	781	50	50	8	786	50	50	781	50	50	8	-1	-1	870	290	7	-1	-1	-1	-1	82	82	81	81	44	7	15	-1	-1	-1	-1	-1	8	8	8	8	-1	-1	-1	-1	-1	-1
71	9026	50	-1	4646	50	-1	17	8	-1	17	8	-1	17	8	-1	17	8	-1	5	797	50	50	792	50	50	8	797	50	50	792	50	50	8	-1	-1	882	294	7	-1	-1	-1	-1	84	84	83	83	45	7	15	-1	-1	-1	-1	-1	8	8	8	8	-1	-1	-1	-1	-1	-1
72	9146	50	-1	4708	50	-1	17	9	-1	17	9	-1	17	9	-1	17	9	-1	5	808	50	50	803	50	50	9	808	50	50	803	50	50	9	-1	-1	894	298	7	-1	-1	-1	-1	85	85	84	84	46	7	16	-1	-1	-1	-1	-1	9	9	9	9	-1	-1	-1	-1	-1	-1
73	9267	50	-1	4770	50	-1	18	9	-1	18	9	-1	18	9	-1	18	9	-1	5	818	50	50	813	50	50	9	818	50	50	813	50	50	9	-1	-1	906	302	7	-1	-1	-1	-1	86	86	85	85	46	7	16	-1	-1	-1	-1	-1	9	9	9	9	-1	-1	-1	-1	-1	-1
74	9387	50	-1	4832	50	-1	18	9	-1	18	9	-1	18	9	-1	18	9	-1	5	829	50	50	824	50	50	9	829	50	50	824	50	50	9	-1	-1	918	306	8	-1	-1	-1	-1	87	87	86	86	47	8	16	-1	-1	-1	-1	-1	9	9	9	9	-1	-1	-1	-1	-1	-1
75	9508	50	-1	4894	50	-1	18	9	-1	18	9	-1	18	9	-1	18	9	-1	5	840	50	50	835	50	50	9	840	50	50	835	50	50	9	-1	-1	930	310	8	-1	-1	-1	-1	88	88	87	87	47	8	16	-1	-1	-1	-1	-1	9	9	9	9	-1	-1	-1	-1	-1	-1
76	9628	50	-1	4956	50	-1	18	9	-1	18	9	-1	18	9	-1	18	9	-1	5	850	50	50	845	50	50	9	850	50	50	845	50	50	9	-1	-1	942	314	8	-1	-1	-1	-1	89	89	88	88	48	8	16	-1	-1	-1	-1	-1	9	9	9	9	-1	-1	-1	-1	-1	-1
77	9749	50	-1	5018	50	-1	18	9	-1	18	9	-1	18	9	-1	18	9	-1	5	861	50	50	856	50	50	9	861	50	50	856	50	50	9	-1	-1	954	318	8	-1	-1	-1	-1	90	90	89	89	49	8	17	-1	-1	-1	-1	-1	9	9	9	9	-1	-1	-1	-1	-1	-1
78	9869	50	-1	5080	50	-1	19	9	-1	19	9	-1	19	9	-1	19	9	-1	5	872	50	50	866	50	50	9	872	50	50	866	50	50	9	-1	-1	966	322	8	-1	-1	-1	-1	91	91	90	90	49	8	17	-1	-1	-1	-1	-1	9	9	9	9	-1	-1	-1	-1	-1	-1
79	9990	50	-1	5142	50	-1	19	9	-1	19	9	-1	19	9	-1	19	9	-1	5	882	50	50	877	50	50	9	882	50	50	877	50	50	9	-1	-1	978	326	8	-1	-1	-1	-1	92	92	91	91	50	8	17	-1	-1	-1	-1	-1	9	9	9	9	-1	-1	-1	-1	-1	-1
80	10110	50	-1	5203	50	-1	19	9	-1	19	9	-1	19	9	-1	19	9	-1	5	893	50	50	888	50	50	9	893	50	50	888	50	50	9	-1	-1	990	330	8	-1	-1	-1	-1	93	93	92	92	50	8	17	-1	-1	-1	-1	-1	9	9	9	9	-1	-1	-1	-1	-1	-1
81	10231	50	-1	5265	50	-1	19	10	-1	19	10	-1	19	10	-1	19	10	-1	5	903	50	50	898	50	50	10	903	50	50	898	50	50	10	-1	-1	1002	334	8	-1	-1	-1	-1	95	95	94	94	51	8	17	-1	-1	-1	-1	-1	10	10	10	10	-1	-1	-1	-1	-1	-1
82	10351	50	-1	5327	50	-1	19	10	-1	19	10	-1	19	10	-1	19	10	-1	5	914	50	50	909	50	50	10	914	50	50	909	50	50	10	-1	-1	1014	338	8	-1	-1	-1	-1	96	96	95	95	52	8	18	-1	-1	-1	-1	-1	10	10	10	10	-1	-1	-1	-1	-1	-1
83	10472	50	-1	5389	50	-1	20	10	-1	20	10	-1	20	10	-1	20	10	-1	5	925	50	50	920	50	50	10	925	50	50	920	50	50	10	-1	-1	1026	342	8	-1	-1	-1	-1	97	97	96	96	52	8	18	-1	-1	-1	-1	-1	10	10	10	10	-1	-1	-1	-1	-1	-1
84	10592	50	-1	5451	50	-1	20	10	-1	20	10	-1	20	10	-1	20	10	-1	5	935	50	50	930	50	50	10	935	50	50	930	50	50	10	-1	-1	1038	346	8	-1	-1	-1	-1	98	98	97	97	53	8	18	-1	-1	-1	-1	-1	10	10	10	10	-1	-1	-1	-1	-1	-1
