INT	STRING	INT	INT	STRING	INT	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT
14	玄冰术	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_4	-1	千年的冰晶吸收药材的精华变得更加神奇。	1	玄冰术	2	252	0	-1	-1
15	制蛊	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_9	-1	给毒虫吃下药材，它们会帮你做事的。	1	制蛊	2	252	0	-1	-1
16	制毒	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_5	-1	很难想像救人的药草和害人的毒虫混合在一起会造出什么东西。	1	制毒	2	252	0	-1	-1
17	制符	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_6	-1	用药汁在纸上画符，会有你意想不到的功效哦。	1	制符	2	252	0	-1	-1
18	炼丹	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_7	-1	这些丹药的作用是常规药品所难以匹敌的。	1	炼丹	1	252	0	-1	-1
19	奇门遁甲	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_8	-1	药汁画成的画，有神奇的作用。	1	奇门遁甲	1	252	0	-1	-1
20	工程学	10	99	assistant.txt	5000	-1	-1	-1	-1	118	Food_1	-1	暂无。	1	工程学	1	-1	0	-1	-1
21	驱鬼	10	200	assistant.txt	5000	-1	-1	1	-1	132	Food_1	-1	暂无。	-1	驱鬼	1	-1	0	-1	-1
22	挖宝	10	100	assistant.txt	5000	-1	-1	1	-1	132	Food_1	-1	古人的宝藏在哪里？挖宝技能教会你寻宝、挖宝。	-1	挖宝	1	-1	0	-1	-1
23	跑商	10	50	assistant.txt	0	-1	-1	-1	-1	-1	Food_1	-1	想让自己富甲天下吗？那就来做个精明的商人吧。	-1	跑商	1	-1	0	-1	-1
24	杀价	10	1	assistant.txt	0	-1	-1	-1	-1	-1	Food_1	-1	杀的就是价，低价买进帮你省钱。	-1	杀价	1	-1	0	-1	-1
25	热卖	10	1	assistant.txt	0	-1	-1	-1	-1	-1	Food_1	-1	提升物品价格，你可以多赚一点哦。	-1	热卖	1	-1	0	-1	-1
26	操作中	-1	12	assistant.txt	5000	-1	-1	2	-1	118	Food_1	-1	操作中，此技能不需要显示，为了给任务打开物品使用。	-1	操作中	1	-1	0	-1	-1
27	药理	10	99	yaoli.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_10	-1	辅助制药技能，降低制药的活力消耗。	-1	药理	0	-1	0	-1	-1
28	养生法	10	99	yangsheng.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_11	-1	辅助烹饪技能，降低烹饪的活力消耗。	-1	养生法	0	-1	0	-1	-1
29	佛法	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_1	-1	辅助开光技能，降低开光的活力消耗，少林派独有的生活技能。	-1	佛法	0	-1	0	-1	-1
30	采火术	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_2	-1	辅助圣火术技能，降低圣火术的活力消耗，明教独有的生活技能。	-1	采火术	0	-1	0	-1	-1
31	莲花落	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_3	-1	辅助酿酒技能，降低酿酒的活力消耗，丐帮独有的生活技能。	-1	莲花落	0	-1	0	-1	-1
32	采冰术	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_4	-1	辅助玄冰术技能，降低玄冰术的活力消耗，天山派独有的生活技能。	-1	采冰术	0	-1	0	-1	-1
33	经脉百诀	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_9	-1	辅助制蛊技能，降低制蛊的活力消耗，天龙派独有的生活技能。	-1	经脉百诀	0	-1	0	-1	-1
34	引虫术	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_5	-1	辅助制毒技能，降低制毒的活力消耗，星宿派独有的生活技能。	-1	引虫术	0	-1	0	-1	-1
35	灵心术	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_6	-1	辅助制符技能，降低制符的活力消耗，峨嵋派独有的生活技能。	-1	灵心术	0	-1	0	-1	-1
36	道法	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_7	-1	辅助炼丹技能，降低炼丹的活力消耗，武当派独有的生活技能。	-1	道法	0	-1	0	-1	-1
37	六艺风骨	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_8	-1	辅助奇门盾甲技能，降低奇门遁甲的活力消耗，逍遥派独有的生活技能。	-1	六艺风骨	0	-1	0	-1	-1
38	骑术	30	1	assistant.txt	5000	-1	-1	-1	-1	-1	RideHeader1_1	-1	骑术	-1	骑术	0	-1	0	-1	-1
39	咫尺天涯	10	3	dingweifu.txt	10000	-1	-1	-1	-1	118	Charm_4	-1	使用此技能可以制作出迅速回到特定地点的符咒。	1	咫尺天涯	1	-1	0	-1	-1
40	活血	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_12	-1	增加血上限	-2	活血	0	-1	0	-1	-1
41	养气	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_13	-1	增加气上限	-2	养气	0	-1	0	-1	-1
42	强身	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_14	-1	增加活力上限	-2	强身	0	-1	0	-1	-1
43	健体	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_15	-1	增加精力上限	-2	健体	0	-1	0	-1	-1
44	修身	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_16	-1	增加活力增长速度	-2	修身	0	-1	0	-1	-1
45	塑体	10	100	assistant.txt	0	-1	-1	-1	-1	-1	MenpaiLiveSkill2_8	-1	增加精力增长速度	-2	塑体	0	-1	0	-1	-1
46	精炼	10	1	assistant.txt	5000	-1	-1	-1	-1	118	TaskTools4_13	-1	精炼天铸，神兵突成，利器饮血。	1	精炼	0	253	1	-1	-1
47	精制	10	1	assistant.txt	5000	-1	-1	-1	-1	118	TaskTools4_14	-1	精制仙织，锦袍玉带，护体神铠。	1	精制	0	254	1	-1	-1
48	精工	10	1	assistant.txt	5000	-1	-1	-1	-1	118	TaskTools4_15	-1	精工灵造，善器成形，佑主精魂。	1	精工	0	252	1	-1	-1
49	材料加工	10	1	cailiaojiagong.txt	5000	-1	-1	-1	-1	118	CommonLiveSkill2_1	-1	使用本技能可以将缝纫、铸造、工艺生活技能所需的各种材料加工成为可用之材。	1	材料加工	0	252	1	-1	-1
50	支援朝廷	-1	12	assistant.txt	120000	-1	-1	2	-1	118	Food_1	-1	支援朝廷	-1	支援朝廷	0	-1	0	-1	-1
51	帮会宣战采矿	-1	12	assistant.txt	15000	-1	-1	2	-1	142	Food_1	-1	帮会宣战采矿	-1	采矿	0	248	1	-1	-1
