INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1030061	532	30	0	1	0		232	192	红铁爪	#{MIS_TAR_ADD_498}	#{Mis_L_Yanbei_1030061}	#{RW_20080321_358}	#{RW_20080321_359}	19	曲端	0	19	曲端	0	45	-1	-1	-1	1	红铁爪	0	40002059	100	1																					5500	18000	-1																		10412068	1	10422109	1	10405064	1											
#石林																																																				-1																																		
1030070	600	37	0	1	0		182	163	过冬的准备	#{MIS_TAR_ADD_502}	#{Mis_L_Shilin_1030070}	#{RW_20080321_360}	#{RW_20080321_361}	26	郑玄	0	26	郑玄	0	55	-1	-1	-1	1	棕熊	0	40002142	25	8																					25000	30000	-1																																		
#草原																																																				-1																																		
1030080	541	31	0	1	0		190	200	黑蜂刺	#{MIS_TAR_ADD_506}	#{Mis_L_Caoyuan_1030080}	#{RW_20080321_362}	#{RW_20080321_365}	20	阮老太太	0	20	阮老太太	0	60	-1	-1	-1	1	蒙古黑蜂	0	40002063	40	8																					26200	31200	-1																																		
1030081	544	31	0	1	0		137	53	白马青牛	#{MIS_TAR_ADD_508}	#{Mis_L_Caoyuan_1030081}	#{RW_20080321_363}	#{RW_20080321_366}	20	萧蔷	0	20	阮诚	0	62	542	543	-1	1	端木元	0	40002064	100	1																					28300	42500	-1																		10410071	1	10404065	1													1010080
1030082	546	31	0	1	0		164	158	勇气	#{MIS_TAR_ADD_510}	#{Mis_L_Caoyuan_1030082}	#{RW_20080321_364}	#{RW_20080321_367}	20	萧蔷	0	20	萧蔷	0	62	545	-1	-1	1		0	40002066	0	1																					22400	20300	-1																		10402068	1	10422112	1	10421070	1											1050000
#辽西																																																				-1																																		
1030090	550	32	0	1	0		161	196	白狼皮	#{MIS_TAR_ADD_536}	#{Mis_L_Liaoxi_1030090}	#{RW_20080321_368}	#{RW_20080321_370}	21	巴图	0	21	巴图	0	75	-1	-1	-1	1	白狼王	0	40002068	10	1																					55000	38000	-1																																		
1030091	551	32	0	1	0		161	196	黑蜂蜜	#{MIS_TAR_ADD_538}	#{Mis_L_Liaoxi_1030091}	#{RW_20080321_369}	#{RW_20080321_371}	21	巴图	0	21	巴图	0	75	-1	-1	-1	1	大黑蜂	0	40002067	10	1																					55500	39000	-1																																		
#长白																																																				-1																																		
1030100	560	33	0	1	0		117	107	交贡品	#{MIS_TAR_ADD_542}	#{Mis_L_Changbai_1030100}	#{RW_20080321_372}	#{RW_20080321_375}	22	完颜呵里布	0	22	完颜呵里布	0	88	-1	-1	-1	1	东北虎	0	40002095	30	5																					67500	85000	-1																																		
1030101	563	33	0	1	0		148	118	熊胆	#{MIS_TAR_ADD_544}	#{Mis_L_Changbai_1030101}	#{RW_20080321_363}	#{RW_20080321_376}	22	完颜斡离不	0	22	徒单福晋	0	88	-1	-1	-1	1	黑熊	0	40002096	20	5																					61500	58000	-1																																		
1030102	567	33	0	1	0		148	118	神医的配方	#{MIS_TAR_ADD_546}	#{Mis_L_Changbai_1030102}	#{RW_20080321_363}	#{RW_20080321_377}	22	完颜兀术	0	22	徒单福晋	0	90	562	-1	-1	1	雪人	0	40002098	5	1																					56700	66000	-1																		10403069	1	10405068	1	10404069	1											1030104
1030103	564	33	0	1	0		148	118	极品人参	#{MIS_TAR_ADD_548}	#{Mis_L_Changbai_1030103}	#{RW_20080321_363}	#{RW_20080321_378}	22	完颜粘没喝	0	22	徒单福晋	0	88	-1	-1	-1	1			40002097	100	1																					54500	42000	-1																		10412076	1	10421075	1													
1030104	568	33	0	1	0		148	118	天涯海角	#{MIS_TAR_ADD_550}	#{Mis_L_Changbai_1030104}	#{RW_20080321_373}	#{RW_20080321_379}	22	徒单福晋	0	22	徒单福晋	0	90	567	-1	-1	1			40001039	100	1																					56700	36000	-1																																		
1030105	569	33	0	1	0		234	77	突袭	#{MIS_TAR_ADD_552}	#{Mis_L_Changbai_1030105}	#{RW_20080321_374}	#{RW_20080321_380}	22	完颜阿骨打	0	22	完颜阿骨打	0	90	566	-1	-1	1	纥石烈阿疏		40002099	100	1																					54000	90000	-1																		10410078	1	10420076	1	10422117	1											
#洱海																																																				-1																																		
1030110	583	36	0	1	0		57	73	寻找草药	#{MIS_TAR_ADD_514}	#{Mis_L_Erhai_1030110}	#{RW_20080321_381}	#{RW_20080321_383}	24	刀琅玕	0	24	刀琅玕	0	25	-1	-1	-1	1		0	20101005	0	5																					6400	9600	-1																																		1050001
1030111	588	36	0	1	0		92	126	被缚的萨宁	#{MIS_TAR_ADD_012}	#{Mis_L_Erhai_1030111}	#{RW_20080321_382}	#{RW_20080321_384}	24	萨宁	0	24	萨宁	0	30	-1	-1	-1	1	恶狼守卫	0	40002143	100	1																					2400	9900	-1																		10401063	1	10400063	1	10404062	1											1010111
#苍山																																																				-1																																		
1030120	591	35	0	1	0		195	113	粮食的故事	#{MIS_TAR_ADD_520}	#{Mis_L_Cangshan_1030120}	#{RW_20080321_385}	#{RW_20080321_387}	25	萨都	0	25	萨都	0	40	-1	-1	-1	1	蓑衣野人	0	40002144	30	10																					9300	22300	-1																		10401064	1	10400064	1	10403065	1											
1030121	593	35	0	1	0		202	108	神明的指示	#{MIS_TAR_ADD_522}	#{Mis_L_Cangshan_1030121}	#{RW_20080321_386}	#{RW_20080321_388}	25	萨桑	0	25	萨桑	0	43	-1	-1	-1	1	狼族神汉	0	40002145	10	1																					6200	8200	-1																																		1050002
#武夷																																																				-1																																		
1030130	667	43	0	1	0		205	44	斩草除根	#{MIS_TAR_ADD_526}	#{Mis_L_Wuyi_1030130}	#{RW_20080321_389}	#{RW_20080321_390}	32	水仙	0	32	水仙	0	53	664	665	666	1	含笑	0	40002148	100	1																					8300	23000	-1																		10402067	1	10405065	1	10404064	1											
#龙泉																																																				-1																																		
1030140	656	42	0	1	0		51	115	凡心似蝶	#{MIS_TAR_ADD_530}	#{Mis_L_Longquan_1030140}	#{RW_20080321_391}	#{RW_20080321_393}	31	阿青	0	31	阿青	0	38	655	-1	-1	2		0	20103003	0	2		0	20103002	0	2																4900	10600	-1																																		
1030141	657	42	0	1	0		51	115	归风之迷	#{MIS_TAR_ADD_532}	#{Mis_L_Longquan_1030141}	#{RW_20080321_392}	#{RW_20080321_394}	31	阿青	0	31	阿青	0	38	655	-1	-1	1	常归云	0	40002151	100	1																					5400	17800	-1																		10420066	1	10422107	1													
#苗疆																																																				-1																																		
1030150	631	40	0	1	0		201	256	阿松的请求	#{MIS_TAR_ADD_556}	#{Mis_L_Miaojiang_1030150}	#{RW_20080321_395}	#{RW_20080321_399}	29	阿松	0	29	阿松	0	96	-1	-1	-1	1	沼泽鳄鱼	0	40002085	40	10																					88000	90000	-1																																		
1030151	634	40	0	1	0		182	265	厄修罗	#{MIS_TAR_ADD_558}	#{Mis_L_Miaojiang_1030151}	#{RW_20080321_396}	#{RW_20080321_400}	29	阿雨	0	29	阿雨	0	98	633	-1	-1	1	厄修罗	0	40002087	20	1																					96000	90000	-1																																		1010152
1030152	635	40	0	1	0		182	265	永夜修罗	#{MIS_TAR_ADD_560}	#{Mis_L_Miaojiang_1030152}	#{RW_20080321_397}	#{RW_20080321_400}	29	阿雨	0	29	阿雨	0	98	633	-1	-1	1	永夜修罗	0	40002088	20	1																					96000	90000	-1																																		
1030153	636	40	0	1	0		182	265	万劫修罗	#{MIS_TAR_ADD_562}	#{Mis_L_Miaojiang_1030153}	#{RW_20080321_398}	#{RW_20080321_400}	29	阿雨	0	29	阿雨	0	98	633	-1	-1	1	万劫修罗	0	40002089	20	1																					96000	90000	-1																																		
#南诏																																																				-1																																		
1030160	624	39	0	1	0		157	223	藤甲贼元帅	#{MIS_TAR_ADD_566}	#{Mis_L_Nanzhao_1030160}	#{RW_20080321_401}	#{RW_20080321_403}	28	扬明	0	28	扬明	0	87	623	-1	-1	1	兀骨突	0	40002079	100	1																					65000	66000	-1																																		1010160
1030161	627	39	0	1	0		147	47	真实的谎言	#{MIS_TAR_ADD_568}	#{Mis_L_Nanzhao_1030161}	#{RW_20080321_402}	#{RW_20080321_404}	28	白兰	0	28	白兰	0	87	-1	-1	-1	1	图巴鲁	0	40002080	100	1																					66000	66000	-1																																		1010161
#玉溪																																																				-1																																		
1030170	610	38	0	1	0		46	51	萝卜要蜘蛛	#{MIS_TAR_ADD_572}	#{Mis_L_Yuxi_1030170}	#{RW_20080321_405}	#{RW_20080321_408}	27	萝卜	0	27	萝卜	0	70	-1	-1	-1	2	剧毒狼蛛	0	40002113	30	10	剧毒狼蛛	0	40002114	30	10																29000	56000	-1																																		
1030171	611	38	0	1	0		46	51	萝卜要云母	#{MIS_TAR_ADD_574}	#{Mis_L_Yuxi_1030171}	#{RW_20080321_406}	#{RW_20080321_409}	27	萝卜	0	27	萝卜	0	70	-1	-1	-1	1	云母石人	0	40002153	25	10																					29800	34000	-1																																		
1030172	612	38	0	1	0		46	51	萝卜要龙血	#{MIS_TAR_ADD_576}	#{Mis_L_Yuxi_1030172}	#{RW_20080321_407}	#{RW_20080321_410}	27	萝卜	0	27	萝卜	0	70	-1	-1	-1	1	龙血石人	0	40002154	25	10																					30100	38000	-1																																		
#梅岭																																																				-1																																		
1030180	670	44	0	1	0		170	73	无限商机	#{MIS_TAR_ADD_580}	#{Mis_L_Meiling_1030180}	#{RW_20080321_411}	#{RW_20080321_412}	33	沈万三	0	33	沈万三	0	65	-1	-1	-1	1	红袍蜘蛛	0	40002054	25	10																					37300	32000	-1																																		
#南海																																																				-1																																		
1030190	682	45	0	1	0		115	58	血字的研究	#{MIS_TAR_ADD_584}	#{Mis_L_Nanhai_1030190}	#{RW_20080321_413}	#{RW_20080321_416}	34	叶流凡	0	34	叶流凡	0	80	-1	-1	-1	1	南海鳄鱼	0	40002062	20	6																					50000	54000	-1																		10413076	1	10411082	1	10410075	1											1010191
1030191	684	45	0	1	0		206	237	五个橘核	#{MIS_TAR_ADD_586}	#{Mis_L_Nanhai_1030191}	#{RW_20080321_414}	#{RW_20080321_417}	34	岳仲秋	0	34	岳仲秋	0	80	-1	-1	-1	1	石老人	0	40002072	20	5																					52000	56800	-1																		10421073	1	10413077	1													
1030193	686	45	0	1	0		111	60	一线光明	#{MIS_TAR_ADD_588}	#{Mis_L_Nanhai_1030193}	#{RW_20080321_415}	#{RW_20080321_418}	34	叶流凡	0	34	叶流凡	0	82	683	-1	-1	1	岳不平	0	40002074	100	1																					56000	60000	-1																		10400069	1	10404068	1	10403068	1											1010195
#琼州																																																				-1																																		
1030200	692	46	0	1	0		241	159	盗神	#{MIS_TAR_ADD_592}	#{Mis_L_Qiongzhou_1030200}	#{RW_20080321_419}	#{RW_20080321_422}	35	元子衿	0	35	元子衿	0	92	-1	-1	-1	1	南海盗神	0	40002077	5	1																					72000	78000	-1																		10410079	1	10411085	1													1010200
1030201	694	46	0	1	0		246	151	显影药	#{MIS_TAR_ADD_594}	#{Mis_L_Qiongzhou_1030201}	#{RW_20080321_420}	#{RW_20080321_423}	35	淩忆慈	0	35	淩忆慈	0	92	693	-1	-1	2		0	20103010	0	5		0	20101022	0	5																36000	36000	-1																																		1010201
1030202	698	46	0	1	0		256	242	玄武门之变	#{MIS_TAR_ADD_596}	#{Mis_L_Qiongzhou_1030202}	#{RW_20080321_421}	#{RW_20080321_424}	35	岳老三	0	35	岳老三	0	94	696	697	-1	1	裘老七	0	40002081	100	1																					70000	80000	-1																		10400071	1	10401069	1	10403070	1	10402071	1									
#黄龙																																																				-1																																		
1030210	571	34	0	1	0		163	191	温暖的呼吸	#{MIS_TAR_ADD_600}	#{Mis_L_Huanglong_1030210}	#{RW_20080321_425}	#{RW_20080321_427}	23	拓跋文	0	23	拓跋文	0	98	-1	-1	-1	1	雪山狼	0	40002083	20	10																					24000	82000	-1																		10412079	1	10422120	1	10420079	1											
1030211	578	34	0	1	0		166	204	痛苦的爆发	#{MIS_TAR_ADD_602}	#{Mis_L_Huanglong_1030211}	#{RW_20080321_426}	#{RW_20080321_428}	23	符夕颜	0	23	符夕颜	0	98	577	-1	-1	1	霍斯	0	40002105	100	1																					100000	100000	-1																		10400073	1	10404070	1	10403071	1											
#峨嵋学习技能的任务																																																																																						
1030220	919	26	0	1	0		217	255	子午针灸经	杀死#R龙井水贼#W，得到30页#Y子午针灸经残页#W，把它们交给#G大理城修文台#W的#R王韶#W#{_INFOAIM217,255,2,王韶}。#G西湖苏堤#W东边就有很多的龙井水贼#{_INFOAIM251,228,30,-1}。	#{emei_skill_mis_02}	#{RW_20080321_429}	#{RW_20080321_430}	2	王韶	0	2	王韶	0	20	918	-1	-1	1	龙井水贼	0	40002165	75	30																					2000	1000																																			1010241
#天山学习技能的任务																																																																																						
1030221	945	28	0	1	0		217	255	戎马倥偬	#{MIS_TAR_ADD_603}	#{mission_tianshan_skill_001}	#{RW_20080321_431}	#{RW_20080321_432}	2	王韶	0	2	王韶	0	30	944	-1	-1	1	秦家寨探子	0	40002167	50	20																					4000	2000																																			1010251
#少林学习技能的任务																																																																																						
1030222	962	20	0	1	0		217	255	鞍之战	#{MIS_TAR_ADD_604}	#{Mis_shaolin_962}	#{RW_20080321_433}	#{RW_20080321_434}	2	王韶	0	2	王韶	0	30	961	-1	-1	1	秦家寨喽啰	0	40002168	20	1																					1000	2000	-1																																		1010400
##循环剧情任务																																																				-1																																		
##已废弃木婉清任务，但是为了保证已经接了任务的玩家能够完成任务，不能删除																																																																																						
1038000	101	10	0	1	0	1	106	135	木婉清任务	把1个#Y%i#W交给#G大理城#W的#R木婉清#W#{_INFOAIM107,136,2,木婉清}。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    呃，我需要1个%i来修理我的袖箭，你能帮我找些吗？	#{RW_20080321_451}	#{RW_20080321_452}			0	2	木婉清	0	20	-1	-1	-1	1		1	78	100	1																							92	1	你和木婉清的关系上升了1点。	2	你和木婉清的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1038001	101	10	0	1	0	1	106	135	木婉清任务	把1个#Y%i#W交给#G大理城#W的#R木婉清#W#{_INFOAIM107,136,2,木婉清}。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    呃，我需要1个%i来修理我的袖箭，你能帮我找些吗？	#{RW_20080321_451}	#{RW_20080321_452}			0	2	木婉清	0	30	-1	-1	-1	1		1	79	100	1																							92	1	你和木婉清的关系上升了1点。	2	你和木婉清的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1038002	101	10	0	1	0	1	106	135	木婉清任务	把1个#Y%i#W交给#G大理城#W的#R木婉清#W#{_INFOAIM107,136,2,木婉清}。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    呃，我需要1个%i来修理我的袖箭，你能帮我找些吗？	#{RW_20080321_451}	#{RW_20080321_452}			0	2	木婉清	0	40	-1	-1	-1	1		1	80	100	1																							92	1	你和木婉清的关系上升了1点。	2	你和木婉清的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1038003	101	10	0	1	0	1	106	135	木婉清任务	把1个#Y%i#W交给#G大理城#W的#R木婉清#W#{_INFOAIM107,136,2,木婉清}。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    呃，我需要1个%i来修理我的袖箭，你能帮我找些吗？	#{RW_20080321_451}	#{RW_20080321_452}			0	2	木婉清	0	50	-1	-1	-1	1		1	81	100	1																							92	1	你和木婉清的关系上升了1点。	2	你和木婉清的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1038004	101	10	0	1	0	1	106	135	木婉清任务	把1个#Y%i#W交给#G大理城#W的#R木婉清#W#{_INFOAIM107,136,2,木婉清}。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    呃，我需要1个%i来修理我的袖箭，你能帮我找些吗？	#{RW_20080321_451}	#{RW_20080321_452}			0	2	木婉清	0	60	-1	-1	-1	1		1	82	100	1																							92	1	你和木婉清的关系上升了1点。	2	你和木婉清的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1038005	101	10	0	1	0	1	106	135	木婉清任务	把1个#Y%i#W交给#G大理城#W的#R木婉清#W#{_INFOAIM107,136,2,木婉清}。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    呃，我需要1个%i来修理我的袖箭，你能帮我找些吗？	#{RW_20080321_451}	#{RW_20080321_452}			0	2	木婉清	0	70	-1	-1	-1	1		1	83	100	1																							92	1	你和木婉清的关系上升了1点。	2	你和木婉清的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1038006	101	10	0	1	0	1	106	135	木婉清任务	把1个#Y%i#W交给#G大理城#W的#R木婉清#W#{_INFOAIM107,136,2,木婉清}。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    呃，我需要1个%i来修理我的袖箭，你能帮我找些吗？	#{RW_20080321_451}	#{RW_20080321_452}			0	2	木婉清	0	80	-1	-1	-1	1		1	84	100	1																							92	1	你和木婉清的关系上升了1点。	2	你和木婉清的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1038007	101	10	0	1	0	1	106	135	木婉清任务	把1个#Y%i#W交给#G大理城#W的#R木婉清#W#{_INFOAIM107,136,2,木婉清}。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    呃，我需要1个%i来修理我的袖箭，你能帮我找些吗？	#{RW_20080321_451}	#{RW_20080321_452}			0	2	木婉清	0	90	-1	-1	-1	1		1	85	100	1																							92	1	你和木婉清的关系上升了1点。	2	你和木婉清的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1038100	101	10	0	1	0	1	106	135	木婉清任务	把1个#Y%i#W交给#G大理城#W的#R木婉清#W#{_INFOAIM107,136,2,木婉清}。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    呃，我需要1个%i来修理我的袖箭，你能帮我找些吗？	#{RW_20080321_451}	#{RW_20080321_452}			0	2	木婉清	0	20	-1	-1	-1	1		1	78	100	1																							92	1	你和木婉清的关系上升了1点。	2	你和木婉清的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1038101	101	10	0	1	0	1	106	135	木婉清任务	把1个#Y%i#W交给#G大理城#W的#R木婉清#W#{_INFOAIM107,136,2,木婉清}。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    呃，我需要1个%i来修理我的袖箭，你能帮我找些吗？	#{RW_20080321_451}	#{RW_20080321_452}			0	2	木婉清	0	20	-1	-1	-1	1		1	79	100	1																							92	1	你和木婉清的关系上升了1点。	2	你和木婉清的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1038102	101	10	0	1	0	1	106	135	木婉清任务	把1个#Y%i#W交给#G大理城#W的#R木婉清#W#{_INFOAIM107,136,2,木婉清}。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    呃，我需要1个%i来修理我的袖箭，你能帮我找些吗？	#{RW_20080321_451}	#{RW_20080321_452}			0	2	木婉清	0	20	-1	-1	-1	1		1	80	100	1																							92	1	你和木婉清的关系上升了1点。	2	你和木婉清的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
1038103	101	10	0	1	0	1	106	135	木婉清任务	把1个#Y%i#W交给#G大理城#W的#R木婉清#W#{_INFOAIM107,136,2,木婉清}。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    呃，我需要1个%i来修理我的袖箭，你能帮我找些吗？	#{RW_20080321_451}	#{RW_20080321_452}			0	2	木婉清	0	20	-1	-1	-1	1		1	81	100	1																							92	1	你和木婉清的关系上升了1点。	2	你和木婉清的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																											
