INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
28	232	33	506	507	508	509	510	9	梅岭西北	岭南	20400006	20400011	20400025	20102004	20102005	31	90
29	233	26	526	527	528	529	530	10	石林正南	石城	20400009	20400015	20400017	20102004	20102005	278	281
30	234	27	526	527	528	529	530	11	玉溪西南	石城	20400006	20400011	20400019	20102004	20102005	33	251
31	235	22	501	502	503	504	505	12	长白山西北	塞外	20400004	20400013	20400020	20102004	20102005	39	63
32	236	23	501	502	503	504	505	13	黄龙府西北	塞外	20400009	20400014	20400022	20102004	20102005	28	54
33	237	34	516	517	518	519	520	14	南海正北	海口	20400009	20400014	20400024	20102004	20102005	134	40
34	238	35	516	517	518	519	520	15	琼州正西	海口	20400004	20400013	20400027	20102004	20102005	80	139
35	239	28	531	532	533	534	535	16	南诏西南	苗域	20400009	20400014	20400026	20102004	20102005	39	254
36	240	29	531	532	533	534	535	17	苗疆正东	苗域	20400004	20400013	20400019	20102004	20102005	281	160
37	241	18	541	542	543	544	545	18	雁南正北	雁门	20400009	20400012	20400018	20102004	20102005	102	38
38	242	19	541	542	543	544	545	19	雁北西北	雁门	20400006	20400010	20400020	20102004	20102005	116	29
39	243	30	511	512	513	514	515	20	西湖西南	杭州	20400009	20400012	20400017	20102004	20102005	45	267
40	244	31	511	512	513	514	515	21	龙泉正西	杭州	20400006	20400010	20400025	20102004	20102005	35	121
41	245	25	521	522	523	524	525	22	苍山正南	滇域	20400009	20400012	20400021	20102004	20102005	146	284
42	246	24	521	522	523	524	525	23	洱海正南	滇域	20400006	20400010	20400019	20102004	20102005	173	283
43	247	20	536	537	538	539	540	24	草原西南	辽地	20400009	20400015	20400016	20102004	20102005	97	281
44	248	21	536	537	538	539	540	25	辽西正西	辽地	20400006	20400011	20400020	20102004	20102005	40	142
45	249	32	506	507	508	509	510	26	武夷正南	岭南	20400009	20400015	20400023	20102004	20102005	113	280
46	250	33	506	507	508	509	510	27	梅岭正东	岭南	20400006	20400011	20400025	20102004	20102005	283	236
47	251	26	526	527	528	529	530	28	石林东北	石城	20400009	20400015	20400017	20102004	20102005	227	37
48	252	27	526	527	528	529	530	29	玉溪正南	石城	20400006	20400011	20400019	20102004	20102005	196	280
49	253	22	501	502	503	504	505	30	长白山正东	塞外	20400004	20400013	20400020	20102004	20102005	280	154
50	254	23	501	502	503	504	505	31	黄龙府正东	塞外	20400009	20400014	20400022	20102004	20102005	290	115
51	255	34	516	517	518	519	520	32	南海东北	海口	20400009	20400014	20400024	20102004	20102005	293	58
52	256	35	516	517	518	519	520	33	琼州东北	海口	20400004	20400013	20400027	20102004	20102005	273	52
53	257	28	531	532	533	534	535	34	南诏西北	苗域	20400009	20400014	20400026	20102004	20102005	95	40
54	258	29	531	532	533	534	535	35	苗疆西南	苗域	20400004	20400013	20400019	20102004	20102005	37	251
55	259	18	541	542	543	544	545	18	雁南正北	雁门	20400009	20400012	20400018	20102004	20102005	102	38
56	260	19	541	542	543	544	545	19	雁北西北	雁门	20400006	20400010	20400020	20102004	20102005	116	29
57	261	30	511	512	513	514	515	20	西湖西南	杭州	20400009	20400012	20400017	20102004	20102005	45	267
58	262	31	511	512	513	514	515	21	龙泉正西	杭州	20400006	20400010	20400025	20102004	20102005	35	121
59	263	25	521	522	523	524	525	22	苍山正南	滇域	20400009	20400012	20400021	20102004	20102005	146	284
60	264	24	521	522	523	524	525	23	洱海正南	滇域	20400006	20400010	20400019	20102004	20102005	173	283
61	265	20	536	537	538	539	540	24	草原西南	辽地	20400009	20400015	20400016	20102004	20102005	97	281
62	266	21	536	537	538	539	540	25	辽西正西	辽地	20400006	20400011	20400020	20102004	20102005	40	142
63	267	32	506	507	508	509	510	26	武夷正南	岭南	20400009	20400015	20400023	20102004	20102005	113	280
64	268	33	506	507	508	509	510	27	梅岭正东	岭南	20400006	20400011	20400025	20102004	20102005	283	236
65	269	26	526	527	528	529	530	28	石林东北	石城	20400009	20400015	20400017	20102004	20102005	227	37
66	270	27	526	527	528	529	530	29	玉溪正南	石城	20400006	20400011	20400019	20102004	20102005	196	280
67	271	22	501	502	503	504	505	30	长白山正东	塞外	20400004	20400013	20400020	20102004	20102005	280	154
68	272	23	501	502	503	504	505	31	黄龙府正东	塞外	20400009	20400014	20400022	20102004	20102005	290	115
69	273	34	516	517	518	519	520	32	南海东北	海口	20400009	20400014	20400024	20102004	20102005	293	58
70	274	35	516	517	518	519	520	33	琼州东北	海口	20400004	20400013	20400027	20102004	20102005	273	52
71	275	28	531	532	533	534	535	34	南诏西北	苗域	20400009	20400014	20400026	20102004	20102005	95	40
72	276	29	531	532	533	534	535	35	苗疆西南	苗域	20400004	20400013	20400019	20102004	20102005	37	251
73	277	18	541	542	543	544	545	36	雁南正东	雁门	20400009	20400012	20400018	20102004	20102005	281	113
74	278	19	541	542	543	544	545	37	雁北东北	雁门	20400006	20400010	20400020	20102004	20102005	234	24
75	279	30	511	512	513	514	515	38	西湖正东	杭州	20400009	20400012	20400017	20102004	20102005	261	231
76	280	31	511	512	513	514	515	39	龙泉东南	杭州	20400006	20400010	20400025	20102004	20102005	218	282
77	281	25	521	522	523	524	525	40	苍山正东	滇域	20400009	20400012	20400021	20102004	20102005	294	153
78	282	24	521	522	523	524	525	41	洱海正东	滇域	20400006	20400010	20400019	20102004	20102005	285	166
79	283	20	536	537	538	539	540	42	草原正东	辽地	20400009	20400015	20400016	20102004	20102005	271	194
80	284	21	536	537	538	539	540	43	辽西东南	辽地	20400006	20400011	20400020	20102004	20102005	277	258
81	285	32	506	507	508	509	510	44	武夷东北	岭南	20400009	20400015	20400023	20102004	20102005	255	38
82	286	33	506	507	508	509	510	45	梅岭东北	岭南	20400006	20400011	20400025	20102004	20102005	274	32
83	287	26	526	527	528	529	530	46	石林正西	石城	20400009	20400015	20400017	20102004	20102005	44	178
84	288	27	526	527	528	529	530	47	玉溪正北	石城	20400006	20400011	20400019	20102004	20102005	178	37
85	289	22	501	502	503	504	505	48	长白山正南	塞外	20400004	20400013	20400020	20102004	20102005	216	282
86	290	23	501	502	503	504	505	49	黄龙府东南	塞外	20400009	20400014	20400022	20102004	20102005	253	285
87	291	34	516	517	518	519	520	50	南海西南	海口	20400009	20400014	20400024	20102004	20102005	107	228
88	292	35	516	517	518	519	520	51	琼州正东	海口	20400004	20400013	20400027	20102004	20102005	243	150
89	293	28	531	532	533	534	535	52	南诏东南	苗域	20400009	20400014	20400026	20102004	20102005	273	241
90	294	29	531	532	533	534	535	53	苗疆东北	苗域	20400004	20400013	20400019	20102004	20102005	250	45
91	295	18	541	542	543	544	545	36	雁南正东	雁门	20400009	20400012	20400018	20102004	20102005	281	113
92	296	19	541	542	543	544	545	37	雁北东北	雁门	20400006	20400010	20400020	20102004	20102005	234	24
93	297	30	511	512	513	514	515	38	西湖正东	杭州	20400009	20400012	20400017	20102004	20102005	261	231
94	298	31	511	512	513	514	515	39	龙泉东南	杭州	20400006	20400010	20400025	20102004	20102005	218	282
95	299	25	521	522	523	524	525	40	苍山正东	滇域	20400009	20400012	20400021	20102004	20102005	294	153
96	300	24	521	522	523	524	525	41	洱海正东	滇域	20400006	20400010	20400019	20102004	20102005	285	166
97	301	20	536	537	538	539	540	42	草原正东	辽地	20400009	20400015	20400016	20102004	20102005	271	194
98	302	21	536	537	538	539	540	43	辽西东南	辽地	20400006	20400011	20400020	20102004	20102005	277	258
99	303	32	506	507	508	509	510	44	武夷东北	岭南	20400009	20400015	20400023	20102004	20102005	255	38
100	304	33	506	507	508	509	510	45	梅岭东北	岭南	20400006	20400011	20400025	20102004	20102005	274	32
101	305	26	526	527	528	529	530	46	石林正西	石城	20400009	20400015	20400017	20102004	20102005	44	178
102	306	27	526	527	528	529	530	47	玉溪正北	石城	20400006	20400011	20400019	20102004	20102005	178	37
103	307	22	501	502	503	504	505	48	长白山正南	塞外	20400004	20400013	20400020	20102004	20102005	216	282
104	308	23	501	502	503	504	505	49	黄龙府东南	塞外	20400009	20400014	20400022	20102004	20102005	253	285
105	309	34	516	517	518	519	520	50	南海西南	海口	20400009	20400014	20400024	20102004	20102005	107	228
106	310	35	516	517	518	519	520	51	琼州正东	海口	20400004	20400013	20400027	20102004	20102005	243	150
107	311	28	531	532	533	534	535	52	南诏东南	苗域	20400009	20400014	20400026	20102004	20102005	273	241
108	312	29	531	532	533	534	535	53	苗疆东北	苗域	20400004	20400013	20400019	20102004	20102005	250	45
109	597	18	541	542	543	544	545	0	雁南正南	雁门	20400009	20400012	20400018	20102004	20102005	72	282
110	598	19	541	542	543	544	545	1	雁北正西	雁门	20400006	20400010	20400020	20102004	20102005	32	127
111	599	30	511	512	513	514	515	2	西湖正西	杭州	20400009	20400012	20400017	20102004	20102005	39	139
112	600	31	511	512	513	514	515	3	龙泉正北	杭州	20400006	20400010	20400025	20102004	20102005	63	33
113	601	25	521	522	523	524	525	4	苍山正西	滇域	20400009	20400012	20400021	20102004	20102005	37	172
114	602	24	521	522	523	524	525	5	洱海正西	滇域	20400006	20400010	20400019	20102004	20102005	34	100
115	603	20	536	537	538	539	540	6	草原正西	辽地	20400009	20400015	20400016	20102004	20102005	46	206
116	604	21	536	537	538	539	540	7	辽西西北	辽地	20400006	20400011	20400020	20102004	20102005	75	35
117	605	32	506	507	508	509	510	8	武夷正西	岭南	20400009	20400015	20400023	20102004	20102005	92	171
118	606	33	506	507	508	509	510	9	梅岭西北	岭南	20400006	20400011	20400025	20102004	20102005	31	90
119	607	26	526	527	528	529	530	10	石林正南	石城	20400009	20400015	20400017	20102004	20102005	278	281
120	608	27	526	527	528	529	530	11	玉溪西南	石城	20400006	20400011	20400019	20102004	20102005	33	251
121	609	22	501	502	503	504	505	12	长白山西北	塞外	20400004	20400013	20400020	20102004	20102005	39	63
122	610	23	501	502	503	504	505	13	黄龙府西北	塞外	20400009	20400014	20400022	20102004	20102005	28	54
123	611	34	516	517	518	519	520	14	南海正北	海口	20400009	20400014	20400024	20102004	20102005	134	40
124	612	35	516	517	518	519	520	15	琼州正西	海口	20400004	20400013	20400027	20102004	20102005	80	139
125	613	28	531	532	533	534	535	16	南诏西南	苗域	20400009	20400014	20400026	20102004	20102005	39	254
126	614	29	531	532	533	534	535	17	苗疆正东	苗域	20400004	20400013	20400019	20102004	20102005	281	160
127	615	18	541	542	543	544	545	0	雁南正南	雁门	20400009	20400012	20400018	20102004	20102005	72	282
128	616	19	541	542	543	544	545	1	雁北正西	雁门	20400006	20400010	20400020	20102004	20102005	32	127
129	617	30	511	512	513	514	515	2	西湖正西	杭州	20400009	20400012	20400017	20102004	20102005	39	139
130	618	31	511	512	513	514	515	3	龙泉正北	杭州	20400006	20400010	20400025	20102004	20102005	63	33
131	619	25	521	522	523	524	525	4	苍山正西	滇域	20400009	20400012	20400021	20102004	20102005	37	172
132	620	24	521	522	523	524	525	5	洱海正西	滇域	20400006	20400010	20400019	20102004	20102005	34	100
133	621	20	536	537	538	539	540	6	草原正西	辽地	20400009	20400015	20400016	20102004	20102005	46	206
134	622	21	536	537	538	539	540	7	辽西西北	辽地	20400006	20400011	20400020	20102004	20102005	75	35
135	623	32	506	507	508	509	510	8	武夷正西	岭南	20400009	20400015	20400023	20102004	20102005	92	171
136	624	33	506	507	508	509	510	9	梅岭西北	岭南	20400006	20400011	20400025	20102004	20102005	31	90
137	625	26	526	527	528	529	530	10	石林正南	石城	20400009	20400015	20400017	20102004	20102005	278	281
138	626	27	526	527	528	529	530	11	玉溪西南	石城	20400006	20400011	20400019	20102004	20102005	33	251
139	627	22	501	502	503	504	505	12	长白山西北	塞外	20400004	20400013	20400020	20102004	20102005	39	63
140	628	23	501	502	503	504	505	13	黄龙府西北	塞外	20400009	20400014	20400022	20102004	20102005	28	54
141	629	34	516	517	518	519	520	14	南海正北	海口	20400009	20400014	20400024	20102004	20102005	134	40
142	630	35	516	517	518	519	520	15	琼州正西	海口	20400004	20400013	20400027	20102004	20102005	80	139
143	631	28	531	532	533	534	535	16	南诏西南	苗域	20400009	20400014	20400026	20102004	20102005	39	254
144	632	29	531	532	533	534	535	17	苗疆正东	苗域	20400004	20400013	20400019	20102004	20102005	281	160
145	633	18	541	542	543	544	545	18	雁南正北	雁门	20400009	20400012	20400018	20102004	20102005	102	38
146	634	19	541	542	543	544	545	19	雁北西北	雁门	20400006	20400010	20400020	20102004	20102005	116	29
147	635	30	511	512	513	514	515	20	西湖西南	杭州	20400009	20400012	20400017	20102004	20102005	45	267
148	636	31	511	512	513	514	515	21	龙泉正西	杭州	20400006	20400010	20400025	20102004	20102005	35	121
149	637	25	521	522	523	524	525	22	苍山正南	滇域	20400009	20400012	20400021	20102004	20102005	146	284
150	638	24	521	522	523	524	525	23	洱海正南	滇域	20400006	20400010	20400019	20102004	20102005	173	283
151	639	20	536	537	538	539	540	24	草原西南	辽地	20400009	20400015	20400016	20102004	20102005	97	281
152	640	21	536	537	538	539	540	25	辽西正西	辽地	20400006	20400011	20400020	20102004	20102005	40	142
153	641	32	506	507	508	509	510	26	武夷正南	岭南	20400009	20400015	20400023	20102004	20102005	113	280
154	642	33	506	507	508	509	510	27	梅岭正东	岭南	20400006	20400011	20400025	20102004	20102005	283	236
155	643	26	526	527	528	529	530	28	石林东北	石城	20400009	20400015	20400017	20102004	20102005	227	37
156	644	27	526	527	528	529	530	29	玉溪正南	石城	20400006	20400011	20400019	20102004	20102005	196	280
157	645	22	501	502	503	504	505	30	长白山正东	塞外	20400004	20400013	20400020	20102004	20102005	280	154
158	646	23	501	502	503	504	505	31	黄龙府正东	塞外	20400009	20400014	20400022	20102004	20102005	290	115
159	647	34	516	517	518	519	520	32	南海东北	海口	20400009	20400014	20400024	20102004	20102005	293	58
160	648	35	516	517	518	519	520	33	琼州东北	海口	20400004	20400013	20400027	20102004	20102005	273	52
161	649	28	531	532	533	534	535	34	南诏西北	苗域	20400009	20400014	20400026	20102004	20102005	95	40
162	650	29	531	532	533	534	535	35	苗疆西南	苗域	20400004	20400013	20400019	20102004	20102005	37	251
163	651	18	541	542	543	544	545	18	雁南正北	雁门	20400009	20400012	20400018	20102004	20102005	102	38
164	652	19	541	542	543	544	545	19	雁北西北	雁门	20400006	20400010	20400020	20102004	20102005	116	29
165	653	30	511	512	513	514	515	20	西湖西南	杭州	20400009	20400012	20400017	20102004	20102005	45	267
166	654	31	511	512	513	514	515	21	龙泉正西	杭州	20400006	20400010	20400025	20102004	20102005	35	121
167	655	25	521	522	523	524	525	22	苍山正南	滇域	20400009	20400012	20400021	20102004	20102005	146	284
168	656	24	521	522	523	524	525	23	洱海正南	滇域	20400006	20400010	20400019	20102004	20102005	173	283
169	657	20	536	537	538	539	540	24	草原西南	辽地	20400009	20400015	20400016	20102004	20102005	97	281
170	658	21	536	537	538	539	540	25	辽西正西	辽地	20400006	20400011	20400020	20102004	20102005	40	142
171	659	32	506	507	508	509	510	26	武夷正南	岭南	20400009	20400015	20400023	20102004	20102005	113	280
172	660	33	506	507	508	509	510	27	梅岭正东	岭南	20400006	20400011	20400025	20102004	20102005	283	236
173	661	26	526	527	528	529	530	28	石林东北	石城	20400009	20400015	20400017	20102004	20102005	227	37
174	662	27	526	527	528	529	530	29	玉溪正南	石城	20400006	20400011	20400019	20102004	20102005	196	280
175	663	22	501	502	503	504	505	30	长白山正东	塞外	20400004	20400013	20400020	20102004	20102005	280	154
176	664	23	501	502	503	504	505	31	黄龙府正东	塞外	20400009	20400014	20400022	20102004	20102005	290	115
177	665	34	516	517	518	519	520	32	南海东北	海口	20400009	20400014	20400024	20102004	20102005	293	58
178	666	35	516	517	518	519	520	33	琼州东北	海口	20400004	20400013	20400027	20102004	20102005	273	52
179	667	28	531	532	533	534	535	34	南诏西北	苗域	20400009	20400014	20400026	20102004	20102005	95	40
180	668	29	531	532	533	534	535	35	苗疆西南	苗域	20400004	20400013	20400019	20102004	20102005	37	251
181	669	18	541	542	543	544	545	36	雁南正东	雁门	20400009	20400012	20400018	20102004	20102005	281	113
182	670	19	541	542	543	544	545	37	雁北东北	雁门	20400006	20400010	20400020	20102004	20102005	234	24
183	671	30	511	512	513	514	515	38	西湖正东	杭州	20400009	20400012	20400017	20102004	20102005	261	231
184	672	31	511	512	513	514	515	39	龙泉东南	杭州	20400006	20400010	20400025	20102004	20102005	218	282
185	673	25	521	522	523	524	525	40	苍山正东	滇域	20400009	20400012	20400021	20102004	20102005	294	153
186	674	24	521	522	523	524	525	41	洱海正东	滇域	20400006	20400010	20400019	20102004	20102005	285	166
187	675	20	536	537	538	539	540	42	草原正东	辽地	20400009	20400015	20400016	20102004	20102005	271	194
188	676	21	536	537	538	539	540	43	辽西东南	辽地	20400006	20400011	20400020	20102004	20102005	277	258
189	677	32	506	507	508	509	510	44	武夷东北	岭南	20400009	20400015	20400023	20102004	20102005	255	38
190	678	33	506	507	508	509	510	45	梅岭东北	岭南	20400006	20400011	20400025	20102004	20102005	274	32
191	679	26	526	527	528	529	530	46	石林正西	石城	20400009	20400015	20400017	20102004	20102005	44	178
192	680	27	526	527	528	529	530	47	玉溪正北	石城	20400006	20400011	20400019	20102004	20102005	178	37
193	681	22	501	502	503	504	505	48	长白山正南	塞外	20400004	20400013	20400020	20102004	20102005	216	282
194	682	23	501	502	503	504	505	49	黄龙府东南	塞外	20400009	20400014	20400022	20102004	20102005	253	285
195	683	34	516	517	518	519	520	50	南海西南	海口	20400009	20400014	20400024	20102004	20102005	107	228
196	684	35	516	517	518	519	520	51	琼州正东	海口	20400004	20400013	20400027	20102004	20102005	243	150
197	685	28	531	532	533	534	535	52	南诏东南	苗域	20400009	20400014	20400026	20102004	20102005	273	241
198	686	29	531	532	533	534	535	53	苗疆东北	苗域	20400004	20400013	20400019	20102004	20102005	250	45
199	687	18	541	542	543	544	545	36	雁南正东	雁门	20400009	20400012	20400018	20102004	20102005	281	113
200	688	19	541	542	543	544	545	37	雁北东北	雁门	20400006	20400010	20400020	20102004	20102005	234	24
201	689	30	511	512	513	514	515	38	西湖正东	杭州	20400009	20400012	20400017	20102004	20102005	261	231
202	690	31	511	512	513	514	515	39	龙泉东南	杭州	20400006	20400010	20400025	20102004	20102005	218	282
203	691	25	521	522	523	524	525	40	苍山正东	滇域	20400009	20400012	20400021	20102004	20102005	294	153
204	692	24	521	522	523	524	525	41	洱海正东	滇域	20400006	20400010	20400019	20102004	20102005	285	166
205	693	20	536	537	538	539	540	42	草原正东	辽地	20400009	20400015	20400016	20102004	20102005	271	194
206	694	21	536	537	538	539	540	43	辽西东南	辽地	20400006	20400011	20400020	20102004	20102005	277	258
207	695	32	506	507	508	509	510	44	武夷东北	岭南	20400009	20400015	20400023	20102004	20102005	255	38
208	696	33	506	507	508	509	510	45	梅岭东北	岭南	20400006	20400011	20400025	20102004	20102005	274	32
209	697	26	526	527	528	529	530	46	石林正西	石城	20400009	20400015	20400017	20102004	20102005	44	178
210	698	27	526	527	528	529	530	47	玉溪正北	石城	20400006	20400011	20400019	20102004	20102005	178	37
211	699	22	501	502	503	504	505	48	长白山正南	塞外	20400004	20400013	20400020	20102004	20102005	216	282
212	700	23	501	502	503	504	505	49	黄龙府东南	塞外	20400009	20400014	20400022	20102004	20102005	253	285
213	701	34	516	517	518	519	520	50	南海西南	海口	20400009	20400014	20400024	20102004	20102005	107	228
214	702	35	516	517	518	519	520	51	琼州正东	海口	20400004	20400013	20400027	20102004	20102005	243	150
215	703	28	531	532	533	534	535	52	南诏东南	苗域	20400009	20400014	20400026	20102004	20102005	273	241
216	704	29	531	532	533	534	535	53	苗疆东北	苗域	20400004	20400013	20400019	20102004	20102005	250	45
