INT	INT	INT	INT
184	4	1	20105004
185	4	1	20105005
186	4	1	20105006
187	4	1	20105007
188	4	1	20105008
189	4	1	20105009
190	4	1	20105010
191	4	1	20105011
192	4	1	20105012
193	4	2	20103073
194	4	2	20103074
195	4	2	20103075
196	4	2	20103076
197	4	2	20103077
198	4	2	20103078
199	4	2	20103079
200	4	2	20103080
201	4	2	20103081
202	4	2	20103082
203	4	2	20103083
204	4	2	20103084
205	4	3	20103100
206	4	3	20103101
207	4	3	20103102
208	4	4	20103103
209	4	4	20103104
210	4	4	20103105
211	4	4	20103112
212	4	4	20103113
213	4	4	20103114
214	4	4	20103115
215	4	4	20103116
216	4	4	20103117
217	5	1	20103001
218	5	1	20103002
219	5	1	20103003
220	5	1	20103004
221	5	1	20103005
222	5	1	20103006
223	5	1	20103007
224	5	1	20103008
225	5	1	20103009
226	5	1	20103118
227	5	1	20103010
228	5	1	20103119
229	5	1	20103011
230	5	1	20103120
231	5	1	20103012
232	5	1	20103121
233	5	2	20103085
234	5	2	20103086
235	5	2	20103087
236	5	2	20103088
237	5	2	20103089
238	5	2	20103090
239	5	2	20103091
240	5	2	20103092
241	5	2	20103093
242	5	2	20103094
243	5	2	20103095
244	5	2	20103096
245	6	1	20308001
246	6	1	20308002
247	6	1	20308003
248	6	1	20308004
249	6	1	20308005
250	6	1	20308006
251	6	1	20308007
252	6	1	20308008
253	6	1	20308009
254	6	1	20308010
255	6	1	20308161
256	6	1	20308162
257	6	2	20308011
258	6	2	20308012
259	6	2	20308013
260	6	2	20308014
261	6	2	20308015
262	6	2	20308016
263	6	2	20308017
264	6	2	20308018
265	6	2	20308019
266	6	2	20308020
267	6	2	20308163
268	6	2	20308164
269	6	3	20308021
270	6	3	20308022
271	6	3	20308023
272	6	3	20308024
273	6	3	20308025
274	6	3	20308026
275	6	3	20308027
276	6	3	20308028
277	6	3	20308029
278	6	3	20308030
279	6	3	20308165
280	6	3	20308166
281	6	4	20308031
282	6	4	20308032
283	6	4	20308033
284	6	4	20308034
285	6	4	20308035
286	6	4	20308036
287	6	4	20308037
288	6	4	20308038
289	6	4	20308039
290	6	4	20308040
291	6	4	20308167
292	6	4	20308168
293	6	5	20308041
294	6	5	20308042
295	6	5	20308043
296	6	5	20308044
297	6	5	20308045
298	6	5	20308046
299	6	5	20308047
300	6	5	20308048
301	6	5	20308049
302	6	5	20308050
303	6	5	20308169
304	6	5	20308170
305	6	6	20308051
306	6	6	20308052
307	6	6	20308053
308	6	6	20308054
309	6	6	20308055
310	6	6	20308056
311	6	6	20308057
312	6	6	20308058
313	6	6	20308059
314	6	6	20308060
315	6	6	20308171
316	6	6	20308172
317	6	7	20308061
318	6	7	20308062
319	6	7	20308063
320	6	7	20308064
321	6	7	20308065
322	6	7	20308066
323	6	7	20308067
324	6	7	20308068
325	6	7	20308069
326	6	7	20308070
327	6	7	20308173
328	6	7	20308174
329	6	8	20308071
330	6	8	20308072
331	6	8	20308073
332	6	8	20308074
333	6	8	20308075
334	6	8	20308076
335	6	8	20308077
336	6	8	20308078
337	6	8	20308079
338	6	8	20308080
339	6	8	20308175
340	6	8	20308176
341	6	9	20308081
342	6	9	20308082
343	6	9	20308083
344	6	9	20308084
345	6	9	20308085
346	6	9	20308086
347	6	9	20308087
348	6	9	20308088
349	6	9	20308089
350	6	9	20308090
351	6	9	20308177
352	6	9	20308178
353	6	10	20308091
354	6	10	20308092
355	6	10	20308093
356	6	10	20308094
357	6	10	20308095
358	6	10	20308096
359	6	10	20308097
360	6	10	20308098
361	6	10	20308099
362	6	10	20308100
363	6	10	20308179
364	6	10	20308180
365	6	11	20308101
366	6	11	20308102
367	6	11	20308103
368	6	11	20308104
369	6	11	20308105
370	6	11	20308106
371	6	11	20308107
372	6	11	20308108
373	6	11	20308109
374	6	11	20308110
375	6	11	20308181
376	6	11	20308182
377	6	12	20308111
378	6	12	20308112
379	6	12	20308113
380	6	12	20308114
381	6	12	20308115
382	6	12	20308116
383	6	12	20308117
384	6	12	20308118
385	6	12	20308119
386	6	12	20308120
387	6	12	20308183
388	6	12	20308184
389	6	13	20308121
390	6	13	20308122
391	6	13	20308123
392	6	13	20308124
393	6	13	20308125
394	6	13	20308126
395	6	13	20308127
396	6	13	20308128
397	6	13	20308129
398	6	13	20308130
399	6	13	20308185
400	6	13	20308186
401	6	14	20308131
402	6	14	20308132
403	6	14	20308133
404	6	14	20308134
405	6	14	20308135
406	6	14	20308136
407	6	14	20308137
408	6	14	20308138
409	6	14	20308139
410	6	14	20308140
411	6	14	20308187
412	6	14	20308188
413	6	15	20308141
414	6	15	20308142
415	6	15	20308143
416	6	15	20308144
417	6	15	20308145
418	6	15	20308146
419	6	15	20308147
420	6	15	20308148
421	6	15	20308149
422	6	15	20308150
423	6	15	20308189
424	6	15	20308190
425	6	16	20308151
426	6	16	20308152
427	6	16	20308153
428	6	16	20308154
429	6	16	20308155
430	6	16	20308156
431	6	16	20308157
432	6	16	20308158
433	6	16	20308159
434	6	16	20308160
435	6	16	20308191
436	6	16	20308192
437	7	1	20309010
438	7	1	20309011
439	7	1	20309012
440	7	1	20309013
441	7	1	20309014
442	7	1	20309015
443	7	1	20309016
444	7	1	20309017
445	7	2	20109001
446	7	2	20109002
447	7	2	20109003
448	7	2	20109004
449	7	2	20109005
450	7	2	20109006
451	7	2	20109007
452	7	2	20109008
453	7	2	20109009
454	7	2	20109010
455	7	2	20109011
456	7	2	20109012
457	7	3	20309009
458	7	3	20502009
459	2	6	20102037
460	2	6	20102038
461	2	6	20102039
