INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1010141	655	42	0	1	0		51	115	往事如烟	#{MIS_TAR_ADD_061}	#{Mis_S_Longquan_1010141}	0		#{RW_20080317_43}	31	法念	31	阿青	31	阿青			38	-1	-1	-1	4700	9900	-1																		10413067	1	10412066	1													1	40002150	1	1													
1010142	659	42	0	1	0		202	108	日暮苍山远	#{MIS_TAR_ADD_062}	#{Mis_S_Longquan_1010142}	0		#{RW_20080317_44}	31	雷焕	25	萨桑	25	萨桑			40	-1	-1	-1	6000	12500	-1																																		0																
#苗疆																													-1																																																		
1010150	632	40	0	1	0		157	223	感恩	#{MIS_TAR_ADD_070}	#{Mis_S_Miaojiang_1010150}	1	#{RW_20080317_84}	#{RW_20080317_45}	29	阿雨	28	扬明	28	扬明			96	-1	-1	-1	46000	53000	-1																		10410080	1	10420078	1													1	40002086	1	1													1010151
1010151	633	40	0	1	0		182	265	扬明的计划	#{MIS_TAR_ADD_071}	#{Mis_S_Miaojiang_1010151}	0		#{RW_20080317_46}	29	扬明	29	阿雨	29	阿雨			96	632	-1	-1	23000	45000	-1																																																		
1010152	637	40	0	1	0		157	223	修罗王的指示	#{MIS_TAR_ADD_072}	#{Mis_S_Miaojiang_1010152}	1	#{RW_20080317_85}	#{RW_20080317_47}	29	阿雨	28	扬明	28	扬明			98	634	635	636	22000	42000	-1																		10422119	1	10421076	1																													
#南诏																													-1																																																		
1010160	625	39	0	1	0		147	47	战果报告	#{MIS_TAR_ADD_074}	#{Mis_S_Nanzhao_1010160}	1	#{RW_20080317_02}	#{RW_20080317_48}	28	扬明	28	白兰	28	白兰			87	624	-1	-1	68400	47000	-1																		10422116	1	10421074	1													1	40002079	1	1													
1010161	628	39	0	1	0		157	223	凤纹银锁片	#{MIS_TAR_ADD_075}	#{Mis_S_Nanzhao_1010161}	1	#{RW_20080317_86}	#{RW_20080317_49}	28	白兰	28	扬明	28	扬明			87	627	-1	-1	68400	47000	-1																		10400070	1	10401068	1	10402070	1											1	40002080	1	1													
1010162	629	39	0	1	0		117	108	英雄迟暮	#{MIS_TAR_ADD_076}	#{Mis_S_Nanzhao_1010162}	0		#{RW_20080317_50}	28	白景武	22	完颜呵里布	22	完颜呵里布			89	-1	-1	-1	64900	39000	-1																																																		
#玉溪																													-1																																																		
1010170	613	38	0	1	0		279	47	绝世神兵	#{MIS_TAR_ADD_078}	#{Mis_S_Yuxi_1010170}	1	#{RW_20080317_02}	#{RW_20080317_51}	27	索姆拉	27	阿黑	27	阿黑			70	610	611	612	21400	14600	-1																		10410073	1	10420072	1													1	40002155	1	1													
1010171	614	38	0	1	0		46	51	傻哥哥	#{MIS_TAR_ADD_079}	#{Mis_S_Yuxi_1010171}	1	#{RW_20080317_02}	#{RW_20080317_52}	27	阿依娜	27	萝卜	27	萝卜			72	-1	-1	-1	21000	20800	-1																		10421071	1	10404067	1													1	40002156	1	1													
1010172	619	38	0	1	0		170	206	不蒸馒头	#{MIS_TAR_ADD_080}	#{Mis_S_Yuxi_1010172}	1	#{RW_20080317_02}	#{RW_20080317_53}	27	古鲁拉	21	耶律金	21	耶律金			72	-1	-1	-1	25632	16000	-1																																		1	40002157	1	1													
#梅岭																													-1																																																		
1010180	672	44	0	1	0		162	274	无间道	#{MIS_TAR_ADD_082}	#{Mis_S_Meiling_1010180}	1	#{RW_20080317_02}	#{RW_20080317_54}	33	太阳花	33	甘草	33	甘草			65	-1	-1	-1	41000	12400	-1																		10410072	1	10404066	1																													
1010181	675	44	0	1	0		192	70	为难	#{MIS_TAR_ADD_083}	#{Mis_S_Meiling_1010181}	1	#{RW_20080317_02}	#{RW_20080317_55}	33	荆棘	33	月季	33	月季			67	-1	-1	-1	31300	19000	-1																																																		
1010182	676	44	0	1	0		170	73	绝世好男儿	#{MIS_TAR_ADD_084}	#{Mis_S_Meiling_1010182}	1	#{RW_20080317_02}	#{RW_20080317_56}	33	冬刺	33	沈万三	33	沈万三			70	-1	-1	-1	32400	18000	-1																																																		
1010183	679	44	0	1	0		49	51	停车枫林晚	#{MIS_TAR_ADD_085}	#{Mis_S_Meiling_1010183}	1	#{RW_20080317_02}	#{RW_20080317_57}	33	沈万三	27	索姆拉	27	索姆拉			70	-1	-1	-1	35300	25200	-1																																																		
#南海																													-1																																																		
1010190	681	45	0	1	0		111	60	剧中人	#{MIS_TAR_ADD_087}	#{Mis_S_Nanhai_1010190}	0		#{RW_20080317_58}	34	叶流凡	34	丁涟漪	34	丁涟漪			80	-1	-1	-1	18000	16000	-1																																																		
1010191	683	45	0	1	0		206	237	四签名	#{MIS_TAR_ADD_088}	#{Mis_S_Nanhai_1010191}	0		#{RW_20080317_59}	34	叶流凡	34	岳仲秋	34	岳仲秋			80	682	-1	-1	23000	40000	-1																																																		
1010192	685	45	0	1	0		111	60	空屋	#{MIS_TAR_ADD_089}	#{Mis_S_Nanhai_1010192}	1	#{RW_20080317_87}	#{RW_20080317_60}	34	丁涟漪	34	叶流凡	34	叶流凡			82	-1	-1	-1	20000	22000	-1																																		1	40002073	1	1													
1010194	689	45	0	1	0		128	50	戴面纱的房客	#{MIS_TAR_ADD_090}	#{Mis_S_Nanhai_1010194}	1	#{RW_20080317_02}	#{RW_20080317_61}	34	叶流凡	28	白景武	28	白景武			82	688	-1	-1	38000	40000	-1																																																		
1010195	687	45	0	1	0		260	186	雷神桥之谜	#{MIS_TAR_ADD_091}	#{MIS_TAR_ADD_107}	0		#{RW_20080317_62}	34	叶流凡	34	石敢当	34	石敢当			82	686	-1	-1	36000	25000	-1																																		1	40002074	1	1													
#琼州																													-1																																																		
1010200	693	46	0	1	0		246	151	密信	#{MIS_TAR_ADD_093}	#{Mis_S_Qiongzhou_1010200}	0		#{RW_20080317_63}	35	元子衿	35	淩忆慈	35	淩忆慈			92	692	-1	-1	25000	25000	-1																																		1	40002077	1	1													1030201
1010201	695	46	0	1	0		256	242	解开疑云	#{MIS_TAR_ADD_094}	#{Mis_S_Qiongzhou_1010201}	0		#{RW_20080317_64}	35	淩忆慈	35	岳老三	35	岳老三			92	694	-1	-1	32000	32000	-1																		10412077	1	10422118	1																													
1010202	699	46	0	1	0		92	266	最后一片净土	#{MIS_TAR_ADD_095}	#{Mis_S_Qiongzhou_1010202}	1	#{RW_20080317_88}	#{RW_20080317_65}	35	淩忆慈	29	阿会南	29	阿会南			94	698	-1	-1	50000	48000	-1																																		1	40002082	1	1													
#黄龙																																																																															
1010210	573	34	0	1	0		190	48	伤心的礼物	#{MIS_TAR_ADD_097}	#{Mis_S_Huanglong_1010210}	1	#{RW_20080317_02}	#{RW_20080317_66}	23	符夕颜	23	刘傲天	23	刘傲天			98	-1	-1	-1	28000	30000	-1																																		1	40002084	1	1													
1010211	574	34	0	1	0		45	276	圣物的守护	#{MIS_TAR_ADD_098}	#{Mis_S_Huanglong_1010211}	1	#{RW_20080317_02}	#{RW_20080317_67}	23	刘傲天	23	慕容天狼	23	慕容天狼			98	-1	-1	-1	35000	48000	-1																		10410081	1	10413082	1	10421077	1	10411087	1																									
1010212	577	34	0	1	0		166	204	无奈的真相	#{MIS_TAR_ADD_099}	#{Mis_S_Huanglong_1010212}	1	#{RW_20080317_02}	#{RW_20080317_68}	23	慕容天狼	23	符夕颜	23	符夕颜			98	575	576	-1	53300	65000	-1																																		1	40002104	1	1													1030211
1010213	579	34	0	1	0		163	191	情感的轮回	#{MIS_TAR_ADD_100}	#{Mis_S_Huanglong_1010213}	1	#{RW_20080317_02}	#{RW_20080317_69}	23	宇文苏	23	拓跋文	23	拓跋文			99	578	-1	-1	52100	52100	-1																		10402073	1	10401071	1	10405069	1											1	40002084	1	1													
#门派援助																																																																															
1010220	801	20	0	1	0		249	144	少林派的援助	#{MIS_TAR_ADD_108}	#{shimen_songxin_000}	1	#{RW_20080317_02}	#{shimen_songxinC_000}	0	慧方	8	曹延寿	8	曹延寿			10	800	0	-1	800	12000																																																			
1010221	802	21	0	1	0		249	144	丐帮的援助	#{MIS_TAR_ADD_109}	#{shimen_songxin_001}	1	#{RW_20080317_02}	#{shimen_songxinC_001}	0	洪通	8	曹延寿	8	曹延寿			10	800	2	-1	800	12000	-1																																																		
1010222	803	22	0	1	0		249	144	明教的援助	#{MIS_TAR_ADD_110}	#{shimen_songxin_002}	1	#{RW_20080317_02}	#{shimen_songxinC_002}	0	林岩	8	曹延寿	8	曹延寿			10	800	1	-1	800	12000	-1																																																		
1010223	804	23	0	1	0		249	144	武当派的援助	#{MIS_TAR_ADD_111}	#{shimen_songxin_003}	1	#{RW_20080317_02}	#{shimen_songxinC_003}	0	张中行	8	曹延寿	8	曹延寿			10	800	3	-1	800	12000	-1																																																		
1010224	805	24	0	1	0		249	144	天龙派的援助	#{MIS_TAR_ADD_112}	#{shimen_songxin_004}	1	#{RW_20080317_02}	#{shimen_songxinC_004}	0	本凡	8	曹延寿	8	曹延寿			10	800	6	-1	800	12000	-1																																																		
1010225	806	25	0	1	0		249	144	逍遥派的援助	#{MIS_TAR_ADD_113}	#{shimen_songxin_005}	1	#{RW_20080317_02}	#{shimen_songxinC_005}	0	秦观	8	曹延寿	8	曹延寿			10	800	8	-1	800	12000	-1																																																		
1010226	807	26	0	1	0		249	144	峨嵋派的援助	#{MIS_TAR_ADD_114}	#{shimen_songxin_006}	1	#{RW_20080317_02}	#{shimen_songxinC_006}	0	孟龙	8	曹延寿	8	曹延寿			10	800	4	-1	800	12000	-1																																																		
1010227	808	27	0	1	0		249	144	星宿派的援助	#{MIS_TAR_ADD_115}	#{shimen_songxin_007}	1	#{RW_20080317_02}	#{shimen_songxinC_007}	0	王彦	8	曹延寿	8	曹延寿			10	800	5	-1	800	12000	-1																																																		
1010228	809	28	0	1	0		249	144	天山派的援助	#{MIS_TAR_ADD_116}	#{shimen_songxin_008}	1	#{RW_20080317_02}	#{shimen_songxinC_008}	0	符敏仪	8	曹延寿	8	曹延寿			10	800	7	-1	800	12000	-1																																																		
1010229	811	19	0	1	0		55	63	飞越折柳峡	#{MIS_TAR_ADD_117}	#{shimen_songxin_011}	1	#{RW_20080317_02}	#{shimen_songxinC_011}	8	曹延寿	8	曹延惠	8	曹延惠			10	810	-1	-1	900	13500	-1																																																		
#10-30之间的任务																																																																															
1010231	905	14	0	1	0		209	79	接待	#{MIS_TAR_ADD_119}	#{new_10_30Mis_001}	1	#{RW_20080317_89}	#{RW_20080317_70}	3	柴进	3	萧让	3	萧让			15	-1	-1	-1	156	1800	-1																																																		
1010232	908	14	0	1	0		209	79	学海无涯	#{MIS_TAR_ADD_120}	#{new_10_30Mis_004}	1	#{RW_20080317_02}	#{RW_20080317_71}	3	索琳	3	萧让	3	萧让			15	-1	-1	-1	196	2700	-1																																		1	40002160	1	1													
1010233	909	14	0	1	0		164	262	西域的医术	#{MIS_TAR_ADD_121}	#{new_10_30Mis_005}	1	#{RW_20080317_02}	#{RW_20080317_72}	3	陆松	30	苏飞	30	苏飞			18	-1	-1	-1	290	10800	-1																																		1	40002161	1	1													
1010234	911	41	0	1	0		187	256	好兄弟	#{MIS_TAR_ADD_122}	#{new_10_30Mis_007}	1	#{RW_20080317_02}	#{RW_20080317_73}	30	王朝	30	马汉	30	马汉			20	-1	-1	-1	2300	8850	-1																																		1	40002162	1	1													
1010235	912	41	0	1	0		57	73	苏飞的镰刀	#{MIS_TAR_ADD_123}	#{new_10_30Mis_008}	1	#{RW_20080317_02}	#{RW_20080317_74}	30	苏飞	24	刀琅玕	24	刀琅玕			25	648	-1	-1	2500	13200	-1																																		1	40002163	1	1													
1010236	913	19	0	1	0		150	45	毅力的试炼	#{MIS_TAR_ADD_124}	#{new_10_30Mis_009}	0		#{RW_20080317_75}	8	杨文广	8	周德兴	8	周德兴			15	-1	-1	-1	1000	2250	-1																																																		1010237
1010237	914	19	0	1	0		236	230	耐心的试炼	#{MIS_TAR_ADD_125}	#{new_10_30Mis_010}	0		#{RW_20080317_76}	8	周德兴	123	胡德海	123	胡德海			15	913	-1	-1	1000	2250	-1																																																		1010238
1010238	915	54	0	1	0		175	100	智慧的试炼	#{MIS_TAR_ADD_126}	#{new_10_30Mis_011}	0		#{RW_20080317_77}	123	胡德海	123	孙德龙	123	孙德龙			15	914	-1	-1	1500	3000	-1																		10420001	1	10420002	1	10420003	1																											1000223
1010239	917	54	0	1	0		252	144	信用的试炼	#{MIS_TAR_ADD_127}	#{new_10_30Mis_013}	1	#{RW_20080317_90}	#{new_10_30Mis_014}	123	孙德龙	8	杨文广	8	杨文广			15	916	-1	-1	2000	4500	-1																		10403001	1	10401001	1	10404001	1											1	40002164	1	1													
#峨眉派的任务，只有峨眉能做哦																																																																															
1010240	918	26	0	1	0		217	255	重攻轻守	#{MIS_TAR_ADD_129}	#{emei_skill_mis_01}	0		#{RW_20080317_78}	15	韩映雪	2	王韶	2	王韶			20	800	4	-1	2000	1000	-1																																																		1030220
1010241	920	26	0	1	0		107	112	三人同行	#{MIS_TAR_ADD_130}	#{emei_skill_mis_03}	1	#{RW_20080317_02}	#{RW_20080317_79}	2	王韶	1	庞安时	1	庞安时			20	919	-1	-1	2000	1000	-1																																		1	40002166	1	1													1000230
1010242	922	26	0	1	0		217	255	一代奇才	#{MIS_TAR_ADD_131}	#{emei_skill_mis_05}	0		#{RW_20080317_80}	1	庞安时	2	王韶	2	王韶			20	921	-1	-1	2000	1000	-1																																																		
##木婉清剧情循环																																																																															
1010243	101	10	0	1	0	1	106	133	木婉清任务	    去找%n打听段誉的消息。#r#G注意：放弃此任务将会损失2点关系值，并且在15分钟内不能接受任何剧情循环任务。	    呃，我听说%n有了段誉的下落，你帮我去问问吧。	1	#{RW_20080317_82}	#{RW_20080317_83}			2	木婉清		81	1	39;40;41;42;43	20	-1	-1	-1	0	0	92	1	你和木婉清的关系上升了1点。	2	你和木婉清的关系下降了2点。	91	900	    你曾有过放弃任务的行为，我不得不花些时间来考虑，是否要继续请你帮忙。																																											
