INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING
59	59	0	Buff2_11							0	0	0	1	0		强化：血上限
60	60	0	Buff2_12							0	0	0	1	0		增强：外功攻击
61	61	0	Buff2_13							0	0	0	1	0		增强：内功攻击
62	62	0	Buff2_14							0	0	0	1	0		增强：外攻防御
63	63	0	Buff2_15							0	0	0	1	0		增强：内功防御
64	64	0	Buff2_16							0	0	0	1	0		增强：冰攻击
65	65	0	Buff3_1							0	0	0	1	0		增强：火攻击
66	66	0	Buff3_2							0	0	0	1	0		增强：毒攻击
67	67	0	Buff3_3							0	0	0	1	0		增强：玄攻击
68	68	0	Buff3_4							0	0	0	1	0		增强：冰防御
69	69	0	Buff3_5							0	0	0	1	0		增强：火防御
70	70	0	Buff3_6							0	0	0	1	0		增强：毒防御
71	71	0	Buff3_7							0	0	0	1	0		增强：玄防御
72	72	0	Buff3_8							0	0	0	1	0		增强：力量
73	73	0	Buff3_9							0	0	0	1	0		增强：灵气
74	74	0	Buff3_10							0	0	0	1	0		增强：体力
75	75	0	Buff3_11							0	0	0	1	0		增强：定力
76	76	0	Buff3_12							0	0	0	1	0		增强：身法
77	77	0	Buff3_13							0	0	0	1	0		增强：命中
78	78	0	Buff3_14							0	0	0	1	0		增强：闪避
79	79	0	Buff3_15							0	0	0	1	0		增强：会心
80	80	0	Buff3_16							0	0	0	1	0		增强：血上限
81	81	0	Buff4_1							0	0	0	1	0		抵抗：开膛
82	82	0	Buff4_2							0	0	0	1	0		抵抗：石化
83	83	0	Buff4_3							0	0	0	1	0		抵抗：麻痹
84	84	0	Buff4_4							0	0	0	1	0		抵抗：恐惧
85	85	0	Buff4_5							0	0	0	1	0		抵抗：缠绕
86	86	0	Buff4_6							0	0	0	1	0		抵抗：噬血
87	87	0	Buff4_7							0	0	0	1	0		抵抗：兽毒
88	88	0	Buff4_8							0	0	0	1	0		抵抗：失魂
89	89	0	Buff4_9							0	0	0	1	0		抵抗：就擒
90	90	0	Buff4_10							0	0	0	1	0		抵抗：散功
91	91	0	Buff4_11							0	0	0	1	0		抵抗：围困
92	92	0	Buff4_12							0	0	0	1	0		抵抗：昏睡
93	93	0	Buff4_13							0	0	0	1	0		抵抗：封穴
94	94	0	Buff4_14							0	0	0	1	0		抵抗：失明
95	95	0	Buff4_15							0	0	0	1	0		抵抗：定身
96	96	0	Buff4_16							0	0	0	1	0		无敌
97	15	0	FightSkillMingJiao_9				buff_hunmi_01		头顶状态点	0	0	0	1	0		地狱火：昏睡，移动不能，操作不能，可被攻击，可被打醒
98	98	0	FightSkillEMei1_14							0	1	1	0	0		僵硬：技能冷却时间延长
99	99	0	Buff5_1							0	0	0	1	0		初级隐身
100	100	0	FightSkillShaoLin1_4				g01_buff10		脚下光圈点	0	0	0	1	0		一苇渡江：增加移动速度
101	21	0	FightSkillShaoLin1_5	g01_sl_zdo_nianhuazhi_01	Skills\Sl\Sl_拈花指_散功.wav	身体受击点	buff_sangong_01		脚下光圈点	0	1	1	0	0		拈花指：散功，可以移动，但无法使用任何技能
102	102	0	FightSkillShaoLin1_6		Skills\Sl\Sl_罗汉阵_效果.wav					0	0	0	1	0		罗汉阵：增加外功防御
103	103	0	FightSkillShaoLin1_9				g01_buff5		身体中心点	0	0	0	1	0		礼敬如来：反射伤害
104	104	0	FightSkillShaoLin1_15							0	0	0	1	0		般若掌：强化外功防御
105	105	0	FightSkillShaoLin1_12							0	0	0	1	0		铁布衫：提高怒气转换和抗性
106	106	0	FightSkillShaoLin1_13				g01_buff109		身体中心点	0	0	0	1	0		百无禁忌：对不良效果免疫。高于自己心法等级的不良效果无法免疫。
107	23	0	FightSkillShaoLin1_15				g01_buff100		脚下光圈点	0	1	1	0	0		一拍两散：僵硬，移动速度减慢
108	105	0	FightSkillShaoLin1_16							0	0	0	1	0		韦陀杵：攻击伤害放大
109	109	0	FightSkillShaoLin2_1							0	0	0	1	0		气贯长虹：增加会心
110	110	0	FightSkillShaoLin2_3	g01_sl_zdo_mingjingtai_01		身体受击点				0	0	0	1	0		明镜台：免疫失明
111	111	0	FightSkillShaoLin2_4				g01_buff7		身体中心点	0	0	0	1	0		金刚不坏体：伤害减免
112	100	0	FightSkillMingJiao_4				g01_buff45_01		脚下光圈点	0	0	0	1	0		葵花逐日：增加移动速度
113	13	0	FightSkillMingJiao_5	all_bj0000		身体受击点	buff_fengxue_01		身体受击点	0	1	1	0	0		葵花点穴手：封穴，移动不能，操作不能，可被攻击，无法被打醒
114	114	0	FightSkillMingJiao_6							0	0	0	1	0		葵花向阳：增加外功攻击
115	115	0	FightSkillMingJiao_7				g01_buff8		脚下光圈点	0	0	0	1	0		怒发冲冠：狂暴状态，牺牲防御加强外功攻击
116	116	0	FightSkillMingJiao_8	g01_mj_zdo_huiguangfanzhao		头顶状态点				0	0	0	1	0		李代桃僵：死后能够复活
117	117	0	FightSkillMingJiao_12							0	0	0	1	0		水神下凡：防御状态，提高怒气转换率，此状态下有几率使目标进入破绽状态
118	117	0	FightSkillMingJiao_16							0	0	0	1	0		火神下凡：攻击状态，提高命中和会心
119	119	0	FightSkillMingJiao1_3				g01_buff18		身体受击点	0	0	0	1	0		坐地求全：免疫散功
120	120	0	FightSkillMingJiao_15							0	0	0	1	0		月夜斩：外功攻击增加
121	121	0	FightSkillMingJiao1_4				g01_mj_无中生		身体中心点	0	0	0	1	0		无中生有：攻击无视对方防御
122	100	0	FightSkillGaiBang1_4				g01_buff10		脚下光圈点	0	0	0	1	0		八步赶蟾：增加移动速度
123	21	0	FightSkillGaiBang1_5	g01_gb_zdo_qianlongwuyong		身体受击点	buff_sangong_01		脚下光圈点	0	1	1	0	0		雪泥鸿爪：散功，可以移动，但无法使用任何技能
124	124	0	FightSkillGaiBang1_6	g01_gb_buff113_01		脚下光圈点				0	0	0	1	0		粘衣十八跌：增加闪避
125	17	0	FightSkillGaiBang1_8				g01_gb_buff101		头顶状态点	0	1	1	0	0		潜龙勿用：失明状态下不可以做任何操作，但会在一定区域内随机移动，可被攻击
126	126	0	FightSkillGaiBang1_12							0	0	0	1	0		擒龙式：防御状态，获得怒气速度增加，此状态下攻击有几率虚弱目标的命中
127	126	0	FightSkillGaiBang1_16							0	0	0	1	0		控鹤式：攻击状态，获得三段连击的能力，技能暴击有几率获得两个连击段
128	128	0	FightSkillGaiBang_1				g01_gb_zhanlongjue_2		身体受击点	0	0	0	1	0		履霜冰至：攻击所造成的效果加倍
129	129	0	FightSkillGaiBang1_9							0	0	0	1	0		见龙在田：上毒状态，使攻击目标中毒
130	130	0	FightSkillGaiBang_3							0	0	0	1	0		神龙摆尾：免疫昏睡、定身
131	131	0	FightSkillGaiBang_4				g01_gb_buff114_01		身体中心点	0	0	0	1	0		龙战于野：增加闪避
132	23	0	FightSkillWuDang1_4	g01_yanggetianjun		身体受击点	g01_buff116		脚下光圈点	0	1	1	0	0		三环套月：僵硬，降低移动速度
133	15	0	FightSkillWuDang1_5				buff_hunmi_01		头顶状态点	0	1	1	0	0		揽雀尾：昏睡，移动不能，操作不能，可被攻击，可被打醒
134	134	0	FightSkillWuDang1_6							0	0	0	1	0		天罡北斗阵：加气上限
135	135	0	FightSkillWuDang1_3				g01_wd_zhenwuqijiezhen_01		身体受击点	0	0	1	0	1	左武器绑定点	两仪剑：持续攻击
136	136	0	FightSkillWuDang1_8				g01_wd_zhinanzhen_01		身体受击点	0	0	1	0	1	左武器绑定点	如封似闭：封印，无法移动，无法施放门派技能
137	137	0	FightSkillWuDang1_12							0	0	0	1	0		挑帘式：防御状态，提高怒气转换率，此状态下攻击有几率恢复自己的气
138	138	0	FightSkillWuDang1_13				g01_buff118		身体中心点	0	0	0	1	0		流星赶月：该状态下能用自身的气抵消部分血伤害
139	19	0	FightSkillWuDang1_15				g01_buff38		头顶状态点	0	1	1	0	0		玉女穿梭：定身，移动不能
140	137	0	FightSkillWuDang1_16							0	0	0	1	0		斜飞式：攻击状态，增加会心
141	141	0	FightSkillWuDang2_1				g01_buff119		头顶状态点	0	0	0	1	0		白鹤亮翅：扩大技能的消耗和伤害
142	142	0	FightSkillWuDang2_3				g01_buff5_01		身体受击点	0	0	0	0	0		无懈可击：免疫封穴
143	143	0	FightSkillEMei1_4	all_em_bj00000		身体受击点	g01_em_piaoxuechuanyun_lx		身体受击点	0	0	1	0	1	左武器绑定点	金顶绵掌：使目标持续受到伤害
144	17	0	FightSkillEMei1_5				g01_em_buff38		头顶状态点	0	0	0	1	0		月落西山：失明，无法控制，随机移动
145	145	0	FightSkillEMei1_9				g01_em_jq_zdo_菩提护体		身体中心点	0	0	0	1	0		延年益寿：护体，吸收所受伤害
146	146	0	FightSkillEMei1_11	g01_em_sf_zdo_回心诀		身体受击点				0	0	0	1	0		回天术：持续回复血
147	147	0	FightSkillEMei1_12							0	0	0	1	0		绝剑式：防御状态，怒气转换率增强，此状态下冲虚养气的施法时间减少一半
148	147	0	FightSkillEMei1_16							0	0	0	1	0		灭剑式：攻击状态，此状态下攻击有几率降低目标的血、气上限
149	149	0	FightSkillEMei2_3							0	0	0	1	0		行尸走肉：免疫围困、定身
150	150	0	FightSkillEMei2_4				g01_buff118_01		身体受击点	0	0	0	1	0		呆若木鸡：状态，无敌，但是无法使用门派技能
151	151	0	FightSkillEMei2_1							0	0	0	1	0		斩情诀：状态，减少聚气时间
152	23	0	FightSkillXinXiu1_4	g01_xx_sf_zdo_蝎尾针		身体受击点	g01_xx_sf_zt_蝎尾针		脚下光圈点	0	1	1	0	0		蝎尾针：僵硬，移动速度减慢
153	17	0	FightSkillXinXiu1_5				buff_shiming_01		头顶状态点	0	1	1	0	0		毒蟾功：失明，无法控制，随机移动
154	154	0	FightSkillXinXiu1_6	g01_xx_buff_wugongzhen		身体受击点				0	0	0	1	0		蜈蚣阵：增加内功防御
155	155	0	FightSkillXinXiu1_7				g01_xx_lx_shixueyixiao		身体受击点	0	0	1	0	1	左武器绑定点	笑里藏刀：吸血
156	116	0	FightSkillXinXiu1_9	g01_xx_hanxiaojiuquan		身体受击点				0	0	0	1	0		含笑九泉：死后复活
157	37	0	FightSkillXinXiu1_8				g01_buff100		身体受击点	0	1	1	0	0		笑里藏刀：虚弱所有属性
158	158	0	FightSkillXinXiu1_8							0	0	0	1	0		谈笑自若：引导不被打断
159	159	0	FightSkillXinXiu1_12							0	0	0	1	0		木遁：防御状态，怒气转换率增强，HP上限增加
160	160	0	FightSkillXinXiu1_13				g01_xx_yd_huachenwuxing_01		身体受击点	0	0	1	0	1	左武器绑定点	指鹿为马：持续吸怒
161	161	0	FightSkillXinXiu1_16							0	0	0	1	0		水遁：攻击状态，诅咒被攻击者
162	33	0	FightSkillXinXiu2_2							0	1	1	0	0		化血绵掌：虚弱血上限
163	163	0	FightSkillXinXiu2_3							0	0	0	1	0		金石俱焚：免疫围困、昏睡
164	100	0	FightSkillDaLi_4				g01_buff10		脚下光圈点	0	0	0	1	0		衔枚疾走：增加移动速度
165	136	0	FightSkillDaLi_5	g01_dl_zdo_bamenjinsuo		身体受击点	buff_dingshen		身体受击点	0	0	1	0	0		八门金锁：封印，无法移动，无法施放门派技能
166	166	0	FightSkillDaLi_6				g01_dl_zdo_shaoyangjian		身体受击点	0	0	0	1	0		以逸待劳：增加命中
167	167	0	FightSkillDaLi_7	g01_dl_zdo_zhidianjiangshan		头顶状态点	g01_buff40		头顶状态点	0	0	1	0	0		指点江山：标记，被标记者受伤害增加
168	168	0	FightSkillDaLi_8							0	0	0	1	0		天罡正气：增加所有抗性
169	21	0	FightSkillDaLi_11				buff_sangong_01		脚下光圈点	0	0	1	0	0		欲擒故纵：散功，无法释放门派技能
170	13	0	FightSkillDaLi_15				buff_fengxue_01		身体受击点	0	0	1	0	0		雪拥蓝关：封穴，移动不能，操作不能
171	171	0	FightSkillDaLi_12							0	0	0	1	0		截拳式：防御状态，怒气转换率增强，防御增加
172	172	0	FightSkillDaLi_16							0	0	0	1	0		破剑式：攻击状态，一定几率使目标出现破绽，发功持续时间降低
173	173	0	FightSkillDaLi1_1							0	0	0	1	0		金玉满堂：增加会心
174	100	0	FightSkillTianShan_4				g01_buff10_01		脚下光圈点	0	0	0	1	0		白驹过隙：移动速度增加
175	19	0	FightSkillTianShan_5	g01_buff42_01		身体受击点				0	1	1	0	0		铁锁横江：定身，移动不能
176	99	0	FightSkillTianShan_6							0	0	0	1	0		十面埋伏：隐身
177	99	0	FightSkillTianShan_7							0	0	0	1	0		金蝉脱壳：隐身
178	178	0	FightSkillTianShan_8							0	0	0	1	0		移花接木：在此状态下攻击携带范围伤害效果
179	179	0	FightSkillTianShan_11							0	0	0	1	0		雪花六出：增加会心
180	99	0	FightSkillTianShan_13							0	0	0	1	0		踏雪无痕：隐身
181	23	0	FightSkillTianShan_15				g01_buff100		脚下光圈点	0	0	1	0	0		梅花三弄：僵硬，移动速度减慢
182	182	0	FightSkillTianShan1_4				g01_ts_buff_yangguansandie		身体受击点	0	0	0	1	0		阳关三叠：增加会心
183	183	0	FightSkillTianShan_16							0	0	0	1	0		折梅式：攻击姿态，增加命中
184	13	0	FightSkillTianShan_9	g01_ts_zdo_renwowuxiang		身体受击点	g01_buff38		头顶状态点	0	1	1	0	0		兰花点穴手：封穴，移动不能，操作不能，可被攻击，无法被打醒
185	185	0	FightSkillTianShan_12							0	0	0	1	0		融雪式：防御状态，怒气转换率增强，闪避增加
186	186	0	FightSkillXiaoYao_2							1	0	0	0	0		放置陷阱
187	100	0	FightSkillXiaoYao_4				g01_buff10		脚下光圈点	0	0	0	1	0		淩波微步：增加移动速度
188	11	0	FightSkillXiaoYao_5		Skills\Xy\Xy_画地为牢_击中.wav		g01_xy_sf_zdo_画地为牢		脚下光圈点	0	1	1	0	0		画地为牢：围困，移动不能，操作不能，无敌状态，不可被攻击
189	189	0	FightSkillXiaoYao_6	g01_xy_jq_zdo_黄金甲		身体受击点				0	0	0	1	0		云体风身：增加会心
190	190	0	FightSkillXiaoYao_8							0	0	0	1	0		火眼金睛：加强侦测陷阱的能力
191	191	0	FightSkillTianShan1_3							0	1	0	1	0		阳春白雪：免疫失明
192	192	0	FightSkillXiaoYao_16							0	0	0	1	0		洛神图：攻击状态，陷阱附加灼烧效果
193	193	0	FightSkillXiaoYao1_1				g01_xy_sf_zt_江行初雪		脚下光圈点	0	0	0	1	0		江行初雪：减少摆放诛仙阵陷阱的聚气时间
194	194	0	FightSkillXiaoYao1_3							0	0	0	1	0		波澜不惊：免疫散功
195	21	0	FightSkillXiaoYao1_4	g01_xy_sf_zdo_排山倒海		身体受击点	buff_sangong_01		脚下光圈点	0	0	0	1	0		惊涛骇浪：散功，无法使用门派技能
196	192	0	FightSkillXiaoYao_12							0	0	0	1	0		大风歌：防御状态，怒气转换率增强，有几率使攻击目标进入僵硬状态，移动速度降低
197	197	0	FightSkillDaLi1_3							0	0	0	1	0		非枯非荣：免疫散功、封穴
198	198	0	FightSkillDaLi1_4				g01_buff115		头顶状态点	0	0	0	1	0		百步穿杨：技能必中
199	199	0	FightSkillEMei1_2	g01_em_zd_jiuyingshehun		身体受击点	g01_em_buff40		头顶状态点	0	0	0	0	0		昭君出塞：标记，使目标被峨嵋派技能攻击所受伤害放大
200	200	0	Buff5_2	g01_lidaitaojiang		身体受击点				0	0	0	1	0		心心相印：增加体力
201	201	0	Buff5_3	g01_lidaitaojiang		身体受击点				0	0	0	1	0		不离不弃：增加攻击
202	202	0	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点				0	0	0	1	0		师门关怀：增加外功防御
203	202	0	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点				0	0	0	1	0		师门关怀：增加外功攻击
204	202	0	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点				0	0	0	1	0		师门关怀：增加闪避
205	202	0	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点				0	0	0	1	0		师门关怀：增加内功攻击
206	202	0	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点				0	0	0	1	0		师门关怀：增加血上限
207	202	0	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点				0	0	0	1	0		师门关怀：增加内功防御
208	202	0	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点				0	0	0	1	0		师门关怀：增加命中
209	202	0	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点				0	0	0	1	0		师门关怀：增加抗性
210	202	0	Buff5_4	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点				0	0	0	1	0		师门关怀：增加会心
211	211	0	Buff5_5							0	0	0	0	0		和平：无法攻击且对攻击免疫
212	212	0	OtherTools2_14				g01_buff38		头顶状态点	0	0	0	0	0		困惑：无法攻击，无法移动，受到攻击不会苏醒
213	213	0	FightSkillDaLi_5		Character\Npc\chess_boss_1.wav		g01_buff38		头顶状态点	0	0	0	0	0		封印：无法操作，可以被打醒
214	99	0	MenpaiLiveSkill2_10							0	0	0	1	0		柳暗花明：隐身，移动速度减少20%，受到伤害或使用技能即会现身
215	1500	0	Huodong_14							0	0	0	0	0		参加愚人节活动：增加体力、力量、灵气、定力、身法各5点。
216	1501	0	taiwanzhuanyong2_10							0	0	0	0	0		天龙向前冲：增加体力、力量、灵气、定力、身法各5点。
217	1502	0	taiwanzhuanyong2_12							0	0	0	0	0		幸运快活三：增加体力、力量、灵气、定力、身法各15点
218	1503	0	taiwanzhuanyong2_13	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	新红光环		身体中心点	0	0	0	1	0		天龙周年庆：大幅增加内功攻击、外功攻击
222	222	0	MenpaiLiveSkill2_7							0	0	0	1	0		打坐：持续恢复血气
223	223	0	Buff5_6							0	0	0	1	0		漕运援助：增加外攻
224	224	0	Buff5_6							0	0	0	1	0		漕运援助：增加外防
225	225	0	Buff5_6							0	0	0	1	0		漕运援助：增加内攻
226	226	0	Buff5_6							0	0	0	1	0		漕运援助：增加内防
227	227	0	Buff5_6							0	0	0	1	0		漕运援助：增加移动速度
228	228	0	Buff5_6							0	0	0	1	0		漕运援助：50%几率不会遇怪
229	228	0	Buff5_6							0	0	0	1	0		漕运援助：100%几率不会遇怪
230	230	0	Bag2_1							0	0	0	0	0		实物：免疫不良效果
231	13	0	FightSkillTianShan1_5	all_bj0000		身体受击点	buff_fengxue_01		身体受击点	0	1	1	0	0		同生共死：封穴，移动不能，操作不能，可被攻击，无法被打醒
232	232	0	FightSkillMingJiao_5	all_bj0000		身体受击点	buff_fengxue_01		身体受击点	0	1	1	0	0		棒打狗头：封穴，移动不能，操作不能，可被攻击，无法被打醒
233	233	0	Banner1_8				go1_爱神之箭_buff_01		身体受击点	0	0	0	1	0		爱神之吻：真情的见证，和异性组队去洛阳的丘碧特处兑换奖励
234	234	0	Buff9_16							0	0	0	1	0		穿透：忽略目标玄抗15点
235	235	0	Buff9_16							0	0	0	1	0		穿透：忽略目标玄抗25点
236	236	0	Buff9_14							0	0	0	1	0		穿透：忽略目标火抗15点
237	237	0	Buff9_14							0	0	0	1	0		穿透：忽略目标火抗25点
238	238	0	Buff9_15							0	0	0	1	0		穿透：忽略目标毒抗15点
239	239	0	Buff9_15							0	0	0	1	0		穿透：忽略目标毒抗25点
240	240	0	Buff8_16							0	0	0	1	0		穿透：忽略目标冰抗15点
241	241	0	Buff8_16							0	0	0	1	0		穿透：忽略目标冰抗25点
242	242	0	Huodong_2_13				新蓝光环		身体受击点	0	0	0	1	0		门派年货大采购：体力、力量、灵气、定力、身法各增加15点
243	243	0	Ring5_11				buff_夫妻戒指01		身体受击点	0	0	0	1	0		永恒钻戒：被祝福过的，体力、力量、灵气、定力、身法各增加10点
244	244	0	Buff10_1				buff_珍珑之光		身体受击点							珍珑之光：体力、力量、灵气、定力、身法各增加8点
245	245	0	TaskTools3_3							0	0	0	1	0		复活保护：无敌，使用技能后保护消失
251	99	0	RideHeader1_13		interface\sound_tiger.wav					0	0	0	1	0		坐骑：虎
252	99	0	RideHeader1_1		interface\sound_horse.wav					0	0	0	1	0		坐骑：黄骠马
253	99	0	RideHeader1_11		interface\35.wav					0	0	0	1	0		坐骑：骆驼
254	99	0	RideHeader2_2		interface\32.wav					0	0	0	1	0		坐骑：鹤
255	99	0	RideHeader1_16		interface\33.wav					0	0	0	1	0		坐骑：青凤
256	99	0	RideHeader1_3		interface\34.wav					0	0	0	1	0		坐骑：牦牛
257	99	0	RideHeader1_5		interface\31.wav					0	0	0	1	0		坐骑：鹿
258	99	0	RideHeader1_9		interface\36.wav					0	0	0	1	0		坐骑：雕
259	99	0	RideHeader1_7		interface\30.wav					0	0	0	1	0		坐骑：灰狼
260	99	0	RideHeader1_14		interface\sound_tiger.wav					0	0	0	1	0		坐骑：白虎
261	99	0	RideHeader1_2		interface\sound_horse.wav					0	0	0	1	0		坐骑：青白骢马
262	99	0	RideHeader1_12		interface\35.wav					0	0	0	1	0		坐骑：白骆驼
263	99	0	RideHeader2_1		interface\32.wav					0	0	0	1	0		坐骑：金翼鹤
264	99	0	RideHeader1_15		interface\33.wav					0	0	0	1	0		坐骑：红白凤
265	99	0	RideHeader1_4		interface\34.wav					0	0	0	1	0		坐骑：白牦牛
266	99	0	RideHeader1_6		interface\31.wav					0	0	0	1	0		坐骑：白鹿
267	99	0	RideHeader1_10		interface\36.wav					0	0	0	1	0		坐骑：白雕
268	99	0	RideHeader1_8		interface\30.wav					0	0	0	1	0		坐骑：白狼
269	269	0	Buff5_9	g01_buff108		脚下光圈点				0	0	0	1	0		变身
270	270	0	Buff5_10							0	0	0	1	0		重生：该状态下死后自动复活
271	271	0	Buff5_7							1	0	0	0	0		运输状态：无法隐身、回城和骑乘
272	272	0	Buff5_8							0	0	0	0	0		漕运强盗：识破隐身能力很强、移动速度很快
273	273	0	Buff5_11							0	0	0	1	0		鱼饵：蚯蚓，提高钓鱼速度
274	273	1	Buff5_12							0	0	0	1	0		鱼饵：虹虫，提高钓鱼速度
275	273	2	Buff5_13							0	0	0	1	0		鱼饵：沙蚕，提高钓鱼速度
276	276	0	Buff5_14							0	0	0	0	0		对峙：对峙期间，无法攻击和移动，也不会受到伤害
277	277	0	Buff5_15							0	0	0	0	0		遇敌：无法传送
278	99	0	RideHeader2_3		interface\sound_tiger.wav					0	0	0	1	0		坐骑：狮子
