INT	STRING	STRING	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT
320608	无量山宝宝怪物	[头目]山蛛	2	224	244	0	224	217	0																																										
320701	剑阁精英怪物	[首领]蜀道白猿	1	65	252	0																																													
320702	剑阁精英怪物	[首领]蜀道黑猿	2	67	133	0	67	115	0																																										
320703	剑阁精英怪物	[首领]白茅草人	2	197	216	0	202	204	0																																										
320704	剑阁精英怪物	[首领]鬼面侏儒	2	209	146	0	166	161	0																																										
320705	剑阁宝宝怪物	[头目]蜀道白猿	1	65	252	0																																													
320706	剑阁宝宝怪物	[头目]蜀道黑猿	2	67	133	0	67	115	0																																										
320707	剑阁宝宝怪物	[头目]白茅草人	2	197	216	0	202	204	0																																										
320708	剑阁宝宝怪物	[头目]鬼面侏儒	2	209	146	0	166	161	0																																										
320801	敦煌精英怪物	[头目]榆木傀儡	4	223	216	0	175	216	0	192	257	0	154	224	0																																				
320802	敦煌精英怪物	[头目]沙坡狼	4	250	182	0	209	159	0	256	222	0	261	256	0																																				
320803	敦煌精英怪物	[头目]残破兵俑	4	157	184	0	153	157	0	173	155	0	158	128	0																																				
320804	敦煌精英怪物	[头目]荒原豹	4	171	101	0	117	72	0	93	39	0	131	72	0																																				
320805	敦煌精英怪物	[头目]沙漠马匪	4	101	140	0	103	176	0	87	244	0	96	212	0																																				
320806	敦煌精英怪物	[头目]恶猿	4	69	138	0	55	213	0	37	248	0	48	159	0																																				
320807	沙漠宝藏1层精英怪物	[头目]盗墓小贼	8	38	82	0	67	59	0	141	61	0	208	50	0	217	122	0	180	165	0	152	211	0	77	196	0																								
320808	沙漠宝藏2层精英怪物	[头目]沙漠马匪	8	214	173	0	177	163	0	145	191	0	122	77	0	180	48	0	221	78	0	36	88	0	181	78	0																								
320809	沙漠宝藏3层精英怪物	[头目]护宝铜人	7	94	69	0	213	106	0	192	193	0	24	69	0	121	107	0	155	47	0	235	12	0																											
320810	沙漠宝藏4层精英怪物	[头目]寻宝豪杰	5	179	239	0	131	183	0	64	95	0	49	47	0	115	29	0																																	
320811	沙漠宝藏5层精英怪物	[头目]地洞石人	6	180	230	0	177	177	0	210	209	0	221	171	0	128	195	0	96	230	0																														
321801	雁南精英怪物	[头目]西北狼	4	281	224	0	274	203	0	218	277	0	239	252	0																																				
321802	雁南精英怪物	[头目]金钱豹	4	249	191	0	254	154	0	191	208	0	181	231	0																																				
321803	雁南精英怪物	[头目]灰熊	4	213	75	0	169	95	0	123	79	0	92	109	0																																				
321804	雁南精英怪物	[头目]秦家寨探子	4	127	200	0	120	161	0	119	130	0	116	218	0																																				
321805	雁南精英怪物	[头目]秦家寨喽啰	4	91	162	0	61	138	0	39	107	0	37	150	0																																				
321806	雁南精英怪物	[头目]秦家寨亲兵	4	64	202	0	37	197	0	43	225	0	51	210	0																																				
321901	雁北精英怪物	[头目]红枫蜘蛛	4	159	203	0	161	251	0	173	200	0	139	254	0																																				
321902	雁北精英怪物	[头目]红枫熊	4	253	131	0	240	99	0	212	123	0	247	159	0																																				
321903	雁北精英怪物	[头目]秦家寨劫匪	4	117	142	0	134	131	0	115	125	0	143	172	0																																				
321904	雁北精英怪物	[头目]秦家寨护卫	4	43	166	0	44	144	0	76	158	0	76	195	0																																				
321905	雁北精英怪物	[头目]秦家寨教头	4	107	226	0	63	260	0	40	246	0	45	282	0																																				
321906	雁北精英怪物	[头目]打草谷辽兵	4	205	67	0	179	83	0	164	60	0	127	84	0																																				
322001	草原精英怪物	[头目]草原狼	4	177	250	0	149	271	0	179	275	0	209	268	0																																				
322002	草原精英怪物	[头目]蒙古黑蜂	4	275	269	0	252	193	0	222	235	0	268	220	0																																				
322003	草原精英怪物	[头目]闪电马匪	4	65	156	0	42	276	0	85	234	0	108	230	0																																				
322004	草原精英怪物	[头目]追风马匪	4	198	104	0	148	78	0	177	73	0	165	85	0																																				
322005	草原精英怪物	[头目]弯刀马匪	4	273	156	0	276	111	0	246	115	0	278	136	0																																				
322006	草原精英怪物	[头目]打草谷宋兵	4	40	45	0	84	65	0	57	90	0	81	95	0																																				
322101	辽西精英怪物	[头目]白狼王	4	170	256	0	163	279	0	113	272	0	86	273	0																																				
322102	辽西精英怪物	[头目]大黑蜂	4	100	232	0	71	222	0	47	255	0	54	208	0																																				
322103	辽西精英怪物	[头目]黑衣马匪	4	87	122	0	89	96	0	54	107	0	65	119	0																																				
322104	辽西精英怪物	[头目]红衣马匪	4	134	86	0	209	57	0	218	124	0	182	125	0																																				
322105	辽西精英怪物	[头目]一品堂刺客	4	249	127	0	242	192	0	202	206	0	206	184	0																																				
322106	辽西精英怪物	[头目]轻甲莽盖	4	271	262	0	213	268	0	243	233	0	246	274	0																																				
322201	长白精英怪物	[头目]黑熊	4	60	169	0	88	211	0	116	203	0	129	181	0																																				
322202	长白精英怪物	[头目]东北虎	4	67	273	0	97	276	0	114	274	0	113	246	0																																				
322203	长白精英怪物	[头目]雪人	4	142	277	0	171	264	0	192	236	0	204	188	0																																				
322204	长白精英怪物	[头目]獠牙雪人	4	170	63	0	156	47	0	134	64	0	96	71	0																																				
322205	长白精英怪物	[头目]雪山猎人	4	255	253	0	252	167	0	231	140	0	271	146	0																																				
322301	黄龙精英怪物	[头目]大黑熊	4	85	254	0	123	256	0	174	263	0	155	248	0																																				
322302	黄龙精英怪物	[头目]雪山莽盖	4	73	187	0	68	217	0	50	215	0	70	231	0																																				
322303	黄龙精英怪物	[头目]雪山狼	4	160	131	0	148	145	0	125	155	0	104	175	0																																				
322304	黄龙精英怪物	[头目]重甲莽盖	4	73	88	0	76	57	0	85	48	0	39	69	0																																				
322305	黄龙精英怪物	[头目]巴伦莽盖	4	275	194	0	273	268	0	253	242	0	245	210	0																																				
322401	洱海精英怪物	[头目]花斑豹	4	225	77	0	207	112	0	175	104	0	208	85	0																																				
322402	洱海精英怪物	[头目]赤脚野人	4	153	127	0	128	125	0	103	101	0	75	89	0																																				
322403	洱海精英怪物	[头目]狼族探子	4	229	146	0	239	175	0	192	162	0	224	163	0																																				
322404	洱海精英怪物	[头目]风狼	4	189	195	0	172	206	0	160	189	0	106	216	0																																				
322405	洱海精英怪物	[头目]狼族荆棘使	4	134	276	0	41	186	0	88	170	0	69	140	0																																				
322406	洱海精英怪物	[头目]狼族战士	4	99	121	0	228	255	0	151	241	0	186	222	0																																				
322501	苍山精英怪物	[头目]蓑衣野人	4	57	270	0	94	261	0	76	212	0	43	283	0																																				
322502	苍山精英怪物	[头目]雪狼	4	47	104	0	87	88	0	47	59	0	101	64	0																																				
322503	苍山精英怪物	[头目]狼族勇士	4	158	70	0	201	120	0	256	128	0	173	49	0																																				
322504	苍山精英怪物	[头目]狼族神汉	4	260	264	0	217	261	0	176	254	0	203	226	0																																				
322505	苍山精英怪物	[头目]狼族土司	4	262	198	0	253	184	0	255	209	0	248	230	0																																				
322506	苍山精英怪物	[头目]狼族头人	4	138	236	0	166	269	0	125	258	0	124	225	0																																				
322601	石林精英怪物	[头目]棕熊	4	256	38	0	280	59	0	264	89	0	248	73	0																																				
322602	石林精英怪物	[头目]狼蛛	4	170	61	0	127	60	0	143	102	0	178	104	0																																				
322603	石林精英怪物	[头目]花岗石狮	4	219	269	0	273	213	0	243	197	0	211	161	0																																				
322604	石林精英怪物	[头目]花岗石人	4	66	123	0	113	142	0	82	186	0	56	207	0																																				
322605	石林精英怪物	[头目]页岩石人	4	46	160	0	48	97	0	50	49	0	45	124	0																																				
322606	石林精英怪物	[头目]石人偃师	4	179	264	0	147	274	0	157	203	0	170	232	0																																				
322701	玉溪精英怪物	[头目]剧毒狼蛛	4	112	39	0	85	50	0	58	39	0	55	77	0																																				
322702	玉溪精英怪物	[头目]云母石人	4	90	116	0	116	133	0	140	112	0	163	99	0																																				
322703	玉溪精英怪物	[头目]龙血石人	4	43	178	0	101	160	0	56	145	0	42	271	0																																				
322704	玉溪精英怪物	[头目]女娲石人	4	163	197	0	180	270	0	170	227	0	133	261	0																																				
322705	玉溪精英怪物	[头目]偃师护法	4	200	200	0	175	198	0	235	176	0	230	186	0																																				
322706	玉溪精英怪物	[头目]大偃师	4	275	275	0	234	283	0	275	244	0	259	274	0																																				
322801	南诏精英怪物	[头目]黑沼豹	4	274	77	0	271	135	0	246	128	0	232	124	0																																				
322802	南诏精英怪物	[头目]丛林蜂	4	84	48	0	73	89	0	45	77	0	85	92	0																																				
322803	南诏精英怪物	[头目]藤甲贼	4	43	146	0	41	185	0	68	180	0	51	224	0																																				
322804	南诏精英怪物	[头目]藤甲勇士	4	149	178	0	147	201	0	199	211	0	224	240	0																																				
322805	南诏精英怪物	[头目]黑苗战士	4	255	258	0	60	273	0	84	272	0	110	248	0																																				
322901	苗疆精英怪物	[头目]沼泽鳄鱼	4	97	44	0	42	48	0	57	73	0	105	64	0																																				
322902	苗疆精英怪物	[头目]永夜修罗	4	161	53	0	153	73	0	193	96	0	141	107	0																																				
322903	苗疆精英怪物	[头目]万劫修罗	4	161	201	0	155	223	0	121	194	0	124	219	0																																				
322904	苗疆精英怪物	[头目]厄修罗	4	278	230	0	264	171	0	232	165	0	222	217	0																																				
322905	苗疆精英怪物	[头目]阿鼻修罗	4	272	90	0	256	115	0	228	104	0	259	69	0																																				
323001	西湖精英怪物	[头目]花港毒蜂	4	86	53	0	100	69	0	50	88	0	82	89	0																																				
323002	西湖精英怪物	[头目]水鬼探子	4	200	133	0	168	150	0	200	170	0	177	202	0																																				
323003	西湖精英怪物	[头目]断桥花妖	4	242	121	0	226	119	0	223	78	0	185	100	0																																				
323004	西湖精英怪物	[头目]白堤柳鬼	4	101	221	0	119	234	0	83	256	0	112	67	0																																				
323005	西湖精英怪物	[头目]归云庄庄客	4	72	191	0	50	191	0	52	206	0	46	252	0																																				
323006	西湖精英怪物	[头目]龙井水贼	4	241	251	0	261	243	0	240	216	0	259	232	0																																				
323101	龙泉精英怪物	[头目]龙泉豹	4	63	221	0	79	255	0	107	264	0	123	245	0																																				
323102	龙泉精英怪物	[头目]拦路水鬼	4	97	217	0	122	211	0	58	146	0	56	183	0																																				
323103	龙泉精英怪物	[头目]纵火水鬼	4	79	104	0	64	81	0	101	127	0	113	154	0																																				
323104	龙泉精英怪物	[头目]凿船水鬼	4	192	181	0	194	216	0	193	167	0	174	195	0																																				
323105	龙泉精英怪物	[头目]归云庄剑师	4	258	188	0	237	217	0	238	174	0	267	194	0																																				
323106	龙泉精英怪物	[头目]水鬼刺客	4	235	88	0	157	103	0	125	106	0	227	96	0																																				
323201	武夷精英怪物	[头目]深谷白猿	4	75	140	0	49	91	0	36	93	0	75	152	0																																				
323202	武夷精英怪物	[头目]白花蜘蛛	4	157	188	0	175	162	0	181	138	0	150	100	0																																				
323203	武夷精英怪物	[头目]山越战士	4	203	236	0	232	202	0	263	210	0	269	247	0																																				
323204	武夷精英怪物	[头目]山越盗匪	4	138	40	0	154	47	0	107	69	0	110	101	0																																				
323205	武夷精英怪物	[头目]树甲哨兵	4	277	73	0	277	106	0	249	132	0	236	98	0																																				
323206	武夷精英怪物	[头目]山越刀客	4	171	210	0	166	247	0	148	266	0	179	249	0																																				
323301	梅岭精英怪物	[头目]红袍蜘蛛	4	42	250	0	76	277	0	89	237	0	67	220	0																																				
323302	梅岭精英怪物	[头目]丛林野人	4	93	123	0	83	138	0	35	122	0	33	181	0																																				
323303	梅岭精英怪物	[头目]山越祭司	4	48	64	0	43	43	0	46	84	0	111	55	0																																				
323304	梅岭精英怪物	[头目]棚民	4	122	192	0	115	170	0	160	198	0	141	124	0																																				
323305	梅岭精英怪物	[头目]山越护法	4	234	41	0	238	76	0	190	116	0	190	68	0																																				
323306	梅岭精英怪物	[头目]流寇	4	222	190	0	225	220	0	202	196	0	210	241	0																																				
323401	南海精英怪物	[头目]南海鳄鱼	4	71	94	0	72	134	0	71	166	0	48	134	0																																				
323402	南海精英怪物	[头目]鳄鱼帮混混	4	114	65	0	156	76	0	159	59	0	152	91	0																																				
323403	南海精英怪物	[头目]石老人	4	197	150	0	218	147	0	116	127	0	117	167	0																																				
323404	南海精英怪物	[头目]鳄鱼帮打手	4	179	104	0	194	101	0	186	127	0	232	48	0																																				
323405	南海精英怪物	[头目]南海海盗	4	225	208	0	245	224	0	263	247	0	164	256	0																																				
323501	琼州精英怪物	[头目]嗜血鳄鱼	4	253	182	0	266	221	0	238	202	0	269	233	0																																				
323502	琼州精英怪物	[头目]鳄鱼帮勇士	4	210	198	0	208	220	0	186	222	0	173	185	0																																				
323503	琼州精英怪物	[头目]南海盗神	4	65	199	0	77	220	0	234	55	0	215	58	0																																				
323504	琼州精英怪物	[头目]鳄鱼帮杀手	4	225	113	0	219	165	0	96	127	0	117	125	0																																				
323505	琼州精英怪物	[头目]鳄鱼帮堂主	4	142	134	0	110	200	0	120	137	0	131	214	0																																				
323601	丐帮总舵精英怪物	[头目]复仇恶猴	4	42	147	0	151	153	0	111	138	0	72	137	0																																				
323602	丐帮总舵精英怪物	[头目]强壮恶猴	4	53	109	0	130	111	0	153	117	0	91	121	0																																				
323603	丐帮总舵精英怪物	[头目]精壮恶猴	4	91	102	0	115	93	0	70	90	0	91	63	0																																				
323604	峨嵋山精英怪物	[头目]峨嵋白眉恶猿	4	137	153	0	150	138	0	152	106	0	154	76	0																																				
323605	峨嵋山精英怪物	[头目]峨嵋利爪恶猿	4	144	39	0	95	67	0	95	83	0	96	39	0																																				
323606	峨嵋山精英怪物	[头目]峨嵋凶猱	4	58	151	0	38	151	0	36	109	0	40	48	0																																				
323607	光明顶精英怪物	[头目]密探先锋	4	97	143	0	79	145	0	116	148	0	51	149	0																																				
323608	光明顶精英怪物	[头目]青旗探马	4	157	138	0	159	97	0	51	98	0	28	99	0																																				
323609	光明顶精英怪物	[头目]蓝旗探马	4	29	51	0	80	37	0	117	38	0	155	51	0																																				
323610	少林寺精英怪物	[头目]木人喽罗	4	95	129	0	98	108	0	66	101	0	125	101	0																																				
323611	少林寺精英怪物	[头目]木人精英	4	128	84	0	96	85	0	65	88	0	69	60	0																																				
323612	少林寺精英怪物	[头目]木人武士	4	154	52	0	41	99	0	42	131	0	78	40	0																																				
323613	星宿海精英怪物	[头目]木王蜘蛛	4	70	147	0	45	142	0	106	132	0	145	132	0																																				
323614	星宿海精英怪物	[头目]水王蜘蛛	4	138	95	0	115	110	0	61	114	0	52	88	0																																				
323615	星宿海精英怪物	[头目]火王蜘蛛	4	48	50	0	70	61	0	96	90	0	124	73	0																																				
323616	灵鹫峰精英怪物	[头目]天山小雪怪	4	41	146	0	44	124	0	138	119	0	145	141	0																																				
323617	灵鹫峰精英怪物	[头目]天山大雪怪	4	151	40	0	125	78	0	39	46	0	65	82	0																																				
323618	灵鹫峰精英怪物	[头目]天山雪怪王	4	124	48	0	60	65	0	80	48	0	99	65	0																																				
323619	武当山精英怪物	[头目]妖异心魔	4	109	164	0	38	182	0	45	130	0	62	179	0																																				
323620	武当山精英怪物	[头目]破嗔心魔	4	75	135	0	77	113	0	90	99	0	103	128	0																																				
323621	武当山精英怪物	[头目]杀欲心魔	4	86	85	0	47	94	0	45	58	0	99	69	0																																				
323622	凌波洞精英怪物	[头目]腐体傀儡	3	49	148	0	57	65	0	96	125	0																																							
323623	凌波洞精英怪物	[头目]蚀心傀儡	2	118	147	0	117	87	0																																										
323624	凌波洞精英怪物	[头目]化魄傀儡	3	151	150	0	157	57	0	148	150	0																																							
323625	天龙寺精英怪物	[头目]灭妖傀儡	4	65	144	0	63	97	0	132	133	0	116	115	0																																				
323626	天龙寺精英怪物	[头目]诛仙傀儡	4	147	149	0	155	125	0	96	89	0	86	69	0																																				
323627	天龙寺精英怪物	[头目]弑神傀儡	4	36	78	0	45	46	0	149	34	0	122	65	0																																				
323701	大军草料场	红枫蜘蛛	4	229	126	0	202	57	0	192	103	0	228	68	0																																				
323702	大军草料场	红枫熊	4	216	224	0	231	94	0	200	28	0	229	40	0																																				
323703	大军草料场	秦家寨劫匪	4	159	187	0	157	227	0	176	207	0	154	171	0																																				
323704	大军草料场	秦家寨护卫	4	74	233	0	49	222	0	129	170	0	60	181	0																																				
323705	大军草料场	秦家寨教头	4	56	196	0	78	223	0	66	231	0	115	219	0																																				
323706	大军草料场	打草谷辽兵	4	110	172	0	130	35	0	149	105	0	28	111	0																																				
323801	苗人洞	红袍蜘蛛	4	31	237	0	68	130	0	91	170	0	49	141	0																																				
323802	苗人洞	山越祭司	4	95	151	0	29	103	0	98	105	0	201	162	0																																				
323803	苗人洞	棚民	4	176	76	0	221	134	0	229	98	0	164	101	0																																				
323804	苗人洞	山越护法	4	124	16	0	116	55	0	236	28	0	231	225	0																																				
323805	苗人洞	流寇	4	97	56	0	47	23	0	21	32	0	180	36	0																																				
323901	山洞船坞	花港毒蜂	4	53	211	0	94	204	0	60	231	0	93	232	0																																				
323902	山洞船坞	水鬼探子	4	144	191	0	169	210	0	168	239	0	180	220	0																																				
323903	山洞船坞	断桥花妖	4	179	156	0	167	165	0	85	166	0	164	102	0																																				
323904	山洞船坞	密探	4	149	73	0	175	58	0	220	208	0	225	125	0																																				
323905	山洞船坞	流寇	4	217	50	0	158	34	0	52	151	0	36	129	0																																				
323906	山洞船坞	龙井水贼	4	93	90	0	30	32	0	85	35	0	50	52	0																																				
324001	温泉洞	花斑豹	4	64	231	0	56	185	0	22	155	0	118	211	0																																				
324002	温泉洞	赤脚野人	4	93	158	0	94	120	0	64	143	0	95	106	0																																				
324003	温泉洞	狼族探子	4	39	33	0	86	54	0	120	60	0	114	36	0																																				
324004	温泉洞	风狼	4	52	70	0	236	234	0	215	193	0	160	179	0																																				
324005	温泉洞	狼族荆棘使	4	175	200	0	223	131	0	218	62	0	146	40	0																																				
324006	温泉洞	狼族战士	4	165	122	0	206	73	0	183	33	0	228	24	0																																				
324101	摩崖洞	秦家寨喽啰	4	52	236	0	19	195	0	18	179	0	45	198	0																																				
324102	摩崖洞	秦家寨亲兵	4	65	186	0	64	222	0	94	236	0	86	214	0																																				
324103	摩崖洞	秦家寨劫匪	4	167	217	0	112	201	0	24	103	0	88	155	0																																				
324104	摩崖洞	秦家寨护卫	4	124	21	0	70	93	0	197	56	0	233	46	0																																				
324105	摩崖洞	秦家寨教头	4	96	115	0	200	106	0	223	77	0	201	158	0																																				
324201	剑冢	剑齿豹	4	42	28	0	43	74	0	84	105	0	98	81	0																																				
324202	剑冢	剑冢刺客	4	41	126	0	84	77	0	31	144	0	34	187	0																																				
324203	剑冢	荒野剑客	4	90	201	0	51	231	0	92	175	0	117	228	0																																				
324204	剑冢	暗杀者	4	153	198	0	189	214	0	225	194	0	131	125	0																																				
324205	剑冢	大剑师	4	153	94	0	215	147	0	233	104	0	131	57	0																																				
324206	剑冢	剑灵	4	124	31	0	226	27	0	182	34	0	184	58	0																																				
324301	野人沟	蓑衣野人	4	27	104	0	64	63	0	74	21	0	33	142	0																																				
324302	野人沟	雪狼	4	88	237	0	90	191	0	75	162	0	109	71	0																																				
324303	野人沟	狼族勇士	4	155	50	0	182	80	0	116	181	0	123	218	0																																				
324304	野人沟	狼族神汉	4	207	114	0	196	22	0	188	57	0	230	179	0																																				
324305	野人沟	狼族土司	4	206	159	0	198	137	0	228	225	0	211	78	0																																				
324306	野人沟	狼族头人	4	186	219	0	217	211	0	227	25	0	203	200	0																																				
324401	黄龙洞	深谷白猿	4	138	237	0	146	204	0	175	200	0	176	238	0																																				
324402	黄龙洞	白花蜘蛛	4	201	230	0	234	218	0	170	113	0	137	150	0																																				
324403	黄龙洞	山越战士	4	195	114	0	232	140	0	213	37	0	151	43	0																																				
324404	黄龙洞	山越护法	4	98	152	0	64	181	0	76	94	0	120	183	0																																				
324405	黄龙洞	树甲哨兵	4	105	42	0	34	108	0	68	150	0	65	225	0																																				
324406	黄龙洞	山越祭司	4	130	96	0	52	209	0	23	50	0	50	44	0																																				
324501	天坑树洞	棕熊	4	231	95	0	228	59	0	170	26	0	107	29	0																																				
324502	天坑树洞	狼蛛	4	22	61	0	22	171	0	220	210	0	212	72	0																																				
324503	天坑树洞	花岗石狮	4	164	90	0	145	50	0	29	205	0	50	224	0																																				
324504	天坑树洞	花岗石人	4	202	155	0	106	207	0	50	36	0	68	155	0																																				
324505	天坑树洞	页岩石人	4	127	186	0	132	93	0	87	135	0	94	158	0																																				
324601	水晶湖	草原狼	4	211	200	0	187	210	0	227	154	0	189	171	0																																				
324602	水晶湖	蒙古黑蜂	4	183	181	0	191	217	0	135	214	0	109	227	0																																				
324603	水晶湖	闪电马匪	4	126	167	0	79	228	0	211	88	0	227	29	0																																				
324604	水晶湖	追风马匪	4	153	44	0	135	77	0	131	120	0	177	73	0																																				
324605	水晶湖	弯刀马匪	4	95	103	0	82	51	0	93	105	0	77	226	0																																				
324606	水晶湖	打草谷宋兵	4	29	220	0	29	124	0	33	174	0	24	35	0																																				
324701	桃花源	迷人蜂	4	23	54	0	52	52	0	97	30	0	134	29	0																																				
324702	桃花源	花斑豹	4	47	21	0	94	22	0	132	21	0	64	39	0																																				
324703	桃花源	桃根仙	4	183	44	0	159	29	0	211	21	0	230	175	0																																				
324704	桃花源	桃枝仙	4	236	44	0	37	222	0	208	221	0	160	205	0																																				
324705	桃花源	桃花仙	4	55	182	0	36	117	0	124	65	0	187	160	0																																				
324706	桃花源	桃实仙	4	92	192	0	59	132	0	111	94	0	86	113	0																																				
324801	先王坟	鬼狼	4	65	32	0	95	29	0	154	21	0	189	29	0																																				
324802	先王坟	黑毒蜂	4	229	46	0	223	132	0	35	28	0	45	130	0																																				
324803	先王坟	盗墓马匪	4	66	127	0	48	71	0	207	130	0	181	162	0																																				
324804	先王坟	骷髅	4	31	175	0	50	207	0	189	207	0	225	181	0																																				
324805	先王坟	一品堂刺客	4	127	232	0	107	180	0	147	189	0	128	154	0																																				
324806	先王坟	护墓莽盖	4	127	104	0	127	75	0	105	74	0	150	73	0																																				
324901	海贼洞	南海鳄鱼	4	25	179	0	71	97	0	23	58	0	49	131	0																																				
324902	海贼洞	鳄鱼帮混混	4	56	74	0	103	43	0	128	85	0	69	207	0																																				
324903	海贼洞	石老人	4	86	222	0	158	160	0	188	55	0	181	133	0																																				
324904	海贼洞	鳄鱼帮打手	4	143	41	0	217	45	0	192	103	0	214	144	0																																				
324905	海贼洞	南海海盗	4	148	221	0	202	213	0	190	190	0	218	159	0																																				
325001	雪狼湖	大黑熊	4	157	215	0	129	176	0	103	172	0	51	221	0																																				
325002	雪狼湖	雪山莽盖	4	66	177	0	27	180	0	186	207	0	214	225	0																																				
325003	雪狼湖	雪山狼	4	223	222	0	31	178	0	144	61	0	225	65	0																																				
325004	雪狼湖	重甲莽盖	4	29	100	0	35	35	0	62	109	0	210	83	0																																				
325005	雪狼湖	巴伦莽盖	4	139	136	0	143	61	0	141	81	0	155	132	0																																				
326000	银皑雪原	雪原狼	3	87	206	0	40	204	0	41	104	0																																							
326001	银皑雪原	银皑雪人	3	82	70	0	138	192	0	105	148	0																																							
326002	银皑雪原	雪原莽盖	3	172	68	0	206	143	0	171	184	0																																							
327001	盐湖	盐湖熊	3	91	37	0	118	32	0	128	66	0																																							
327002	盐湖	盐湖鳄鱼	2	42	116	0	97	112	0																																										
327003	盐湖	挖盐木人	2	144	104	0	206	142	0																																										
327004	盐湖	挖盐苦工	2	70	172	0	138	216	0																																										
327005	盐湖	偃师监工	2	61	207	0	206	43	0																																										
327006	盐湖	偃师守卫	2	204	200	0	214	173	0																																										
327007	白沙盐坑	盐湖熊	2	69	88	0	61	95	0																																										
327008	白沙盐坑	盐湖鳄鱼	2	94	64	0	89	66	0																																										
327009	白沙盐坑	挖盐木人	2	55	59	0	60	62	0																																										
327010	白沙盐坑	挖盐苦工	2	38	96	0	25	83	0																																										
327011	白沙盐坑	偃师监工	2	96	50	0	90	25	0																																										
327012	白沙盐坑	偃师守卫	2	58	36	0	34	33	0																																										
327013	火焰山	西域马匪	3	38	46	0	42	60	0	55	36	0																																							
327014	火焰山	荒原蝎	3	197	65	0	217	76	0	208	57	0																																							
327015	火焰山	北方盗贼	3	210	105	0	222	116	0	212	127	0																																							
327016	火焰山	翼牛	3	116	178	0	110	148	0	142	155	0																																							
327017	火焰山	北方强盗	3	119	205	0	158	211	0	218	224	0																																							
327018	火焰山	铁翼牛	3	41	180	0	89	208	0	49	178	0																																							
327019	高昌	废墟恐蝎	3	159	161	0	156	186	0	176	217	0																																							
327020	高昌	西域萨满	3	214	126	0	207	118	0	221	126	0																																							
327021	高昌	西域巫医	3	30	178	0	38	195	0	28	213	0																																							
327022	高昌	西域窃贼	3	29	103	0	30	111	0	36	127	0																																							
327023	高昌	西域劫匪	3	77	84	0	75	73	0	60	86	0																																							
