INT	STRING
30	    再便如何说，我那苦命的阿朱也受此重创，如果能医好便是了。
31	    我姐夫打伤我姐姐我可是亲眼看到的，姐夫还答应姐姐要照顾我的。
32	    我赵钱孙虽然颠三倒四，但这带头大哥我是宁死也不会说的。
33	    那萧峰就算将我锉骨扬灰，这带头大哥我也决意不会说的。
34	    你转告萧峰那辽狗，要从我这里得到带头大哥的消息是决意不可能的。
35	    阿弥陀佛，但愿萧施主以天下苍生为念，莫要再追问下去了。
36	    当我单某是什么人？这带头大哥休再提起，休再提起。
37	    请转告你们南院大王，我虽武功不及于他，但要迫我说出带头大哥，却是不能的。
38	    哼，我只是取到先夫的遗信，问我带头大哥，那个却也不知。
39	    前一段听说世子还在大理城，后来听说是去了中原了。
40	    听从中原回来的朋友说，镇南王府世子曾在苏州一带出现过。
41	    镇南王府世子喜爱游历天下，一时要问消息，却也不太准确，据说他曾去了苏州。
42	    别的不知，只是听无锡的好友说，曾见镇南王世子与个大汉在酒肆中饮酒。
43	    嘘，此事万万不可与别人知道，听说镇南王世子是被一个胡僧掳走了。
44	    当今圣上政通人和，仁厚爱民，我们交口称赞还来不及呢。
45	    昨天晚上的早点不错啊……今天白天的月亮也挺圆的……
46	    莫谈国事，莫谈国事。我什么都不知道。
47	    你打听这些做什么？难道是活得不耐烦了？
48	    对不起，我不是大理国人，对你所说的事情一无所知。
49	    你在说什么啊？我怎么一句都听不懂啊？
50	    我听说成就大业的人，靠的是一个“仁”字。段延庆身为“四大恶人”之首，心狠手辣，哪有什么仁义可言？我是不会与他为伍的。
51	    段延庆出身贵胄，胸怀大志，武艺超群，可以说是一代英杰。但现在大理国段正明政治清明，轻赋薄役。帮助段延庆，只会给人民带来苦难而已。这种事我是不会去做的。
52	    大理国民心归于段正明兄弟，段延庆想要复辟，只会徒劳无功而已。他的能力越大，帮手越多，图谋越深，给人民带来的伤害就会越大。恕我不能相助！
53	    这个……江湖传言多有不实，在下可是贫寒之人啊。
54	    慕容公子有事相托，在下荣幸的紧，但本官手头真的是不宽裕啊。
55	    钱粮？大事？莫非你们要造反？快走快走，再多说话我可上报朝庭了。
56	    钱粮？大事？莫非你们要造反？且莫再说了，免得连累我。
57	    以彼之道，还彼之身的慕容家居然向我开口，一向并无来往，嘿嘿，免谈。
58	    阿弥陀佛，我出家人不谈俗事，施主切莫再言此话，善哉善哉！
59	    施主差矣，贫僧只是出家之人，谈什么威望，善哉善哉！
60	    敝寺乃是出家之人，不受人差役，姑苏慕容施主若说以武力相胁，敝寺上下僧众定不会屈从。
61	    无量天尊，施主切莫妄言，本派一向修丹炼道，习武只是强身健体，慕容施主有什么大事，贫道既不关心亦不参与。
62	    请转告慕容施主，贫道一向淡泊江湖俗事，恕不能从命。
63	    江湖恕事，本派向来不甚参与，请施主将贫道之意转告慕容施主。
64	    相助？敝派一向远离中原，对中原的恩恩怨怨根本不想卷中其中。
65	    大事？我们离中原甚远，对慕容公子的事不是很了解。
66	    你们中原江湖一向你杀我砍，对不起，敝派并不想卷入其中。
67	    我派弟子隐出江湖多年，无论大事小事，恕不便参与。
68	    这个……敝派向来不甚参与江湖的恩怨，慕容公子的大事，既不便明言相告，我们也更本不甚关心，就此别过。
69	    贵国的事情我们不便参与，那位慕容要做什么大事，又不肯明言，让我国如何相助？
70	    听命于慕容公子？我岂是居于人下之人，休要再言！
71	    姑苏慕容虽然在江湖上名头响亮，要我听命于他，却是休想，让那姓慕容的尽管来找我。
72	    哈哈，你道我是什么人？居然要我臣服于姑苏慕容？真是好笑。
73	    哦，慕容公子真是客气，有什么吩咐告诉我就好，还用这样……好吧好吧，我先收着。
74	    这个不太好吧！我手上从不收礼，你直接放我袖子里好了。
75	    这个……这个，太客气了，上次的银票还没用完呢……好吧，只好先收了。
76	    慕容公子忒见外，本官正在收集苏州银票合集，我才有五六张，听要一百多张一套呢。
77	    无事献殷勤，非奸即盗！念你是初犯，本官不加罪于你，不过证物留下，回去告诉慕容复，下次不可再犯。
78	    本官明镜高悬，两袖清风，从来不收人贿赂。这张银票我且当面撕毁，你回去告诉慕容复，这次姑且可恕，下次再犯本官决不姑息。
79	    你问我们尊主的……那个……两股之上是不是有香疤？这，这，我们哪里知道……不过前些日子听伺候尊主沐浴的姐妹说，似乎是有的吧。
80	    虚竹这孩子，我是看着他长大的。这孩子似乎有一次说起过，他与佛门有缘，身上天然生就香疤。但是否生在……阿弥陀佛，老衲不知。
81	    掌门师叔早已不再是少林弟子了，却常常以少林弟子自居。师父说掌门师叔身上天然生就香疤，这佛门气质啊，退是退不掉了。
82	    嗯，婚柬已经收到，有机会一定去西夏观光。
83	    请转告西夏国使者，能得此殊荣，不胜荣幸。
84	    你是问镇南王世子吧，具体的我也不清楚，只是听说早就不在大理城了。
85	    哦，你找对人了，问我我最清楚，他肯定已经不在大理了。
86	    世子去了中原，镇南王急得要死要活，听说专程去了中原去找世子了。
87	    我的消息比较可靠，镇南王世子和一个番僧一起去了中原，想来是去学习番邦的佛法吧。
88	    有个在苏州经商的朋友回来，说在苏州见过镇南王世子。
89	    保定帝镇南王仁义治国，世子没有消息，我们做百姓也替他们着急啊。
90	    我这江南甜饼的制作方法，还请少侠转述给阮星竹女侠。
91	    哦，阮星竹女侠要苏式芙蓉饼的制作方法啊，我就告诉你吧。
92	    我把荷叶酥饼的制作方法告诉你吧，你可要记好啊。
93	    你终于来了啊，这秘制桂花甜点的制作方法，我就告诉你吧。
94	    嗯，我是答应送给小阿碧一本食谱，嗯，就是这本，辛苦你带给她。
95	    阿碧啊，嗯，有这么回事，这本食谱你收好了。
96	    辛苦您了，这是食谱，收好了您呢！
97	    是那个小姑娘啊，嗯嗯，这个食谱你收好了。
98	    什么？王夫人！天哪，饶了我吧，救命啊！
99	    我我我我和我老婆感情好得很呢，我我我我哪有和别的姑娘相好？
100	    唉，没想到还是躲不过……还是被王夫人发现了。
101	    我两个都娶还不行吗？求求你在王夫人面前多说说好话啊。
102	    我不想做花肥啊！救命啊！我现在就去写休书……。
103	    最近我在勤练师父教的“蓝砂手”功夫，但总是不得要领啊。
104	    “蛤蟆功”这一招我就算日日夜夜不停修习，恐怕也难以达到师父十分之一的威力。
105	    我最近正在练“天地同寿”这一招，这招是师父从武当派的招数中演化而来的。
106	    “指鹿为马”招数的确复杂，但只要记住“抹煞良心”四字，倒也不难。
107	    “木甲术”只要修习得当，就能大幅提升自己的防御能力。
108	    这招“冰蚕毒掌”原是那铁头师兄的招数，经师父改进之后，威力更大。
109	    阿弥陀佛，有件需要有劳施主与小僧捎个口讯，请告知%n，告诉他我有要事，这段时间洛阳的安全不是很好，务必要严密保护宗赞王子的安全。
110	    小僧有件不请之请，我国王子宗赞最近将赴西夏招驸马，劳烦施主去找到%n要他一定要保护好王子。
111	    小僧有事请施主代劳，请找到%n确认一下上次小僧所托之事，是否完成。
112	      %n我曾有事相托于他，劳烦施主代小僧去问问，情况如何了。
113	    小僧有一事劳烦，请找%n，约他与小僧联系，有事关两国利益的美事相商。
114	    阿弥陀佛，施主请了。我欲%n联系商议国家大事，麻烦施主带口信给他，小僧这里先谢过了。
115	    属下谨遵国师安排。
116	    国师有命，属下万死不辞。
117	    保护王子，乃属下的职责，请转告国师，一定不负国师所望。
118	    请转告吐蕃国师，危害大宋的事，本官绝对不会去做。
119	    这样国家大事，国师还是通过正规途径来做吧，本官就是天大的胆子也不敢越权从命。
120	    这个，这个，此乃满门抄斩的大罪，本官万万不敢从命。
121	    嗯，知道了，能与吐蕃会猎中原，虽是美事，但还要从长计议啊。
122	    有劳了，会猎中原一事，虽然不错，但大宋兵多粮丰，恐怕不是那么容易的。
