INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
3090	≥…ƒÍÚ·ÚÊ	309	5	9	0	0	10	10	698	200000	-1	-1	654	900000	730	250000	659	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	938	938	938	938	938	846	930	972	1099	1269	150	800	20	20	10	7200000	3090
3091	±‰“ÏÚ·ÚÊ	309	5	9	1	0	10	10	698	200000	-1	-1	654	900000	730	250000	659	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1078	1078	1078	1078	1078	846	930	972	1099	1269	150	800	20	20	10	7200000	3090
3092	±‰“ÏÚ·ÚÊ	309	5	9	1	0	10	10	698	200000	-1	-1	654	900000	730	250000	659	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1219	1219	1219	1219	846	930	972	1099	1269	150	800	20	20	10	7200000	3090
3099	Ú·ÚÊ±¶±¶	309	5	9	0	1	10	10	698	200000	-1	-1	654	900000	730	250000	659	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	938	938	938	938	938	846	930	972	1099	1269	150	800	20	20	10	7200000	3090
3100	≥…ƒÍÚ˘Ú	310	5	9	0	0	10	10	700	100000	-1	-1	714	900000	657	300000	704	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	938	938	938	938	938	846	930	972	1099	1269	10	20	20	150	800	7200000	3100
3101	±‰“ÏÚ˘Ú	310	5	9	1	0	10	10	700	100000	-1	-1	714	900000	657	300000	704	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1078	1078	1078	1078	1078	846	930	972	1099	1269	10	20	20	150	800	7200000	3100
3102	±‰“ÏÚ˘Ú	310	5	9	1	0	10	10	700	100000	-1	-1	714	900000	657	300000	704	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1219	1219	1219	1219	846	930	972	1099	1269	10	20	20	150	800	7200000	3100
3109	Ú˘Ú±¶±¶	310	5	9	0	1	10	10	700	100000	-1	-1	714	900000	657	300000	704	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	938	938	938	938	938	846	930	972	1099	1269	10	20	20	150	800	7200000	3100
3110	≥…ƒÍ¥ÛÛ´ÚÎ	311	5	9	0	0	10	10	684	200000	-1	-1	659	900000	662	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1031	656	844	656	846	930	972	1099	1269	20	300	150	500	30	7200000	3110
3111	±‰“Ï¥ÛÛ´ÚÎ	311	5	9	1	0	10	10	684	200000	-1	-1	659	900000	662	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1402	1186	755	970	755	846	930	972	1099	1269	20	300	150	500	30	7200000	3110
3112	±‰“Ï¥ÛÛ´ÚÎ	311	5	9	1	0	10	10	684	200000	-1	-1	659	900000	662	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1585	1341	853	1097	853	846	930	972	1099	1269	20	300	150	500	30	7200000	3110
3119	¥ÛÛ´ÚÎ±¶±¶	311	5	9	0	1	10	10	684	200000	-1	-1	659	900000	662	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1031	656	844	656	846	930	972	1099	1269	20	300	150	500	30	7200000	3110
3120	≥…ƒÍˆ˘”„	312	5	9	0	0	1000	10	690	200000	-1	-1	706	900000	652	250000	668	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	844	1219	750	750	844	846	930	972	1099	1269	300	500	150	30	20	7200000	3120
3121	±‰“Ïˆ˘”„	312	5	9	1	0	1000	10	690	200000	-1	-1	706	900000	652	250000	668	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	970	1402	862	862	970	846	930	972	1099	1269	300	500	150	30	20	7200000	3120
3122	±‰“Ïˆ˘”„	312	5	9	1	0	1000	10	690	200000	-1	-1	706	900000	652	250000	668	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1097	1585	975	975	1097	846	930	972	1099	1269	300	500	150	30	20	7200000	3120
3129	ˆ˘”„±¶±¶	312	5	9	0	1	1000	10	690	200000	-1	-1	706	900000	652	250000	668	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	844	1219	750	750	844	846	930	972	1099	1269	300	500	150	30	20	7200000	3120
3130	≥…ƒÍ√®Õ∑”•	313	45	9	0	0	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	979	881	783	1272	685	948	1042	1090	1232	1422	150	800	20	20	10	7200000	3130
3131	±‰“Ï√®Õ∑”•	313	45	9	1	0	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1076	969	861	1399	753	948	1042	1090	1232	1422	150	800	20	20	10	7200000	3130
3132	±‰“Ï√®Õ∑”•	313	45	9	1	0	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1174	1057	939	1527	822	948	1042	1090	1232	1422	150	800	20	20	10	7200000	3130
3133	±‰“Ï√®Õ∑”•	313	45	9	1	0	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1145	1018	1654	890	948	1042	1090	1232	1422	150	800	20	20	10	7200000	3130
3139	√®Õ∑”•±¶±¶	313	45	9	0	1	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	979	881	783	1272	685	948	1042	1090	1232	1422	150	800	20	20	10	7200000	3130
3140	≥…ƒÍ‚µ	314	45	9	0	0	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	30	50	100	700	120	7200000	3140
3141	±‰“Ï‚µ	314	45	9	1	0	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1399	1184	753	969	753	948	1042	1090	1232	1422	30	50	100	700	120	7200000	3140
3142	±‰“Ï‚µ	314	45	9	1	0	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1527	1292	822	1057	822	948	1042	1090	1232	1422	30	50	100	700	120	7200000	3140
3143	±‰“Ï‚µ	314	45	9	1	0	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1654	1399	890	1145	890	948	1042	1090	1232	1422	30	50	100	700	120	7200000	3140
3149	‚µ±¶±¶	314	45	9	0	1	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	30	50	100	700	120	7200000	3140
3150	≥…ƒÍ¿œª¢	315	45	9	0	0	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	20	30	150	300	500	7200000	3150
3151	±‰“Ï¿œª¢	315	45	9	1	0	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1399	1184	753	969	753	948	1042	1090	1232	1422	20	30	150	300	500	7200000	3150
3152	±‰“Ï¿œª¢	315	45	9	1	0	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1527	1292	822	1057	822	948	1042	1090	1232	1422	20	30	150	300	500	7200000	3150
3153	±‰“Ï¿œª¢	315	45	9	1	0	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1654	1399	890	1145	890	948	1042	1090	1232	1422	20	30	150	300	500	7200000	3150
3159	¿œª¢±¶±¶	315	45	9	0	1	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	20	30	150	300	500	7200000	3150
3160	≥…ƒÍ“∞÷Ì	316	45	9	0	0	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	10	20	20	150	800	7200000	3160
3161	±‰“Ï“∞÷Ì	316	45	9	1	0	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1399	1184	753	969	753	948	1042	1090	1232	1422	10	20	20	150	800	7200000	3160
3162	±‰“Ï“∞÷Ì	316	45	9	1	0	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1527	1292	822	1057	822	948	1042	1090	1232	1422	10	20	20	150	800	7200000	3160
3163	±‰“Ï“∞÷Ì	316	45	9	1	0	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1654	1399	890	1145	890	948	1042	1090	1232	1422	10	20	20	150	800	7200000	3160
3169	“∞÷Ì±¶±¶	316	45	9	0	1	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	10	20	20	150	800	7200000	3160
3170	≥…ƒÍ±˘≤œ	317	55	9	0	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	714	816	1326	816	1122	1051	1156	1208	1366	1576	800	150	20	20	10	7200000	3170
3171	±‰“Ï±˘≤œ	317	55	9	1	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	767	877	1425	877	1206	1051	1156	1208	1366	1576	800	150	20	20	10	7200000	3170
3172	±‰“Ï±˘≤œ	317	55	9	1	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	821	938	1524	938	1290	1051	1156	1208	1366	1576	800	150	20	20	10	7200000	3170
3173	±‰“Ï±˘≤œ	317	55	9	1	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	874	999	1624	999	1374	1051	1156	1208	1366	1576	800	150	20	20	10	7200000	3170
3174	±‰“Ï±˘≤œ	317	55	9	1	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	928	1060	1723	1060	1458	1051	1156	1208	1366	1576	800	150	20	20	10	7200000	3170
3179	±˘≤œ±¶±¶	317	55	9	0	1	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	714	816	1326	816	1122	1051	1156	1208	1366	1576	800	150	20	20	10	7200000	3170
3180	≥…ƒÍ”•	318	55	9	0	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1020	918	816	1326	714	1051	1156	1208	1366	1576	10	20	20	150	800	7200000	3180
3181	±‰“Ï”•	318	55	9	1	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1096	986	877	1425	767	1051	1156	1208	1366	1576	10	20	20	150	800	7200000	3180
3182	±‰“Ï”•	318	55	9	1	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1173	1055	938	1524	821	1051	1156	1208	1366	1576	10	20	20	150	800	7200000	3180
3183	±‰“Ï”•	318	55	9	1	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1249	1124	999	1624	874	1051	1156	1208	1366	1576	10	20	20	150	800	7200000	3180
3184	±‰“Ï”•	318	55	9	1	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1326	1193	1060	1723	928	1051	1156	1208	1366	1576	10	20	20	150	800	7200000	3180
3189	”•±¶±¶	318	55	9	0	1	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1020	918	816	1326	714	1051	1156	1208	1366	1576	10	20	20	150	800	7200000	3180
3190	≥…ƒÍÕ“ƒÒ	319	55	9	0	0	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1020	918	816	1326	714	1051	1156	1208	1366	1576	500	300	150	30	20	7200000	3190
3191	±‰“ÏÕ“ƒÒ	319	55	9	1	0	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1096	986	877	1425	767	1051	1156	1208	1366	1576	500	300	150	30	20	7200000	3190
3192	±‰“ÏÕ“ƒÒ	319	55	9	1	0	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1173	1055	938	1524	821	1051	1156	1208	1366	1576	500	300	150	30	20	7200000	3190
3193	±‰“ÏÕ“ƒÒ	319	55	9	1	0	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1249	1124	999	1624	874	1051	1156	1208	1366	1576	500	300	150	30	20	7200000	3190
3194	±‰“ÏÕ“ƒÒ	319	55	9	1	0	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1326	1193	1060	1723	928	1051	1156	1208	1366	1576	500	300	150	30	20	7200000	3190
3199	Õ“ƒÒ±¶±¶	319	55	9	0	1	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1020	918	816	1326	714	1051	1156	1208	1366	1576	500	300	150	30	20	7200000	3190
