INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
10200010	1	2	0	10	0	439	1	-1	-1	百炼	100	精华日月千年事，干将莫邪百炼兵。	16000	76800	237	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_10	刀斧类	2009	2002	0
10200011	1	2	0	11	0	411	1	-1	-1	三亭砍山刀	10	刀身宽大厚重，刀刃薄，刀杆分为三段，适合初入江湖者使用。	180	864	125	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_2	刀斧类	2000	2002	0
10200012	1	2	0	12	0	414	1	-1	-1	柳叶泼风刀	20	铜质刀杆，刀刃薄，刃处有微波突起，利于伤敌。	540	2592	137	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_7	刀斧类	2001	2002	0
10200013	1	2	0	13	0	422	1	-1	-1	月牙开山斧	30	斧刃如双开月牙，锋利无比，光华尽显，灿灿生辉，沾者即倒。	1150	5520	150	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_11	刀斧类	2010	2002	0
10200014	1	2	0	14	0	415	1	-1	-1	宝光车轮斧	40	斧长九尺五寸，重八十二斤，刀身上镶有宝石，价值连城，传为三国名将所用，使用者需力大如牛。	1780	8544	162	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_14	刀斧类	2003	2002	0
10200015	1	2	0	15	0	430	1	-1	-1	五行日月铲	50	铲身隐藏五行图，在日光与月光下，皆可显现，威力不可知。	2700	12960	175	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_3	刀斧类	2004	2002	0
10200016	1	2	0	16	0	432	1	-1	-1	金顶枣阳槊	60	华山真人所铸，千年玄铁万年寒冰，集月之灵气，遇月则威力渐强，直至摧月而生。	3850	18480	187	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_7	刀斧类	2005	2002	0
10200017	1	2	0	17	0	440	1	-1	-1	朱雀劈天斧	70	上古神器，传为朱雀一族的守护神，流落人间，威力不可估量。	5570	26736	200	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_12	刀斧类	2011	2002	0
10200018	1	2	0	18	0	446	1	-1	-1	黍离	80	神魔辟易，只有黍离。	7450	35760	212	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_1	刀斧类	2012	2002	0
10200019	1	2	0	19	0	447	1	-1	-1	祸福	90	祸福无测，变幻无常。	9950	47760	225	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_6	刀斧类	2013	2002	0
10200020	1	2	0	20	0	454	1	-1	-1	百战	100	传云出自公输手，百战神兵万载传。	16000	76800	237	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_11	刀斧类	2014	2002	0
10201001	1	2	1	1	0	366	1	-1	-1	三股亮银叉	10	通体银色，叉刃尖细，利于杀敌。	180	864	125	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_2	枪棒类	2015	2002	0
10201002	1	2	1	2	0	370	1	-1	-1	神飞钩镰枪	20	枪尖下带月牙，做工精细，价值千金。	540	2592	137	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_6	枪棒类	2016	2002	0
10201003	1	2	1	3	0	374	1	-1	-1	白玉腾龙枪	30	枪体似展翅翱翔的飞龙，枪刃淬以玄冰，有无坚不摧之利。	1150	5520	150	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_10	枪棒类	2017	2002	0
10201004	1	2	1	4	0	379	1	-1	-1	三股托天叉	40	僧人云游时随身携带十八法器之一，可驱赶蛇虫振锡化缘，亦可卫道降魔。	1780	8544	162	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_15	枪棒类	2018	2002	0
10201005	1	2	1	5	0	382	1	-1	-1	兽角点金枪	50	相传为伏虎罗汉的兵器，内有四神兽之白虎的灵魂，斩草除根，降妖除魔。	2700	12960	175	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_2	枪棒类	2019	2002	0
10201006	1	2	1	6	0	387	1	-1	-1	地火玄卢枪	60	通体血金色，枪头分三支，如燃烧的火焰，灵活轻便，所到之处，枪色与敌人的血色融为一体。	3850	18480	187	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_7	枪棒类	2020	2002	0
10201007	1	2	1	7	0	392	1	-1	-1	佛母紫金枪	70	传为王母赏赐南天将军的兵器，长八尺，紫金色，不知何物质所造，杀气腾腾。	5570	26736	200	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_12	枪棒类	2021	2002	0
10201008	1	2	1	8	0	397	1	-1	-1	镇岳断魂	80	天下第一铸造名家历八载所造，枪身刻有群星连环，深夜闪烁不已，妖魔躲避。	7450	35760	212	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	 	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_1	枪棒类	2022	2002	0
10201009	1	2	1	9	0	401	1	-1	-1	锁喉	90	人中南慕北乔掌，刃里传言唯锁喉。	9950	47760	225	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_5	枪棒类	2023	2002	0
10201010	1	2	1	10	0	406	1	-1	-1	长乐	100	无事江湖数载静，长乐现世世间惊。	16000	76800	237	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_10	枪棒类	2024	2002	0
10201011	1	2	1	11	0	366	1	-1	-1	三股奔雷叉	10	叉刃呈三端，战场上的杀人利器。	180	864	125	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_2	枪棒类	2015	2002	0
10201012	1	2	1	12	0	371	1	-1	-1	精钢猎虎叉	20	用上好的静钢锻造的叉，通体黑亮，叉刃清晰可见，猎人常用来围捕老虎。	540	2592	137	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_7	枪棒类	2025	2002	0
10201013	1	2	1	13	0	374	1	-1	-1	青玉腾龙枪	30	枪体似展翅翱翔的飞龙，枪刃淬以玄冰，有无坚不摧之利。	1150	5520	150	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_10	枪棒类	2017	2002	0
10201014	1	2	1	14	0	379	1	-1	-1	三股烈焰叉	40	僧人云游时随身携带十八法器之一，可驱赶蛇虫振锡化缘，亦可卫道降魔	1780	8544	162	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_15	枪棒类	2018	2002	0
10201015	1	2	1	15	0	382	1	-1	-1	虎尾錾金枪	50	以山中神铁炼成，其刀光如电，切金如泥。	2700	12960	175	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_2	枪棒类	2019	2002	0
10201016	1	2	1	16	0	388	1	-1	-1	五毒透骨枪	60	枪身中空，枪刃上有奇异的花纹，暗藏腐骨毒液，焚心嗜骨 。	3850	18480	187	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_8	枪棒类	2026	2002	0
10201017	1	2	1	17	0	393	1	-1	-1	暴雨灭魂枪	70	八部王之一的修罗王的兵器，传闻一直藏于修罗王体内，枪头呈菱形，带回钩，无坚不摧。	5570	26736	200	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_13	枪棒类	2027	2002	0
10201018	1	2	1	18	0	398	1	-1	-1	掣星穿天	80	上古时候传下的兵器，温润如玉，却坚硬无比，据说枪中藏有干坤神功，但一直不为世人所参透。	7450	35760	212	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_2	枪棒类	2028	2002	0
10201019	1	2	1	19	0	402	1	-1	-1	断肠	90	山间古隐江湖见，子规一鸣因断肠。	9950	47760	225	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_6	枪棒类	2029	2002	0
