INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
16	yanhuo03	yanhuo03.wav	前置特效点	yanhuo03	yanhuo03.wav	前置特效点	yanhuo03	yanhuo03.wav	前置特效点	yanhuo03	yanhuo03.wav	前置特效点	yanhuo03	yanhuo03.wav	前置特效点			烟花(3)
17	yanhuo04	yanhuo04.wav	前置特效点	yanhuo04	yanhuo04.wav	前置特效点	yanhuo04	yanhuo04.wav	前置特效点	yanhuo04	yanhuo04.wav	前置特效点	yanhuo04	yanhuo04.wav	前置特效点			烟花(4)
18	g01_em_buff111	interface\sound_shengji.wav	脚下光圈点	g01_em_buff111	interface\sound_shengji.wav	脚下光圈点	g01_em_buff111	interface\sound_shengji.wav	脚下光圈点	g01_em_buff111	interface\sound_shengji.wav	脚下光圈点	g01_em_buff111	interface\sound_shengji.wav	脚下光圈点			复活
19	g01_buff23		身体受击点	g01_buff23		身体受击点	g01_buff23		身体受击点	g01_buff23		身体受击点	g01_buff23		身体受击点			净化
20	g01_buff25		头顶状态点	g01_buff25		头顶状态点	g01_buff25		头顶状态点	g01_buff25		头顶状态点	g01_buff25		头顶状态点			驱逐
21	g01_zdo_danfengchaoyang		身体受击点	g01_zdo_danfengchaoyang		身体受击点	g01_zdo_danfengchaoyang		身体受击点	g01_zdo_danfengchaoyang		身体受击点	g01_zdo_danfengchaoyang		身体受击点			爆炸
22	g01_zdo_taiyisancai	Skills\Common\explosion_1.wav	身体受击点	g01_zdo_taiyisancai	Skills\Common\explosion_1.wav	身体受击点	g01_zdo_taiyisancai	Skills\Common\explosion_1.wav	身体受击点	g01_zdo_taiyisancai	Skills\Common\explosion_1.wav	身体受击点	g01_zdo_taiyisancai	Skills\Common\explosion_1.wav	身体受击点			开膛
23	g01_zdo_eguangmanying		身体受击点	g01_zdo_eguangmanying		身体受击点	g01_zdo_eguangmanying		身体受击点	g01_zdo_eguangmanying		身体受击点	g01_zdo_eguangmanying		身体受击点			恶贯满盈爆炸
24	g01_dd_jingangfumoquan_02		脚下光圈点	g01_dd_jingangfumoquan_02		脚下光圈点	g01_dd_jingangfumoquan_02		脚下光圈点	g01_dd_jingangfumoquan_02		脚下光圈点	g01_dd_jingangfumoquan_02		脚下光圈点			任务特效
25	all_bj_sd	Skills\Weapon\longsword_hit_heavy_1.wav	身体受击点	all_bj_sd	Skills\Weapon\longsword_hit_middle_1.wav	身体受击点	all_bj_sd	Skills\Weapon\sword_hit_light_3.wav	身体受击点	all_bj_sd	Skills\Weapon\sword_hit_light_2.wav	身体受击点	all_bj_sd_01	Skills\Weapon\sword_hit_heavy_2.wav	身体受击点			伏虎拳特效
26	g01_banruozhang_02		身体受击点	g01_banruozhang_02		身体受击点	g01_banruozhang_02		身体受击点	g01_banruozhang_02		身体受击点	g01_banruozhang_02		身体受击点			般若掌特效
27	g01_yipailiangsan_05		身体受击点	g01_yipailiangsan_05		身体受击点	g01_yipailiangsan_05		身体受击点	g01_yipailiangsan_05		身体受击点	g01_yipailiangsan_05		身体受击点			一拍两散特效
28	g01_wanxiangjiezhi_01		身体受击点	g01_wanxiangjiezhi_01		身体受击点	g01_wanxiangjiezhi_01		身体受击点	g01_wanxiangjiezhi_01		身体受击点	g01_wanxiangjiezhi_01		身体受击点			无相截指特效
29	all_bj_cq	Skills\Weapon\longsword_hit_heavy_1.wav	身体受击点	all_bj_cq	Skills\Weapon\longsword_hit_middle_1.wav	身体受击点	all_bj_cq	Skills\Weapon\sword_hit_light_3.wav	身体受击点	all_bj_cq	Skills\Weapon\sword_hit_light_2.wav	身体受击点	all_bj_cq	Skills\Weapon\sword_hit_heavy_2.wav	身体受击点			错骨分筋特效
30	g01_cuixinliepi		身体受击点	g01_cuixinliepi		身体受击点	g01_cuixinliepi		身体受击点	g01_cuixinliepi		身体受击点	g01_cuixinliepi		身体受击点			摧心裂脾特效
31	g01_tianditongshou		身体受击点	g01_tianditongshou		身体受击点	g01_tianditongshou		身体受击点	g01_tianditongshou		身体受击点	g01_tianditongshou		身体受击点			天地同寿特效
32	g01_leitingzhinu		身体受击点	g01_leitingzhinu		身体受击点	g01_leitingzhinu		身体受击点	g01_leitingzhinu		身体受击点	g01_leitingzhinu		身体受击点			雷霆之怒特效
33	g01_houjibofa_03		身体受击点	g01_houjibofa_03		身体受击点	g01_houjibofa_03		身体受击点	g01_houjibofa_03		身体受击点	g01_houjibofa_03		身体受击点			厚积薄发特效
34	all_bj_shan	Skills\Weapon\longsword_hit_heavy_1.wav	身体受击点	all_bj_shan	Skills\Weapon\longsword_hit_middle_1.wav	身体受击点	all_bj_shan	Skills\Weapon\sword_hit_light_3.wav	身体受击点	all_bj_shan	Skills\Weapon\sword_hit_light_2.wav	身体受击点	all_bj_shan	Skills\Weapon\sword_hit_heavy_2.wav	身体受击点			鲲跃北溟特效
35	g01_peiranyouyu		身体受击点	g01_peiranyouyu		身体受击点	g01_peiranyouyu		身体受击点	g01_peiranyouyu		身体受击点	g01_peiranyouyu		身体受击点			沛然有雨特效
36	g01_kanglongyouhui_03		身体受击点	g01_kanglongyouhui_03		身体受击点	g01_kanglongyouhui_03		身体受击点	g01_kanglongyouhui_03		身体受击点	g01_kanglongyouhui_03		身体受击点			亢龙有悔特效
37	g01_geanguanhuo		身体受击点	g01_geanguanhuo		身体受击点	g01_geanguanhuo		身体受击点	g01_geanguanhuo		身体受击点	g01_geanguanhuo		身体受击点			隔岸观火特效
38	g01_yabiangoubei		身体受击点	g01_yabiangoubei		身体受击点	g01_yabiangoubei		身体受击点	g01_yabiangoubei		身体受击点	g01_yabiangoubei		身体受击点			压扁狗背特效
39	g01_wangmeizhike		身体受击点	g01_wangmeizhike		身体受击点	g01_wangmeizhike		身体受击点	g01_wangmeizhike		身体受击点	g01_wangmeizhike		身体受击点			望梅止渴特效
40	g01_yanggetianjun		身体受击点	g01_yanggetianjun		身体受击点	g01_yanggetianjun		身体受击点	g01_yanggetianjun		身体受击点	g01_yanggetianjun		身体受击点			阳歌天钧特效
41	g01_yangchunbaixue_01		身体受击点	g01_yangchunbaixue_01		身体受击点	g01_yangchunbaixue_01		身体受击点	g01_yangchunbaixue_01		身体受击点	g01_yangchunbaixue_01		身体受击点			阳春白雪特效
42	g01_pingxuyufeng_01		身体受击点	g01_pingxuyufeng_01		身体受击点	g01_pingxuyufeng_01		身体受击点	g01_pingxuyufeng_01		身体受击点	g01_pingxuyufeng_01		身体受击点			凭虚御风特效
43	g01_yihubaiying		身体受击点	g01_yihubaiying		身体受击点	g01_yihubaiying		身体受击点	g01_yihubaiying		身体受击点	g01_yihubaiying		身体受击点			一呼百应特效
44	g01_zdo_baihongguanri		脚下光圈点	g01_zdo_baihongguanri		脚下光圈点	g01_zdo_baihongguanri		脚下光圈点	g01_zdo_baihongguanri		脚下光圈点	g01_zdo_baihongguanri		脚下光圈点			白虹贯日特效
58	g01_yuqinguzong		脚下光圈点	g01_yuqinguzong		脚下光圈点	g01_yuqinguzong		脚下光圈点	g01_yuqinguzong		脚下光圈点	g01_yuqinguzong		脚下光圈点			友好特效
59	yanhuo06	yanhuo02.wav	前置特效点	yanhuo06	yanhuo02.wav	前置特效点	yanhuo06	yanhuo02.wav	前置特效点	yanhuo06	yanhuo02.wav	前置特效点	yanhuo06	yanhuo02.wav	前置特效点			烟花新1
60	yanhuo07	yanhuo02.wav	前置特效点	yanhuo07	yanhuo02.wav	前置特效点	yanhuo07	yanhuo02.wav	前置特效点	yanhuo07	yanhuo02.wav	前置特效点	yanhuo07	yanhuo02.wav	前置特效点			烟花新2
61	yanhuo08	yanhuo02.wav	前置特效点	yanhuo08	yanhuo02.wav	前置特效点	yanhuo08	yanhuo02.wav	前置特效点	yanhuo08	yanhuo02.wav	前置特效点	yanhuo08	yanhuo02.wav	前置特效点			烟花新3
62	yanhuo09	yanhuo02.wav	前置特效点	yanhuo09	yanhuo02.wav	前置特效点	yanhuo09	yanhuo02.wav	前置特效点	yanhuo09	yanhuo02.wav	前置特效点	yanhuo09	yanhuo02.wav	前置特效点			烟花新4
63	yanhuo10	yanhuo02.wav	前置特效点	yanhuo10	yanhuo02.wav	前置特效点	yanhuo10	yanhuo02.wav	前置特效点	yanhuo10	yanhuo02.wav	前置特效点	yanhuo10	yanhuo02.wav	前置特效点			烟花新5
64	yanhuo_zhong	yanhuo02.wav	前置特效点	yanhuo_zhong	yanhuo02.wav	前置特效点	yanhuo_zhong	yanhuo02.wav	前置特效点	yanhuo_zhong	yanhuo02.wav	前置特效点	yanhuo_zhong	yanhuo02.wav	前置特效点			中秋特效1
65	yanhuo_qiu	yanhuo02.wav	前置特效点	yanhuo_qiu	yanhuo02.wav	前置特效点	yanhuo_qiu	yanhuo02.wav	前置特效点	yanhuo_qiu	yanhuo02.wav	前置特效点	yanhuo_qiu	yanhuo02.wav	前置特效点			中秋特效2
66	yanhuo_kuai	yanhuo02.wav	前置特效点	yanhuo_kuai	yanhuo02.wav	前置特效点	yanhuo_kuai	yanhuo02.wav	前置特效点	yanhuo_kuai	yanhuo02.wav	前置特效点	yanhuo_kuai	yanhuo02.wav	前置特效点			中秋特效3
67	yanhuo_le	yanhuo02.wav	前置特效点	yanhuo_le	yanhuo02.wav	前置特效点	yanhuo_le	yanhuo02.wav	前置特效点	yanhuo_le	yanhuo02.wav	前置特效点	yanhuo_le	yanhuo02.wav	前置特效点			中秋特效4
68	少林_2		脚下光圈点	少林_2		脚下光圈点	少林_2		脚下光圈点	少林_2		脚下光圈点	少林_2		脚下光圈点			少林师门动作
69	明教_2		脚下光圈点	明教_2		脚下光圈点	明教_2		脚下光圈点	明教_2		脚下光圈点	明教_2		脚下光圈点			明教师门动作
70	丐帮_2		脚下光圈点	丐帮_2		脚下光圈点	丐帮_2		脚下光圈点	丐帮_2		脚下光圈点	丐帮_2		脚下光圈点			丐帮师门动作
71	武当_2		脚下光圈点	武当_2		脚下光圈点	武当_2		脚下光圈点	武当_2		脚下光圈点	武当_2		脚下光圈点			武当师门动作
72	峨嵋_2		脚下光圈点	峨嵋_2		脚下光圈点	峨嵋_2		脚下光圈点	峨嵋_2		脚下光圈点	峨嵋_2		脚下光圈点			峨嵋师门动作
73	星宿_2		脚下光圈点	星宿_2		脚下光圈点	星宿_2		脚下光圈点	星宿_2		脚下光圈点	星宿_2		脚下光圈点			星宿师门动作
74	天龙_2		脚下光圈点	天龙_2		脚下光圈点	天龙_2		脚下光圈点	天龙_2		脚下光圈点	天龙_2		脚下光圈点			大理师门动作
75	天山_2		脚下光圈点	天山_2		脚下光圈点	天山_2		脚下光圈点	天山_2		脚下光圈点	天山_2		脚下光圈点			天山师门动作
76	逍遥_2		头顶状态点	逍遥_2		头顶状态点	逍遥_2		头顶状态点	逍遥_2		头顶状态点	逍遥_2		头顶状态点			逍遥师门动作
77	接任务	interface\quest_accept.wav	脚下光圈点	接任务	interface\quest_accept.wav	脚下光圈点	接任务	interface\quest_accept.wav	脚下光圈点	接任务	interface\quest_accept.wav	脚下光圈点	接任务	interface\quest_accept.wav	脚下光圈点			接任务特效
78	交任务	interface\quest_complete.wav	脚下光圈点	交任务	interface\quest_complete.wav	脚下光圈点	交任务	interface\quest_complete.wav	脚下光圈点	交任务	interface\quest_complete.wav	脚下光圈点	交任务	interface\quest_complete.wav	脚下光圈点			交任务特效
79	shengji_lv	interface\sound_shengji.wav	脚下光圈点	shengji_lv	interface\sound_shengji.wav	脚下光圈点	shengji_lv	interface\sound_shengji.wav	脚下光圈点	shengji_lv	interface\sound_shengji.wav	脚下光圈点	shengji_lv	interface\sound_shengji.wav	脚下光圈点			升级绿特效
80	shengji_huang	interface\sound_shengji.wav	脚下光圈点	shengji_huang	interface\sound_shengji.wav	脚下光圈点	shengji_huang	interface\sound_shengji.wav	脚下光圈点	shengji_huang	interface\sound_shengji.wav	脚下光圈点	shengji_huang	interface\sound_shengji.wav	脚下光圈点			升级黄特效
100	all_bj0000a	Skills\Weapon\longsword_hit_heavy_1.wav	身体受击点	all_bj0000a	Skills\Weapon\longsword_hit_middle_1.wav	身体受击点	all_bj0000a	Skills\Weapon\sword_hit_light_3.wav	身体受击点	all_bj0000a	Skills\Weapon\sword_hit_light_2.wav	身体受击点	all_bj0004a	Skills\Weapon\sword_hit_heavy_2.wav	身体受击点			雁南飞受击
101	g01_ts_zdo_meihuasannong		身体受击点	g01_ts_zdo_meihuasannong		身体受击点	g01_ts_zdo_meihuasannong		身体受击点	g01_ts_zdo_meihuasannong		身体受击点	g01_ts_zdo_meihuasannong		身体受击点			鹰击长空受击
102	g01_ts_zdo_zanghuahun		身体受击点	g01_ts_zdo_zanghuahun		身体受击点	g01_ts_zdo_zanghuahun		身体受击点	g01_ts_zdo_zanghuahun		身体受击点	g01_ts_zdo_zanghuahun		身体受击点			凤舞九天受击
103	g01_ts_zdo_liuheduzun		身体受击点	g01_ts_zdo_liuheduzun		身体受击点	g01_ts_zdo_liuheduzun		身体受击点	g01_ts_zdo_liuheduzun		身体受击点	g01_ts_zdo_liuheduzun		身体受击点			雪花六出
104	g01_ts_zdo_bahuangweiwo_01		身体受击点	g01_ts_zdo_bahuangweiwo_01		身体受击点	g01_ts_zdo_bahuangweiwo_01		身体受击点	g01_ts_zdo_bahuangweiwo_01		身体受击点	g01_ts_zdo_bahuangweiwo_01		身体受击点			梅花三弄
105	g01_ts_zdo_yanggetianjun		身体受击点	g01_ts_zdo_yanggetianjun		身体受击点	g01_ts_zdo_yanggetianjun		身体受击点	g01_ts_zdo_yanggetianjun		身体受击点	g01_ts_zdo_yanggetianjun		身体受击点			阳歌天钧特效
106	all_bj04		身体受击点	all_bj04		身体受击点	all_bj04		身体受击点	all_bj04		身体受击点	all_bj04		身体受击点			真水无香(移花接木）特效
107	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点			三阳开泰特效
108	g01_gb_zdo_tulongzhang		身体受击点	g01_gb_zdo_tulongzhang		身体受击点	g01_gb_zdo_tulongzhang		身体受击点	g01_gb_zdo_tulongzhang		身体受击点	g01_gb_zdo_tulongzhang		身体受击点			震惊百里
109	g01_houjibofa_03		身体受击点	g01_houjibofa_03		身体受击点	g01_houjibofa_03		身体受击点	g01_houjibofa_03		身体受击点	g01_houjibofa_03		身体受击点			月夜斩（水淹七军）
110	g01_mj_zdo_monishenghuozhen_01		身体受击点	g01_mj_zdo_monishenghuozhen_01		身体受击点	g01_mj_zdo_monishenghuozhen_01		身体受击点	g01_mj_zdo_monishenghuozhen_01		身体受击点	g01_mj_zdo_monishenghuozhen_01		身体受击点			摩尼圣火阵
111	g01_sl_zdo_mokewuliang_01	Skills\Weapon\sword_hit_heavy_1.wav	身体受击点	g01_sl_zdo_mokewuliang_01	Skills\Weapon\sword_hit_heavy_1.wav	身体受击点	g01_sl_zdo_mokewuliang_01	Skills\Weapon\sword_hit_heavy_2.wav	身体受击点	g01_sl_zdo_mokewuliang_01	Skills\Weapon\sword_hit_heavy_2.wav	身体受击点	g01_sl_zdo_mokewuliang_01	Skills\Weapon\sword_hit_heavy_3.wav	身体受击点			摩诃无量
112	g01_sl_zdo_yipailiangsan_01	Skills\Weapon\sword_hit_heavy_1.wav	身体受击点	g01_sl_zdo_yipailiangsan_01	Skills\Weapon\sword_hit_heavy_1.wav	身体受击点	g01_sl_zdo_yipailiangsan_01	Skills\Weapon\sword_hit_heavy_2.wav	身体受击点	g01_sl_zdo_yipailiangsan_01	Skills\Weapon\sword_hit_heavy_2.wav	身体受击点	g01_sl_zdo_yipailiangsan_01	Skills\Weapon\sword_hit_heavy_3.wav	身体受击点			一拍两散特效
113	all_bj0004	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	all_bj0004	Skills\Weapon\fist_hit_middle_2_late.wav	身体受击点	all_bj0004	Skills\Weapon\fist_hit_middle_2_late.wav	身体受击点	all_bj0004	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	all_bj0004	Skills\Weapon\fist_hit_middle_2.wav	身体受击点			金刚伏魔圈特效
114	g01_gb_zdo_danfengchaoyang		身体受击点	g01_gb_zdo_danfengchaoyang		身体受击点	g01_gb_zdo_danfengchaoyang		身体受击点	g01_gb_zdo_danfengchaoyang		身体受击点	g01_gb_zdo_danfengchaoyang		身体受击点			化血绵掌特效
115	g01_mj_zdo_tianrenluan		身体受击点	g01_mj_zdo_tianrenluan		身体受击点	g01_mj_zdo_tianrenluan		身体受击点	g01_mj_zdo_tianrenluan		身体受击点	g01_mj_zdo_tianrenluan		身体受击点			火焰连环斩
116	g01_sl_zdo_rulaishenzhang_01	Skills\Weapon\fist_hit_heavy_2.wav	身体受击点	g01_sl_zdo_rulaishenzhang_01	Skills\Weapon\fist_hit_heavy_2.wav	身体受击点	g01_sl_zdo_rulaishenzhang_01	Skills\Weapon\fist_hit_heavy_2.wav	身体受击点	g01_sl_zdo_rulaishenzhang_01	Skills\Weapon\fist_hit_heavy_2.wav	身体受击点	g01_sl_zdo_rulaishenzhang_01	Skills\Weapon\fist_hit_heavy_2.wav	身体受击点			如来神掌特效
117	g01_zdo_danfengchaoyang	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	g01_zdo_danfengchaoyang	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	g01_zdo_danfengchaoyang	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	g01_zdo_danfengchaoyang	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	g01_zdo_danfengchaoyang	Skills\Weapon\fist_hit_middle_2.wav	身体受击点			大力金刚掌
118	g01_sl_zdo_jiashafumogong_01		身体受击点	g01_sl_zdo_jiashafumogong_01		身体受击点	g01_sl_zdo_jiashafumogong_01		身体受击点	g01_sl_zdo_jiashafumogong_01		身体受击点	g01_sl_zdo_jiashafumogong_01		身体受击点			袈裟伏魔
119	g01_mj_zdo_yanlongwushuang_01		身体受击点	g01_mj_zdo_yanlongwushuang_01		身体受击点	g01_mj_zdo_yanlongwushuang_01		身体受击点	g01_mj_zdo_yanlongwushuang_01		身体受击点	g01_mj_zdo_yanlongwushuang_01		身体受击点			炎龙无双
120	all_bj0004_01		身体受击点	all_bj0004_01		身体受击点	all_bj0004_01		身体受击点	all_bj0004_01		身体受击点	all_bj0004_01		身体受击点			移花接木
121	g01_gb_cuogufenjin_01		身体受击点	g01_gb_cuogufenjin_01		身体受击点	g01_gb_cuogufenjin_01		身体受击点	g01_gb_cuogufenjin_01		身体受击点	g01_gb_cuogufenjin_01		身体受击点			冲阵斩将
122	g01_gb_zdo_kanglongyouhui		身体受击点	g01_gb_zdo_kanglongyouhui		身体受击点	g01_gb_zdo_kanglongyouhui		身体受击点	g01_gb_zdo_kanglongyouhui		身体受击点	g01_gb_zdo_kanglongyouhui		身体受击点			飞龙在天特效
123	g01_zdo_eguangmanying		身体受击点	g01_zdo_eguangmanying		身体受击点	g01_zdo_eguangmanying		身体受击点	g01_zdo_eguangmanying		身体受击点	g01_zdo_eguangmanying		身体受击点			亢龙有悔特效
124	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点			一阳指
125	g01_dl_zdo_shaozejian		身体受击点	g01_dl_zdo_shaozejian		身体受击点	g01_dl_zdo_shaozejian		身体受击点	g01_dl_zdo_shaozejian		身体受击点	g01_dl_zdo_shaozejian		身体受击点			少泽剑
126	g01_xy_sf_zdo_排山倒海		身体受击点	g01_xy_sf_zdo_排山倒海		身体受击点	g01_xy_sf_zdo_排山倒海		身体受击点	g01_xy_sf_zdo_排山倒海		身体受击点	g01_xy_sf_zdo_排山倒海		身体受击点			排山倒海
127	g01_xy_jq_zdo_诛仙阵_2		身体受击点	g01_xy_jq_zdo_诛仙阵_2		身体受击点	g01_xy_jq_zdo_诛仙阵_2		身体受击点	g01_xy_jq_zdo_诛仙阵_2		身体受击点	g01_xy_jq_zdo_诛仙阵_2		身体受击点			诛仙阵
128	g01_xy_怪物受击	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	g01_xy_怪物受击	Skills\Weapon\fist_hit_middle_2_late.wav	身体受击点	g01_xy_怪物受击	Skills\Weapon\fist_hit_middle_2_late.wav	身体受击点	g01_xy_怪物受击	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	g01_xy_怪物受击	Skills\Weapon\fist_hit_middle_2.wav	身体受击点			八阵图
129	g01_xy_怪物受击	Skills\Weapon\sword_hit_light_5.wav	身体受击点	g01_xy_怪物受击	Skills\Weapon\sword_hit_light_5.wav	身体受击点	g01_xy_怪物受击	Skills\Weapon\sword_hit_light_5.wav	身体受击点	g01_xy_怪物受击	Skills\Weapon\sword_hit_light_2.wav	身体受击点	g01_xy_怪物受击	Skills\Weapon\sword_hit_light_2.wav	身体受击点			桃花阵
130	g01_em_sf_zdo_天人合一		身体受击点	g01_em_sf_zdo_天人合一		身体受击点	g01_em_sf_zdo_天人合一		身体受击点	g01_em_sf_zdo_天人合一		身体受击点	g01_em_sf_zdo_天人合一		身体受击点			拖泥带水
131	g01_em_cihangpudu		身体受击点	g01_em_cihangpudu		身体受击点	g01_em_cihangpudu		身体受击点	g01_em_cihangpudu		身体受击点	g01_em_cihangpudu		身体受击点			冲虚养气
132	g01_em_jq_zdo_金风玉露		脚下光圈点	g01_em_jq_zdo_金风玉露		脚下光圈点	g01_em_jq_zdo_金风玉露		脚下光圈点	g01_em_jq_zdo_金风玉露		脚下光圈点	g01_em_jq_zdo_金风玉露		脚下光圈点			佛光普照
133	g01_xy_zdo_凌波微步		脚下光圈点	g01_xy_zdo_凌波微步		脚下光圈点	g01_xy_zdo_凌波微步		脚下光圈点	g01_xy_zdo_凌波微步		脚下光圈点	g01_xy_zdo_凌波微步		脚下光圈点			凌波微步
134	yanhuo11	yanhuo02.wav	前置特效点	yanhuo11	yanhuo02.wav	前置特效点	yanhuo11	yanhuo02.wav	前置特效点	yanhuo11	yanhuo02.wav	前置特效点	yanhuo11	yanhuo02.wav	前置特效点			新增烟花特效1
135	yanhuo12	yanhuo02.wav	前置特效点	yanhuo12	yanhuo02.wav	前置特效点	yanhuo12	yanhuo02.wav	前置特效点	yanhuo12	yanhuo02.wav	前置特效点	yanhuo12	yanhuo02.wav	前置特效点			新增烟花特效2
136	yanhuo13	yanhuo02.wav	前置特效点	yanhuo13	yanhuo02.wav	前置特效点	yanhuo13	yanhuo02.wav	前置特效点	yanhuo13	yanhuo02.wav	前置特效点	yanhuo13	yanhuo02.wav	前置特效点			新增烟花特效3
137	yanhuo14_02	yanhuo02.wav	前置特效点	yanhuo14_02	yanhuo02.wav	前置特效点	yanhuo14_02	yanhuo02.wav	前置特效点	yanhuo14_02	yanhuo02.wav	前置特效点	yanhuo14_02	yanhuo02.wav	前置特效点			新增烟花特效4
138	yanhuo15	yanhuo02.wav	前置特效点	yanhuo15	yanhuo02.wav	前置特效点	yanhuo15	yanhuo02.wav	前置特效点	yanhuo15	yanhuo02.wav	前置特效点	yanhuo15	yanhuo02.wav	前置特效点			新增烟花特效5
139	yanhuo16	yanhuo02.wav	前置特效点	yanhuo16	yanhuo02.wav	前置特效点	yanhuo16	yanhuo02.wav	前置特效点	yanhuo16	yanhuo02.wav	前置特效点	yanhuo16	yanhuo02.wav	前置特效点			新增烟花特效6
140	yanhuo_hunqing2	yanhuo02.wav	前置特效点	yanhuo_hunqing2	yanhuo02.wav	前置特效点	yanhuo_hunqing2	yanhuo02.wav	前置特效点	yanhuo_hunqing2	yanhuo02.wav	前置特效点	yanhuo_hunqing2	yanhuo02.wav	前置特效点			新增烟花特效7
