INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING																																															
43	40	120	1	9	1	1	8	1	1	1800000	50	0		0	1	0	96	97	98	100	200	300	400	500	10141019	1	-1	100	100		10141020	1	-1	1000	100		0	-1	-1	1000	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
44	40	120	1	9	1	1	8	1	1	1800000	50	0		0	1	0	96	97	98	100	200	300	400	500	10141004	1	-1	100	100		10141013	1	-1	1000	100		0	-1	-1	1000	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
45	40	120	1	9	1	1	8	1	1	1800000	50	0		0	1	0	96	97	98	100	200	300	400	500	10141005	1	-1	100	100		10141014	1	-1	1000	100		0	-1	-1	1000	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
46	40	120	1	9	1	1	8	1	1	1800000	50	0		0	1	0	96	97	98	100	200	300	400	500	10141006	1	-1	100	100		10141015	1	-1	1000	100		0	-1	-1	1000	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
47	40	120	1	9	1	1	8	1	1	1800000	50	0		0	1	0	96	97	98	100	200	300	400	500	10141007	1	-1	100	100		10141016	1	-1	1000	100		0	-1	-1	1000	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
48	40	120	1	9	1	1	8	1	1	1800000	50	0		0	1	0	96	97	98	100	200	300	400	500	10141008	1	-1	100	100		10141017	1	-1	1000	100		0	-1	-1	1000	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
49	40	120	1	9	1	1	8	1	1	1800000	50	0		0	1	0	96	97	98	100	200	300	400	500	10141009	1	-1	100	100		10141018	1	-1	1000	100		0	-1	-1	1000	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
50	50	0	1	9	1	1	1	0	1	3600000	0	0		0	1	0	96	97	98	100	200	300	400	500	0	-1	-1	100	100		0	1	-1	1000	100		0	-1	-1	1000	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
51	40	0	1	9	1	1	1	0	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	30307059	1	-1	100	100		30307011	1	-1	1000	100		30307032	1	-1	1000	100		30307112	-1	-1	100	100		30307064	-1	-1	100	100		30307012	-1	-1	100	100		30307033	-1	-1	100	100		30307060	-1	-1	100	100		30307142	-1	-1	100	100		30307065	-1	-1	100	100		30307113	-1	-1	100	100		30307153	-1	-1	100	100		30307158	-1	-1	100	100		30307161	-1	-1	100	100		30307061	-1	-1	100	100		30307114	-1	-1	100	100		30307034	-1	-1	100	100		30307013	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
52	40	0	1	9	1	1	1	0	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	30307026	1	-1	100	100		30307041	1	-1	1000	100		30307044	1	-1	1000	100		30307139	-1	-1	100	100		30307062	-1	-1	100	100		30307150	-1	-1	100	100		30307042	-1	-1	100	100		30307027	-1	-1	100	100		30307045	-1	-1	100	100		30307063	-1	-1	100	100		30307140	-1	-1	100	100		30307155	-1	-1	100	100		30307046	-1	-1	100	100		30307141	-1	-1	100	100		30307043	-1	-1	100	100		30307028	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
53	40	0	1	9	1	1	1	0	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	30307014	1	-1	100	100		30307047	1	-1	1000	100		30307066	-1	-1	1000	100		30307130	-1	-1	100	100		30307118	-1	-1	100	100		30307162	-1	-1	100	100		30307067	-1	-1	100	100		30307015	-1	-1	100	100		30307143	-1	-1	100	100		30307048	-1	-1	100	100		30307119	-1	-1	100	100		30307131	-1	-1	100	100		30307068	-1	-1	100	100		30307132	-1	-1	100	100		30307120	-1	-1	100	100		30307049	-1	-1	100	100		30307016	-1	-1	100	100		30307185	-1	-1	100	100		30307186	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
54	40	0	1	9	1	1	1	0	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	30307020	1	-1	100	100		30307035	1	-1	1000	100		30307077	-1	-1	1000	100		30307115	-1	-1	100	100		30307078	-1	-1	100	100		30307036	-1	-1	100	100		30307021	-1	-1	100	100		30307116	-1	-1	100	100		30307147	-1	-1	100	100		30307079	-1	-1	100	100		30307117	-1	-1	100	100		30307037	-1	-1	100	100		30307022	-1	-1	100	100		30307183	-1	-1	100	100		30307184	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
55	40	0	1	9	1	1	1	0	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	30307089	1	-1	100	100		30307086	1	-1	1000	100		30307092	-1	-1	1000	100		30307083	-1	-1	100	100		30307106	-1	-1	100	100		30307145	-1	-1	100	100		30307087	-1	-1	100	100		30307090	-1	-1	100	100		30307093	-1	-1	100	100		30307084	-1	-1	100	100		30307107	-1	-1	100	100		30307156	-1	-1	100	100		30307094	-1	-1	100	100		30307091	-1	-1	100	100		30307108	-1	-1	100	100		30307088	-1	-1	100	100		30307085	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
56	40	0	1	9	1	1	1	0	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	30307001	1	-1	100	100		30307074	1	-1	1000	100		30307124	-1	-1	1000	100		30307006	-1	-1	100	100		30307002	-1	-1	100	100		30307146	-1	-1	100	100		30307007	-1	-1	100	100		30307075	-1	-1	100	100		30307003	-1	-1	100	100		30307125	-1	-1	100	100		30307008	-1	-1	100	100		30307152	-1	-1	100	100		30307004	-1	-1	100	100		30307076	-1	-1	100	100		30307126	-1	-1	100	100		30307009	-1	-1	100	100		30307005	-1	-1	100	100		30307010	-1	-1	100	100		30307187	-1	-1	100	100		30307188	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
57	40	0	1	9	1	1	1	0	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	30307023	1	-1	100	100		30307038	1	-1	1000	100		30307053	1	-1	1000	100		30307080	-1	-1	100	100		30307098	-1	-1	100	100		30307133	-1	-1	100	100		30307121	-1	-1	100	100		30307160	-1	-1	100	100		30307099	-1	-1	100	100		30307081	-1	-1	100	100		30307039	-1	-1	100	100		30307024	-1	-1	100	100		30307054	-1	-1	100	100		30307134	-1	-1	100	100		30307122	-1	-1	100	100		30307149	-1	-1	100	100		30307082	-1	-1	100	100		30307100	-1	-1	100	100		30307055	-1	-1	100	100		30307135	-1	-1	100	100		30307123	-1	-1	100	100		30307040	-1	-1	100	100		30307025	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
58	40	0	1	9	1	1	1	0	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	30307029	1	-1	100	100		30307056	1	-1	1000	100		30307101	1	-1	1000	100		30307136	-1	-1	100	100		30307109	-1	-1	100	100		30307102	-1	-1	100	100		30307030	-1	-1	100	100		30307057	-1	-1	100	100		30307148	-1	-1	100	100		30307110	-1	-1	100	100		30307137	-1	-1	100	100		30307103	-1	-1	100	100		30307157	-1	-1	100	100		30307154	-1	-1	100	100		30307104	-1	-1	100	100		30307058	-1	-1	100	100		30307138	-1	-1	100	100		30307111	-1	-1	100	100		30307105	-1	-1	100	100		30307031	-1	-1	100	100		30307189	-1	-1	100	100		30307190	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
59	40	0	1	9	1	1	1	0	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	30307017	1	-1	100	100		30307050	1	-1	100	100		30307069	1	-1	100	100		30307127	-1	-1	100	100		30307070	-1	-1	100	100		30307151	-1	-1	100	100		30307018	-1	-1	100	100		30307144	-1	-1	100	100		30307051	-1	-1	100	100		30307128	-1	-1	100	100		30307071	-1	-1	100	100		30307159	-1	-1	100	100		30307072	-1	-1	100	100		30307052	-1	-1	100	100		30307129	-1	-1	100	100		30307073	-1	-1	100	100		30307019	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
61	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	20308001	1	-1	100	100		20308002	1	-1	100	100		20308011	1	-1	100	100		20308012	1	-1	100	100		20308021	1	-1	100	100		20308022	1	-1	100	100		20308031	1	-1	100	100		20308032	1	-1	100	100		20308041	1	-1	100	100		20308042	1	-1	100	100		20308051	1	-1	100	100		20308052	1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
62	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	20308061	1	-1	100	100		20308062	1	-1	100	100		20308071	1	-1	100	100		20308072	1	-1	100	100		20308081	1	-1	100	100		20308082	1	-1	100	100		20308091	1	-1	100	100		20308092	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
63	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	20308101	1	-1	100	100		20308102	1	-1	100	100		20308111	1	-1	100	100		20308112	1	-1	100	100		20308121	1	-1	100	100		20308122	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	-1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																
