INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
9	逍遥	1	80000	30000	30000	0	0	0	-80000	0	0	275000	0	0	0	0	0	30000	0	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC9
10	大宋朝廷	1	30000	30000	-30000	30000	0	-30000	30000	30000	30000	0	275000	30000	30000	-30000	-30000	30000	-80000	60000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC10
11	大宋端王府	1	30000	-30000	-30000	30000	0	30000	30000	30000	30000	0	30000	275000	-30000	30000	-30000	30000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC11
12	大宋民间	1	80000	30000	30000	30000	30000	30000	-30000	30000	30000	0	30000	-30000	275000	-30000	30000	30000	-30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC12
13	大辽朝廷	1	0	-30000	30000	30000	0	30000	30000	30000	30000	0	-30000	30000	-30000	275000	30000	30000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC13
14	大辽民间	1	0	30000	30000	30000	30000	30000	-30000	30000	30000	0	-30000	-30000	30000	30000	275000	30000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC14
15	大理	1	80000	30000	30000	30000	30000	30000	30000	80000	30000	30000	30000	30000	30000	30000	30000	275000	30000	30000	-160000	0	0	0	-30000	-160000	0	0	-160000	-160000	-160000	-160000	-160000	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC15
16	西夏	1	0	-30000	30000	-60000	0	30000	30000	30000	30000	0	-80000	30000	-30000	30000	30000	30000	275000	30000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC16
17	番邦	1	0	30000	30000	30000	30000	30000	30000	30000	30000	30000	60000	30000	30000	30000	30000	30000	30000	275000	-160000	0	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC17
18	莽盖	1	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	275000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC18
19	遗民	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-160000	275000	0	0	-30000	-160000	0	0	0	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC19
20	流放者	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-160000	0	275000	30000	-30000	-160000	0	0	0	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC20
21	白苗	1	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-160000	0	30000	275000	-80000	-160000	30000	30000	0	-160000	-160000	-160000	-160000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC21
22	黑苗	1	-30000	-30000	-30000	-30000	0	-30000	-30000	-30000	-30000	-30000	-30000	-30000	-30000	-30000	-30000	-30000	-30000	-30000	-160000	-30000	-30000	-80000	275000	-160000	-30000	-30000	-30000	-160000	-160000	-160000	-160000	-30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC22
23	修罗	1	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	275000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC23
24	山越女祭司	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-160000	0	0	30000	-30000	-160000	275000	-180000	30000	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC24
25	山越男护法	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-160000	0	0	30000	-30000	-160000	-180000	275000	30000	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC25
26	鳄鱼帮	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-160000	0	0	-160000	0	0	0	-30000	-160000	30000	30000	275000	-160000	-160000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC26
27	野兽	1	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	275000	30000	30000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC27
28	绿林	1	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	30000	275000	30000	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC28
29	妖魔	1	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	30000	30000	275000	0	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC29
30	箱子	1	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	-160000	0	0	-160000	-160000	-160000	0	0	-160000	-160000	-160000	0	-160000	-160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC30
31	竞技场宝箱	1	275000	80000	80000	80000	80000	80000	80000	80000	80000	80000	30000	30000	80000	0	0	80000	0	0	-160000	0	0	30000	-30000	-160000	0	0	0	-160000	-160000	-160000	-160000	275000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC0
32	Name-32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC32
33	Name-33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC33
34	Name-34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC34
35	Name-35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC35
36	Name-36	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC36
37	Name-37	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC37
38	Name-38	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC38
39	Name-39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC39
40	Name-40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC40
41	Name-41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC41
42	Name-42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC42
43	Name-43	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC43
44	Name-44	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC44
45	Name-45	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC45
46	Name-46	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC46
47	Name-47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC47
48	Name-48	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC48
49	Name-49	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC49
50	Name-50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC50
51	Name-51	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC51
52	Name-52	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC52
53	Name-53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC53
54	Name-54	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC54
55	Name-55	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC55
56	Name-56	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC56
57	Name-57	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC57
58	Name-58	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC58
59	Name-59	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC59
60	Name-60	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC60
61	Name-61	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC61
62	Name-62	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC62
63	Name-63	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DESC63
