INT	INT	STRING
782	75	熊猫
783	85	熊猫
784	95	熊猫
785	5	螃蟹
786	45	螃蟹
787	55	螃蟹
788	65	螃蟹
789	75	螃蟹
790	85	螃蟹
791	95	螃蟹
792	5	蝴蝶
793	45	蝴蝶
794	55	蝴蝶
795	65	蝴蝶
796	75	蝴蝶
797	85	蝴蝶
798	95	蝴蝶
799	5	蜗牛
800	45	蜗牛
801	55	蜗牛
802	65	蜗牛
803	75	蜗牛
804	85	蜗牛
805	95	蜗牛
806	5	蝎子
807	45	蝎子
808	55	蝎子
809	65	蝎子
810	75	蝎子
811	85	蝎子
812	95	蝎子
813	5	穿山甲
814	45	穿山甲
815	55	穿山甲
816	65	穿山甲
817	75	穿山甲
818	85	雷麟
819	95	穿山甲
820	5	大甲虫
821	45	大甲虫
822	55	大甲虫
823	65	大甲虫
824	75	大甲虫
825	85	大甲虫
826	95	大甲虫
827	5	当扈
828	45	当扈
829	55	当扈
830	65	当扈
831	75	当扈
832	85	当扈
833	95	当扈
834	5	海盗鼠
835	45	海盗鼠
836	55	海盗鼠
837	65	海盗鼠
838	75	海盗鼠
839	85	海盗鼠
840	95	海盗鼠
841	5	宝箱童子
842	45	宝箱童子
843	55	宝箱童子
844	65	宝箱童子
845	75	宝箱童子
846	85	宝箱童子
847	95	宝箱童子
848	5	树袋熊
849	45	树袋熊
850	55	树袋熊
851	65	树袋熊
852	75	树袋熊
853	85	树袋熊
854	95	树袋熊
856	5	欢乐猪
857	45	欢乐猪
858	55	欢乐猪
859	65	欢乐猪
860	75	欢乐猪
861	85	欢乐猪
862	95	欢乐猪
863	55	火鬃妖鼠
864	75	炎火妖鼠
865	65	玄翼魔兽
866	75	蚩玄魔兽
867	65	珍奇鼠
868	75	麒麟
869	85	吉祥猫
870	5	珍奇鼠
871	45	珍奇鼠
872	55	珍奇鼠
873	85	魔牙暴龙
874	5	唐装鼠
875	45	唐装鼠
876	55	唐装鼠
877	65	唐装鼠
878	75	唐装鼠
879	85	唐装鼠
880	95	唐装鼠
881	5	年兽
882	45	年兽
883	55	年兽
884	65	年兽
885	75	年兽
886	85	年兽
887	95	年兽
888	5	鸳鸯
889	45	鸳鸯
890	55	鸳鸯
891	65	鸳鸯
892	75	鸳鸯
893	85	鸳鸯
894	95	鸳鸯
895	65	虬龙
896	45	毛驴
897	55	毛驴
898	65	毛驴
2200	5	穷奇
2201	45	穷奇
2202	55	穷奇
2203	65	穷奇
2204	75	穷奇
2205	85	穷奇
2206	95	穷奇
2207	5	小狐仙
2208	45	小狐仙
2209	55	小狐仙
2210	65	小狐仙
2211	75	小狐仙
2212	85	小狐仙
2213	95	小狐仙
2214	5	上古神猿
2215	45	上古神猿
2216	55	上古神猿
2217	65	上古神猿
2218	75	上古神猿
2219	85	上古神猿
2220	75	虬龙
2221	5	比翼鸟
2222	45	比翼鸟
2223	55	比翼鸟
2224	65	比翼鸟
2225	75	比翼鸟
2226	85	比翼鸟
2227	95	比翼鸟
2228	5	呆呆牛
2229	45	呆呆牛
2230	55	呆呆牛
2231	65	呆呆牛
2232	75	呆呆牛
2233	85	呆呆牛
2234	95	呆呆牛
2235	5	珍奇牛
2236	45	珍奇牛
2237	55	珍奇牛
2238	65	珍奇牛
2239	75	珍奇牛
2240	85	珍奇牛
2241	95	珍奇牛
2242	5	麒麟
2243	45	麒麟
2244	55	麒麟
2245	65	麒麟
2246	75	麒麟
2247	85	麒麟
2248	95	麒麟
2249	5	go仔
2250	45	go仔
2251	55	go仔
2252	65	go仔
2253	75	go仔
2254	85	go仔
2255	95	go仔
