INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
75	辅助(等级75)	216852	1882670	0	0	0	1	空	0	0
76	辅助(等级76)	227406	2026500	0	0	0	1	空	0	0
77	辅助(等级77)	238275	2185483	0	0	0	1	空	0	0
78	辅助(等级78)	249459	2360063	0	0	0	1	空	0	0
79	辅助(等级79)	260960	2550695	0	0	0	1	空	0	0
80	辅助(等级80)	272776	2808225	0	0	0	1	空	0	0
81	辅助(等级81)	284907	3198658	0	0	0	1	空	0	0
82	辅助(等级82)	297354	3790988	0	0	0	1	空	0	0
83	辅助(等级83)	310117	4657220	0	0	0	1	空	0	0
84	辅助(等级84)	323196	5872350	0	0	0	1	空	0	0
85	辅助(等级85)	336590	7514383	0	0	0	1	空	0	0
86	辅助(等级86)	350300	9664313	0	0	0	1	空	0	0
87	辅助(等级87)	364325	12406145	0	0	0	1	空	0	0
88	辅助(等级88)	378666	15826875	0	0	0	1	空	0	0
89	辅助(等级89)	393323	20016508	0	0	0	1	空	0	0
90	辅助(等级90)	408295	25068038	0	0	0	1	空	0	0
91	辅助(等级91)	423583	31077470	0	0	0	1	空	0	0
92	辅助(等级92)	439187	38143800	0	0	0	1	空	0	0
93	辅助(等级93)	455106	46369033	0	0	0	1	空	0	0
94	辅助(等级94)	471341	55858163	0	0	0	1	空	0	0
95	辅助(等级95)	487892	66719195	0	0	0	1	空	0	0
96	辅助(等级96)	504758	79063125	0	0	0	1	空	0	0
97	辅助(等级97)	521939	93003958	0	0	0	1	空	0	0
98	辅助(等级98)	539437	108658688	0	0	0	1	空	0	0
99	辅助(等级99)	557250	126147320	0	0	0	1	空	0	0
100	辅助(等级100)	575379	143635952	0	0	0	1	空	0	0
