INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
31	门派辅助(等级31)	13184	45686	0	0	0	1	空	0	0
32	门派辅助(等级32)	14465	52736	0	0	0	1	空	0	0
33	门派辅助(等级33)	15836	60317	0	0	0	1	空	0	0
34	门派辅助(等级34)	17303	68446	0	0	0	1	空	0	0
35	门派辅助(等级35)	18870	77138	0	0	0	1	空	0	0
36	门派辅助(等级36)	20541	86412	0	0	0	1	空	0	0
37	门派辅助(等级37)	22318	96284	0	0	0	1	空	0	0
38	门派辅助(等级38)	24210	106772	0	0	0	1	空	0	0
39	门派辅助(等级39)	26217	117893	0	0	0	1	空	0	0
40	门派辅助(等级40)	28347	129789	0	0	0	1	空	0	0
41	门派辅助(等级41)	30604	142487	0	0	0	1	空	0	0
42	门派辅助(等级42)	32993	156009	0	0	0	1	空	0	0
43	门派辅助(等级43)	35517	170384	0	0	0	1	空	0	0
44	门派辅助(等级44)	38182	185638	0	0	0	1	空	0	0
45	门派辅助(等级45)	43223	201795	0	0	0	1	空	0	0
46	门派辅助(等级46)	46207	218880	0	0	0	1	空	0	0
47	门派辅助(等级47)	48557	236921	0	0	0	1	空	0	0
48	门派辅助(等级48)	51223	255941	0	0	0	1	空	0	0
49	门派辅助(等级49)	53254	275969	0	0	0	1	空	0	0
50	门派辅助(等级50)	55601	297027	0	0	0	1	空	0	0
51	门派辅助(等级51)	58263	319143	0	0	0	1	空	0	0
52	门派辅助(等级52)	61241	342342	0	0	0	1	空	0	0
53	门派辅助(等级53)	64535	366651	0	0	0	1	空	0	0
54	门派辅助(等级54)	68144	392092	0	0	0	1	空	0	0
55	门派辅助(等级55)	72069	418694	0	0	0	1	空	0	0
56	门派辅助(等级56)	76309	446481	0	0	0	1	空	0	0
57	门派辅助(等级57)	80866	475481	0	0	0	1	空	0	0
58	门派辅助(等级58)	85738	505715	0	0	0	1	空	0	0
59	门派辅助(等级59)	90925	537214	0	0	0	1	空	0	0
60	门派辅助(等级60)	96428	570000	0	0	0	1	空	0	0
61	门派辅助(等级61)	102247	604101	0	0	0	1	空	0	0
62	门派辅助(等级62)	108382	639540	0	0	0	1	空	0	0
63	门派辅助(等级63)	114832	676345	0	0	0	1	空	0	0
64	门派辅助(等级64)	121597	714541	0	0	0	1	空	0	0
65	门派辅助(等级65)	128679	754154	0	0	0	1	空	0	0
66	门派辅助(等级66)	136076	797003	0	0	0	1	空	0	0
67	门派辅助(等级67)	143788	844812	0	0	0	1	空	0	0
68	门派辅助(等级68)	151817	897750	0	0	0	1	空	0	0
69	门派辅助(等级69)	160160	955991	0	0	0	1	空	0	0
70	门派辅助(等级70)	168820	1019702	0	0	0	1	空	0	0
71	门派辅助(等级71)	177795	1089057	0	0	0	1	空	0	0
72	门派辅助(等级72)	187086	1164225	0	0	0	1	空	0	0
73	门派辅助(等级73)	196692	1245380	0	0	0	1	空	0	0
74	门派辅助(等级74)	206615	1332689	0	0	0	1	空	0	0
75	门派辅助(等级75)	216852	1430829	0	0	0	1	空	0	0
76	门派辅助(等级76)	227406	1540140	0	0	0	1	空	0	0
77	门派辅助(等级77)	238275	1660967	0	0	0	1	空	0	0
78	门派辅助(等级78)	249459	1793648	0	0	0	1	空	0	0
79	门派辅助(等级79)	260960	1938528	0	0	0	1	空	0	0
80	门派辅助(等级80)	272776	2134251	0	0	0	1	空	0	0
81	门派辅助(等级81)	284907	2430980	0	0	0	1	空	0	0
82	门派辅助(等级82)	297354	2881151	0	0	0	1	空	0	0
83	门派辅助(等级83)	310117	3539487	0	0	0	1	空	0	0
84	门派辅助(等级84)	323196	4462986	0	0	0	1	空	0	0
85	门派辅助(等级85)	336590	5710931	0	0	0	1	空	0	0
86	门派辅助(等级86)	350300	7344878	0	0	0	1	空	0	0
87	门派辅助(等级87)	364325	9428670	0	0	0	1	空	0	0
88	门派辅助(等级88)	378666	12028425	0	0	0	1	空	0	0
89	门派辅助(等级89)	393323	15212546	0	0	0	1	空	0	0
90	门派辅助(等级90)	408295	19051709	0	0	0	1	空	0	0
91	门派辅助(等级91)	423583	23618877	0	0	0	1	空	0	0
92	门派辅助(等级92)	439187	28989288	0	0	0	1	空	0	0
93	门派辅助(等级93)	455106	35240465	0	0	0	1	空	0	0
94	门派辅助(等级94)	471341	42452204	0	0	0	1	空	0	0
95	门派辅助(等级95)	487892	50706588	0	0	0	1	空	0	0
96	门派辅助(等级96)	504758	60087975	0	0	0	1	空	0	0
97	门派辅助(等级97)	521939	70683008	0	0	0	1	空	0	0
98	门派辅助(等级98)	539437	82580603	0	0	0	1	空	0	0
99	门派辅助(等级99)	557250	95871963	0	0	0	1	空	0	0
100	门派辅助(等级100)	575379	95871963	0	0	0	1	空	0	0
