INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
8	80	288	40	414	224	1242	224	1242	60	621	60	621	224	1242	40	414	224	1242	224	1242	60	621	60	621	224	1242	40	414	224	1242	224	1242	60	621	60	621	224	1242	40	414	224	1242	224	1242	60	621	60	621	224	1242	40	414	224	1242	224	1242	60	621	60	621	224	1242	40	414	224	1242	224	1242	60	621	60	621	224	1242	40	414	224	1242	224	1242	60	621	60	621	224	1242	40	414	224	1242	224	1242	60	621	60	621	224	1242	40	414	224	1242	224	1242	60	621	60	621	224	1242	240	1656	240	1656	240	1656	240	1656	240	1656	240	1656	240	1656	240	1656	240	1656
9	90	312	45	468	252	1404	252	1404	68	702	68	702	252	1404	45	468	252	1404	252	1404	68	702	68	702	252	1404	45	468	252	1404	252	1404	68	702	68	702	252	1404	45	468	252	1404	252	1404	68	702	68	702	252	1404	45	468	252	1404	252	1404	68	702	68	702	252	1404	45	468	252	1404	252	1404	68	702	68	702	252	1404	45	468	252	1404	252	1404	68	702	68	702	252	1404	45	468	252	1404	252	1404	68	702	68	702	252	1404	45	468	252	1404	252	1404	68	702	68	702	252	1404	270	1872	270	1872	270	1872	270	1872	270	1872	270	1872	270	1872	270	1872	270	1872
10	100	370	50	525	280	1575	280	1575	75	788	75	788	280	1575	50	525	280	1575	280	1575	75	788	75	788	280	1575	50	525	280	1575	280	1575	75	788	75	788	280	1575	50	525	280	1575	280	1575	75	788	75	788	280	1575	50	525	280	1575	280	1575	75	788	75	788	280	1575	50	525	280	1575	280	1575	75	788	75	788	280	1575	50	525	280	1575	280	1575	75	788	75	788	280	1575	50	525	280	1575	280	1575	75	788	75	788	280	1575	50	525	280	1575	280	1575	75	788	75	788	280	1575	300	2100	300	2100	300	2100	300	2100	300	2100	300	2100	300	2100	300	2100	300	2100
11	110	432	55	585	308	1755	308	1755	83	878	83	878	308	1755	55	585	308	1755	308	1755	83	878	83	878	308	1755	55	585	308	1755	308	1755	83	878	83	878	308	1755	55	585	308	1755	308	1755	83	878	83	878	308	1755	55	585	308	1755	308	1755	83	878	83	878	308	1755	55	585	308	1755	308	1755	83	878	83	878	308	1755	55	585	308	1755	308	1755	83	878	83	878	308	1755	55	585	308	1755	308	1755	83	878	83	878	308	1755	55	585	308	1755	308	1755	83	878	83	878	308	1755	330	2340	330	2340	330	2340	330	2340	330	2340	330	2340	330	2340	330	2340	330	2340
12	120	499	60	648	336	1944	336	1944	90	972	90	972	336	1944	60	648	336	1944	336	1944	90	972	90	972	336	1944	60	648	336	1944	336	1944	90	972	90	972	336	1944	60	648	336	1944	336	1944	90	972	90	972	336	1944	60	648	336	1944	336	1944	90	972	90	972	336	1944	60	648	336	1944	336	1944	90	972	90	972	336	1944	60	648	336	1944	336	1944	90	972	90	972	336	1944	60	648	336	1944	336	1944	90	972	90	972	336	1944	60	648	336	1944	336	1944	90	972	90	972	336	1944	360	2592	360	2592	360	2592	360	2592	360	2592	360	2592	360	2592	360	2592	360	2592
13	130	612	65	740	364	2219	364	2219	98	1109	98	1109	364	2219	65	740	364	2219	364	2219	98	1109	98	1109	364	2219	65	740	364	2219	364	2219	98	1109	98	1109	364	2219	65	740	364	2219	364	2219	98	1109	98	1109	364	2219	65	740	364	2219	364	2219	98	1109	98	1109	364	2219	65	740	364	2219	364	2219	98	1109	98	1109	364	2219	65	740	364	2219	364	2219	98	1109	98	1109	364	2219	65	740	364	2219	364	2219	98	1109	98	1109	364	2219	65	740	364	2219	364	2219	98	1109	98	1109	364	2219	390	2958	390	2958	390	2958	390	2958	390	2958	390	2958	390	2958	390	2958	390	2958
14	140	734	70	837	392	2511	392	2511	105	1256	105	1256	392	2511	70	837	392	2511	392	2511	105	1256	105	1256	392	2511	70	837	392	2511	392	2511	105	1256	105	1256	392	2511	70	837	392	2511	392	2511	105	1256	105	1256	392	2511	70	837	392	2511	392	2511	105	1256	105	1256	392	2511	70	837	392	2511	392	2511	105	1256	105	1256	392	2511	70	837	392	2511	392	2511	105	1256	105	1256	392	2511	70	837	392	2511	392	2511	105	1256	105	1256	392	2511	70	837	392	2511	392	2511	105	1256	105	1256	392	2511	420	3348	420	3348	420	3348	420	3348	420	3348	420	3348	420	3348	420	3348	420	3348
15	150	912	75	969	420	2907	420	2907	113	1454	113	1454	420	2907	75	969	420	2907	420	2907	113	1454	113	1454	420	2907	75	969	420	2907	420	2907	113	1454	113	1454	420	2907	75	969	420	2907	420	2907	113	1454	113	1454	420	2907	75	969	420	2907	420	2907	113	1454	113	1454	420	2907	75	969	420	2907	420	2907	113	1454	113	1454	420	2907	75	969	420	2907	420	2907	113	1454	113	1454	420	2907	75	969	420	2907	420	2907	113	1454	113	1454	420	2907	75	969	420	2907	420	2907	113	1454	113	1454	420	2907	450	3876	450	3876	450	3876	450	3876	450	3876	450	3876	450	3876	450	3876	450	3876
16	168	1104	84	1110	470	3330	470	3330	126	1665	126	1665	470	3330	84	1110	470	3330	470	3330	126	1665	126	1665	470	3330	84	1110	470	3330	470	3330	126	1665	126	1665	470	3330	84	1110	470	3330	470	3330	126	1665	126	1665	470	3330	84	1110	470	3330	470	3330	126	1665	126	1665	470	3330	84	1110	470	3330	470	3330	126	1665	126	1665	470	3330	84	1110	470	3330	470	3330	126	1665	126	1665	470	3330	84	1110	470	3330	470	3330	126	1665	126	1665	470	3330	84	1110	470	3330	470	3330	126	1665	126	1665	470	3330	504	4440	504	4440	504	4440	504	4440	504	4440	504	4440	504	4440	504	4440	504	4440
17	215	1361	108	1292	602	3875	602	3875	161	1937	161	1937	602	3875	108	1292	602	3875	602	3875	161	1937	161	1937	602	3875	108	1292	602	3875	602	3875	161	1937	161	1937	602	3875	108	1292	602	3875	602	3875	161	1937	161	1937	602	3875	108	1292	602	3875	602	3875	161	1937	161	1937	602	3875	108	1292	602	3875	602	3875	161	1937	161	1937	602	3875	108	1292	602	3875	602	3875	161	1937	161	1937	602	3875	108	1292	602	3875	602	3875	161	1937	161	1937	602	3875	108	1292	602	3875	602	3875	161	1937	161	1937	602	3875	645	5166	645	5166	645	5166	645	5166	645	5166	645	5166	645	5166	645	5166	645	5166
18	270	1637	135	1518	756	4554	756	4554	203	2277	203	2277	756	4554	135	1518	756	4554	756	4554	203	2277	203	2277	756	4554	135	1518	756	4554	756	4554	203	2277	203	2277	756	4554	135	1518	756	4554	756	4554	203	2277	203	2277	756	4554	135	1518	756	4554	756	4554	203	2277	203	2277	756	4554	135	1518	756	4554	756	4554	203	2277	203	2277	756	4554	135	1518	756	4554	756	4554	203	2277	203	2277	756	4554	135	1518	756	4554	756	4554	203	2277	203	2277	756	4554	135	1518	756	4554	756	4554	203	2277	203	2277	756	4554	810	6072	810	6072	810	6072	810	6072	810	6072	810	6072	810	6072	810	6072	810	6072
19	336	1987	168	1794	940	5382	940	5382	252	2691	252	2691	940	5382	168	1794	940	5382	940	5382	252	2691	252	2691	940	5382	168	1794	940	5382	940	5382	252	2691	252	2691	940	5382	168	1794	940	5382	940	5382	252	2691	252	2691	940	5382	168	1794	940	5382	940	5382	252	2691	252	2691	940	5382	168	1794	940	5382	940	5382	252	2691	252	2691	940	5382	168	1794	940	5382	940	5382	252	2691	252	2691	940	5382	168	1794	940	5382	940	5382	252	2691	252	2691	940	5382	168	1794	940	5382	940	5382	252	2691	252	2691	940	5382	1008	7176	1008	7176	1008	7176	1008	7176	1008	7176	1008	7176	1008	7176	1008	7176	1008	7176
20	412	2362	286	2124	1602	6372	1602	6372	429	3186	429	3186	1602	6372	286	2124	1602	6372	1602	6372	429	3186	429	3186	1602	6372	286	2124	1602	6372	1602	6372	429	3186	429	3186	1602	6372	286	2124	1602	6372	1602	6372	429	3186	429	3186	1602	6372	286	2124	1602	6372	1602	6372	429	3186	429	3186	1602	6372	286	2124	1602	6372	1602	6372	429	3186	429	3186	1602	6372	286	2124	1602	6372	1602	6372	429	3186	429	3186	1602	6372	286	2124	1602	6372	1602	6372	429	3186	429	3186	1602	6372	286	2124	1602	6372	1602	6372	429	3186	429	3186	1602	6372	1716	8496	1716	8496	1716	8496	1716	8496	1716	8496	1716	8496	1716	8496	1716	8496	1716	8496
21	499	2820	352	2513	1970	7538	1970	7538	528	3769	528	3769	1970	7538	352	2513	1970	7538	1970	7538	528	3769	528	3769	1970	7538	352	2513	1970	7538	1970	7538	528	3769	528	3769	1970	7538	352	2513	1970	7538	1970	7538	528	3769	528	3769	1970	7538	352	2513	1970	7538	1970	7538	528	3769	528	3769	1970	7538	352	2513	1970	7538	1970	7538	528	3769	528	3769	1970	7538	352	2513	1970	7538	1970	7538	528	3769	528	3769	1970	7538	352	2513	1970	7538	1970	7538	528	3769	528	3769	1970	7538	352	2513	1970	7538	1970	7538	528	3769	528	3769	1970	7538	2111	10050	2111	10050	2111	10050	2111	10050	2111	10050	2111	10050	2111	10050	2111	10050	2111	10050
22	599	3370	429	2964	2403	8892	2403	8892	644	4446	644	4446	2403	8892	429	2964	2403	8892	2403	8892	644	4446	644	4446	2403	8892	429	2964	2403	8892	2403	8892	644	4446	644	4446	2403	8892	429	2964	2403	8892	2403	8892	644	4446	644	4446	2403	8892	429	2964	2403	8892	2403	8892	644	4446	644	4446	2403	8892	429	2964	2403	8892	2403	8892	644	4446	644	4446	2403	8892	429	2964	2403	8892	2403	8892	644	4446	644	4446	2403	8892	429	2964	2403	8892	2403	8892	644	4446	644	4446	2403	8892	429	2964	2403	8892	2403	8892	644	4446	644	4446	2403	8892	2574	11856	2574	11856	2574	11856	2574	11856	2574	11856	2574	11856	2574	11856	2574	11856	2574	11856
23	713	4018	519	3483	2907	10449	2907	10449	779	5225	779	5225	2907	10449	519	3483	2907	10449	2907	10449	779	5225	779	5225	2907	10449	519	3483	2907	10449	2907	10449	779	5225	779	5225	2907	10449	519	3483	2907	10449	2907	10449	779	5225	779	5225	2907	10449	519	3483	2907	10449	2907	10449	779	5225	779	5225	2907	10449	519	3483	2907	10449	2907	10449	779	5225	779	5225	2907	10449	519	3483	2907	10449	2907	10449	779	5225	779	5225	2907	10449	519	3483	2907	10449	2907	10449	779	5225	779	5225	2907	10449	519	3483	2907	10449	2907	10449	779	5225	779	5225	2907	10449	3115	13932	3115	13932	3115	13932	3115	13932	3115	13932	3115	13932	3115	13932	3115	13932	3115	13932
24	840	4771	624	4074	3492	12222	3492	12222	936	6111	936	6111	3492	12222	624	4074	3492	12222	3492	12222	936	6111	936	6111	3492	12222	624	4074	3492	12222	3492	12222	936	6111	936	6111	3492	12222	624	4074	3492	12222	3492	12222	936	6111	936	6111	3492	12222	624	4074	3492	12222	3492	12222	936	6111	936	6111	3492	12222	624	4074	3492	12222	3492	12222	936	6111	936	6111	3492	12222	624	4074	3492	12222	3492	12222	936	6111	936	6111	3492	12222	624	4074	3492	12222	3492	12222	936	6111	936	6111	3492	12222	624	4074	3492	12222	3492	12222	936	6111	936	6111	3492	12222	3742	16296	3742	16296	3742	16296	3742	16296	3742	16296	3742	16296	3742	16296	3742	16296	3742	16296
25	982	6334	744	4785	4166	14355	4166	14355	1116	7178	1116	7178	4166	14355	744	4785	4166	14355	4166	14355	1116	7178	1116	7178	4166	14355	744	4785	4166	14355	4166	14355	1116	7178	1116	7178	4166	14355	744	4785	4166	14355	4166	14355	1116	7178	1116	7178	4166	14355	744	4785	4166	14355	4166	14355	1116	7178	1116	7178	4166	14355	744	4785	4166	14355	4166	14355	1116	7178	1116	7178	4166	14355	744	4785	4166	14355	4166	14355	1116	7178	1116	7178	4166	14355	744	4785	4166	14355	4166	14355	1116	7178	1116	7178	4166	14355	744	4785	4166	14355	4166	14355	1116	7178	1116	7178	4166	14355	4463	19140	4463	19140	4463	19140	4463	19140	4463	19140	4463	19140	4463	19140	4463	19140	4463	19140
26	1139	9432	881	5625	4934	16875	4934	16875	1322	8438	1322	8438	4934	16875	881	5625	4934	16875	4934	16875	1322	8438	1322	8438	4934	16875	881	5625	4934	16875	4934	16875	1322	8438	1322	8438	4934	16875	881	5625	4934	16875	4934	16875	1322	8438	1322	8438	4934	16875	881	5625	4934	16875	4934	16875	1322	8438	1322	8438	4934	16875	881	5625	4934	16875	4934	16875	1322	8438	1322	8438	4934	16875	881	5625	4934	16875	4934	16875	1322	8438	1322	8438	4934	16875	881	5625	4934	16875	4934	16875	1322	8438	1322	8438	4934	16875	881	5625	4934	16875	4934	16875	1322	8438	1322	8438	4934	16875	5286	22500	5286	22500	5286	22500	5286	22500	5286	22500	5286	22500	5286	22500	5286	22500	5286	22500
27	1313	12722	1038	6557	5810	19670	5810	19670	1556	9835	1556	9835	5810	19670	1038	6557	5810	19670	5810	19670	1556	9835	1556	9835	5810	19670	1038	6557	5810	19670	5810	19670	1556	9835	1556	9835	5810	19670	1038	6557	5810	19670	5810	19670	1556	9835	1556	9835	5810	19670	1038	6557	5810	19670	5810	19670	1556	9835	1556	9835	5810	19670	1038	6557	5810	19670	5810	19670	1556	9835	1556	9835	5810	19670	1038	6557	5810	19670	5810	19670	1556	9835	1556	9835	5810	19670	1038	6557	5810	19670	5810	19670	1556	9835	1556	9835	5810	19670	1038	6557	5810	19670	5810	19670	1556	9835	1556	9835	5810	19670	6225	26226	6225	26226	6225	26226	6225	26226	6225	26226	6225	26226	6225	26226	6225	26226	6225	26226
28	1505	16205	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	7282	30336	7282	30336	7282	30336	7282	30336	7282	30336	7282	30336	7282	30336	7282	30336	7282	30336
29	1714	26770	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	8476	34848	8476	34848	8476	34848	8476	34848	8476	34848	8476	34848	8476	34848	8476	34848	8476	34848
30	1943	29702	1891	10302	10589	30906	10589	30906	2836	15453	2836	15453	10589	30906	1891	10302	10589	30906	10589	30906	2836	15453	2836	15453	10589	30906	1891	10302	10589	30906	10589	30906	2836	15453	2836	15453	10589	30906	1891	10302	10589	30906	10589	30906	2836	15453	2836	15453	10589	30906	1891	10302	10589	30906	10589	30906	2836	15453	2836	15453	10589	30906	1891	10302	10589	30906	10589	30906	2836	15453	2836	15453	10589	30906	1891	10302	10589	30906	10589	30906	2836	15453	2836	15453	10589	30906	1891	10302	10589	30906	10589	30906	2836	15453	2836	15453	10589	30906	1891	10302	10589	30906	10589	30906	2836	15453	2836	15453	10589	30906	11345	41208	11345	41208	11345	41208	11345	41208	11345	41208	11345	41208	11345	41208	11345	41208	11345	41208
31	2191	32844	2106	12023	11794	36068	11794	36068	3159	18034	3159	18034	11794	36068	2106	12023	11794	36068	11794	36068	3159	18034	3159	18034	11794	36068	2106	12023	11794	36068	11794	36068	3159	18034	3159	18034	11794	36068	2106	12023	11794	36068	11794	36068	3159	18034	3159	18034	11794	36068	2106	12023	11794	36068	11794	36068	3159	18034	3159	18034	11794	36068	2106	12023	11794	36068	11794	36068	3159	18034	3159	18034	11794	36068	2106	12023	11794	36068	11794	36068	3159	18034	3159	18034	11794	36068	2106	12023	11794	36068	11794	36068	3159	18034	3159	18034	11794	36068	2106	12023	11794	36068	11794	36068	3159	18034	3159	18034	11794	36068	12637	48090	12637	48090	12637	48090	12637	48090	12637	48090	12637	48090	12637	48090	12637	48090	12637	48090
32	2460	36202	2339	13878	13097	41634	13097	41634	3508	20817	3508	20817	13097	41634	2339	13878	13097	41634	13097	41634	3508	20817	3508	20817	13097	41634	2339	13878	13097	41634	13097	41634	3508	20817	3508	20817	13097	41634	2339	13878	13097	41634	13097	41634	3508	20817	3508	20817	13097	41634	2339	13878	13097	41634	13097	41634	3508	20817	3508	20817	13097	41634	2339	13878	13097	41634	13097	41634	3508	20817	3508	20817	13097	41634	2339	13878	13097	41634	13097	41634	3508	20817	3508	20817	13097	41634	2339	13878	13097	41634	13097	41634	3508	20817	3508	20817	13097	41634	2339	13878	13097	41634	13097	41634	3508	20817	3508	20817	13097	41634	14033	55512	14033	55512	14033	55512	14033	55512	14033	55512	14033	55512	14033	55512	14033	55512	14033	55512
33	2750	39782	2591	15873	14508	47619	14508	47619	3886	23810	3886	23810	14508	47619	2591	15873	14508	47619	14508	47619	3886	23810	3886	23810	14508	47619	2591	15873	14508	47619	14508	47619	3886	23810	3886	23810	14508	47619	2591	15873	14508	47619	14508	47619	3886	23810	3886	23810	14508	47619	2591	15873	14508	47619	14508	47619	3886	23810	3886	23810	14508	47619	2591	15873	14508	47619	14508	47619	3886	23810	3886	23810	14508	47619	2591	15873	14508	47619	14508	47619	3886	23810	3886	23810	14508	47619	2591	15873	14508	47619	14508	47619	3886	23810	3886	23810	14508	47619	2591	15873	14508	47619	14508	47619	3886	23810	3886	23810	14508	47619	15544	63492	15544	63492	15544	63492	15544	63492	15544	63492	15544	63492	15544	63492	15544	63492	15544	63492
34	3063	43594	2863	18012	16030	54036	16030	54036	4294	27018	4294	27018	16030	54036	2863	18012	16030	54036	16030	54036	4294	27018	4294	27018	16030	54036	2863	18012	16030	54036	16030	54036	4294	27018	4294	27018	16030	54036	2863	18012	16030	54036	16030	54036	4294	27018	4294	27018	16030	54036	2863	18012	16030	54036	16030	54036	4294	27018	4294	27018	16030	54036	2863	18012	16030	54036	16030	54036	4294	27018	4294	27018	16030	54036	2863	18012	16030	54036	16030	54036	4294	27018	4294	27018	16030	54036	2863	18012	16030	54036	16030	54036	4294	27018	4294	27018	16030	54036	2863	18012	16030	54036	16030	54036	4294	27018	4294	27018	16030	54036	17175	72048	17175	72048	17175	72048	17175	72048	17175	72048	17175	72048	17175	72048	17175	72048	17175	72048
35	3398	47642	3155	20300	17668	60899	17668	60899	4733	30449	4733	30449	17668	60899	3155	20300	17668	60899	17668	60899	4733	30449	4733	30449	17668	60899	3155	20300	17668	60899	17668	60899	4733	30449	4733	30449	17668	60899	3155	20300	17668	60899	17668	60899	4733	30449	4733	30449	17668	60899	3155	20300	17668	60899	17668	60899	4733	30449	4733	30449	17668	60899	3155	20300	17668	60899	17668	60899	4733	30449	4733	30449	17668	60899	3155	20300	17668	60899	17668	60899	4733	30449	4733	30449	17668	60899	3155	20300	17668	60899	17668	60899	4733	30449	4733	30449	17668	60899	3155	20300	17668	60899	17668	60899	4733	30449	4733	30449	17668	60899	18930	81198	18930	81198	18930	81198	18930	81198	18930	81198	18930	81198	18930	81198	18930	81198	18930	81198
