MGR_TXT

0=script0.ai =生砍
138=script138.ai =恶霸(门派偷袭)
139=script139.ai =宝藏主人(挖宝宝藏)
140=script140.ai =萧无偿(水牢)
141=script141.ai =云中雁(水牢)
142=script142.ai =莽盖探子(水牢)
143=script143.ai =田允(水牢)
144=script144.ai =百花杀(水牢)
145=script145.ai =无方和尚(水牢)
146=script146.ai =格裂马(水牢)
147=script147.ai =呼延平(水牢)
148=script148.ai =姚牵(水牢)
149=script149.ai =许道人(水牢)
150=script150.ai =肖于儿(水牢)
151=script151.ai =曹双(水牢)
156=script156.ai =(九层迷宫BOSS)
157=script157.ai =(九层迷宫BOSS)
158=script158.ai =(九层迷宫BOSS)
159=script159.ai =(九层迷宫BOSS)
160=script160.ai =(九层迷宫BOSS)
161=script161.ai =(九层迷宫BOSS)
162=script162.ai =(九层迷宫BOSS)
163=script163.ai =(九层迷宫BOSS)
164=script164.ai =(九层迷宫BOSS)
165=script165.ai =玄属性攻击Boss
166=script166.ai =冰属性攻击Boss
167=script167.ai =偷猎者
168=script168.ai =魅影偃师
169=script169.ai =鬼剑
170=script170.ai =石人
171=script171.ai =树人
172=script172.ai =岩魔
173=script173.ai =墓穴毒蛛
174=script174.ai =墓穴毒蜂
175=script175.ai =毒丝蜘蛛王
176=script176.ai =灰斑毒蛛
177=script177.ai =吸血蝙蝠
178=script178.ai =春三十娘
179=script179.ai =淬毒蛛
180=script180.ai =骷髅兵
181=script181.ai =伏地魔
182=script182.ai =鬼魂
183=script183.ai =幽灵
184=script184.ai =白帝的阴影
185=script185.ai =亡灵铠甲武士
186=script186.ai =死亡的嫔妃
187=script187.ai =冥将
188=script188.ai =火狻猊
189=script189.ai =泥浆武士
190=script190.ai =血饮狂刀
191=script191.ai =驳马
192=script192.ai =熔岩石人
193=script193.ai =赤霄
194=script194.ai =缠丝蜘蛛王
195=script195.ai =白帝
196=script196.ai =赤霄火魂
197=script197.ai =混江龙
198=script198.ai =出洞蛟
199=script199.ai =翻江蜃
200=script200.ai =黄鸟
201=script201.ai =年兽
202=script202.ai =龙龟
203=script203.ai =英招
204=script204.ai =麒麟
205=script205.ai =暴走野猪(攻击)
206=script206.ai =突牙野猪
207=script207.ai =尖牙野猪
208=script208.ai =尖牙野猪王
209=script209.ai =狂暴龙
210=script210.ai =玉兔Boss
211=script211.ai =无敌飞天猫
212=script212.ai =小猪猪
213=script213.ai =小狗狗
214=script214.ai =小鹰鹰
215=script215.ai =小虎虎
216=script216.ai =蹴鞠Boss
220=script220.ai =呼延灼
221=script221.ai =钱宏宇
222=script222.ai =宋军士兵
223=script223.ai =连弩塔（友）
224=script224.ai =守御塔（友）
225=script225.ai =治疗塔（友）
226=script226.ai =一品堂武士
227=script227.ai =岳老三
228=script228.ai =叶二娘
229=script229.ai =云中鹤
230=script230.ai =段延庆
231=script231.ai =秦家寨亲兵
232=script232.ai =青城派弟子
233=script233.ai =木人傀儡
234=script234.ai =吐蕃喇嘛
235=script235.ai =姚伯当
236=script236.ai =司马林
237=script237.ai =鸠摩智
238=script238.ai =连弩塔（敌）
239=script239.ai =燕子坞庄丁
240=script240.ai =公冶乾
241=script241.ai =邓百川
242=script242.ai =包不同
243=script243.ai =风波恶
244=script244.ai =慕容复
245=script245.ai =段誉1
246=script246.ai =段誉2
247=script247.ai =巴天石
248=script248.ai =范晔
249=script249.ai =褚万里
250=script250.ai =古笃诚
251=script251.ai =傅思归
252=script252.ai =朱丹臣
253=script253.ai =莽牯毒蛤
254=script254.ai =玄击神将
255=script255.ai =冰妖
256=script256.ai =冥虚奴
257=script257.ai =暴走野猪(防御)
258=script258.ai =暴走野猪(技能)
259=script259.ai =龙龟
260=script260.ai =年兽BOSS
261=script261.ai =缥缈峰不平道人
262=script262.ai =王阎
263=script263.ai =撕风魔
264=script264.ai =裂地行者
265=script265.ai =武玄将
266=script266.ai =五毒魔使
267=script267.ai =破焰尊者
268=script268.ai =洪棘妖王
269=script269.ai =火焰妖魔
270=script270.ai =新玄武岛无敌飞天猫
271=script271.ai =裂金明王
272=script272.ai =年兽
285=script285.ai =闪电狗
286=script286.ai =噬心鬼豹
287=script287.ai =利爪邪鹰
288=script288.ai =啮魂蜥蜴
289=script289.ai =吸血蝙蝠
